interface_id,from_application_id,to_application_id,method,frequency,criticality,middleware_pattern,owning_function,evidence_gap,source_id
INT-HCDN-00027,APP-HCDN-00190,APP-HCDN-00471,event stream,daily,critical,SFTP hub,Data and Analytics,source-backed candidate,SRC-HCDN-INT-028
INT-HCDN-00028,APP-HCDN-00197,APP-HCDN-00488,batch extract,weekly,standard,SSIS runtime,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-029
INT-HCDN-00029,APP-HCDN-00204,APP-HCDN-00505,vendor API,monthly,standard,data pipeline orchestrator,Actuarial,source-backed candidate,SRC-HCDN-INT-030
INT-HCDN-00030,APP-HCDN-00211,APP-HCDN-00522,HL7 v2,event-driven,high,claims EDI gateway,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-031
INT-HCDN-00031,APP-HCDN-00218,APP-HCDN-00539,FHIR/API,nightly batch,standard,FHIR gateway,AI Transformation,source-backed candidate,SRC-HCDN-INT-032
INT-HCDN-00032,APP-HCDN-00225,APP-HCDN-00556,X12 EDI,real-time,standard,Epic Bridges,Technology,source-backed candidate,SRC-HCDN-INT-033
INT-HCDN-00033,APP-HCDN-00232,APP-HCDN-00573,SFTP flat file,near real-time,high,interface engine,Security,source-backed candidate,SRC-HCDN-INT-034
INT-HCDN-00034,APP-HCDN-00239,APP-HCDN-00590,database link,hourly,standard,API gateway,Procurement,source-backed candidate,SRC-HCDN-INT-035
INT-HCDN-00035,APP-HCDN-00246,APP-HCDN-00607,SSIS package,daily,standard,SFTP hub,HR,source-backed candidate,SRC-HCDN-INT-036
INT-HCDN-00036,APP-HCDN-00253,APP-HCDN-00624,Epic Bridges,weekly,critical,SSIS runtime,Supply Chain,ambiguous endpoint name,SRC-HCDN-INT-037
INT-HCDN-00037,APP-HCDN-00260,APP-HCDN-00641,event stream,monthly,standard,data pipeline orchestrator,Privacy,source-backed candidate,SRC-HCDN-INT-038
INT-HCDN-00038,APP-HCDN-00267,APP-HCDN-00658,batch extract,event-driven,standard,claims EDI gateway,Compliance,source-backed candidate,SRC-HCDN-INT-039
INT-HCDN-00039,APP-HCDN-00274,APP-HCDN-00675,vendor API,nightly batch,high,FHIR gateway,Provider Network,retired/active duplicate,SRC-HCDN-INT-040
INT-HCDN-00040,APP-HCDN-00281,APP-HCDN-00692,HL7 v2,real-time,standard,Epic Bridges,Value-Based Care,source-backed candidate,SRC-HCDN-INT-041
INT-HCDN-00041,APP-HCDN-00288,APP-HCDN-00709,FHIR/API,near real-time,standard,interface engine,Clinical Operations,source-backed candidate,SRC-HCDN-INT-042
INT-HCDN-00042,APP-HCDN-00295,APP-HCDN-00726,X12 EDI,hourly,high,API gateway,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-043
INT-HCDN-00043,APP-HCDN-00302,APP-HCDN-00743,SFTP flat file,daily,standard,SFTP hub,Patient Access,source-backed candidate,SRC-HCDN-INT-044
INT-HCDN-00044,APP-HCDN-00309,APP-HCDN-00760,database link,weekly,standard,SSIS runtime,Interoperability,source-backed candidate,SRC-HCDN-INT-045
INT-HCDN-00045,APP-HCDN-00316,APP-HCDN-00777,SSIS package,monthly,critical,data pipeline orchestrator,Population Health,source-backed candidate,SRC-HCDN-INT-046
INT-HCDN-00046,APP-HCDN-00323,APP-HCDN-00794,Epic Bridges,event-driven,standard,claims EDI gateway,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-047
INT-HCDN-00047,APP-HCDN-00330,APP-HCDN-00811,event stream,nightly batch,standard,FHIR gateway,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-048
INT-HCDN-00048,APP-HCDN-00337,APP-HCDN-00828,batch extract,real-time,high,Epic Bridges,Claims Operations,ambiguous endpoint name,SRC-HCDN-INT-049
INT-HCDN-00049,APP-HCDN-00344,APP-HCDN-00845,vendor API,near real-time,standard,interface engine,Utilization Management,source-backed candidate,SRC-HCDN-INT-050
INT-HCDN-00050,APP-HCDN-00351,APP-HCDN-00862,HL7 v2,hourly,standard,API gateway,Member Services,source-backed candidate,SRC-HCDN-INT-051
INT-HCDN-00051,APP-HCDN-00358,APP-HCDN-00879,FHIR/API,daily,high,SFTP hub,Quality and Stars,source-backed candidate,SRC-HCDN-INT-052
INT-HCDN-00052,APP-HCDN-00365,APP-HCDN-00896,X12 EDI,weekly,standard,SSIS runtime,Risk Adjustment,retired/active duplicate,SRC-HCDN-INT-053
INT-HCDN-00053,APP-HCDN-00372,APP-HCDN-00913,SFTP flat file,monthly,standard,data pipeline orchestrator,Care Management,source-backed candidate,SRC-HCDN-INT-054
INT-HCDN-00054,APP-HCDN-00379,APP-HCDN-00930,database link,event-driven,critical,claims EDI gateway,Finance,source-backed candidate,SRC-HCDN-INT-055
INT-HCDN-00055,APP-HCDN-00386,APP-HCDN-00947,SSIS package,nightly batch,standard,FHIR gateway,Coding,source-backed candidate,SRC-HCDN-INT-056
INT-HCDN-00056,APP-HCDN-00393,APP-HCDN-00964,Epic Bridges,real-time,standard,Epic Bridges,Payer Contracting,source-backed candidate,SRC-HCDN-INT-057
INT-HCDN-00057,APP-HCDN-00400,APP-HCDN-00981,event stream,near real-time,high,interface engine,Digital Front Door,source-backed candidate,SRC-HCDN-INT-058
INT-HCDN-00058,APP-HCDN-00407,APP-HCDN-00998,batch extract,hourly,standard,API gateway,Contact Center,source-backed candidate,SRC-HCDN-INT-059
INT-HCDN-00059,APP-HCDN-00414,APP-HCDN-01015,vendor API,daily,standard,SFTP hub,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-060
INT-HCDN-00060,APP-HCDN-00421,APP-HCDN-01032,HL7 v2,weekly,high,SSIS runtime,Emergency Department,ambiguous endpoint name,SRC-HCDN-INT-061
INT-HCDN-00061,APP-HCDN-00428,APP-HCDN-01049,FHIR/API,monthly,standard,data pipeline orchestrator,Inpatient,source-backed candidate,SRC-HCDN-INT-062
INT-HCDN-00062,APP-HCDN-00435,APP-HCDN-01066,X12 EDI,event-driven,standard,claims EDI gateway,Surgery,source-backed candidate,SRC-HCDN-INT-063
INT-HCDN-00063,APP-HCDN-00442,APP-HCDN-01083,SFTP flat file,nightly batch,critical,FHIR gateway,Imaging,source-backed candidate,SRC-HCDN-INT-064
INT-HCDN-00064,APP-HCDN-00449,APP-HCDN-01100,database link,real-time,standard,Epic Bridges,Lab,source-backed candidate,SRC-HCDN-INT-001
INT-HCDN-00065,APP-HCDN-00456,APP-HCDN-01117,SSIS package,near real-time,standard,interface engine,Pharmacy,retired/active duplicate,SRC-HCDN-INT-002
INT-HCDN-00066,APP-HCDN-00463,APP-HCDN-01134,Epic Bridges,hourly,high,API gateway,Oncology,source-backed candidate,SRC-HCDN-INT-003
INT-HCDN-00067,APP-HCDN-00470,APP-HCDN-01151,event stream,daily,standard,SFTP hub,Cardiology,source-backed candidate,SRC-HCDN-INT-004
INT-HCDN-00068,APP-HCDN-00477,APP-HCDN-01168,batch extract,weekly,standard,SSIS runtime,Data and Analytics,source-backed candidate,SRC-HCDN-INT-005
INT-HCDN-00069,APP-HCDN-00484,APP-HCDN-01185,vendor API,monthly,high,data pipeline orchestrator,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-006
INT-HCDN-00070,APP-HCDN-00491,APP-HCDN-01202,HL7 v2,event-driven,standard,claims EDI gateway,Actuarial,source-backed candidate,SRC-HCDN-INT-007
INT-HCDN-00071,APP-HCDN-00498,APP-HCDN-01219,FHIR/API,nightly batch,standard,FHIR gateway,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-008
INT-HCDN-00072,APP-HCDN-00505,APP-HCDN-01236,X12 EDI,real-time,critical,Epic Bridges,AI Transformation,ambiguous endpoint name,SRC-HCDN-INT-009
INT-HCDN-00073,APP-HCDN-00512,APP-HCDN-01253,SFTP flat file,near real-time,standard,interface engine,Technology,source-backed candidate,SRC-HCDN-INT-010
INT-HCDN-00074,APP-HCDN-00519,APP-HCDN-01270,database link,hourly,standard,API gateway,Security,source-backed candidate,SRC-HCDN-INT-011
INT-HCDN-00075,APP-HCDN-00526,APP-HCDN-01287,SSIS package,daily,high,SFTP hub,Procurement,source-backed candidate,SRC-HCDN-INT-012
INT-HCDN-00076,APP-HCDN-00533,APP-HCDN-01304,Epic Bridges,weekly,standard,SSIS runtime,HR,source-backed candidate,SRC-HCDN-INT-013
INT-HCDN-00077,APP-HCDN-00540,APP-HCDN-01321,event stream,monthly,standard,data pipeline orchestrator,Supply Chain,source-backed candidate,SRC-HCDN-INT-014
INT-HCDN-00078,APP-HCDN-00547,APP-HCDN-01338,batch extract,event-driven,high,claims EDI gateway,Privacy,retired/active duplicate,SRC-HCDN-INT-015
INT-HCDN-00079,APP-HCDN-00554,APP-HCDN-01355,vendor API,nightly batch,standard,FHIR gateway,Compliance,source-backed candidate,SRC-HCDN-INT-016
INT-HCDN-00080,APP-HCDN-00561,APP-HCDN-01372,HL7 v2,real-time,standard,Epic Bridges,Provider Network,source-backed candidate,SRC-HCDN-INT-017
INT-HCDN-00081,APP-HCDN-00568,APP-HCDN-01389,FHIR/API,near real-time,critical,interface engine,Value-Based Care,source-backed candidate,SRC-HCDN-INT-018
INT-HCDN-00082,APP-HCDN-00575,APP-HCDN-01406,X12 EDI,hourly,standard,API gateway,Clinical Operations,source-backed candidate,SRC-HCDN-INT-019
INT-HCDN-00083,APP-HCDN-00582,APP-HCDN-01423,SFTP flat file,daily,standard,SFTP hub,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-020
INT-HCDN-00084,APP-HCDN-00589,APP-HCDN-01440,database link,weekly,high,SSIS runtime,Patient Access,ambiguous endpoint name,SRC-HCDN-INT-021
INT-HCDN-00085,APP-HCDN-00596,APP-HCDN-01457,SSIS package,monthly,standard,data pipeline orchestrator,Interoperability,source-backed candidate,SRC-HCDN-INT-022
INT-HCDN-00086,APP-HCDN-00603,APP-HCDN-01474,Epic Bridges,event-driven,standard,claims EDI gateway,Population Health,source-backed candidate,SRC-HCDN-INT-023
INT-HCDN-00087,APP-HCDN-00610,APP-HCDN-01491,event stream,nightly batch,high,FHIR gateway,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-024
INT-HCDN-00088,APP-HCDN-00617,APP-HCDN-01508,batch extract,real-time,standard,Epic Bridges,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-025
INT-HCDN-00089,APP-HCDN-00624,APP-HCDN-01525,vendor API,near real-time,standard,interface engine,Claims Operations,source-backed candidate,SRC-HCDN-INT-026
INT-HCDN-00090,APP-HCDN-00631,APP-HCDN-01542,HL7 v2,hourly,critical,API gateway,Utilization Management,source-backed candidate,SRC-HCDN-INT-027
INT-HCDN-00091,APP-HCDN-00638,APP-HCDN-01559,FHIR/API,daily,standard,SFTP hub,Member Services,retired/active duplicate,SRC-HCDN-INT-028
INT-HCDN-00092,APP-HCDN-00645,APP-HCDN-01576,X12 EDI,weekly,standard,SSIS runtime,Quality and Stars,source-backed candidate,SRC-HCDN-INT-029
INT-HCDN-00093,APP-HCDN-00652,APP-HCDN-01593,SFTP flat file,monthly,high,data pipeline orchestrator,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-030
INT-HCDN-00094,APP-HCDN-00659,APP-HCDN-01610,database link,event-driven,standard,claims EDI gateway,Care Management,source-backed candidate,SRC-HCDN-INT-031
INT-HCDN-00095,APP-HCDN-00666,APP-HCDN-01627,SSIS package,nightly batch,standard,FHIR gateway,Finance,source-backed candidate,SRC-HCDN-INT-032
INT-HCDN-00096,APP-HCDN-00673,APP-HCDN-01644,Epic Bridges,real-time,high,Epic Bridges,Coding,ambiguous endpoint name,SRC-HCDN-INT-033
INT-HCDN-00097,APP-HCDN-00680,APP-HCDN-01661,event stream,near real-time,standard,interface engine,Payer Contracting,source-backed candidate,SRC-HCDN-INT-034
INT-HCDN-00098,APP-HCDN-00687,APP-HCDN-00008,batch extract,hourly,standard,API gateway,Digital Front Door,source-backed candidate,SRC-HCDN-INT-035
INT-HCDN-00099,APP-HCDN-00694,APP-HCDN-00025,vendor API,daily,critical,SFTP hub,Contact Center,source-backed candidate,SRC-HCDN-INT-036
INT-HCDN-00100,APP-HCDN-00701,APP-HCDN-00042,HL7 v2,weekly,standard,SSIS runtime,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-037
INT-HCDN-00101,APP-HCDN-00708,APP-HCDN-00059,FHIR/API,monthly,standard,data pipeline orchestrator,Emergency Department,source-backed candidate,SRC-HCDN-INT-038
INT-HCDN-00102,APP-HCDN-00715,APP-HCDN-00076,X12 EDI,event-driven,high,claims EDI gateway,Inpatient,source-backed candidate,SRC-HCDN-INT-039
INT-HCDN-00103,APP-HCDN-00722,APP-HCDN-00093,SFTP flat file,nightly batch,standard,FHIR gateway,Surgery,source-backed candidate,SRC-HCDN-INT-040
INT-HCDN-00104,APP-HCDN-00729,APP-HCDN-00110,database link,real-time,standard,Epic Bridges,Imaging,retired/active duplicate,SRC-HCDN-INT-041
INT-HCDN-00105,APP-HCDN-00736,APP-HCDN-00127,SSIS package,near real-time,high,interface engine,Lab,source-backed candidate,SRC-HCDN-INT-042
INT-HCDN-00106,APP-HCDN-00743,APP-HCDN-00144,Epic Bridges,hourly,standard,API gateway,Pharmacy,source-backed candidate,SRC-HCDN-INT-043
INT-HCDN-00107,APP-HCDN-00750,APP-HCDN-00161,event stream,daily,standard,SFTP hub,Oncology,source-backed candidate,SRC-HCDN-INT-044
INT-HCDN-00108,APP-HCDN-00757,APP-HCDN-00178,batch extract,weekly,critical,SSIS runtime,Cardiology,ambiguous endpoint name,SRC-HCDN-INT-045
INT-HCDN-00109,APP-HCDN-00764,APP-HCDN-00195,vendor API,monthly,standard,data pipeline orchestrator,Data and Analytics,source-backed candidate,SRC-HCDN-INT-046
INT-HCDN-00110,APP-HCDN-00771,APP-HCDN-00212,HL7 v2,event-driven,standard,claims EDI gateway,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-047
INT-HCDN-00111,APP-HCDN-00778,APP-HCDN-00229,FHIR/API,nightly batch,high,FHIR gateway,Actuarial,source-backed candidate,SRC-HCDN-INT-048
INT-HCDN-00112,APP-HCDN-00785,APP-HCDN-00246,X12 EDI,real-time,standard,Epic Bridges,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-049
INT-HCDN-00113,APP-HCDN-00792,APP-HCDN-00263,SFTP flat file,near real-time,standard,interface engine,AI Transformation,source-backed candidate,SRC-HCDN-INT-050
INT-HCDN-00114,APP-HCDN-00799,APP-HCDN-00280,database link,hourly,high,API gateway,Technology,source-backed candidate,SRC-HCDN-INT-051
INT-HCDN-00115,APP-HCDN-00806,APP-HCDN-00297,SSIS package,daily,standard,SFTP hub,Security,source-backed candidate,SRC-HCDN-INT-052
INT-HCDN-00116,APP-HCDN-00813,APP-HCDN-00314,Epic Bridges,weekly,standard,SSIS runtime,Procurement,source-backed candidate,SRC-HCDN-INT-053
INT-HCDN-00117,APP-HCDN-00820,APP-HCDN-00331,event stream,monthly,critical,data pipeline orchestrator,HR,retired/active duplicate,SRC-HCDN-INT-054
INT-HCDN-00118,APP-HCDN-00827,APP-HCDN-00348,batch extract,event-driven,standard,claims EDI gateway,Supply Chain,source-backed candidate,SRC-HCDN-INT-055
INT-HCDN-00119,APP-HCDN-00834,APP-HCDN-00365,vendor API,nightly batch,standard,FHIR gateway,Privacy,source-backed candidate,SRC-HCDN-INT-056
INT-HCDN-00120,APP-HCDN-00841,APP-HCDN-00382,HL7 v2,real-time,high,Epic Bridges,Compliance,ambiguous endpoint name,SRC-HCDN-INT-057
INT-HCDN-00121,APP-HCDN-00848,APP-HCDN-00399,FHIR/API,near real-time,standard,interface engine,Provider Network,source-backed candidate,SRC-HCDN-INT-058
INT-HCDN-00122,APP-HCDN-00855,APP-HCDN-00416,X12 EDI,hourly,standard,API gateway,Value-Based Care,source-backed candidate,SRC-HCDN-INT-059
INT-HCDN-00123,APP-HCDN-00862,APP-HCDN-00433,SFTP flat file,daily,high,SFTP hub,Clinical Operations,source-backed candidate,SRC-HCDN-INT-060
INT-HCDN-00124,APP-HCDN-00869,APP-HCDN-00450,database link,weekly,standard,SSIS runtime,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-061
INT-HCDN-00125,APP-HCDN-00876,APP-HCDN-00467,SSIS package,monthly,standard,data pipeline orchestrator,Patient Access,source-backed candidate,SRC-HCDN-INT-062
INT-HCDN-00126,APP-HCDN-00883,APP-HCDN-00484,Epic Bridges,event-driven,critical,claims EDI gateway,Interoperability,source-backed candidate,SRC-HCDN-INT-063
INT-HCDN-00127,APP-HCDN-00890,APP-HCDN-00501,event stream,nightly batch,standard,FHIR gateway,Population Health,source-backed candidate,SRC-HCDN-INT-064
INT-HCDN-00128,APP-HCDN-00897,APP-HCDN-00518,batch extract,real-time,standard,Epic Bridges,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-001
INT-HCDN-00129,APP-HCDN-00904,APP-HCDN-00535,vendor API,near real-time,high,interface engine,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-002
INT-HCDN-00130,APP-HCDN-00911,APP-HCDN-00552,HL7 v2,hourly,standard,API gateway,Claims Operations,retired/active duplicate,SRC-HCDN-INT-003
INT-HCDN-00131,APP-HCDN-00918,APP-HCDN-00569,FHIR/API,daily,standard,SFTP hub,Utilization Management,source-backed candidate,SRC-HCDN-INT-004
INT-HCDN-00132,APP-HCDN-00925,APP-HCDN-00586,X12 EDI,weekly,high,SSIS runtime,Member Services,ambiguous endpoint name,SRC-HCDN-INT-005
INT-HCDN-00133,APP-HCDN-00932,APP-HCDN-00603,SFTP flat file,monthly,standard,data pipeline orchestrator,Quality and Stars,source-backed candidate,SRC-HCDN-INT-006
INT-HCDN-00134,APP-HCDN-00939,APP-HCDN-00620,database link,event-driven,standard,claims EDI gateway,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-007
INT-HCDN-00135,APP-HCDN-00946,APP-HCDN-00637,SSIS package,nightly batch,critical,FHIR gateway,Care Management,source-backed candidate,SRC-HCDN-INT-008
INT-HCDN-00136,APP-HCDN-00953,APP-HCDN-00654,Epic Bridges,real-time,standard,Epic Bridges,Finance,source-backed candidate,SRC-HCDN-INT-009
INT-HCDN-00137,APP-HCDN-00960,APP-HCDN-00671,event stream,near real-time,standard,interface engine,Coding,source-backed candidate,SRC-HCDN-INT-010
INT-HCDN-00138,APP-HCDN-00967,APP-HCDN-00688,batch extract,hourly,high,API gateway,Payer Contracting,source-backed candidate,SRC-HCDN-INT-011
INT-HCDN-00139,APP-HCDN-00974,APP-HCDN-00705,vendor API,daily,standard,SFTP hub,Digital Front Door,source-backed candidate,SRC-HCDN-INT-012
INT-HCDN-00140,APP-HCDN-00981,APP-HCDN-00722,HL7 v2,weekly,standard,SSIS runtime,Contact Center,source-backed candidate,SRC-HCDN-INT-013
INT-HCDN-00141,APP-HCDN-00988,APP-HCDN-00739,FHIR/API,monthly,high,data pipeline orchestrator,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-014
INT-HCDN-00142,APP-HCDN-00995,APP-HCDN-00756,X12 EDI,event-driven,standard,claims EDI gateway,Emergency Department,source-backed candidate,SRC-HCDN-INT-015
INT-HCDN-00143,APP-HCDN-01002,APP-HCDN-00773,SFTP flat file,nightly batch,standard,FHIR gateway,Inpatient,retired/active duplicate,SRC-HCDN-INT-016
INT-HCDN-00144,APP-HCDN-01009,APP-HCDN-00790,database link,real-time,critical,Epic Bridges,Surgery,ambiguous endpoint name,SRC-HCDN-INT-017
INT-HCDN-00145,APP-HCDN-01016,APP-HCDN-00807,SSIS package,near real-time,standard,interface engine,Imaging,source-backed candidate,SRC-HCDN-INT-018
INT-HCDN-00146,APP-HCDN-01023,APP-HCDN-00824,Epic Bridges,hourly,standard,API gateway,Lab,source-backed candidate,SRC-HCDN-INT-019
INT-HCDN-00147,APP-HCDN-01030,APP-HCDN-00841,event stream,daily,high,SFTP hub,Pharmacy,source-backed candidate,SRC-HCDN-INT-020
INT-HCDN-00148,APP-HCDN-01037,APP-HCDN-00858,batch extract,weekly,standard,SSIS runtime,Oncology,source-backed candidate,SRC-HCDN-INT-021
INT-HCDN-00149,APP-HCDN-01044,APP-HCDN-00875,vendor API,monthly,standard,data pipeline orchestrator,Cardiology,source-backed candidate,SRC-HCDN-INT-022
INT-HCDN-00150,APP-HCDN-01051,APP-HCDN-00892,HL7 v2,event-driven,high,claims EDI gateway,Data and Analytics,source-backed candidate,SRC-HCDN-INT-023
INT-HCDN-00151,APP-HCDN-01058,APP-HCDN-00909,FHIR/API,nightly batch,standard,FHIR gateway,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-024
INT-HCDN-00152,APP-HCDN-01065,APP-HCDN-00926,X12 EDI,real-time,standard,Epic Bridges,Actuarial,source-backed candidate,SRC-HCDN-INT-025
INT-HCDN-00153,APP-HCDN-01072,APP-HCDN-00943,SFTP flat file,near real-time,critical,interface engine,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-026
INT-HCDN-00154,APP-HCDN-01079,APP-HCDN-00960,database link,hourly,standard,API gateway,AI Transformation,source-backed candidate,SRC-HCDN-INT-027
INT-HCDN-00155,APP-HCDN-01086,APP-HCDN-00977,SSIS package,daily,standard,SFTP hub,Technology,source-backed candidate,SRC-HCDN-INT-028
INT-HCDN-00156,APP-HCDN-01093,APP-HCDN-00994,Epic Bridges,weekly,high,SSIS runtime,Security,ambiguous endpoint name,SRC-HCDN-INT-029
INT-HCDN-00157,APP-HCDN-01100,APP-HCDN-01011,event stream,monthly,standard,data pipeline orchestrator,Procurement,source-backed candidate,SRC-HCDN-INT-030
INT-HCDN-00158,APP-HCDN-01107,APP-HCDN-01028,batch extract,event-driven,standard,claims EDI gateway,HR,source-backed candidate,SRC-HCDN-INT-031
INT-HCDN-00159,APP-HCDN-01114,APP-HCDN-01045,vendor API,nightly batch,high,FHIR gateway,Supply Chain,source-backed candidate,SRC-HCDN-INT-032
INT-HCDN-00160,APP-HCDN-01121,APP-HCDN-01062,HL7 v2,real-time,standard,Epic Bridges,Privacy,source-backed candidate,SRC-HCDN-INT-033
INT-HCDN-00161,APP-HCDN-01128,APP-HCDN-01079,FHIR/API,near real-time,standard,interface engine,Compliance,source-backed candidate,SRC-HCDN-INT-034
INT-HCDN-00162,APP-HCDN-01135,APP-HCDN-01096,X12 EDI,hourly,critical,API gateway,Provider Network,source-backed candidate,SRC-HCDN-INT-035
INT-HCDN-00163,APP-HCDN-01142,APP-HCDN-01113,SFTP flat file,daily,standard,SFTP hub,Value-Based Care,source-backed candidate,SRC-HCDN-INT-036
INT-HCDN-00164,APP-HCDN-01149,APP-HCDN-01130,database link,weekly,standard,SSIS runtime,Clinical Operations,source-backed candidate,SRC-HCDN-INT-037
INT-HCDN-00165,APP-HCDN-01156,APP-HCDN-01147,SSIS package,monthly,high,data pipeline orchestrator,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-038
INT-HCDN-00166,APP-HCDN-01163,APP-HCDN-01164,Epic Bridges,event-driven,standard,claims EDI gateway,Patient Access,source-backed candidate,SRC-HCDN-INT-039
INT-HCDN-00167,APP-HCDN-01170,APP-HCDN-01181,event stream,nightly batch,standard,FHIR gateway,Interoperability,source-backed candidate,SRC-HCDN-INT-040
INT-HCDN-00168,APP-HCDN-01177,APP-HCDN-01198,batch extract,real-time,high,Epic Bridges,Population Health,ambiguous endpoint name,SRC-HCDN-INT-041
