bafo_question_id,bafo_id,proposal_id,lot_id,bidder,question_type,evaluation_ref
BAFOQ-HCDN-LOT-HCDN-03-B-05,BAFO-HCDN-B-LOT-HCDN-03,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,clarify pricing,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-C-01,BAFO-HCDN-C-LOT-HCDN-03,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,improve service credit,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-C-02,BAFO-HCDN-C-LOT-HCDN-03,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,reduce transition risk,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-C-03,BAFO-HCDN-C-LOT-HCDN-03,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,commit value,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-C-04,BAFO-HCDN-C-LOT-HCDN-03,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,address PHI/security,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-03-C-05,BAFO-HCDN-C-LOT-HCDN-03,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,clarify pricing,EVAL-HCDN-LOT-HCDN-03
BAFOQ-HCDN-LOT-HCDN-04-A-01,BAFO-HCDN-A-LOT-HCDN-04,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,improve service credit,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-A-02,BAFO-HCDN-A-LOT-HCDN-04,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,reduce transition risk,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-A-03,BAFO-HCDN-A-LOT-HCDN-04,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,commit value,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-A-04,BAFO-HCDN-A-LOT-HCDN-04,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,address PHI/security,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-A-05,BAFO-HCDN-A-LOT-HCDN-04,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,clarify pricing,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-B-01,BAFO-HCDN-B-LOT-HCDN-04,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,improve service credit,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-B-02,BAFO-HCDN-B-LOT-HCDN-04,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,reduce transition risk,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-B-03,BAFO-HCDN-B-LOT-HCDN-04,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,commit value,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-B-04,BAFO-HCDN-B-LOT-HCDN-04,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,address PHI/security,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-B-05,BAFO-HCDN-B-LOT-HCDN-04,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,clarify pricing,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-C-01,BAFO-HCDN-C-LOT-HCDN-04,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,improve service credit,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-C-02,BAFO-HCDN-C-LOT-HCDN-04,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,reduce transition risk,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-C-03,BAFO-HCDN-C-LOT-HCDN-04,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,commit value,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-C-04,BAFO-HCDN-C-LOT-HCDN-04,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,address PHI/security,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-04-C-05,BAFO-HCDN-C-LOT-HCDN-04,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,clarify pricing,EVAL-HCDN-LOT-HCDN-04
BAFOQ-HCDN-LOT-HCDN-05-A-01,BAFO-HCDN-A-LOT-HCDN-05,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,improve service credit,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-A-02,BAFO-HCDN-A-LOT-HCDN-05,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,reduce transition risk,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-A-03,BAFO-HCDN-A-LOT-HCDN-05,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,commit value,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-A-04,BAFO-HCDN-A-LOT-HCDN-05,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,address PHI/security,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-A-05,BAFO-HCDN-A-LOT-HCDN-05,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,clarify pricing,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-B-01,BAFO-HCDN-B-LOT-HCDN-05,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,improve service credit,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-B-02,BAFO-HCDN-B-LOT-HCDN-05,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,reduce transition risk,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-B-03,BAFO-HCDN-B-LOT-HCDN-05,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,commit value,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-B-04,BAFO-HCDN-B-LOT-HCDN-05,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,address PHI/security,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-B-05,BAFO-HCDN-B-LOT-HCDN-05,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,clarify pricing,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-C-01,BAFO-HCDN-C-LOT-HCDN-05,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,improve service credit,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-C-02,BAFO-HCDN-C-LOT-HCDN-05,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,reduce transition risk,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-C-03,BAFO-HCDN-C-LOT-HCDN-05,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,commit value,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-C-04,BAFO-HCDN-C-LOT-HCDN-05,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,address PHI/security,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-05-C-05,BAFO-HCDN-C-LOT-HCDN-05,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,clarify pricing,EVAL-HCDN-LOT-HCDN-05
BAFOQ-HCDN-LOT-HCDN-06-A-01,BAFO-HCDN-A-LOT-HCDN-06,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,improve service credit,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-A-02,BAFO-HCDN-A-LOT-HCDN-06,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,reduce transition risk,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-A-03,BAFO-HCDN-A-LOT-HCDN-06,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,commit value,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-A-04,BAFO-HCDN-A-LOT-HCDN-06,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,address PHI/security,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-A-05,BAFO-HCDN-A-LOT-HCDN-06,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,clarify pricing,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-B-01,BAFO-HCDN-B-LOT-HCDN-06,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,improve service credit,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-B-02,BAFO-HCDN-B-LOT-HCDN-06,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,reduce transition risk,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-B-03,BAFO-HCDN-B-LOT-HCDN-06,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,commit value,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-B-04,BAFO-HCDN-B-LOT-HCDN-06,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,address PHI/security,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-B-05,BAFO-HCDN-B-LOT-HCDN-06,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,clarify pricing,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-C-01,BAFO-HCDN-C-LOT-HCDN-06,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,improve service credit,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-C-02,BAFO-HCDN-C-LOT-HCDN-06,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,reduce transition risk,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-C-03,BAFO-HCDN-C-LOT-HCDN-06,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,commit value,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-C-04,BAFO-HCDN-C-LOT-HCDN-06,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,address PHI/security,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-06-C-05,BAFO-HCDN-C-LOT-HCDN-06,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,clarify pricing,EVAL-HCDN-LOT-HCDN-06
BAFOQ-HCDN-LOT-HCDN-07-A-01,BAFO-HCDN-A-LOT-HCDN-07,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,improve service credit,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-A-02,BAFO-HCDN-A-LOT-HCDN-07,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,reduce transition risk,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-A-03,BAFO-HCDN-A-LOT-HCDN-07,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,commit value,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-A-04,BAFO-HCDN-A-LOT-HCDN-07,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,address PHI/security,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-A-05,BAFO-HCDN-A-LOT-HCDN-07,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,clarify pricing,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-B-01,BAFO-HCDN-B-LOT-HCDN-07,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,improve service credit,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-B-02,BAFO-HCDN-B-LOT-HCDN-07,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,reduce transition risk,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-B-03,BAFO-HCDN-B-LOT-HCDN-07,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,commit value,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-B-04,BAFO-HCDN-B-LOT-HCDN-07,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,address PHI/security,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-B-05,BAFO-HCDN-B-LOT-HCDN-07,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,clarify pricing,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-C-01,BAFO-HCDN-C-LOT-HCDN-07,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,improve service credit,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-C-02,BAFO-HCDN-C-LOT-HCDN-07,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,reduce transition risk,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-C-03,BAFO-HCDN-C-LOT-HCDN-07,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,commit value,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-C-04,BAFO-HCDN-C-LOT-HCDN-07,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,address PHI/security,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-07-C-05,BAFO-HCDN-C-LOT-HCDN-07,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,clarify pricing,EVAL-HCDN-LOT-HCDN-07
BAFOQ-HCDN-LOT-HCDN-08-A-01,BAFO-HCDN-A-LOT-HCDN-08,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,improve service credit,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-A-02,BAFO-HCDN-A-LOT-HCDN-08,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,reduce transition risk,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-A-03,BAFO-HCDN-A-LOT-HCDN-08,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,commit value,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-A-04,BAFO-HCDN-A-LOT-HCDN-08,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,address PHI/security,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-A-05,BAFO-HCDN-A-LOT-HCDN-08,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,clarify pricing,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-B-01,BAFO-HCDN-B-LOT-HCDN-08,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,improve service credit,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-B-02,BAFO-HCDN-B-LOT-HCDN-08,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,reduce transition risk,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-B-03,BAFO-HCDN-B-LOT-HCDN-08,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,commit value,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-B-04,BAFO-HCDN-B-LOT-HCDN-08,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,address PHI/security,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-B-05,BAFO-HCDN-B-LOT-HCDN-08,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,clarify pricing,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-C-01,BAFO-HCDN-C-LOT-HCDN-08,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,improve service credit,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-C-02,BAFO-HCDN-C-LOT-HCDN-08,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,reduce transition risk,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-C-03,BAFO-HCDN-C-LOT-HCDN-08,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,commit value,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-C-04,BAFO-HCDN-C-LOT-HCDN-08,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,address PHI/security,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-08-C-05,BAFO-HCDN-C-LOT-HCDN-08,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,clarify pricing,EVAL-HCDN-LOT-HCDN-08
BAFOQ-HCDN-LOT-HCDN-09-A-01,BAFO-HCDN-A-LOT-HCDN-09,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,improve service credit,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-A-02,BAFO-HCDN-A-LOT-HCDN-09,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,reduce transition risk,EVAL-HCDN-LOT-HCDN-09
BAFOQ-HCDN-LOT-HCDN-09-A-03,BAFO-HCDN-A-LOT-HCDN-09,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,commit value,EVAL-HCDN-LOT-HCDN-09
