assumption_id,proposal_id,lot_id,bidder,assumption,impact_type,source_id
ASSUMP-HCDN-LOT-HCDN-02-A-05,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,client volume stability,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-02-B-01,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,tool access,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-02-B-02,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,data readiness,scope impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-02-B-03,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,timely decisions,delivery impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-02-B-04,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,current-state documentation,commercial impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-02-B-05,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,client volume stability,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-02-C-01,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,tool access,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-02-C-02,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,data readiness,scope impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-02-C-03,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,timely decisions,delivery impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-02-C-04,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,current-state documentation,commercial impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-02-C-05,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,client volume stability,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-03-A-01,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,tool access,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-03-A-02,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,data readiness,scope impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-03-A-03,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,timely decisions,delivery impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-03-A-04,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,current-state documentation,commercial impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-03-A-05,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,client volume stability,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-03-B-01,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,tool access,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-03-B-02,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,data readiness,scope impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-03-B-03,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,timely decisions,delivery impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-03-B-04,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,current-state documentation,commercial impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-03-B-05,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,client volume stability,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-03-C-01,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,tool access,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-03-C-02,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,data readiness,scope impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-03-C-03,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,timely decisions,delivery impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-03-C-04,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,current-state documentation,commercial impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-03-C-05,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,client volume stability,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-04-A-01,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,tool access,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-04-A-02,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,data readiness,scope impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-04-A-03,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,timely decisions,delivery impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-04-A-04,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,current-state documentation,commercial impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-04-A-05,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,client volume stability,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-04-B-01,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,tool access,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-04-B-02,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,data readiness,scope impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-04-B-03,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,timely decisions,delivery impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-04-B-04,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,current-state documentation,commercial impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-04-B-05,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,client volume stability,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-04-C-01,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,tool access,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-04-C-02,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,data readiness,scope impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-04-C-03,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,timely decisions,delivery impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-04-C-04,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,current-state documentation,commercial impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-04-C-05,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,client volume stability,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-05-A-01,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,tool access,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-05-A-02,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,data readiness,scope impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-05-A-03,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,timely decisions,delivery impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-05-A-04,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,current-state documentation,commercial impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-05-A-05,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,client volume stability,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-05-B-01,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,tool access,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-05-B-02,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,data readiness,scope impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-05-B-03,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,timely decisions,delivery impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-05-B-04,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,current-state documentation,commercial impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-05-B-05,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,client volume stability,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-05-C-01,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,tool access,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-05-C-02,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,data readiness,scope impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-05-C-03,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,timely decisions,delivery impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-05-C-04,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,current-state documentation,commercial impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-05-C-05,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,client volume stability,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-06-A-01,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,tool access,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-06-A-02,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,data readiness,scope impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-06-A-03,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,timely decisions,delivery impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-06-A-04,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,current-state documentation,commercial impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-06-A-05,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,client volume stability,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-06-B-01,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,tool access,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-06-B-02,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,data readiness,scope impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-06-B-03,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,timely decisions,delivery impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-06-B-04,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,current-state documentation,commercial impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-06-B-05,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,client volume stability,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-06-C-01,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,tool access,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-06-C-02,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,data readiness,scope impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-06-C-03,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,timely decisions,delivery impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-06-C-04,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,current-state documentation,commercial impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-06-C-05,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,client volume stability,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-07-A-01,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,tool access,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-07-A-02,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,data readiness,scope impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-07-A-03,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,timely decisions,delivery impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-07-A-04,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,current-state documentation,commercial impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-07-A-05,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,client volume stability,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-07-B-01,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,tool access,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-07-B-02,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,data readiness,scope impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-07-B-03,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,timely decisions,delivery impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-07-B-04,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,current-state documentation,commercial impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-07-B-05,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,client volume stability,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-07-C-01,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,tool access,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-07-C-02,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,data readiness,scope impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-07-C-03,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,timely decisions,delivery impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-07-C-04,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,current-state documentation,commercial impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-07-C-05,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,client volume stability,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-08-A-01,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,tool access,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-08-A-02,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,data readiness,scope impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-08-A-03,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,timely decisions,delivery impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-08-A-04,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,current-state documentation,commercial impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-08-A-05,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,client volume stability,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-08-B-01,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,tool access,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-08-B-02,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,data readiness,scope impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-08-B-03,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,timely decisions,delivery impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-08-B-04,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,current-state documentation,commercial impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-08-B-05,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,client volume stability,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-08-C-01,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,tool access,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-08-C-02,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,data readiness,scope impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-08-C-03,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,timely decisions,delivery impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-08-C-04,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,current-state documentation,commercial impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-08-C-05,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,client volume stability,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-09-A-01,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,tool access,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-09-A-02,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,data readiness,scope impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-09-A-03,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,timely decisions,delivery impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-09-A-04,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,current-state documentation,commercial impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-09-A-05,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,client volume stability,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-09-B-01,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,tool access,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-09-B-02,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,data readiness,scope impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-09-B-03,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,timely decisions,delivery impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-09-B-04,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,current-state documentation,commercial impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-09-B-05,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,client volume stability,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-09-C-01,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,tool access,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-09-C-02,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,data readiness,scope impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-09-C-03,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,timely decisions,delivery impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-09-C-04,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,current-state documentation,commercial impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-09-C-05,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,client volume stability,transition impact,SRC-HCDN-PROP-C
