vendor_id,vendor_public_reference,vendor_category,strategic_tier,service_tower,primary_function,concentration_note
VEND-HCDN-056,Synthetic Healthcare Supplier 056,prior authorization/UM,major,Data Analytics and AI,Payer Contracting,standard review
VEND-HCDN-057,Synthetic Healthcare Supplier 057,quality Stars HEDIS RAF,niche,Revenue Cycle Technology,Digital Front Door,standard review
VEND-HCDN-058,Synthetic Healthcare Supplier 058,payment integrity,incumbent,Cloud Infrastructure and Data Center,Contact Center,standard review
VEND-HCDN-059,Synthetic Healthcare Supplier 059,cloud infrastructure,emerging,Workplace and Contact Center,Ambulatory Care,standard review
VEND-HCDN-060,Synthetic Healthcare Supplier 060,data analytics,strategic,Security Identity and Compliance,Emergency Department,concentration risk
VEND-HCDN-061,Synthetic Healthcare Supplier 061,AMS/IMS,major,Integration and Interoperability,Inpatient,standard review
VEND-HCDN-062,Synthetic Healthcare Supplier 062,SaaS/software,niche,ERP and Corporate Platforms,Surgery,standard review
VEND-HCDN-063,Synthetic Healthcare Supplier 063,AI/document automation,incumbent,Clinical and Epic AMS,Imaging,standard review
VEND-HCDN-064,Synthetic Healthcare Supplier 064,telecom/network,emerging,Payer Platform Operations,Lab,standard review
VEND-HCDN-065,Synthetic Healthcare Supplier 065,cybersecurity,strategic,Data Analytics and AI,Pharmacy,exit sensitive
VEND-HCDN-066,Synthetic Healthcare Supplier 066,identity,major,Revenue Cycle Technology,Oncology,standard review
VEND-HCDN-067,Synthetic Healthcare Supplier 067,interoperability,niche,Cloud Infrastructure and Data Center,Cardiology,standard review
VEND-HCDN-068,Synthetic Healthcare Supplier 068,Epic/clinical platform,incumbent,Workplace and Contact Center,Data and Analytics,standard review
VEND-HCDN-069,Synthetic Healthcare Supplier 069,claims administration,emerging,Security Identity and Compliance,Clinical Analytics,standard review
VEND-HCDN-070,Synthetic Healthcare Supplier 070,PBM/pharmacy,strategic,Integration and Interoperability,Actuarial,concentration risk
VEND-HCDN-071,Synthetic Healthcare Supplier 071,BPO/contact center,major,ERP and Corporate Platforms,Departmental Reporting,standard review
VEND-HCDN-072,Synthetic Healthcare Supplier 072,revenue cycle,niche,Clinical and Epic AMS,AI Transformation,standard review
VEND-HCDN-073,Synthetic Healthcare Supplier 073,prior authorization/UM,incumbent,Payer Platform Operations,Technology,standard review
VEND-HCDN-074,Synthetic Healthcare Supplier 074,quality Stars HEDIS RAF,emerging,Data Analytics and AI,Security,standard review
VEND-HCDN-075,Synthetic Healthcare Supplier 075,payment integrity,strategic,Revenue Cycle Technology,Procurement,standard review
VEND-HCDN-076,Synthetic Healthcare Supplier 076,cloud infrastructure,major,Cloud Infrastructure and Data Center,HR,standard review
VEND-HCDN-077,Synthetic Healthcare Supplier 077,data analytics,niche,Workplace and Contact Center,Supply Chain,standard review
VEND-HCDN-078,Synthetic Healthcare Supplier 078,AMS/IMS,incumbent,Security Identity and Compliance,Privacy,exit sensitive
VEND-HCDN-079,Synthetic Healthcare Supplier 079,SaaS/software,emerging,Integration and Interoperability,Compliance,standard review
VEND-HCDN-080,Synthetic Healthcare Supplier 080,AI/document automation,strategic,ERP and Corporate Platforms,Provider Network,concentration risk
VEND-HCDN-081,Synthetic Healthcare Supplier 081,telecom/network,major,Clinical and Epic AMS,Value-Based Care,standard review
VEND-HCDN-082,Synthetic Healthcare Supplier 082,cybersecurity,niche,Payer Platform Operations,Clinical Operations,standard review
VEND-HCDN-083,Synthetic Healthcare Supplier 083,identity,incumbent,Data Analytics and AI,Revenue Cycle,standard review
VEND-HCDN-084,Synthetic Healthcare Supplier 084,interoperability,emerging,Revenue Cycle Technology,Patient Access,standard review
VEND-HCDN-085,Synthetic Healthcare Supplier 085,Epic/clinical platform,strategic,Cloud Infrastructure and Data Center,Interoperability,standard review
VEND-HCDN-086,Synthetic Healthcare Supplier 086,claims administration,major,Workplace and Contact Center,Population Health,standard review
VEND-HCDN-087,Synthetic Healthcare Supplier 087,PBM/pharmacy,niche,Security Identity and Compliance,Health Plan Operations,standard review
VEND-HCDN-088,Synthetic Healthcare Supplier 088,BPO/contact center,incumbent,Integration and Interoperability,Medicare Advantage,standard review
VEND-HCDN-089,Synthetic Healthcare Supplier 089,revenue cycle,emerging,ERP and Corporate Platforms,Claims Operations,standard review
VEND-HCDN-090,Synthetic Healthcare Supplier 090,prior authorization/UM,strategic,Clinical and Epic AMS,Utilization Management,concentration risk
VEND-HCDN-091,Synthetic Healthcare Supplier 091,quality Stars HEDIS RAF,major,Payer Platform Operations,Member Services,exit sensitive
VEND-HCDN-092,Synthetic Healthcare Supplier 092,payment integrity,niche,Data Analytics and AI,Quality and Stars,standard review
VEND-HCDN-093,Synthetic Healthcare Supplier 093,cloud infrastructure,incumbent,Revenue Cycle Technology,Risk Adjustment,standard review
VEND-HCDN-094,Synthetic Healthcare Supplier 094,data analytics,emerging,Cloud Infrastructure and Data Center,Care Management,standard review
VEND-HCDN-095,Synthetic Healthcare Supplier 095,AMS/IMS,strategic,Workplace and Contact Center,Finance,standard review
VEND-HCDN-096,Synthetic Healthcare Supplier 096,SaaS/software,major,Security Identity and Compliance,Coding,standard review
VEND-HCDN-097,Synthetic Healthcare Supplier 097,AI/document automation,niche,Integration and Interoperability,Payer Contracting,standard review
VEND-HCDN-098,Synthetic Healthcare Supplier 098,telecom/network,incumbent,ERP and Corporate Platforms,Digital Front Door,standard review
VEND-HCDN-099,Synthetic Healthcare Supplier 099,cybersecurity,emerging,Clinical and Epic AMS,Contact Center,standard review
VEND-HCDN-100,Synthetic Healthcare Supplier 100,identity,strategic,Payer Platform Operations,Ambulatory Care,concentration risk
VEND-HCDN-101,Synthetic Healthcare Supplier 101,interoperability,major,Data Analytics and AI,Emergency Department,standard review
VEND-HCDN-102,Synthetic Healthcare Supplier 102,Epic/clinical platform,niche,Revenue Cycle Technology,Inpatient,standard review
VEND-HCDN-103,Synthetic Healthcare Supplier 103,claims administration,incumbent,Cloud Infrastructure and Data Center,Surgery,standard review
VEND-HCDN-104,Synthetic Healthcare Supplier 104,PBM/pharmacy,emerging,Workplace and Contact Center,Imaging,exit sensitive
VEND-HCDN-105,Synthetic Healthcare Supplier 105,BPO/contact center,strategic,Security Identity and Compliance,Lab,standard review
VEND-HCDN-106,Synthetic Healthcare Supplier 106,revenue cycle,major,Integration and Interoperability,Pharmacy,standard review
VEND-HCDN-107,Synthetic Healthcare Supplier 107,prior authorization/UM,niche,ERP and Corporate Platforms,Oncology,standard review
VEND-HCDN-108,Synthetic Healthcare Supplier 108,quality Stars HEDIS RAF,incumbent,Clinical and Epic AMS,Cardiology,standard review
VEND-HCDN-109,Synthetic Healthcare Supplier 109,payment integrity,emerging,Payer Platform Operations,Data and Analytics,standard review
VEND-HCDN-110,Synthetic Healthcare Supplier 110,cloud infrastructure,strategic,Data Analytics and AI,Clinical Analytics,concentration risk
VEND-HCDN-111,Synthetic Healthcare Supplier 111,data analytics,major,Revenue Cycle Technology,Actuarial,standard review
VEND-HCDN-112,Synthetic Healthcare Supplier 112,AMS/IMS,niche,Cloud Infrastructure and Data Center,Departmental Reporting,standard review
VEND-HCDN-113,Synthetic Healthcare Supplier 113,SaaS/software,incumbent,Workplace and Contact Center,AI Transformation,standard review
VEND-HCDN-114,Synthetic Healthcare Supplier 114,AI/document automation,emerging,Security Identity and Compliance,Technology,standard review
VEND-HCDN-115,Synthetic Healthcare Supplier 115,telecom/network,strategic,Integration and Interoperability,Security,standard review
VEND-HCDN-116,Synthetic Healthcare Supplier 116,cybersecurity,major,ERP and Corporate Platforms,Procurement,standard review
VEND-HCDN-117,Synthetic Healthcare Supplier 117,identity,niche,Clinical and Epic AMS,HR,exit sensitive
VEND-HCDN-118,Synthetic Healthcare Supplier 118,interoperability,incumbent,Payer Platform Operations,Supply Chain,standard review
VEND-HCDN-119,Synthetic Healthcare Supplier 119,Epic/clinical platform,emerging,Data Analytics and AI,Privacy,standard review
VEND-HCDN-120,Synthetic Healthcare Supplier 120,claims administration,strategic,Revenue Cycle Technology,Compliance,concentration risk
VEND-HCDN-121,Synthetic Healthcare Supplier 121,PBM/pharmacy,major,Cloud Infrastructure and Data Center,Provider Network,standard review
VEND-HCDN-122,Synthetic Healthcare Supplier 122,BPO/contact center,niche,Workplace and Contact Center,Value-Based Care,standard review
VEND-HCDN-123,Synthetic Healthcare Supplier 123,revenue cycle,incumbent,Security Identity and Compliance,Clinical Operations,standard review
VEND-HCDN-124,Synthetic Healthcare Supplier 124,prior authorization/UM,emerging,Integration and Interoperability,Revenue Cycle,standard review
VEND-HCDN-125,Synthetic Healthcare Supplier 125,quality Stars HEDIS RAF,strategic,ERP and Corporate Platforms,Patient Access,standard review
VEND-HCDN-126,Synthetic Healthcare Supplier 126,payment integrity,major,Clinical and Epic AMS,Interoperability,standard review
VEND-HCDN-127,Synthetic Healthcare Supplier 127,cloud infrastructure,niche,Payer Platform Operations,Population Health,standard review
VEND-HCDN-128,Synthetic Healthcare Supplier 128,data analytics,incumbent,Data Analytics and AI,Health Plan Operations,standard review
VEND-HCDN-129,Synthetic Healthcare Supplier 129,AMS/IMS,emerging,Revenue Cycle Technology,Medicare Advantage,standard review
VEND-HCDN-130,Synthetic Healthcare Supplier 130,SaaS/software,strategic,Cloud Infrastructure and Data Center,Claims Operations,concentration risk
VEND-HCDN-131,Synthetic Healthcare Supplier 131,AI/document automation,major,Workplace and Contact Center,Utilization Management,standard review
VEND-HCDN-132,Synthetic Healthcare Supplier 132,telecom/network,niche,Security Identity and Compliance,Member Services,standard review
VEND-HCDN-133,Synthetic Healthcare Supplier 133,cybersecurity,incumbent,Integration and Interoperability,Quality and Stars,standard review
VEND-HCDN-134,Synthetic Healthcare Supplier 134,identity,emerging,ERP and Corporate Platforms,Risk Adjustment,standard review
VEND-HCDN-135,Synthetic Healthcare Supplier 135,interoperability,strategic,Clinical and Epic AMS,Care Management,standard review
VEND-HCDN-136,Synthetic Healthcare Supplier 136,Epic/clinical platform,major,Payer Platform Operations,Finance,standard review
VEND-HCDN-137,Synthetic Healthcare Supplier 137,claims administration,niche,Data Analytics and AI,Coding,standard review
VEND-HCDN-138,Synthetic Healthcare Supplier 138,PBM/pharmacy,incumbent,Revenue Cycle Technology,Payer Contracting,standard review
VEND-HCDN-139,Synthetic Healthcare Supplier 139,BPO/contact center,emerging,Cloud Infrastructure and Data Center,Digital Front Door,standard review
VEND-HCDN-140,Synthetic Healthcare Supplier 140,revenue cycle,strategic,Workplace and Contact Center,Contact Center,concentration risk
VEND-HCDN-141,Synthetic Healthcare Supplier 141,prior authorization/UM,major,Security Identity and Compliance,Ambulatory Care,standard review
VEND-HCDN-142,Synthetic Healthcare Supplier 142,quality Stars HEDIS RAF,niche,Integration and Interoperability,Emergency Department,standard review
VEND-HCDN-143,Synthetic Healthcare Supplier 143,payment integrity,incumbent,ERP and Corporate Platforms,Inpatient,exit sensitive
VEND-HCDN-144,Synthetic Healthcare Supplier 144,cloud infrastructure,emerging,Clinical and Epic AMS,Surgery,standard review
VEND-HCDN-145,Synthetic Healthcare Supplier 145,data analytics,strategic,Payer Platform Operations,Imaging,standard review
VEND-HCDN-146,Synthetic Healthcare Supplier 146,AMS/IMS,major,Data Analytics and AI,Lab,standard review
VEND-HCDN-147,Synthetic Healthcare Supplier 147,SaaS/software,niche,Revenue Cycle Technology,Pharmacy,standard review
VEND-HCDN-148,Synthetic Healthcare Supplier 148,AI/document automation,incumbent,Cloud Infrastructure and Data Center,Oncology,standard review
VEND-HCDN-149,Synthetic Healthcare Supplier 149,telecom/network,emerging,Workplace and Contact Center,Cardiology,standard review
VEND-HCDN-150,Synthetic Healthcare Supplier 150,cybersecurity,strategic,Security Identity and Compliance,Data and Analytics,concentration risk
VEND-HCDN-151,Synthetic Healthcare Supplier 151,identity,major,Integration and Interoperability,Clinical Analytics,standard review
VEND-HCDN-152,Synthetic Healthcare Supplier 152,interoperability,niche,ERP and Corporate Platforms,Actuarial,standard review
VEND-HCDN-153,Synthetic Healthcare Supplier 153,Epic/clinical platform,incumbent,Clinical and Epic AMS,Departmental Reporting,standard review
VEND-HCDN-154,Synthetic Healthcare Supplier 154,claims administration,emerging,Payer Platform Operations,AI Transformation,standard review
VEND-HCDN-155,Synthetic Healthcare Supplier 155,PBM/pharmacy,strategic,Data Analytics and AI,Technology,standard review
VEND-HCDN-156,Synthetic Healthcare Supplier 156,BPO/contact center,major,Revenue Cycle Technology,Security,exit sensitive
VEND-HCDN-157,Synthetic Healthcare Supplier 157,revenue cycle,niche,Cloud Infrastructure and Data Center,Procurement,standard review
VEND-HCDN-158,Synthetic Healthcare Supplier 158,prior authorization/UM,incumbent,Workplace and Contact Center,HR,standard review
VEND-HCDN-159,Synthetic Healthcare Supplier 159,quality Stars HEDIS RAF,emerging,Security Identity and Compliance,Supply Chain,standard review
VEND-HCDN-160,Synthetic Healthcare Supplier 160,payment integrity,strategic,Integration and Interoperability,Privacy,concentration risk
VEND-HCDN-161,Synthetic Healthcare Supplier 161,cloud infrastructure,major,ERP and Corporate Platforms,Compliance,standard review
VEND-HCDN-162,Synthetic Healthcare Supplier 162,data analytics,niche,Clinical and Epic AMS,Provider Network,standard review
VEND-HCDN-163,Synthetic Healthcare Supplier 163,AMS/IMS,incumbent,Payer Platform Operations,Value-Based Care,standard review
VEND-HCDN-164,Synthetic Healthcare Supplier 164,SaaS/software,emerging,Data Analytics and AI,Clinical Operations,standard review
VEND-HCDN-165,Synthetic Healthcare Supplier 165,AI/document automation,strategic,Revenue Cycle Technology,Revenue Cycle,standard review
VEND-HCDN-166,Synthetic Healthcare Supplier 166,telecom/network,major,Cloud Infrastructure and Data Center,Patient Access,standard review
VEND-HCDN-167,Synthetic Healthcare Supplier 167,cybersecurity,niche,Workplace and Contact Center,Interoperability,standard review
VEND-HCDN-168,Synthetic Healthcare Supplier 168,identity,incumbent,Security Identity and Compliance,Population Health,standard review
VEND-HCDN-169,Synthetic Healthcare Supplier 169,interoperability,emerging,Integration and Interoperability,Health Plan Operations,exit sensitive
VEND-HCDN-170,Synthetic Healthcare Supplier 170,Epic/clinical platform,strategic,ERP and Corporate Platforms,Medicare Advantage,concentration risk
VEND-HCDN-171,Synthetic Healthcare Supplier 171,claims administration,major,Clinical and Epic AMS,Claims Operations,standard review
VEND-HCDN-172,Synthetic Healthcare Supplier 172,PBM/pharmacy,niche,Payer Platform Operations,Utilization Management,standard review
VEND-HCDN-173,Synthetic Healthcare Supplier 173,BPO/contact center,incumbent,Data Analytics and AI,Member Services,standard review
VEND-HCDN-174,Synthetic Healthcare Supplier 174,revenue cycle,emerging,Revenue Cycle Technology,Quality and Stars,standard review
VEND-HCDN-175,Synthetic Healthcare Supplier 175,prior authorization/UM,strategic,Cloud Infrastructure and Data Center,Risk Adjustment,standard review
VEND-HCDN-176,Synthetic Healthcare Supplier 176,quality Stars HEDIS RAF,major,Workplace and Contact Center,Care Management,standard review
VEND-HCDN-177,Synthetic Healthcare Supplier 177,payment integrity,niche,Security Identity and Compliance,Finance,standard review
VEND-HCDN-178,Synthetic Healthcare Supplier 178,cloud infrastructure,incumbent,Integration and Interoperability,Coding,standard review
VEND-HCDN-179,Synthetic Healthcare Supplier 179,data analytics,emerging,ERP and Corporate Platforms,Payer Contracting,standard review
VEND-HCDN-180,Synthetic Healthcare Supplier 180,AMS/IMS,strategic,Clinical and Epic AMS,Digital Front Door,concentration risk
VEND-HCDN-181,Synthetic Healthcare Supplier 181,SaaS/software,major,Payer Platform Operations,Contact Center,standard review
VEND-HCDN-182,Synthetic Healthcare Supplier 182,AI/document automation,niche,Data Analytics and AI,Ambulatory Care,exit sensitive
VEND-HCDN-183,Synthetic Healthcare Supplier 183,telecom/network,incumbent,Revenue Cycle Technology,Emergency Department,standard review
VEND-HCDN-184,Synthetic Healthcare Supplier 184,cybersecurity,emerging,Cloud Infrastructure and Data Center,Inpatient,standard review
VEND-HCDN-185,Synthetic Healthcare Supplier 185,identity,strategic,Workplace and Contact Center,Surgery,standard review
VEND-HCDN-186,Synthetic Healthcare Supplier 186,interoperability,major,Security Identity and Compliance,Imaging,standard review
VEND-HCDN-187,Synthetic Healthcare Supplier 187,Epic/clinical platform,niche,Integration and Interoperability,Lab,standard review
VEND-HCDN-188,Synthetic Healthcare Supplier 188,claims administration,incumbent,ERP and Corporate Platforms,Pharmacy,standard review
VEND-HCDN-189,Synthetic Healthcare Supplier 189,PBM/pharmacy,emerging,Clinical and Epic AMS,Oncology,standard review
VEND-HCDN-190,Synthetic Healthcare Supplier 190,BPO/contact center,strategic,Payer Platform Operations,Cardiology,concentration risk
VEND-HCDN-191,Synthetic Healthcare Supplier 191,revenue cycle,major,Data Analytics and AI,Data and Analytics,standard review
VEND-HCDN-192,Synthetic Healthcare Supplier 192,prior authorization/UM,niche,Revenue Cycle Technology,Clinical Analytics,standard review
VEND-HCDN-193,Synthetic Healthcare Supplier 193,quality Stars HEDIS RAF,incumbent,Cloud Infrastructure and Data Center,Actuarial,standard review
VEND-HCDN-194,Synthetic Healthcare Supplier 194,payment integrity,emerging,Workplace and Contact Center,Departmental Reporting,standard review
VEND-HCDN-195,Synthetic Healthcare Supplier 195,cloud infrastructure,strategic,Security Identity and Compliance,AI Transformation,exit sensitive
VEND-HCDN-196,Synthetic Healthcare Supplier 196,data analytics,major,Integration and Interoperability,Technology,standard review
VEND-HCDN-197,Synthetic Healthcare Supplier 197,AMS/IMS,niche,ERP and Corporate Platforms,Security,standard review
VEND-HCDN-198,Synthetic Healthcare Supplier 198,SaaS/software,incumbent,Clinical and Epic AMS,Procurement,standard review
VEND-HCDN-199,Synthetic Healthcare Supplier 199,AI/document automation,emerging,Payer Platform Operations,HR,standard review
VEND-HCDN-200,Synthetic Healthcare Supplier 200,telecom/network,strategic,Data Analytics and AI,Supply Chain,concentration risk
VEND-HCDN-201,Synthetic Healthcare Supplier 201,cybersecurity,major,Revenue Cycle Technology,Privacy,standard review
VEND-HCDN-202,Synthetic Healthcare Supplier 202,identity,niche,Cloud Infrastructure and Data Center,Compliance,standard review
VEND-HCDN-203,Synthetic Healthcare Supplier 203,interoperability,incumbent,Workplace and Contact Center,Provider Network,standard review
VEND-HCDN-204,Synthetic Healthcare Supplier 204,Epic/clinical platform,emerging,Security Identity and Compliance,Value-Based Care,standard review
VEND-HCDN-205,Synthetic Healthcare Supplier 205,claims administration,strategic,Integration and Interoperability,Clinical Operations,standard review
VEND-HCDN-206,Synthetic Healthcare Supplier 206,PBM/pharmacy,major,ERP and Corporate Platforms,Revenue Cycle,standard review
VEND-HCDN-207,Synthetic Healthcare Supplier 207,BPO/contact center,niche,Clinical and Epic AMS,Patient Access,standard review
VEND-HCDN-208,Synthetic Healthcare Supplier 208,revenue cycle,incumbent,Payer Platform Operations,Interoperability,exit sensitive
VEND-HCDN-209,Synthetic Healthcare Supplier 209,prior authorization/UM,emerging,Data Analytics and AI,Population Health,standard review
VEND-HCDN-210,Synthetic Healthcare Supplier 210,quality Stars HEDIS RAF,strategic,Revenue Cycle Technology,Health Plan Operations,concentration risk
VEND-HCDN-211,Synthetic Healthcare Supplier 211,payment integrity,major,Cloud Infrastructure and Data Center,Medicare Advantage,standard review
VEND-HCDN-212,Synthetic Healthcare Supplier 212,cloud infrastructure,niche,Workplace and Contact Center,Claims Operations,standard review
VEND-HCDN-213,Synthetic Healthcare Supplier 213,data analytics,incumbent,Security Identity and Compliance,Utilization Management,standard review
VEND-HCDN-214,Synthetic Healthcare Supplier 214,AMS/IMS,emerging,Integration and Interoperability,Member Services,standard review
VEND-HCDN-215,Synthetic Healthcare Supplier 215,SaaS/software,strategic,ERP and Corporate Platforms,Quality and Stars,standard review
VEND-HCDN-216,Synthetic Healthcare Supplier 216,AI/document automation,major,Clinical and Epic AMS,Risk Adjustment,standard review
VEND-HCDN-217,Synthetic Healthcare Supplier 217,telecom/network,niche,Payer Platform Operations,Care Management,standard review
VEND-HCDN-218,Synthetic Healthcare Supplier 218,cybersecurity,incumbent,Data Analytics and AI,Finance,standard review
VEND-HCDN-219,Synthetic Healthcare Supplier 219,identity,emerging,Revenue Cycle Technology,Coding,standard review
VEND-HCDN-220,Synthetic Healthcare Supplier 220,interoperability,strategic,Cloud Infrastructure and Data Center,Payer Contracting,concentration risk
VEND-HCDN-221,Synthetic Healthcare Supplier 221,Epic/clinical platform,major,Workplace and Contact Center,Digital Front Door,exit sensitive
VEND-HCDN-222,Synthetic Healthcare Supplier 222,claims administration,niche,Security Identity and Compliance,Contact Center,standard review
VEND-HCDN-223,Synthetic Healthcare Supplier 223,PBM/pharmacy,incumbent,Integration and Interoperability,Ambulatory Care,standard review
VEND-HCDN-224,Synthetic Healthcare Supplier 224,BPO/contact center,emerging,ERP and Corporate Platforms,Emergency Department,standard review
VEND-HCDN-225,Synthetic Healthcare Supplier 225,revenue cycle,strategic,Clinical and Epic AMS,Inpatient,standard review
VEND-HCDN-226,Synthetic Healthcare Supplier 226,prior authorization/UM,major,Payer Platform Operations,Surgery,standard review
