incident_id,lot_id,service_tower,incident_type,affected_domain,status,source_id
INC-HCDN-LOT-HCDN-02-009,LOT-HCDN-02,Payer Platform Operations,security event,contact center,closed,SRC-HCDN-ITSM-009
INC-HCDN-LOT-HCDN-02-010,LOT-HCDN-02,Payer Platform Operations,P1 incident,cloud,recurring,SRC-HCDN-ITSM-010
INC-HCDN-LOT-HCDN-02-011,LOT-HCDN-02,Payer Platform Operations,P2 incident,network,root cause pending,SRC-HCDN-ITSM-011
INC-HCDN-LOT-HCDN-02-012,LOT-HCDN-02,Payer Platform Operations,major problem,Epic,open,SRC-HCDN-ITSM-012
INC-HCDN-LOT-HCDN-02-013,LOT-HCDN-02,Payer Platform Operations,service request backlog,claims,closed,SRC-HCDN-ITSM-013
INC-HCDN-LOT-HCDN-02-014,LOT-HCDN-02,Payer Platform Operations,security event,SQL/EDW,recurring,SRC-HCDN-ITSM-014
INC-HCDN-LOT-HCDN-02-015,LOT-HCDN-02,Payer Platform Operations,P1 incident,contact center,root cause pending,SRC-HCDN-ITSM-015
INC-HCDN-LOT-HCDN-02-016,LOT-HCDN-02,Payer Platform Operations,P2 incident,cloud,open,SRC-HCDN-ITSM-016
INC-HCDN-LOT-HCDN-02-017,LOT-HCDN-02,Payer Platform Operations,major problem,network,closed,SRC-HCDN-ITSM-017
INC-HCDN-LOT-HCDN-02-018,LOT-HCDN-02,Payer Platform Operations,service request backlog,Epic,recurring,SRC-HCDN-ITSM-018
INC-HCDN-LOT-HCDN-02-019,LOT-HCDN-02,Payer Platform Operations,security event,claims,root cause pending,SRC-HCDN-ITSM-019
INC-HCDN-LOT-HCDN-02-020,LOT-HCDN-02,Payer Platform Operations,P1 incident,SQL/EDW,open,SRC-HCDN-ITSM-020
INC-HCDN-LOT-HCDN-02-021,LOT-HCDN-02,Payer Platform Operations,P2 incident,contact center,closed,SRC-HCDN-ITSM-021
INC-HCDN-LOT-HCDN-02-022,LOT-HCDN-02,Payer Platform Operations,major problem,cloud,recurring,SRC-HCDN-ITSM-022
INC-HCDN-LOT-HCDN-02-023,LOT-HCDN-02,Payer Platform Operations,service request backlog,network,root cause pending,SRC-HCDN-ITSM-023
INC-HCDN-LOT-HCDN-02-024,LOT-HCDN-02,Payer Platform Operations,security event,Epic,open,SRC-HCDN-ITSM-024
INC-HCDN-LOT-HCDN-03-001,LOT-HCDN-03,Data Analytics and AI,P2 incident,claims,closed,SRC-HCDN-ITSM-001
INC-HCDN-LOT-HCDN-03-002,LOT-HCDN-03,Data Analytics and AI,major problem,SQL/EDW,recurring,SRC-HCDN-ITSM-002
INC-HCDN-LOT-HCDN-03-003,LOT-HCDN-03,Data Analytics and AI,service request backlog,contact center,root cause pending,SRC-HCDN-ITSM-003
INC-HCDN-LOT-HCDN-03-004,LOT-HCDN-03,Data Analytics and AI,security event,cloud,open,SRC-HCDN-ITSM-004
INC-HCDN-LOT-HCDN-03-005,LOT-HCDN-03,Data Analytics and AI,P1 incident,network,closed,SRC-HCDN-ITSM-005
INC-HCDN-LOT-HCDN-03-006,LOT-HCDN-03,Data Analytics and AI,P2 incident,Epic,recurring,SRC-HCDN-ITSM-006
INC-HCDN-LOT-HCDN-03-007,LOT-HCDN-03,Data Analytics and AI,major problem,claims,root cause pending,SRC-HCDN-ITSM-007
INC-HCDN-LOT-HCDN-03-008,LOT-HCDN-03,Data Analytics and AI,service request backlog,SQL/EDW,open,SRC-HCDN-ITSM-008
INC-HCDN-LOT-HCDN-03-009,LOT-HCDN-03,Data Analytics and AI,security event,contact center,closed,SRC-HCDN-ITSM-009
INC-HCDN-LOT-HCDN-03-010,LOT-HCDN-03,Data Analytics and AI,P1 incident,cloud,recurring,SRC-HCDN-ITSM-010
INC-HCDN-LOT-HCDN-03-011,LOT-HCDN-03,Data Analytics and AI,P2 incident,network,root cause pending,SRC-HCDN-ITSM-011
INC-HCDN-LOT-HCDN-03-012,LOT-HCDN-03,Data Analytics and AI,major problem,Epic,open,SRC-HCDN-ITSM-012
INC-HCDN-LOT-HCDN-03-013,LOT-HCDN-03,Data Analytics and AI,service request backlog,claims,closed,SRC-HCDN-ITSM-013
INC-HCDN-LOT-HCDN-03-014,LOT-HCDN-03,Data Analytics and AI,security event,SQL/EDW,recurring,SRC-HCDN-ITSM-014
INC-HCDN-LOT-HCDN-03-015,LOT-HCDN-03,Data Analytics and AI,P1 incident,contact center,root cause pending,SRC-HCDN-ITSM-015
INC-HCDN-LOT-HCDN-03-016,LOT-HCDN-03,Data Analytics and AI,P2 incident,cloud,open,SRC-HCDN-ITSM-016
INC-HCDN-LOT-HCDN-03-017,LOT-HCDN-03,Data Analytics and AI,major problem,network,closed,SRC-HCDN-ITSM-017
INC-HCDN-LOT-HCDN-03-018,LOT-HCDN-03,Data Analytics and AI,service request backlog,Epic,recurring,SRC-HCDN-ITSM-018
INC-HCDN-LOT-HCDN-03-019,LOT-HCDN-03,Data Analytics and AI,security event,claims,root cause pending,SRC-HCDN-ITSM-019
INC-HCDN-LOT-HCDN-03-020,LOT-HCDN-03,Data Analytics and AI,P1 incident,SQL/EDW,open,SRC-HCDN-ITSM-020
INC-HCDN-LOT-HCDN-03-021,LOT-HCDN-03,Data Analytics and AI,P2 incident,contact center,closed,SRC-HCDN-ITSM-021
INC-HCDN-LOT-HCDN-03-022,LOT-HCDN-03,Data Analytics and AI,major problem,cloud,recurring,SRC-HCDN-ITSM-022
INC-HCDN-LOT-HCDN-03-023,LOT-HCDN-03,Data Analytics and AI,service request backlog,network,root cause pending,SRC-HCDN-ITSM-023
INC-HCDN-LOT-HCDN-03-024,LOT-HCDN-03,Data Analytics and AI,security event,Epic,open,SRC-HCDN-ITSM-024
INC-HCDN-LOT-HCDN-04-001,LOT-HCDN-04,Revenue Cycle Technology,P2 incident,claims,closed,SRC-HCDN-ITSM-001
INC-HCDN-LOT-HCDN-04-002,LOT-HCDN-04,Revenue Cycle Technology,major problem,SQL/EDW,recurring,SRC-HCDN-ITSM-002
INC-HCDN-LOT-HCDN-04-003,LOT-HCDN-04,Revenue Cycle Technology,service request backlog,contact center,root cause pending,SRC-HCDN-ITSM-003
INC-HCDN-LOT-HCDN-04-004,LOT-HCDN-04,Revenue Cycle Technology,security event,cloud,open,SRC-HCDN-ITSM-004
INC-HCDN-LOT-HCDN-04-005,LOT-HCDN-04,Revenue Cycle Technology,P1 incident,network,closed,SRC-HCDN-ITSM-005
INC-HCDN-LOT-HCDN-04-006,LOT-HCDN-04,Revenue Cycle Technology,P2 incident,Epic,recurring,SRC-HCDN-ITSM-006
INC-HCDN-LOT-HCDN-04-007,LOT-HCDN-04,Revenue Cycle Technology,major problem,claims,root cause pending,SRC-HCDN-ITSM-007
INC-HCDN-LOT-HCDN-04-008,LOT-HCDN-04,Revenue Cycle Technology,service request backlog,SQL/EDW,open,SRC-HCDN-ITSM-008
INC-HCDN-LOT-HCDN-04-009,LOT-HCDN-04,Revenue Cycle Technology,security event,contact center,closed,SRC-HCDN-ITSM-009
INC-HCDN-LOT-HCDN-04-010,LOT-HCDN-04,Revenue Cycle Technology,P1 incident,cloud,recurring,SRC-HCDN-ITSM-010
INC-HCDN-LOT-HCDN-04-011,LOT-HCDN-04,Revenue Cycle Technology,P2 incident,network,root cause pending,SRC-HCDN-ITSM-011
INC-HCDN-LOT-HCDN-04-012,LOT-HCDN-04,Revenue Cycle Technology,major problem,Epic,open,SRC-HCDN-ITSM-012
INC-HCDN-LOT-HCDN-04-013,LOT-HCDN-04,Revenue Cycle Technology,service request backlog,claims,closed,SRC-HCDN-ITSM-013
INC-HCDN-LOT-HCDN-04-014,LOT-HCDN-04,Revenue Cycle Technology,security event,SQL/EDW,recurring,SRC-HCDN-ITSM-014
INC-HCDN-LOT-HCDN-04-015,LOT-HCDN-04,Revenue Cycle Technology,P1 incident,contact center,root cause pending,SRC-HCDN-ITSM-015
INC-HCDN-LOT-HCDN-04-016,LOT-HCDN-04,Revenue Cycle Technology,P2 incident,cloud,open,SRC-HCDN-ITSM-016
INC-HCDN-LOT-HCDN-04-017,LOT-HCDN-04,Revenue Cycle Technology,major problem,network,closed,SRC-HCDN-ITSM-017
INC-HCDN-LOT-HCDN-04-018,LOT-HCDN-04,Revenue Cycle Technology,service request backlog,Epic,recurring,SRC-HCDN-ITSM-018
INC-HCDN-LOT-HCDN-04-019,LOT-HCDN-04,Revenue Cycle Technology,security event,claims,root cause pending,SRC-HCDN-ITSM-019
INC-HCDN-LOT-HCDN-04-020,LOT-HCDN-04,Revenue Cycle Technology,P1 incident,SQL/EDW,open,SRC-HCDN-ITSM-020
INC-HCDN-LOT-HCDN-04-021,LOT-HCDN-04,Revenue Cycle Technology,P2 incident,contact center,closed,SRC-HCDN-ITSM-021
INC-HCDN-LOT-HCDN-04-022,LOT-HCDN-04,Revenue Cycle Technology,major problem,cloud,recurring,SRC-HCDN-ITSM-022
INC-HCDN-LOT-HCDN-04-023,LOT-HCDN-04,Revenue Cycle Technology,service request backlog,network,root cause pending,SRC-HCDN-ITSM-023
INC-HCDN-LOT-HCDN-04-024,LOT-HCDN-04,Revenue Cycle Technology,security event,Epic,open,SRC-HCDN-ITSM-024
INC-HCDN-LOT-HCDN-05-001,LOT-HCDN-05,Cloud Infrastructure and Data Center,P2 incident,claims,closed,SRC-HCDN-ITSM-001
INC-HCDN-LOT-HCDN-05-002,LOT-HCDN-05,Cloud Infrastructure and Data Center,major problem,SQL/EDW,recurring,SRC-HCDN-ITSM-002
INC-HCDN-LOT-HCDN-05-003,LOT-HCDN-05,Cloud Infrastructure and Data Center,service request backlog,contact center,root cause pending,SRC-HCDN-ITSM-003
INC-HCDN-LOT-HCDN-05-004,LOT-HCDN-05,Cloud Infrastructure and Data Center,security event,cloud,open,SRC-HCDN-ITSM-004
INC-HCDN-LOT-HCDN-05-005,LOT-HCDN-05,Cloud Infrastructure and Data Center,P1 incident,network,closed,SRC-HCDN-ITSM-005
INC-HCDN-LOT-HCDN-05-006,LOT-HCDN-05,Cloud Infrastructure and Data Center,P2 incident,Epic,recurring,SRC-HCDN-ITSM-006
INC-HCDN-LOT-HCDN-05-007,LOT-HCDN-05,Cloud Infrastructure and Data Center,major problem,claims,root cause pending,SRC-HCDN-ITSM-007
INC-HCDN-LOT-HCDN-05-008,LOT-HCDN-05,Cloud Infrastructure and Data Center,service request backlog,SQL/EDW,open,SRC-HCDN-ITSM-008
INC-HCDN-LOT-HCDN-05-009,LOT-HCDN-05,Cloud Infrastructure and Data Center,security event,contact center,closed,SRC-HCDN-ITSM-009
INC-HCDN-LOT-HCDN-05-010,LOT-HCDN-05,Cloud Infrastructure and Data Center,P1 incident,cloud,recurring,SRC-HCDN-ITSM-010
INC-HCDN-LOT-HCDN-05-011,LOT-HCDN-05,Cloud Infrastructure and Data Center,P2 incident,network,root cause pending,SRC-HCDN-ITSM-011
INC-HCDN-LOT-HCDN-05-012,LOT-HCDN-05,Cloud Infrastructure and Data Center,major problem,Epic,open,SRC-HCDN-ITSM-012
INC-HCDN-LOT-HCDN-05-013,LOT-HCDN-05,Cloud Infrastructure and Data Center,service request backlog,claims,closed,SRC-HCDN-ITSM-013
INC-HCDN-LOT-HCDN-05-014,LOT-HCDN-05,Cloud Infrastructure and Data Center,security event,SQL/EDW,recurring,SRC-HCDN-ITSM-014
INC-HCDN-LOT-HCDN-05-015,LOT-HCDN-05,Cloud Infrastructure and Data Center,P1 incident,contact center,root cause pending,SRC-HCDN-ITSM-015
INC-HCDN-LOT-HCDN-05-016,LOT-HCDN-05,Cloud Infrastructure and Data Center,P2 incident,cloud,open,SRC-HCDN-ITSM-016
INC-HCDN-LOT-HCDN-05-017,LOT-HCDN-05,Cloud Infrastructure and Data Center,major problem,network,closed,SRC-HCDN-ITSM-017
INC-HCDN-LOT-HCDN-05-018,LOT-HCDN-05,Cloud Infrastructure and Data Center,service request backlog,Epic,recurring,SRC-HCDN-ITSM-018
INC-HCDN-LOT-HCDN-05-019,LOT-HCDN-05,Cloud Infrastructure and Data Center,security event,claims,root cause pending,SRC-HCDN-ITSM-019
INC-HCDN-LOT-HCDN-05-020,LOT-HCDN-05,Cloud Infrastructure and Data Center,P1 incident,SQL/EDW,open,SRC-HCDN-ITSM-020
INC-HCDN-LOT-HCDN-05-021,LOT-HCDN-05,Cloud Infrastructure and Data Center,P2 incident,contact center,closed,SRC-HCDN-ITSM-021
INC-HCDN-LOT-HCDN-05-022,LOT-HCDN-05,Cloud Infrastructure and Data Center,major problem,cloud,recurring,SRC-HCDN-ITSM-022
INC-HCDN-LOT-HCDN-05-023,LOT-HCDN-05,Cloud Infrastructure and Data Center,service request backlog,network,root cause pending,SRC-HCDN-ITSM-023
INC-HCDN-LOT-HCDN-05-024,LOT-HCDN-05,Cloud Infrastructure and Data Center,security event,Epic,open,SRC-HCDN-ITSM-024
INC-HCDN-LOT-HCDN-06-001,LOT-HCDN-06,Workplace and Contact Center,P2 incident,claims,closed,SRC-HCDN-ITSM-001
INC-HCDN-LOT-HCDN-06-002,LOT-HCDN-06,Workplace and Contact Center,major problem,SQL/EDW,recurring,SRC-HCDN-ITSM-002
INC-HCDN-LOT-HCDN-06-003,LOT-HCDN-06,Workplace and Contact Center,service request backlog,contact center,root cause pending,SRC-HCDN-ITSM-003
INC-HCDN-LOT-HCDN-06-004,LOT-HCDN-06,Workplace and Contact Center,security event,cloud,open,SRC-HCDN-ITSM-004
INC-HCDN-LOT-HCDN-06-005,LOT-HCDN-06,Workplace and Contact Center,P1 incident,network,closed,SRC-HCDN-ITSM-005
INC-HCDN-LOT-HCDN-06-006,LOT-HCDN-06,Workplace and Contact Center,P2 incident,Epic,recurring,SRC-HCDN-ITSM-006
INC-HCDN-LOT-HCDN-06-007,LOT-HCDN-06,Workplace and Contact Center,major problem,claims,root cause pending,SRC-HCDN-ITSM-007
INC-HCDN-LOT-HCDN-06-008,LOT-HCDN-06,Workplace and Contact Center,service request backlog,SQL/EDW,open,SRC-HCDN-ITSM-008
INC-HCDN-LOT-HCDN-06-009,LOT-HCDN-06,Workplace and Contact Center,security event,contact center,closed,SRC-HCDN-ITSM-009
INC-HCDN-LOT-HCDN-06-010,LOT-HCDN-06,Workplace and Contact Center,P1 incident,cloud,recurring,SRC-HCDN-ITSM-010
INC-HCDN-LOT-HCDN-06-011,LOT-HCDN-06,Workplace and Contact Center,P2 incident,network,root cause pending,SRC-HCDN-ITSM-011
INC-HCDN-LOT-HCDN-06-012,LOT-HCDN-06,Workplace and Contact Center,major problem,Epic,open,SRC-HCDN-ITSM-012
INC-HCDN-LOT-HCDN-06-013,LOT-HCDN-06,Workplace and Contact Center,service request backlog,claims,closed,SRC-HCDN-ITSM-013
INC-HCDN-LOT-HCDN-06-014,LOT-HCDN-06,Workplace and Contact Center,security event,SQL/EDW,recurring,SRC-HCDN-ITSM-014
INC-HCDN-LOT-HCDN-06-015,LOT-HCDN-06,Workplace and Contact Center,P1 incident,contact center,root cause pending,SRC-HCDN-ITSM-015
INC-HCDN-LOT-HCDN-06-016,LOT-HCDN-06,Workplace and Contact Center,P2 incident,cloud,open,SRC-HCDN-ITSM-016
INC-HCDN-LOT-HCDN-06-017,LOT-HCDN-06,Workplace and Contact Center,major problem,network,closed,SRC-HCDN-ITSM-017
INC-HCDN-LOT-HCDN-06-018,LOT-HCDN-06,Workplace and Contact Center,service request backlog,Epic,recurring,SRC-HCDN-ITSM-018
INC-HCDN-LOT-HCDN-06-019,LOT-HCDN-06,Workplace and Contact Center,security event,claims,root cause pending,SRC-HCDN-ITSM-019
INC-HCDN-LOT-HCDN-06-020,LOT-HCDN-06,Workplace and Contact Center,P1 incident,SQL/EDW,open,SRC-HCDN-ITSM-020
INC-HCDN-LOT-HCDN-06-021,LOT-HCDN-06,Workplace and Contact Center,P2 incident,contact center,closed,SRC-HCDN-ITSM-021
INC-HCDN-LOT-HCDN-06-022,LOT-HCDN-06,Workplace and Contact Center,major problem,cloud,recurring,SRC-HCDN-ITSM-022
INC-HCDN-LOT-HCDN-06-023,LOT-HCDN-06,Workplace and Contact Center,service request backlog,network,root cause pending,SRC-HCDN-ITSM-023
INC-HCDN-LOT-HCDN-06-024,LOT-HCDN-06,Workplace and Contact Center,security event,Epic,open,SRC-HCDN-ITSM-024
INC-HCDN-LOT-HCDN-07-001,LOT-HCDN-07,Security Identity and Compliance,P2 incident,claims,closed,SRC-HCDN-ITSM-001
INC-HCDN-LOT-HCDN-07-002,LOT-HCDN-07,Security Identity and Compliance,major problem,SQL/EDW,recurring,SRC-HCDN-ITSM-002
INC-HCDN-LOT-HCDN-07-003,LOT-HCDN-07,Security Identity and Compliance,service request backlog,contact center,root cause pending,SRC-HCDN-ITSM-003
INC-HCDN-LOT-HCDN-07-004,LOT-HCDN-07,Security Identity and Compliance,security event,cloud,open,SRC-HCDN-ITSM-004
INC-HCDN-LOT-HCDN-07-005,LOT-HCDN-07,Security Identity and Compliance,P1 incident,network,closed,SRC-HCDN-ITSM-005
INC-HCDN-LOT-HCDN-07-006,LOT-HCDN-07,Security Identity and Compliance,P2 incident,Epic,recurring,SRC-HCDN-ITSM-006
INC-HCDN-LOT-HCDN-07-007,LOT-HCDN-07,Security Identity and Compliance,major problem,claims,root cause pending,SRC-HCDN-ITSM-007
INC-HCDN-LOT-HCDN-07-008,LOT-HCDN-07,Security Identity and Compliance,service request backlog,SQL/EDW,open,SRC-HCDN-ITSM-008
INC-HCDN-LOT-HCDN-07-009,LOT-HCDN-07,Security Identity and Compliance,security event,contact center,closed,SRC-HCDN-ITSM-009
INC-HCDN-LOT-HCDN-07-010,LOT-HCDN-07,Security Identity and Compliance,P1 incident,cloud,recurring,SRC-HCDN-ITSM-010
INC-HCDN-LOT-HCDN-07-011,LOT-HCDN-07,Security Identity and Compliance,P2 incident,network,root cause pending,SRC-HCDN-ITSM-011
INC-HCDN-LOT-HCDN-07-012,LOT-HCDN-07,Security Identity and Compliance,major problem,Epic,open,SRC-HCDN-ITSM-012
INC-HCDN-LOT-HCDN-07-013,LOT-HCDN-07,Security Identity and Compliance,service request backlog,claims,closed,SRC-HCDN-ITSM-013
INC-HCDN-LOT-HCDN-07-014,LOT-HCDN-07,Security Identity and Compliance,security event,SQL/EDW,recurring,SRC-HCDN-ITSM-014
INC-HCDN-LOT-HCDN-07-015,LOT-HCDN-07,Security Identity and Compliance,P1 incident,contact center,root cause pending,SRC-HCDN-ITSM-015
INC-HCDN-LOT-HCDN-07-016,LOT-HCDN-07,Security Identity and Compliance,P2 incident,cloud,open,SRC-HCDN-ITSM-016
INC-HCDN-LOT-HCDN-07-017,LOT-HCDN-07,Security Identity and Compliance,major problem,network,closed,SRC-HCDN-ITSM-017
INC-HCDN-LOT-HCDN-07-018,LOT-HCDN-07,Security Identity and Compliance,service request backlog,Epic,recurring,SRC-HCDN-ITSM-018
INC-HCDN-LOT-HCDN-07-019,LOT-HCDN-07,Security Identity and Compliance,security event,claims,root cause pending,SRC-HCDN-ITSM-019
INC-HCDN-LOT-HCDN-07-020,LOT-HCDN-07,Security Identity and Compliance,P1 incident,SQL/EDW,open,SRC-HCDN-ITSM-020
INC-HCDN-LOT-HCDN-07-021,LOT-HCDN-07,Security Identity and Compliance,P2 incident,contact center,closed,SRC-HCDN-ITSM-021
INC-HCDN-LOT-HCDN-07-022,LOT-HCDN-07,Security Identity and Compliance,major problem,cloud,recurring,SRC-HCDN-ITSM-022
INC-HCDN-LOT-HCDN-07-023,LOT-HCDN-07,Security Identity and Compliance,service request backlog,network,root cause pending,SRC-HCDN-ITSM-023
INC-HCDN-LOT-HCDN-07-024,LOT-HCDN-07,Security Identity and Compliance,security event,Epic,open,SRC-HCDN-ITSM-024
INC-HCDN-LOT-HCDN-08-001,LOT-HCDN-08,Integration and Interoperability,P2 incident,claims,closed,SRC-HCDN-ITSM-001
INC-HCDN-LOT-HCDN-08-002,LOT-HCDN-08,Integration and Interoperability,major problem,SQL/EDW,recurring,SRC-HCDN-ITSM-002
INC-HCDN-LOT-HCDN-08-003,LOT-HCDN-08,Integration and Interoperability,service request backlog,contact center,root cause pending,SRC-HCDN-ITSM-003
INC-HCDN-LOT-HCDN-08-004,LOT-HCDN-08,Integration and Interoperability,security event,cloud,open,SRC-HCDN-ITSM-004
INC-HCDN-LOT-HCDN-08-005,LOT-HCDN-08,Integration and Interoperability,P1 incident,network,closed,SRC-HCDN-ITSM-005
INC-HCDN-LOT-HCDN-08-006,LOT-HCDN-08,Integration and Interoperability,P2 incident,Epic,recurring,SRC-HCDN-ITSM-006
INC-HCDN-LOT-HCDN-08-007,LOT-HCDN-08,Integration and Interoperability,major problem,claims,root cause pending,SRC-HCDN-ITSM-007
INC-HCDN-LOT-HCDN-08-008,LOT-HCDN-08,Integration and Interoperability,service request backlog,SQL/EDW,open,SRC-HCDN-ITSM-008
INC-HCDN-LOT-HCDN-08-009,LOT-HCDN-08,Integration and Interoperability,security event,contact center,closed,SRC-HCDN-ITSM-009
INC-HCDN-LOT-HCDN-08-010,LOT-HCDN-08,Integration and Interoperability,P1 incident,cloud,recurring,SRC-HCDN-ITSM-010
INC-HCDN-LOT-HCDN-08-011,LOT-HCDN-08,Integration and Interoperability,P2 incident,network,root cause pending,SRC-HCDN-ITSM-011
INC-HCDN-LOT-HCDN-08-012,LOT-HCDN-08,Integration and Interoperability,major problem,Epic,open,SRC-HCDN-ITSM-012
INC-HCDN-LOT-HCDN-08-013,LOT-HCDN-08,Integration and Interoperability,service request backlog,claims,closed,SRC-HCDN-ITSM-013
INC-HCDN-LOT-HCDN-08-014,LOT-HCDN-08,Integration and Interoperability,security event,SQL/EDW,recurring,SRC-HCDN-ITSM-014
INC-HCDN-LOT-HCDN-08-015,LOT-HCDN-08,Integration and Interoperability,P1 incident,contact center,root cause pending,SRC-HCDN-ITSM-015
INC-HCDN-LOT-HCDN-08-016,LOT-HCDN-08,Integration and Interoperability,P2 incident,cloud,open,SRC-HCDN-ITSM-016
INC-HCDN-LOT-HCDN-08-017,LOT-HCDN-08,Integration and Interoperability,major problem,network,closed,SRC-HCDN-ITSM-017
INC-HCDN-LOT-HCDN-08-018,LOT-HCDN-08,Integration and Interoperability,service request backlog,Epic,recurring,SRC-HCDN-ITSM-018
INC-HCDN-LOT-HCDN-08-019,LOT-HCDN-08,Integration and Interoperability,security event,claims,root cause pending,SRC-HCDN-ITSM-019
INC-HCDN-LOT-HCDN-08-020,LOT-HCDN-08,Integration and Interoperability,P1 incident,SQL/EDW,open,SRC-HCDN-ITSM-020
INC-HCDN-LOT-HCDN-08-021,LOT-HCDN-08,Integration and Interoperability,P2 incident,contact center,closed,SRC-HCDN-ITSM-021
INC-HCDN-LOT-HCDN-08-022,LOT-HCDN-08,Integration and Interoperability,major problem,cloud,recurring,SRC-HCDN-ITSM-022
INC-HCDN-LOT-HCDN-08-023,LOT-HCDN-08,Integration and Interoperability,service request backlog,network,root cause pending,SRC-HCDN-ITSM-023
INC-HCDN-LOT-HCDN-08-024,LOT-HCDN-08,Integration and Interoperability,security event,Epic,open,SRC-HCDN-ITSM-024
