data_product_id,data_product_name,domain,platform_pattern,business_function,logical_footprint,ingestion_pattern,lineage_status,ai_or_bi_use,vendor_id
DATA-HCDN-00014,PATIENT_ACCESS product 00014,"scheduling, referral, contact center and digital front door",access mart + CRM/contact center extracts,Coding,0.7 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,BI / operational analytics,VEND-HCDN-015
DATA-HCDN-00015,PHARMACY_PBM product 00015,"medication adherence, PBM, formulary and pharmacy operations",PBM feeds + Epic Willow extracts,Payer Contracting,0.7 TB/PB logical footprint family,X12/claims feed,lineage candidate,BI / operational analytics,VEND-HCDN-016
DATA-HCDN-00016,FINANCE_ACTUARIAL product 00016,"GL, budgeting, cost accounting, actuarial and reimbursement",finance EDW + planning marts,Digital Front Door,0.8 TB/PB logical footprint family,SSIS batch,lineage candidate,BI / operational analytics,VEND-HCDN-017
DATA-HCDN-00017,CLOUD_AI_USE_CASES product 00017,Azure current use cases and AWS future transformation candidates,Azure foundation + AWS candidate portfolio,Contact Center,0.8 TB/PB logical footprint family,SFTP flat file,lineage candidate,AI governance candidate,VEND-HCDN-018
DATA-HCDN-00018,CLINICAL_EVENTS product 00018,"encounters, orders, results, medications, procedures",Epic Clarity/Caboodle + legacy EDW,Ambulatory Care,0.9 TB/PB logical footprint family,Epic extract,lineage incomplete,BI / operational analytics,VEND-HCDN-019
DATA-HCDN-00019,QUALITY_STARS product 00019,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Emergency Department,0.9 TB/PB logical footprint family,cloud pipeline,lineage candidate,BI / operational analytics,VEND-HCDN-020
DATA-HCDN-00020,RAF_RISK_ADJUSTMENT product 00020,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Inpatient,0.9 TB/PB logical footprint family,manual spreadsheet upload,conflicting KPI definition,BI / operational analytics,VEND-HCDN-021
DATA-HCDN-00021,CLAIMS_MEMBER product 00021,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Surgery,1.0 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,BI / operational analytics,VEND-HCDN-022
DATA-HCDN-00022,REVENUE_CYCLE product 00022,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,Imaging,1.0 TB/PB logical footprint family,X12/claims feed,lineage candidate,BI / operational analytics,VEND-HCDN-023
DATA-HCDN-00023,PATIENT_ACCESS product 00023,"scheduling, referral, contact center and digital front door",access mart + CRM/contact center extracts,Lab,1.1 TB/PB logical footprint family,SSIS batch,lineage candidate,BI / operational analytics,VEND-HCDN-024
DATA-HCDN-00024,PHARMACY_PBM product 00024,"medication adherence, PBM, formulary and pharmacy operations",PBM feeds + Epic Willow extracts,Pharmacy,1.1 TB/PB logical footprint family,SFTP flat file,lineage incomplete,BI / operational analytics,VEND-HCDN-025
DATA-HCDN-00025,FINANCE_ACTUARIAL product 00025,"GL, budgeting, cost accounting, actuarial and reimbursement",finance EDW + planning marts,Oncology,1.1 TB/PB logical footprint family,Epic extract,lineage candidate,BI / operational analytics,VEND-HCDN-026
DATA-HCDN-00026,CLOUD_AI_USE_CASES product 00026,Azure current use cases and AWS future transformation candidates,Azure foundation + AWS candidate portfolio,Cardiology,1.2 TB/PB logical footprint family,cloud pipeline,lineage candidate,AI governance candidate,VEND-HCDN-027
DATA-HCDN-00027,CLINICAL_EVENTS product 00027,"encounters, orders, results, medications, procedures",Epic Clarity/Caboodle + legacy EDW,Data and Analytics,1.2 TB/PB logical footprint family,manual spreadsheet upload,lineage candidate,BI / operational analytics,VEND-HCDN-028
DATA-HCDN-00028,QUALITY_STARS product 00028,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Clinical Analytics,1.3 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,BI / operational analytics,VEND-HCDN-029
DATA-HCDN-00029,RAF_RISK_ADJUSTMENT product 00029,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Actuarial,1.3 TB/PB logical footprint family,X12/claims feed,lineage candidate,BI / operational analytics,VEND-HCDN-030
DATA-HCDN-00030,CLAIMS_MEMBER product 00030,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Departmental Reporting,1.3 TB/PB logical footprint family,SSIS batch,lineage incomplete,BI / operational analytics,VEND-HCDN-031
DATA-HCDN-00031,REVENUE_CYCLE product 00031,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,AI Transformation,1.4 TB/PB logical footprint family,SFTP flat file,lineage candidate,BI / operational analytics,VEND-HCDN-032
DATA-HCDN-00032,PATIENT_ACCESS product 00032,"scheduling, referral, contact center and digital front door",access mart + CRM/contact center extracts,Technology,1.4 TB/PB logical footprint family,Epic extract,lineage candidate,BI / operational analytics,VEND-HCDN-033
DATA-HCDN-00033,PHARMACY_PBM product 00033,"medication adherence, PBM, formulary and pharmacy operations",PBM feeds + Epic Willow extracts,Security,1.5 TB/PB logical footprint family,cloud pipeline,lineage candidate,BI / operational analytics,VEND-HCDN-034
DATA-HCDN-00034,FINANCE_ACTUARIAL product 00034,"GL, budgeting, cost accounting, actuarial and reimbursement",finance EDW + planning marts,Procurement,1.5 TB/PB logical footprint family,manual spreadsheet upload,lineage candidate,BI / operational analytics,VEND-HCDN-035
DATA-HCDN-00035,CLOUD_AI_USE_CASES product 00035,Azure current use cases and AWS future transformation candidates,Azure foundation + AWS candidate portfolio,HR,1.5 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,AI governance candidate,VEND-HCDN-036
DATA-HCDN-00036,CLINICAL_EVENTS product 00036,"encounters, orders, results, medications, procedures",Epic Clarity/Caboodle + legacy EDW,Supply Chain,1.6 TB/PB logical footprint family,X12/claims feed,lineage incomplete,BI / operational analytics,VEND-HCDN-037
DATA-HCDN-00037,QUALITY_STARS product 00037,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Privacy,1.6 TB/PB logical footprint family,SSIS batch,lineage candidate,BI / operational analytics,VEND-HCDN-038
DATA-HCDN-00038,RAF_RISK_ADJUSTMENT product 00038,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Compliance,1.7 TB/PB logical footprint family,SFTP flat file,lineage candidate,BI / operational analytics,VEND-HCDN-039
DATA-HCDN-00039,CLAIMS_MEMBER product 00039,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Provider Network,1.7 TB/PB logical footprint family,Epic extract,lineage candidate,BI / operational analytics,VEND-HCDN-040
DATA-HCDN-00040,REVENUE_CYCLE product 00040,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,Value-Based Care,1.7 TB/PB logical footprint family,cloud pipeline,conflicting KPI definition,BI / operational analytics,VEND-HCDN-041
DATA-HCDN-00041,PATIENT_ACCESS product 00041,"scheduling, referral, contact center and digital front door",access mart + CRM/contact center extracts,Clinical Operations,1.8 TB/PB logical footprint family,manual spreadsheet upload,lineage candidate,BI / operational analytics,VEND-HCDN-042
DATA-HCDN-00042,PHARMACY_PBM product 00042,"medication adherence, PBM, formulary and pharmacy operations",PBM feeds + Epic Willow extracts,Revenue Cycle,1.8 TB/PB logical footprint family,HL7/FHIR feed,lineage incomplete,BI / operational analytics,VEND-HCDN-043
DATA-HCDN-00043,FINANCE_ACTUARIAL product 00043,"GL, budgeting, cost accounting, actuarial and reimbursement",finance EDW + planning marts,Patient Access,1.9 TB/PB logical footprint family,X12/claims feed,lineage candidate,BI / operational analytics,VEND-HCDN-044
DATA-HCDN-00044,CLOUD_AI_USE_CASES product 00044,Azure current use cases and AWS future transformation candidates,Azure foundation + AWS candidate portfolio,Interoperability,1.9 TB/PB logical footprint family,SSIS batch,lineage candidate,AI governance candidate,VEND-HCDN-045
DATA-HCDN-00045,CLINICAL_EVENTS product 00045,"encounters, orders, results, medications, procedures",Epic Clarity/Caboodle + legacy EDW,Population Health,1.9 TB/PB logical footprint family,SFTP flat file,lineage candidate,BI / operational analytics,VEND-HCDN-046
DATA-HCDN-00046,QUALITY_STARS product 00046,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Health Plan Operations,2.0 TB/PB logical footprint family,Epic extract,lineage candidate,BI / operational analytics,VEND-HCDN-047
DATA-HCDN-00047,RAF_RISK_ADJUSTMENT product 00047,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Medicare Advantage,2.0 TB/PB logical footprint family,cloud pipeline,lineage candidate,BI / operational analytics,VEND-HCDN-048
DATA-HCDN-00048,CLAIMS_MEMBER product 00048,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Claims Operations,2.1 TB/PB logical footprint family,manual spreadsheet upload,lineage incomplete,BI / operational analytics,VEND-HCDN-049
DATA-HCDN-00049,REVENUE_CYCLE product 00049,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,Utilization Management,2.1 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,BI / operational analytics,VEND-HCDN-050
DATA-HCDN-00050,PATIENT_ACCESS product 00050,"scheduling, referral, contact center and digital front door",access mart + CRM/contact center extracts,Member Services,2.1 TB/PB logical footprint family,X12/claims feed,conflicting KPI definition,BI / operational analytics,VEND-HCDN-051
DATA-HCDN-00051,PHARMACY_PBM product 00051,"medication adherence, PBM, formulary and pharmacy operations",PBM feeds + Epic Willow extracts,Quality and Stars,2.2 TB/PB logical footprint family,SSIS batch,lineage candidate,BI / operational analytics,VEND-HCDN-052
DATA-HCDN-00052,FINANCE_ACTUARIAL product 00052,"GL, budgeting, cost accounting, actuarial and reimbursement",finance EDW + planning marts,Risk Adjustment,2.2 TB/PB logical footprint family,SFTP flat file,lineage candidate,BI / operational analytics,VEND-HCDN-053
DATA-HCDN-00053,CLOUD_AI_USE_CASES product 00053,Azure current use cases and AWS future transformation candidates,Azure foundation + AWS candidate portfolio,Care Management,2.3 TB/PB logical footprint family,Epic extract,lineage candidate,AI governance candidate,VEND-HCDN-054
DATA-HCDN-00054,CLINICAL_EVENTS product 00054,"encounters, orders, results, medications, procedures",Epic Clarity/Caboodle + legacy EDW,Finance,2.3 TB/PB logical footprint family,cloud pipeline,lineage incomplete,BI / operational analytics,VEND-HCDN-055
DATA-HCDN-00055,QUALITY_STARS product 00055,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Coding,2.3 TB/PB logical footprint family,manual spreadsheet upload,lineage candidate,BI / operational analytics,VEND-HCDN-056
DATA-HCDN-00056,RAF_RISK_ADJUSTMENT product 00056,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Payer Contracting,2.4 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,BI / operational analytics,VEND-HCDN-057
DATA-HCDN-00057,CLAIMS_MEMBER product 00057,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Digital Front Door,2.4 TB/PB logical footprint family,X12/claims feed,lineage candidate,BI / operational analytics,VEND-HCDN-058
DATA-HCDN-00058,REVENUE_CYCLE product 00058,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,Contact Center,2.5 TB/PB logical footprint family,SSIS batch,lineage candidate,BI / operational analytics,VEND-HCDN-059
DATA-HCDN-00059,PATIENT_ACCESS product 00059,"scheduling, referral, contact center and digital front door",access mart + CRM/contact center extracts,Ambulatory Care,2.5 TB/PB logical footprint family,SFTP flat file,lineage candidate,BI / operational analytics,VEND-HCDN-060
DATA-HCDN-00060,PHARMACY_PBM product 00060,"medication adherence, PBM, formulary and pharmacy operations",PBM feeds + Epic Willow extracts,Emergency Department,2.5 TB/PB logical footprint family,Epic extract,lineage incomplete,BI / operational analytics,VEND-HCDN-061
DATA-HCDN-00061,FINANCE_ACTUARIAL product 00061,"GL, budgeting, cost accounting, actuarial and reimbursement",finance EDW + planning marts,Inpatient,2.6 TB/PB logical footprint family,cloud pipeline,lineage candidate,BI / operational analytics,VEND-HCDN-062
DATA-HCDN-00062,CLOUD_AI_USE_CASES product 00062,Azure current use cases and AWS future transformation candidates,Azure foundation + AWS candidate portfolio,Surgery,2.6 TB/PB logical footprint family,manual spreadsheet upload,lineage candidate,AI governance candidate,VEND-HCDN-063
DATA-HCDN-00063,CLINICAL_EVENTS product 00063,"encounters, orders, results, medications, procedures",Epic Clarity/Caboodle + legacy EDW,Imaging,2.7 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,BI / operational analytics,VEND-HCDN-064
DATA-HCDN-00064,QUALITY_STARS product 00064,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Lab,2.7 TB/PB logical footprint family,X12/claims feed,lineage candidate,BI / operational analytics,VEND-HCDN-065
DATA-HCDN-00065,RAF_RISK_ADJUSTMENT product 00065,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Pharmacy,2.7 TB/PB logical footprint family,SSIS batch,lineage candidate,BI / operational analytics,VEND-HCDN-066
DATA-HCDN-00066,CLAIMS_MEMBER product 00066,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Oncology,2.8 TB/PB logical footprint family,SFTP flat file,lineage incomplete,BI / operational analytics,VEND-HCDN-067
DATA-HCDN-00067,REVENUE_CYCLE product 00067,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,Cardiology,2.8 TB/PB logical footprint family,Epic extract,lineage candidate,BI / operational analytics,VEND-HCDN-068
DATA-HCDN-00068,PATIENT_ACCESS product 00068,"scheduling, referral, contact center and digital front door",access mart + CRM/contact center extracts,Data and Analytics,2.9 TB/PB logical footprint family,cloud pipeline,lineage candidate,BI / operational analytics,VEND-HCDN-069
DATA-HCDN-00069,PHARMACY_PBM product 00069,"medication adherence, PBM, formulary and pharmacy operations",PBM feeds + Epic Willow extracts,Clinical Analytics,2.9 TB/PB logical footprint family,manual spreadsheet upload,lineage candidate,BI / operational analytics,VEND-HCDN-070
DATA-HCDN-00070,FINANCE_ACTUARIAL product 00070,"GL, budgeting, cost accounting, actuarial and reimbursement",finance EDW + planning marts,Actuarial,2.9 TB/PB logical footprint family,HL7/FHIR feed,conflicting KPI definition,BI / operational analytics,VEND-HCDN-071
DATA-HCDN-00071,CLOUD_AI_USE_CASES product 00071,Azure current use cases and AWS future transformation candidates,Azure foundation + AWS candidate portfolio,Departmental Reporting,3.0 TB/PB logical footprint family,X12/claims feed,lineage candidate,AI governance candidate,VEND-HCDN-072
DATA-HCDN-00072,CLINICAL_EVENTS product 00072,"encounters, orders, results, medications, procedures",Epic Clarity/Caboodle + legacy EDW,AI Transformation,3.0 TB/PB logical footprint family,SSIS batch,lineage incomplete,BI / operational analytics,VEND-HCDN-073
DATA-HCDN-00073,QUALITY_STARS product 00073,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Technology,3.1 TB/PB logical footprint family,SFTP flat file,lineage candidate,BI / operational analytics,VEND-HCDN-074
DATA-HCDN-00074,RAF_RISK_ADJUSTMENT product 00074,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Security,3.1 TB/PB logical footprint family,Epic extract,lineage candidate,BI / operational analytics,VEND-HCDN-075
DATA-HCDN-00075,CLAIMS_MEMBER product 00075,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Procurement,3.1 TB/PB logical footprint family,cloud pipeline,lineage candidate,BI / operational analytics,VEND-HCDN-076
DATA-HCDN-00076,REVENUE_CYCLE product 00076,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,HR,3.2 TB/PB logical footprint family,manual spreadsheet upload,lineage candidate,BI / operational analytics,VEND-HCDN-077
DATA-HCDN-00077,PATIENT_ACCESS product 00077,"scheduling, referral, contact center and digital front door",access mart + CRM/contact center extracts,Supply Chain,3.2 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,BI / operational analytics,VEND-HCDN-078
DATA-HCDN-00078,PHARMACY_PBM product 00078,"medication adherence, PBM, formulary and pharmacy operations",PBM feeds + Epic Willow extracts,Privacy,3.3 TB/PB logical footprint family,X12/claims feed,lineage incomplete,BI / operational analytics,VEND-HCDN-079
DATA-HCDN-00079,FINANCE_ACTUARIAL product 00079,"GL, budgeting, cost accounting, actuarial and reimbursement",finance EDW + planning marts,Compliance,3.3 TB/PB logical footprint family,SSIS batch,lineage candidate,BI / operational analytics,VEND-HCDN-080
DATA-HCDN-00080,CLOUD_AI_USE_CASES product 00080,Azure current use cases and AWS future transformation candidates,Azure foundation + AWS candidate portfolio,Provider Network,3.3 TB/PB logical footprint family,SFTP flat file,conflicting KPI definition,AI governance candidate,VEND-HCDN-081
DATA-HCDN-00081,CLINICAL_EVENTS product 00081,"encounters, orders, results, medications, procedures",Epic Clarity/Caboodle + legacy EDW,Value-Based Care,3.4 TB/PB logical footprint family,Epic extract,lineage candidate,BI / operational analytics,VEND-HCDN-082
DATA-HCDN-00082,QUALITY_STARS product 00082,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Clinical Operations,3.4 TB/PB logical footprint family,cloud pipeline,lineage candidate,BI / operational analytics,VEND-HCDN-083
DATA-HCDN-00083,RAF_RISK_ADJUSTMENT product 00083,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Revenue Cycle,3.5 TB/PB logical footprint family,manual spreadsheet upload,lineage candidate,BI / operational analytics,VEND-HCDN-084
DATA-HCDN-00084,CLAIMS_MEMBER product 00084,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Patient Access,3.5 TB/PB logical footprint family,HL7/FHIR feed,lineage incomplete,BI / operational analytics,VEND-HCDN-085
DATA-HCDN-00085,REVENUE_CYCLE product 00085,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,Interoperability,3.5 TB/PB logical footprint family,X12/claims feed,lineage candidate,BI / operational analytics,VEND-HCDN-086
DATA-HCDN-00086,PATIENT_ACCESS product 00086,"scheduling, referral, contact center and digital front door",access mart + CRM/contact center extracts,Population Health,3.6 TB/PB logical footprint family,SSIS batch,lineage candidate,BI / operational analytics,VEND-HCDN-087
DATA-HCDN-00087,PHARMACY_PBM product 00087,"medication adherence, PBM, formulary and pharmacy operations",PBM feeds + Epic Willow extracts,Health Plan Operations,3.6 TB/PB logical footprint family,SFTP flat file,lineage candidate,BI / operational analytics,VEND-HCDN-088
DATA-HCDN-00088,FINANCE_ACTUARIAL product 00088,"GL, budgeting, cost accounting, actuarial and reimbursement",finance EDW + planning marts,Medicare Advantage,3.7 TB/PB logical footprint family,Epic extract,lineage candidate,BI / operational analytics,VEND-HCDN-089
DATA-HCDN-00089,CLOUD_AI_USE_CASES product 00089,Azure current use cases and AWS future transformation candidates,Azure foundation + AWS candidate portfolio,Claims Operations,3.7 TB/PB logical footprint family,cloud pipeline,lineage candidate,AI governance candidate,VEND-HCDN-090
DATA-HCDN-00090,CLINICAL_EVENTS product 00090,"encounters, orders, results, medications, procedures",Epic Clarity/Caboodle + legacy EDW,Utilization Management,0.1 TB/PB logical footprint family,manual spreadsheet upload,lineage incomplete,BI / operational analytics,VEND-HCDN-091
DATA-HCDN-00091,QUALITY_STARS product 00091,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Member Services,0.2 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,BI / operational analytics,VEND-HCDN-092
DATA-HCDN-00092,RAF_RISK_ADJUSTMENT product 00092,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Quality and Stars,0.2 TB/PB logical footprint family,X12/claims feed,lineage candidate,BI / operational analytics,VEND-HCDN-093
DATA-HCDN-00093,CLAIMS_MEMBER product 00093,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Risk Adjustment,0.3 TB/PB logical footprint family,SSIS batch,lineage candidate,BI / operational analytics,VEND-HCDN-094
DATA-HCDN-00094,REVENUE_CYCLE product 00094,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,Care Management,0.3 TB/PB logical footprint family,SFTP flat file,lineage candidate,BI / operational analytics,VEND-HCDN-095
DATA-HCDN-00095,PATIENT_ACCESS product 00095,"scheduling, referral, contact center and digital front door",access mart + CRM/contact center extracts,Finance,0.3 TB/PB logical footprint family,Epic extract,lineage candidate,BI / operational analytics,VEND-HCDN-096
DATA-HCDN-00096,PHARMACY_PBM product 00096,"medication adherence, PBM, formulary and pharmacy operations",PBM feeds + Epic Willow extracts,Coding,0.4 TB/PB logical footprint family,cloud pipeline,lineage incomplete,BI / operational analytics,VEND-HCDN-097
DATA-HCDN-00097,FINANCE_ACTUARIAL product 00097,"GL, budgeting, cost accounting, actuarial and reimbursement",finance EDW + planning marts,Payer Contracting,0.4 TB/PB logical footprint family,manual spreadsheet upload,lineage candidate,BI / operational analytics,VEND-HCDN-098
DATA-HCDN-00098,CLOUD_AI_USE_CASES product 00098,Azure current use cases and AWS future transformation candidates,Azure foundation + AWS candidate portfolio,Digital Front Door,0.5 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,AI governance candidate,VEND-HCDN-099
DATA-HCDN-00099,CLINICAL_EVENTS product 00099,"encounters, orders, results, medications, procedures",Epic Clarity/Caboodle + legacy EDW,Contact Center,0.5 TB/PB logical footprint family,X12/claims feed,lineage candidate,BI / operational analytics,VEND-HCDN-100
DATA-HCDN-00100,QUALITY_STARS product 00100,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Ambulatory Care,0.5 TB/PB logical footprint family,SSIS batch,conflicting KPI definition,BI / operational analytics,VEND-HCDN-101
DATA-HCDN-00101,RAF_RISK_ADJUSTMENT product 00101,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Emergency Department,0.6 TB/PB logical footprint family,SFTP flat file,lineage candidate,BI / operational analytics,VEND-HCDN-102
DATA-HCDN-00102,CLAIMS_MEMBER product 00102,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Inpatient,0.6 TB/PB logical footprint family,Epic extract,lineage incomplete,BI / operational analytics,VEND-HCDN-103
DATA-HCDN-00103,REVENUE_CYCLE product 00103,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,Surgery,0.7 TB/PB logical footprint family,cloud pipeline,lineage candidate,BI / operational analytics,VEND-HCDN-104
DATA-HCDN-00104,PATIENT_ACCESS product 00104,"scheduling, referral, contact center and digital front door",access mart + CRM/contact center extracts,Imaging,0.7 TB/PB logical footprint family,manual spreadsheet upload,lineage candidate,BI / operational analytics,VEND-HCDN-105
DATA-HCDN-00105,PHARMACY_PBM product 00105,"medication adherence, PBM, formulary and pharmacy operations",PBM feeds + Epic Willow extracts,Lab,0.7 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,BI / operational analytics,VEND-HCDN-106
DATA-HCDN-00106,FINANCE_ACTUARIAL product 00106,"GL, budgeting, cost accounting, actuarial and reimbursement",finance EDW + planning marts,Pharmacy,0.8 TB/PB logical footprint family,X12/claims feed,lineage candidate,BI / operational analytics,VEND-HCDN-107
DATA-HCDN-00107,CLOUD_AI_USE_CASES product 00107,Azure current use cases and AWS future transformation candidates,Azure foundation + AWS candidate portfolio,Oncology,0.8 TB/PB logical footprint family,SSIS batch,lineage candidate,AI governance candidate,VEND-HCDN-108
DATA-HCDN-00108,CLINICAL_EVENTS product 00108,"encounters, orders, results, medications, procedures",Epic Clarity/Caboodle + legacy EDW,Cardiology,0.9 TB/PB logical footprint family,SFTP flat file,lineage incomplete,BI / operational analytics,VEND-HCDN-109
DATA-HCDN-00109,QUALITY_STARS product 00109,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Data and Analytics,0.9 TB/PB logical footprint family,Epic extract,lineage candidate,BI / operational analytics,VEND-HCDN-110
DATA-HCDN-00110,RAF_RISK_ADJUSTMENT product 00110,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Clinical Analytics,0.9 TB/PB logical footprint family,cloud pipeline,conflicting KPI definition,BI / operational analytics,VEND-HCDN-111
DATA-HCDN-00111,CLAIMS_MEMBER product 00111,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Actuarial,1.0 TB/PB logical footprint family,manual spreadsheet upload,lineage candidate,BI / operational analytics,VEND-HCDN-112
DATA-HCDN-00112,REVENUE_CYCLE product 00112,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,Departmental Reporting,1.0 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,BI / operational analytics,VEND-HCDN-113
