workforce_id,worker_type,business_function,service_tower,skill_family,delivery_location,transition_note
WORK-HCDN-00031,contractor,AI Transformation,Cloud Infrastructure and Data Center,quality analyst,hybrid,standard
WORK-HCDN-00032,managed-service role,Technology,Workplace and Contact Center,AI product owner,onsite,critical knowledge holder
WORK-HCDN-00033,employee,Security,Security Identity and Compliance,Epic analyst,nearshore,transition sensitive
WORK-HCDN-00034,contractor,Procurement,Integration and Interoperability,SQL/BI developer,offshore,standard
WORK-HCDN-00035,managed-service role,HR,ERP and Corporate Platforms,claims platform analyst,hybrid,standard
WORK-HCDN-00036,employee,Supply Chain,Clinical and Epic AMS,cloud engineer,onsite,standard
WORK-HCDN-00037,contractor,Privacy,Payer Platform Operations,data engineer,nearshore,standard
WORK-HCDN-00038,managed-service role,Compliance,Data Analytics and AI,security,offshore,standard
WORK-HCDN-00039,employee,Provider Network,Revenue Cycle Technology,service desk,hybrid,standard
WORK-HCDN-00040,contractor,Value-Based Care,Cloud Infrastructure and Data Center,integration engineer,onsite,critical knowledge holder
WORK-HCDN-00041,managed-service role,Clinical Operations,Workplace and Contact Center,revenue-cycle analyst,nearshore,standard
WORK-HCDN-00042,employee,Revenue Cycle,Security Identity and Compliance,quality analyst,offshore,standard
WORK-HCDN-00043,contractor,Patient Access,Integration and Interoperability,AI product owner,hybrid,standard
WORK-HCDN-00044,managed-service role,Interoperability,ERP and Corporate Platforms,Epic analyst,onsite,transition sensitive
WORK-HCDN-00045,employee,Population Health,Clinical and Epic AMS,SQL/BI developer,nearshore,standard
WORK-HCDN-00046,contractor,Health Plan Operations,Payer Platform Operations,claims platform analyst,offshore,standard
WORK-HCDN-00047,managed-service role,Medicare Advantage,Data Analytics and AI,cloud engineer,hybrid,standard
WORK-HCDN-00048,employee,Claims Operations,Revenue Cycle Technology,data engineer,onsite,critical knowledge holder
WORK-HCDN-00049,contractor,Utilization Management,Cloud Infrastructure and Data Center,security,nearshore,standard
WORK-HCDN-00050,managed-service role,Member Services,Workplace and Contact Center,service desk,offshore,standard
WORK-HCDN-00051,employee,Quality and Stars,Security Identity and Compliance,integration engineer,hybrid,standard
WORK-HCDN-00052,contractor,Risk Adjustment,Integration and Interoperability,revenue-cycle analyst,onsite,standard
WORK-HCDN-00053,managed-service role,Care Management,ERP and Corporate Platforms,quality analyst,nearshore,standard
WORK-HCDN-00054,employee,Finance,Clinical and Epic AMS,AI product owner,offshore,standard
WORK-HCDN-00055,contractor,Coding,Payer Platform Operations,Epic analyst,hybrid,transition sensitive
WORK-HCDN-00056,managed-service role,Payer Contracting,Data Analytics and AI,SQL/BI developer,onsite,critical knowledge holder
WORK-HCDN-00057,employee,Digital Front Door,Revenue Cycle Technology,claims platform analyst,nearshore,standard
WORK-HCDN-00058,contractor,Contact Center,Cloud Infrastructure and Data Center,cloud engineer,offshore,standard
WORK-HCDN-00059,managed-service role,Ambulatory Care,Workplace and Contact Center,data engineer,hybrid,standard
WORK-HCDN-00060,employee,Emergency Department,Security Identity and Compliance,security,onsite,standard
WORK-HCDN-00061,contractor,Inpatient,Integration and Interoperability,service desk,nearshore,standard
WORK-HCDN-00062,managed-service role,Surgery,ERP and Corporate Platforms,integration engineer,offshore,standard
WORK-HCDN-00063,employee,Imaging,Clinical and Epic AMS,revenue-cycle analyst,hybrid,standard
WORK-HCDN-00064,contractor,Lab,Payer Platform Operations,quality analyst,onsite,critical knowledge holder
WORK-HCDN-00065,managed-service role,Pharmacy,Data Analytics and AI,AI product owner,nearshore,standard
WORK-HCDN-00066,employee,Oncology,Revenue Cycle Technology,Epic analyst,offshore,transition sensitive
WORK-HCDN-00067,contractor,Cardiology,Cloud Infrastructure and Data Center,SQL/BI developer,hybrid,standard
WORK-HCDN-00068,managed-service role,Data and Analytics,Workplace and Contact Center,claims platform analyst,onsite,standard
WORK-HCDN-00069,employee,Clinical Analytics,Security Identity and Compliance,cloud engineer,nearshore,standard
WORK-HCDN-00070,contractor,Actuarial,Integration and Interoperability,data engineer,offshore,standard
WORK-HCDN-00071,managed-service role,Departmental Reporting,ERP and Corporate Platforms,security,hybrid,standard
WORK-HCDN-00072,employee,AI Transformation,Clinical and Epic AMS,service desk,onsite,critical knowledge holder
WORK-HCDN-00073,contractor,Technology,Payer Platform Operations,integration engineer,nearshore,standard
WORK-HCDN-00074,managed-service role,Security,Data Analytics and AI,revenue-cycle analyst,offshore,standard
WORK-HCDN-00075,employee,Procurement,Revenue Cycle Technology,quality analyst,hybrid,standard
WORK-HCDN-00076,contractor,HR,Cloud Infrastructure and Data Center,AI product owner,onsite,standard
WORK-HCDN-00077,managed-service role,Supply Chain,Workplace and Contact Center,Epic analyst,nearshore,transition sensitive
WORK-HCDN-00078,employee,Privacy,Security Identity and Compliance,SQL/BI developer,offshore,standard
WORK-HCDN-00079,contractor,Compliance,Integration and Interoperability,claims platform analyst,hybrid,standard
WORK-HCDN-00080,managed-service role,Provider Network,ERP and Corporate Platforms,cloud engineer,onsite,critical knowledge holder
WORK-HCDN-00081,employee,Value-Based Care,Clinical and Epic AMS,data engineer,nearshore,standard
WORK-HCDN-00082,contractor,Clinical Operations,Payer Platform Operations,security,offshore,standard
WORK-HCDN-00083,managed-service role,Revenue Cycle,Data Analytics and AI,service desk,hybrid,standard
WORK-HCDN-00084,employee,Patient Access,Revenue Cycle Technology,integration engineer,onsite,standard
WORK-HCDN-00085,contractor,Interoperability,Cloud Infrastructure and Data Center,revenue-cycle analyst,nearshore,standard
WORK-HCDN-00086,managed-service role,Population Health,Workplace and Contact Center,quality analyst,offshore,standard
WORK-HCDN-00087,employee,Health Plan Operations,Security Identity and Compliance,AI product owner,hybrid,standard
WORK-HCDN-00088,contractor,Medicare Advantage,Integration and Interoperability,Epic analyst,onsite,critical knowledge holder
WORK-HCDN-00089,managed-service role,Claims Operations,ERP and Corporate Platforms,SQL/BI developer,nearshore,standard
WORK-HCDN-00090,employee,Utilization Management,Clinical and Epic AMS,claims platform analyst,offshore,standard
WORK-HCDN-00091,contractor,Member Services,Payer Platform Operations,cloud engineer,hybrid,standard
WORK-HCDN-00092,managed-service role,Quality and Stars,Data Analytics and AI,data engineer,onsite,standard
WORK-HCDN-00093,employee,Risk Adjustment,Revenue Cycle Technology,security,nearshore,standard
WORK-HCDN-00094,contractor,Care Management,Cloud Infrastructure and Data Center,service desk,offshore,standard
WORK-HCDN-00095,managed-service role,Finance,Workplace and Contact Center,integration engineer,hybrid,standard
WORK-HCDN-00096,employee,Coding,Security Identity and Compliance,revenue-cycle analyst,onsite,critical knowledge holder
WORK-HCDN-00097,contractor,Payer Contracting,Integration and Interoperability,quality analyst,nearshore,standard
WORK-HCDN-00098,managed-service role,Digital Front Door,ERP and Corporate Platforms,AI product owner,offshore,standard
WORK-HCDN-00099,employee,Contact Center,Clinical and Epic AMS,Epic analyst,hybrid,transition sensitive
WORK-HCDN-00100,contractor,Ambulatory Care,Payer Platform Operations,SQL/BI developer,onsite,standard
WORK-HCDN-00101,managed-service role,Emergency Department,Data Analytics and AI,claims platform analyst,nearshore,standard
WORK-HCDN-00102,employee,Inpatient,Revenue Cycle Technology,cloud engineer,offshore,standard
WORK-HCDN-00103,contractor,Surgery,Cloud Infrastructure and Data Center,data engineer,hybrid,standard
WORK-HCDN-00104,managed-service role,Imaging,Workplace and Contact Center,security,onsite,critical knowledge holder
WORK-HCDN-00105,employee,Lab,Security Identity and Compliance,service desk,nearshore,standard
WORK-HCDN-00106,contractor,Pharmacy,Integration and Interoperability,integration engineer,offshore,standard
WORK-HCDN-00107,managed-service role,Oncology,ERP and Corporate Platforms,revenue-cycle analyst,hybrid,standard
WORK-HCDN-00108,employee,Cardiology,Clinical and Epic AMS,quality analyst,onsite,standard
WORK-HCDN-00109,contractor,Data and Analytics,Payer Platform Operations,AI product owner,nearshore,standard
WORK-HCDN-00110,managed-service role,Clinical Analytics,Data Analytics and AI,Epic analyst,offshore,transition sensitive
WORK-HCDN-00111,employee,Actuarial,Revenue Cycle Technology,SQL/BI developer,hybrid,standard
WORK-HCDN-00112,contractor,Departmental Reporting,Cloud Infrastructure and Data Center,claims platform analyst,onsite,critical knowledge holder
WORK-HCDN-00113,managed-service role,AI Transformation,Workplace and Contact Center,cloud engineer,nearshore,standard
WORK-HCDN-00114,employee,Technology,Security Identity and Compliance,data engineer,offshore,standard
WORK-HCDN-00115,contractor,Security,Integration and Interoperability,security,hybrid,standard
WORK-HCDN-00116,managed-service role,Procurement,ERP and Corporate Platforms,service desk,onsite,standard
WORK-HCDN-00117,employee,HR,Clinical and Epic AMS,integration engineer,nearshore,standard
WORK-HCDN-00118,contractor,Supply Chain,Payer Platform Operations,revenue-cycle analyst,offshore,standard
WORK-HCDN-00119,managed-service role,Privacy,Data Analytics and AI,quality analyst,hybrid,standard
WORK-HCDN-00120,employee,Compliance,Revenue Cycle Technology,AI product owner,onsite,critical knowledge holder
WORK-HCDN-00121,contractor,Provider Network,Cloud Infrastructure and Data Center,Epic analyst,nearshore,transition sensitive
WORK-HCDN-00122,managed-service role,Value-Based Care,Workplace and Contact Center,SQL/BI developer,offshore,standard
WORK-HCDN-00123,employee,Clinical Operations,Security Identity and Compliance,claims platform analyst,hybrid,standard
WORK-HCDN-00124,contractor,Revenue Cycle,Integration and Interoperability,cloud engineer,onsite,standard
WORK-HCDN-00125,managed-service role,Patient Access,ERP and Corporate Platforms,data engineer,nearshore,standard
WORK-HCDN-00126,employee,Interoperability,Clinical and Epic AMS,security,offshore,standard
WORK-HCDN-00127,contractor,Population Health,Payer Platform Operations,service desk,hybrid,standard
WORK-HCDN-00128,managed-service role,Health Plan Operations,Data Analytics and AI,integration engineer,onsite,critical knowledge holder
WORK-HCDN-00129,employee,Medicare Advantage,Revenue Cycle Technology,revenue-cycle analyst,nearshore,standard
WORK-HCDN-00130,contractor,Claims Operations,Cloud Infrastructure and Data Center,quality analyst,offshore,standard
WORK-HCDN-00131,managed-service role,Utilization Management,Workplace and Contact Center,AI product owner,hybrid,standard
WORK-HCDN-00132,employee,Member Services,Security Identity and Compliance,Epic analyst,onsite,transition sensitive
WORK-HCDN-00133,contractor,Quality and Stars,Integration and Interoperability,SQL/BI developer,nearshore,standard
WORK-HCDN-00134,managed-service role,Risk Adjustment,ERP and Corporate Platforms,claims platform analyst,offshore,standard
WORK-HCDN-00135,employee,Care Management,Clinical and Epic AMS,cloud engineer,hybrid,standard
WORK-HCDN-00136,contractor,Finance,Payer Platform Operations,data engineer,onsite,critical knowledge holder
WORK-HCDN-00137,managed-service role,Coding,Data Analytics and AI,security,nearshore,standard
WORK-HCDN-00138,employee,Payer Contracting,Revenue Cycle Technology,service desk,offshore,standard
WORK-HCDN-00139,contractor,Digital Front Door,Cloud Infrastructure and Data Center,integration engineer,hybrid,standard
WORK-HCDN-00140,managed-service role,Contact Center,Workplace and Contact Center,revenue-cycle analyst,onsite,standard
WORK-HCDN-00141,employee,Ambulatory Care,Security Identity and Compliance,quality analyst,nearshore,standard
WORK-HCDN-00142,contractor,Emergency Department,Integration and Interoperability,AI product owner,offshore,standard
WORK-HCDN-00143,managed-service role,Inpatient,ERP and Corporate Platforms,Epic analyst,hybrid,transition sensitive
WORK-HCDN-00144,employee,Surgery,Clinical and Epic AMS,SQL/BI developer,onsite,critical knowledge holder
WORK-HCDN-00145,contractor,Imaging,Payer Platform Operations,claims platform analyst,nearshore,standard
WORK-HCDN-00146,managed-service role,Lab,Data Analytics and AI,cloud engineer,offshore,standard
WORK-HCDN-00147,employee,Pharmacy,Revenue Cycle Technology,data engineer,hybrid,standard
WORK-HCDN-00148,contractor,Oncology,Cloud Infrastructure and Data Center,security,onsite,standard
WORK-HCDN-00149,managed-service role,Cardiology,Workplace and Contact Center,service desk,nearshore,standard
WORK-HCDN-00150,employee,Data and Analytics,Security Identity and Compliance,integration engineer,offshore,standard
WORK-HCDN-00151,contractor,Clinical Analytics,Integration and Interoperability,revenue-cycle analyst,hybrid,standard
WORK-HCDN-00152,managed-service role,Actuarial,ERP and Corporate Platforms,quality analyst,onsite,critical knowledge holder
WORK-HCDN-00153,employee,Departmental Reporting,Clinical and Epic AMS,AI product owner,nearshore,standard
WORK-HCDN-00154,contractor,AI Transformation,Payer Platform Operations,Epic analyst,offshore,transition sensitive
WORK-HCDN-00155,managed-service role,Technology,Data Analytics and AI,SQL/BI developer,hybrid,standard
WORK-HCDN-00156,employee,Security,Revenue Cycle Technology,claims platform analyst,onsite,standard
WORK-HCDN-00157,contractor,Procurement,Cloud Infrastructure and Data Center,cloud engineer,nearshore,standard
WORK-HCDN-00158,managed-service role,HR,Workplace and Contact Center,data engineer,offshore,standard
WORK-HCDN-00159,employee,Supply Chain,Security Identity and Compliance,security,hybrid,standard
WORK-HCDN-00160,contractor,Privacy,Integration and Interoperability,service desk,onsite,critical knowledge holder
WORK-HCDN-00161,managed-service role,Compliance,ERP and Corporate Platforms,integration engineer,nearshore,standard
WORK-HCDN-00162,employee,Provider Network,Clinical and Epic AMS,revenue-cycle analyst,offshore,standard
WORK-HCDN-00163,contractor,Value-Based Care,Payer Platform Operations,quality analyst,hybrid,standard
WORK-HCDN-00164,managed-service role,Clinical Operations,Data Analytics and AI,AI product owner,onsite,standard
WORK-HCDN-00165,employee,Revenue Cycle,Revenue Cycle Technology,Epic analyst,nearshore,transition sensitive
WORK-HCDN-00166,contractor,Patient Access,Cloud Infrastructure and Data Center,SQL/BI developer,offshore,standard
WORK-HCDN-00167,managed-service role,Interoperability,Workplace and Contact Center,claims platform analyst,hybrid,standard
WORK-HCDN-00168,employee,Population Health,Security Identity and Compliance,cloud engineer,onsite,critical knowledge holder
WORK-HCDN-00169,contractor,Health Plan Operations,Integration and Interoperability,data engineer,nearshore,standard
WORK-HCDN-00170,managed-service role,Medicare Advantage,ERP and Corporate Platforms,security,offshore,standard
WORK-HCDN-00171,employee,Claims Operations,Clinical and Epic AMS,service desk,hybrid,standard
WORK-HCDN-00172,contractor,Utilization Management,Payer Platform Operations,integration engineer,onsite,standard
WORK-HCDN-00173,managed-service role,Member Services,Data Analytics and AI,revenue-cycle analyst,nearshore,standard
WORK-HCDN-00174,employee,Quality and Stars,Revenue Cycle Technology,quality analyst,offshore,standard
WORK-HCDN-00175,contractor,Risk Adjustment,Cloud Infrastructure and Data Center,AI product owner,hybrid,standard
WORK-HCDN-00176,managed-service role,Care Management,Workplace and Contact Center,Epic analyst,onsite,critical knowledge holder
WORK-HCDN-00177,employee,Finance,Security Identity and Compliance,SQL/BI developer,nearshore,standard
WORK-HCDN-00178,contractor,Coding,Integration and Interoperability,claims platform analyst,offshore,standard
WORK-HCDN-00179,managed-service role,Payer Contracting,ERP and Corporate Platforms,cloud engineer,hybrid,standard
WORK-HCDN-00180,employee,Digital Front Door,Clinical and Epic AMS,data engineer,onsite,standard
WORK-HCDN-00181,contractor,Contact Center,Payer Platform Operations,security,nearshore,standard
WORK-HCDN-00182,managed-service role,Ambulatory Care,Data Analytics and AI,service desk,offshore,standard
WORK-HCDN-00183,employee,Emergency Department,Revenue Cycle Technology,integration engineer,hybrid,standard
WORK-HCDN-00184,contractor,Inpatient,Cloud Infrastructure and Data Center,revenue-cycle analyst,onsite,critical knowledge holder
WORK-HCDN-00185,managed-service role,Surgery,Workplace and Contact Center,quality analyst,nearshore,standard
WORK-HCDN-00186,employee,Imaging,Security Identity and Compliance,AI product owner,offshore,standard
WORK-HCDN-00187,contractor,Lab,Integration and Interoperability,Epic analyst,hybrid,transition sensitive
WORK-HCDN-00188,managed-service role,Pharmacy,ERP and Corporate Platforms,SQL/BI developer,onsite,standard
WORK-HCDN-00189,employee,Oncology,Clinical and Epic AMS,claims platform analyst,nearshore,standard
WORK-HCDN-00190,contractor,Cardiology,Payer Platform Operations,cloud engineer,offshore,standard
WORK-HCDN-00191,managed-service role,Data and Analytics,Data Analytics and AI,data engineer,hybrid,standard
WORK-HCDN-00192,employee,Clinical Analytics,Revenue Cycle Technology,security,onsite,critical knowledge holder
WORK-HCDN-00193,contractor,Actuarial,Cloud Infrastructure and Data Center,service desk,nearshore,standard
WORK-HCDN-00194,managed-service role,Departmental Reporting,Workplace and Contact Center,integration engineer,offshore,standard
WORK-HCDN-00195,employee,AI Transformation,Security Identity and Compliance,revenue-cycle analyst,hybrid,standard
WORK-HCDN-00196,contractor,Technology,Integration and Interoperability,quality analyst,onsite,standard
WORK-HCDN-00197,managed-service role,Security,ERP and Corporate Platforms,AI product owner,nearshore,standard
WORK-HCDN-00198,employee,Procurement,Clinical and Epic AMS,Epic analyst,offshore,transition sensitive
WORK-HCDN-00199,contractor,HR,Payer Platform Operations,SQL/BI developer,hybrid,standard
WORK-HCDN-00200,managed-service role,Supply Chain,Data Analytics and AI,claims platform analyst,onsite,critical knowledge holder
WORK-HCDN-00201,employee,Privacy,Revenue Cycle Technology,cloud engineer,nearshore,standard
WORK-HCDN-00202,contractor,Compliance,Cloud Infrastructure and Data Center,data engineer,offshore,standard
WORK-HCDN-00203,managed-service role,Provider Network,Workplace and Contact Center,security,hybrid,standard
WORK-HCDN-00204,employee,Value-Based Care,Security Identity and Compliance,service desk,onsite,standard
WORK-HCDN-00205,contractor,Clinical Operations,Integration and Interoperability,integration engineer,nearshore,standard
WORK-HCDN-00206,managed-service role,Revenue Cycle,ERP and Corporate Platforms,revenue-cycle analyst,offshore,standard
WORK-HCDN-00207,employee,Patient Access,Clinical and Epic AMS,quality analyst,hybrid,standard
WORK-HCDN-00208,contractor,Interoperability,Payer Platform Operations,AI product owner,onsite,critical knowledge holder
WORK-HCDN-00209,managed-service role,Population Health,Data Analytics and AI,Epic analyst,nearshore,transition sensitive
WORK-HCDN-00210,employee,Health Plan Operations,Revenue Cycle Technology,SQL/BI developer,offshore,standard
WORK-HCDN-00211,contractor,Medicare Advantage,Cloud Infrastructure and Data Center,claims platform analyst,hybrid,standard
WORK-HCDN-00212,managed-service role,Claims Operations,Workplace and Contact Center,cloud engineer,onsite,standard
WORK-HCDN-00213,employee,Utilization Management,Security Identity and Compliance,data engineer,nearshore,standard
WORK-HCDN-00214,contractor,Member Services,Integration and Interoperability,security,offshore,standard
WORK-HCDN-00215,managed-service role,Quality and Stars,ERP and Corporate Platforms,service desk,hybrid,standard
WORK-HCDN-00216,employee,Risk Adjustment,Clinical and Epic AMS,integration engineer,onsite,critical knowledge holder
WORK-HCDN-00217,contractor,Care Management,Payer Platform Operations,revenue-cycle analyst,nearshore,standard
WORK-HCDN-00218,managed-service role,Finance,Data Analytics and AI,quality analyst,offshore,standard
WORK-HCDN-00219,employee,Coding,Revenue Cycle Technology,AI product owner,hybrid,standard
WORK-HCDN-00220,contractor,Payer Contracting,Cloud Infrastructure and Data Center,Epic analyst,onsite,transition sensitive
WORK-HCDN-00221,managed-service role,Digital Front Door,Workplace and Contact Center,SQL/BI developer,nearshore,standard
WORK-HCDN-00222,employee,Contact Center,Security Identity and Compliance,claims platform analyst,offshore,standard
WORK-HCDN-00223,contractor,Ambulatory Care,Integration and Interoperability,cloud engineer,hybrid,standard
WORK-HCDN-00224,managed-service role,Emergency Department,ERP and Corporate Platforms,data engineer,onsite,critical knowledge holder
WORK-HCDN-00225,employee,Inpatient,Clinical and Epic AMS,security,nearshore,standard
WORK-HCDN-00226,contractor,Surgery,Payer Platform Operations,service desk,offshore,standard
WORK-HCDN-00227,managed-service role,Imaging,Data Analytics and AI,integration engineer,hybrid,standard
WORK-HCDN-00228,employee,Lab,Revenue Cycle Technology,revenue-cycle analyst,onsite,standard
WORK-HCDN-00229,contractor,Pharmacy,Cloud Infrastructure and Data Center,quality analyst,nearshore,standard
WORK-HCDN-00230,managed-service role,Oncology,Workplace and Contact Center,AI product owner,offshore,standard
WORK-HCDN-00231,employee,Cardiology,Security Identity and Compliance,Epic analyst,hybrid,transition sensitive
WORK-HCDN-00232,contractor,Data and Analytics,Integration and Interoperability,SQL/BI developer,onsite,critical knowledge holder
WORK-HCDN-00233,managed-service role,Clinical Analytics,ERP and Corporate Platforms,claims platform analyst,nearshore,standard
WORK-HCDN-00234,employee,Actuarial,Clinical and Epic AMS,cloud engineer,offshore,standard
WORK-HCDN-00235,contractor,Departmental Reporting,Payer Platform Operations,data engineer,hybrid,standard
WORK-HCDN-00236,managed-service role,AI Transformation,Data Analytics and AI,security,onsite,standard
WORK-HCDN-00237,employee,Technology,Revenue Cycle Technology,service desk,nearshore,standard
WORK-HCDN-00238,contractor,Security,Cloud Infrastructure and Data Center,integration engineer,offshore,standard
WORK-HCDN-00239,managed-service role,Procurement,Workplace and Contact Center,revenue-cycle analyst,hybrid,standard
WORK-HCDN-00240,employee,HR,Security Identity and Compliance,quality analyst,onsite,critical knowledge holder
WORK-HCDN-00241,contractor,Supply Chain,Integration and Interoperability,AI product owner,nearshore,standard
WORK-HCDN-00242,managed-service role,Privacy,ERP and Corporate Platforms,Epic analyst,offshore,transition sensitive
WORK-HCDN-00243,employee,Compliance,Clinical and Epic AMS,SQL/BI developer,hybrid,standard
WORK-HCDN-00244,contractor,Provider Network,Payer Platform Operations,claims platform analyst,onsite,standard
WORK-HCDN-00245,managed-service role,Value-Based Care,Data Analytics and AI,cloud engineer,nearshore,standard
WORK-HCDN-00246,employee,Clinical Operations,Revenue Cycle Technology,data engineer,offshore,standard
WORK-HCDN-00247,contractor,Revenue Cycle,Cloud Infrastructure and Data Center,security,hybrid,standard
WORK-HCDN-00248,managed-service role,Patient Access,Workplace and Contact Center,service desk,onsite,critical knowledge holder
WORK-HCDN-00249,employee,Interoperability,Security Identity and Compliance,integration engineer,nearshore,standard
WORK-HCDN-00250,contractor,Population Health,Integration and Interoperability,revenue-cycle analyst,offshore,standard
WORK-HCDN-00251,managed-service role,Health Plan Operations,ERP and Corporate Platforms,quality analyst,hybrid,standard
WORK-HCDN-00252,employee,Medicare Advantage,Clinical and Epic AMS,AI product owner,onsite,standard
WORK-HCDN-00253,contractor,Claims Operations,Payer Platform Operations,Epic analyst,nearshore,transition sensitive
WORK-HCDN-00254,managed-service role,Utilization Management,Data Analytics and AI,SQL/BI developer,offshore,standard
WORK-HCDN-00255,employee,Member Services,Revenue Cycle Technology,claims platform analyst,hybrid,standard
WORK-HCDN-00256,contractor,Quality and Stars,Cloud Infrastructure and Data Center,cloud engineer,onsite,critical knowledge holder
WORK-HCDN-00257,managed-service role,Risk Adjustment,Workplace and Contact Center,data engineer,nearshore,standard
WORK-HCDN-00258,employee,Care Management,Security Identity and Compliance,security,offshore,standard
WORK-HCDN-00259,contractor,Finance,Integration and Interoperability,service desk,hybrid,standard
WORK-HCDN-00260,managed-service role,Coding,ERP and Corporate Platforms,integration engineer,onsite,standard
WORK-HCDN-00261,employee,Payer Contracting,Clinical and Epic AMS,revenue-cycle analyst,nearshore,standard
WORK-HCDN-00262,contractor,Digital Front Door,Payer Platform Operations,quality analyst,offshore,standard
WORK-HCDN-00263,managed-service role,Contact Center,Data Analytics and AI,AI product owner,hybrid,standard
WORK-HCDN-00264,employee,Ambulatory Care,Revenue Cycle Technology,Epic analyst,onsite,critical knowledge holder
WORK-HCDN-00265,contractor,Emergency Department,Cloud Infrastructure and Data Center,SQL/BI developer,nearshore,standard
WORK-HCDN-00266,managed-service role,Inpatient,Workplace and Contact Center,claims platform analyst,offshore,standard
WORK-HCDN-00267,employee,Surgery,Security Identity and Compliance,cloud engineer,hybrid,standard
WORK-HCDN-00268,contractor,Imaging,Integration and Interoperability,data engineer,onsite,standard
WORK-HCDN-00269,managed-service role,Lab,ERP and Corporate Platforms,security,nearshore,standard
WORK-HCDN-00270,employee,Pharmacy,Clinical and Epic AMS,service desk,offshore,standard
WORK-HCDN-00271,contractor,Oncology,Payer Platform Operations,integration engineer,hybrid,standard
WORK-HCDN-00272,managed-service role,Cardiology,Data Analytics and AI,revenue-cycle analyst,onsite,critical knowledge holder
WORK-HCDN-00273,employee,Data and Analytics,Revenue Cycle Technology,quality analyst,nearshore,standard
WORK-HCDN-00274,contractor,Clinical Analytics,Cloud Infrastructure and Data Center,AI product owner,offshore,standard
WORK-HCDN-00275,managed-service role,Actuarial,Workplace and Contact Center,Epic analyst,hybrid,transition sensitive
WORK-HCDN-00276,employee,Departmental Reporting,Security Identity and Compliance,SQL/BI developer,onsite,standard
WORK-HCDN-00277,contractor,AI Transformation,Integration and Interoperability,claims platform analyst,nearshore,standard
WORK-HCDN-00278,managed-service role,Technology,ERP and Corporate Platforms,cloud engineer,offshore,standard
WORK-HCDN-00279,employee,Security,Clinical and Epic AMS,data engineer,hybrid,standard
WORK-HCDN-00280,contractor,Procurement,Payer Platform Operations,security,onsite,critical knowledge holder
WORK-HCDN-00281,managed-service role,HR,Data Analytics and AI,service desk,nearshore,standard
WORK-HCDN-00282,employee,Supply Chain,Revenue Cycle Technology,integration engineer,offshore,standard
