kpi_id,kpi_name,owner_function,population,disclosure_mode,direction,evidence_state,source_data_product_id,definition_state,source_id
KPI-HCDN-0092,SQL batch success measure 0092,Quality and Stars,Employer group,indexed,higher is better,source-backed candidate,DATA-HCDN-00093,exclusions to confirm,SRC-HCDN-KPI-093
KPI-HCDN-0093,Epic extract latency measure 0093,Risk Adjustment,Dual eligible,trend-only,lower is better,needs owner signoff,DATA-HCDN-00094,latency to confirm,SRC-HCDN-KPI-094
KPI-HCDN-0094,Azure use-case adoption measure 0094,Care Management,Specialty/supplemental,withheld,within threshold,conflicting source,DATA-HCDN-00095,regulatory use,SRC-HCDN-KPI-095
KPI-HCDN-0095,AWS transformation readiness measure 0095,Finance,Provider enterprise,exact,binary gate,industry pattern only,DATA-HCDN-00096,contractual incentive use,SRC-HCDN-KPI-096
KPI-HCDN-0096,Star Rating overall measure 0096,Coding,Medicare Advantage,range,higher is better,source-backed candidate,DATA-HCDN-00097,numerator in source,SRC-HCDN-KPI-001
KPI-HCDN-0097,Medication adherence measure 0097,Payer Contracting,Commercial,indexed,lower is better,needs owner signoff,DATA-HCDN-00098,denominator in source,SRC-HCDN-KPI-002
KPI-HCDN-0098,Diabetes HbA1c control measure 0098,Digital Front Door,Medicaid,trend-only,within threshold,conflicting source,DATA-HCDN-00099,exclusions to confirm,SRC-HCDN-KPI-003
KPI-HCDN-0099,Breast cancer screening measure 0099,Contact Center,Exchange,withheld,binary gate,industry pattern only,DATA-HCDN-00100,latency to confirm,SRC-HCDN-KPI-004
KPI-HCDN-0100,CAHPS getting care quickly measure 0100,Ambulatory Care,Employer group,exact,higher is better,source-backed candidate,DATA-HCDN-00101,regulatory use,SRC-HCDN-KPI-005
KPI-HCDN-0101,RAF coding completeness measure 0101,Emergency Department,Dual eligible,range,lower is better,needs owner signoff,DATA-HCDN-00102,contractual incentive use,SRC-HCDN-KPI-006
KPI-HCDN-0102,Encounter submission acceptance measure 0102,Inpatient,Specialty/supplemental,indexed,within threshold,conflicting source,DATA-HCDN-00103,numerator in source,SRC-HCDN-KPI-007
KPI-HCDN-0103,Care-gap closure measure 0103,Surgery,Provider enterprise,trend-only,binary gate,industry pattern only,DATA-HCDN-00104,denominator in source,SRC-HCDN-KPI-008
KPI-HCDN-0104,Readmission rate measure 0104,Imaging,Medicare Advantage,withheld,higher is better,source-backed candidate,DATA-HCDN-00105,exclusions to confirm,SRC-HCDN-KPI-009
KPI-HCDN-0105,Length of stay measure 0105,Lab,Commercial,exact,lower is better,needs owner signoff,DATA-HCDN-00106,latency to confirm,SRC-HCDN-KPI-010
KPI-HCDN-0106,ED throughput measure 0106,Pharmacy,Medicaid,range,within threshold,conflicting source,DATA-HCDN-00107,regulatory use,SRC-HCDN-KPI-011
KPI-HCDN-0107,Surgery utilization measure 0107,Oncology,Exchange,indexed,binary gate,industry pattern only,DATA-HCDN-00108,contractual incentive use,SRC-HCDN-KPI-012
KPI-HCDN-0108,Bed occupancy measure 0108,Cardiology,Employer group,trend-only,higher is better,source-backed candidate,DATA-HCDN-00109,numerator in source,SRC-HCDN-KPI-013
KPI-HCDN-0109,Referral leakage measure 0109,Data and Analytics,Dual eligible,withheld,lower is better,needs owner signoff,DATA-HCDN-00110,denominator in source,SRC-HCDN-KPI-014
KPI-HCDN-0110,Prior-auth turnaround measure 0110,Clinical Analytics,Specialty/supplemental,exact,within threshold,conflicting source,DATA-HCDN-00111,exclusions to confirm,SRC-HCDN-KPI-015
KPI-HCDN-0111,Denial rate measure 0111,Actuarial,Provider enterprise,range,binary gate,industry pattern only,DATA-HCDN-00112,latency to confirm,SRC-HCDN-KPI-016
KPI-HCDN-0112,Clean-claim rate measure 0112,Departmental Reporting,Medicare Advantage,indexed,higher is better,source-backed candidate,DATA-HCDN-00113,regulatory use,SRC-HCDN-KPI-017
KPI-HCDN-0113,Days in A/R measure 0113,AI Transformation,Commercial,trend-only,lower is better,needs owner signoff,DATA-HCDN-00114,contractual incentive use,SRC-HCDN-KPI-018
KPI-HCDN-0114,Contact-center service level measure 0114,Technology,Medicaid,withheld,within threshold,conflicting source,DATA-HCDN-00115,numerator in source,SRC-HCDN-KPI-019
KPI-HCDN-0115,Member retention measure 0115,Security,Exchange,exact,binary gate,industry pattern only,DATA-HCDN-00116,denominator in source,SRC-HCDN-KPI-020
KPI-HCDN-0116,Provider-directory accuracy measure 0116,Procurement,Employer group,range,higher is better,source-backed candidate,DATA-HCDN-00117,exclusions to confirm,SRC-HCDN-KPI-021
KPI-HCDN-0117,Network adequacy measure 0117,HR,Dual eligible,indexed,lower is better,needs owner signoff,DATA-HCDN-00118,latency to confirm,SRC-HCDN-KPI-022
KPI-HCDN-0118,Claims leakage measure 0118,Supply Chain,Specialty/supplemental,trend-only,within threshold,conflicting source,DATA-HCDN-00119,regulatory use,SRC-HCDN-KPI-023
KPI-HCDN-0119,Medical cost trend measure 0119,Privacy,Provider enterprise,withheld,binary gate,industry pattern only,DATA-HCDN-00120,contractual incentive use,SRC-HCDN-KPI-024
KPI-HCDN-0120,Quality incentive attainment measure 0120,Compliance,Medicare Advantage,exact,higher is better,source-backed candidate,DATA-HCDN-00121,numerator in source,SRC-HCDN-KPI-025
KPI-HCDN-0121,Digital adoption measure 0121,Provider Network,Commercial,range,lower is better,needs owner signoff,DATA-HCDN-00122,denominator in source,SRC-HCDN-KPI-026
KPI-HCDN-0122,Patient access cycle time measure 0122,Value-Based Care,Medicaid,indexed,within threshold,conflicting source,DATA-HCDN-00123,exclusions to confirm,SRC-HCDN-KPI-027
KPI-HCDN-0123,Platform availability measure 0123,Clinical Operations,Exchange,trend-only,binary gate,industry pattern only,DATA-HCDN-00124,latency to confirm,SRC-HCDN-KPI-028
KPI-HCDN-0124,SQL batch success measure 0124,Revenue Cycle,Employer group,withheld,higher is better,source-backed candidate,DATA-HCDN-00125,regulatory use,SRC-HCDN-KPI-029
KPI-HCDN-0125,Epic extract latency measure 0125,Patient Access,Dual eligible,exact,lower is better,needs owner signoff,DATA-HCDN-00126,contractual incentive use,SRC-HCDN-KPI-030
KPI-HCDN-0126,Azure use-case adoption measure 0126,Interoperability,Specialty/supplemental,range,within threshold,conflicting source,DATA-HCDN-00127,numerator in source,SRC-HCDN-KPI-031
KPI-HCDN-0127,AWS transformation readiness measure 0127,Population Health,Provider enterprise,indexed,binary gate,industry pattern only,DATA-HCDN-00128,denominator in source,SRC-HCDN-KPI-032
KPI-HCDN-0128,Star Rating overall measure 0128,Health Plan Operations,Medicare Advantage,trend-only,higher is better,source-backed candidate,DATA-HCDN-00129,exclusions to confirm,SRC-HCDN-KPI-033
KPI-HCDN-0129,Medication adherence measure 0129,Medicare Advantage,Commercial,withheld,lower is better,needs owner signoff,DATA-HCDN-00130,latency to confirm,SRC-HCDN-KPI-034
KPI-HCDN-0130,Diabetes HbA1c control measure 0130,Claims Operations,Medicaid,exact,within threshold,conflicting source,DATA-HCDN-00131,regulatory use,SRC-HCDN-KPI-035
KPI-HCDN-0131,Breast cancer screening measure 0131,Utilization Management,Exchange,range,binary gate,industry pattern only,DATA-HCDN-00132,contractual incentive use,SRC-HCDN-KPI-036
KPI-HCDN-0132,CAHPS getting care quickly measure 0132,Member Services,Employer group,indexed,higher is better,source-backed candidate,DATA-HCDN-00133,numerator in source,SRC-HCDN-KPI-037
KPI-HCDN-0133,RAF coding completeness measure 0133,Quality and Stars,Dual eligible,trend-only,lower is better,needs owner signoff,DATA-HCDN-00134,denominator in source,SRC-HCDN-KPI-038
KPI-HCDN-0134,Encounter submission acceptance measure 0134,Risk Adjustment,Specialty/supplemental,withheld,within threshold,conflicting source,DATA-HCDN-00135,exclusions to confirm,SRC-HCDN-KPI-039
KPI-HCDN-0135,Care-gap closure measure 0135,Care Management,Provider enterprise,exact,binary gate,industry pattern only,DATA-HCDN-00136,latency to confirm,SRC-HCDN-KPI-040
KPI-HCDN-0136,Readmission rate measure 0136,Finance,Medicare Advantage,range,higher is better,source-backed candidate,DATA-HCDN-00137,regulatory use,SRC-HCDN-KPI-041
KPI-HCDN-0137,Length of stay measure 0137,Coding,Commercial,indexed,lower is better,needs owner signoff,DATA-HCDN-00138,contractual incentive use,SRC-HCDN-KPI-042
KPI-HCDN-0138,ED throughput measure 0138,Payer Contracting,Medicaid,trend-only,within threshold,conflicting source,DATA-HCDN-00139,numerator in source,SRC-HCDN-KPI-043
KPI-HCDN-0139,Surgery utilization measure 0139,Digital Front Door,Exchange,withheld,binary gate,industry pattern only,DATA-HCDN-00140,denominator in source,SRC-HCDN-KPI-044
KPI-HCDN-0140,Bed occupancy measure 0140,Contact Center,Employer group,exact,higher is better,source-backed candidate,DATA-HCDN-00141,exclusions to confirm,SRC-HCDN-KPI-045
KPI-HCDN-0141,Referral leakage measure 0141,Ambulatory Care,Dual eligible,range,lower is better,needs owner signoff,DATA-HCDN-00142,latency to confirm,SRC-HCDN-KPI-046
KPI-HCDN-0142,Prior-auth turnaround measure 0142,Emergency Department,Specialty/supplemental,indexed,within threshold,conflicting source,DATA-HCDN-00143,regulatory use,SRC-HCDN-KPI-047
KPI-HCDN-0143,Denial rate measure 0143,Inpatient,Provider enterprise,trend-only,binary gate,industry pattern only,DATA-HCDN-00144,contractual incentive use,SRC-HCDN-KPI-048
KPI-HCDN-0144,Clean-claim rate measure 0144,Surgery,Medicare Advantage,withheld,higher is better,source-backed candidate,DATA-HCDN-00145,numerator in source,SRC-HCDN-KPI-049
KPI-HCDN-0145,Days in A/R measure 0145,Imaging,Commercial,exact,lower is better,needs owner signoff,DATA-HCDN-00146,denominator in source,SRC-HCDN-KPI-050
KPI-HCDN-0146,Contact-center service level measure 0146,Lab,Medicaid,range,within threshold,conflicting source,DATA-HCDN-00147,exclusions to confirm,SRC-HCDN-KPI-051
KPI-HCDN-0147,Member retention measure 0147,Pharmacy,Exchange,indexed,binary gate,industry pattern only,DATA-HCDN-00148,latency to confirm,SRC-HCDN-KPI-052
KPI-HCDN-0148,Provider-directory accuracy measure 0148,Oncology,Employer group,trend-only,higher is better,source-backed candidate,DATA-HCDN-00149,regulatory use,SRC-HCDN-KPI-053
KPI-HCDN-0149,Network adequacy measure 0149,Cardiology,Dual eligible,withheld,lower is better,needs owner signoff,DATA-HCDN-00150,contractual incentive use,SRC-HCDN-KPI-054
KPI-HCDN-0150,Claims leakage measure 0150,Data and Analytics,Specialty/supplemental,exact,within threshold,conflicting source,DATA-HCDN-00151,numerator in source,SRC-HCDN-KPI-055
KPI-HCDN-0151,Medical cost trend measure 0151,Clinical Analytics,Provider enterprise,range,binary gate,industry pattern only,DATA-HCDN-00152,denominator in source,SRC-HCDN-KPI-056
KPI-HCDN-0152,Quality incentive attainment measure 0152,Actuarial,Medicare Advantage,indexed,higher is better,source-backed candidate,DATA-HCDN-00153,exclusions to confirm,SRC-HCDN-KPI-057
KPI-HCDN-0153,Digital adoption measure 0153,Departmental Reporting,Commercial,trend-only,lower is better,needs owner signoff,DATA-HCDN-00154,latency to confirm,SRC-HCDN-KPI-058
KPI-HCDN-0154,Patient access cycle time measure 0154,AI Transformation,Medicaid,withheld,within threshold,conflicting source,DATA-HCDN-00155,regulatory use,SRC-HCDN-KPI-059
KPI-HCDN-0155,Platform availability measure 0155,Technology,Exchange,exact,binary gate,industry pattern only,DATA-HCDN-00156,contractual incentive use,SRC-HCDN-KPI-060
KPI-HCDN-0156,SQL batch success measure 0156,Security,Employer group,range,higher is better,source-backed candidate,DATA-HCDN-00157,numerator in source,SRC-HCDN-KPI-061
KPI-HCDN-0157,Epic extract latency measure 0157,Procurement,Dual eligible,indexed,lower is better,needs owner signoff,DATA-HCDN-00158,denominator in source,SRC-HCDN-KPI-062
