revised_pricing_id,bafo_id,lot_id,service_tower,original_pricing_line_id,revision_type,value_disclosure_mode,source_id
REVPRICE-HCDN-LOT-HCDN-01-A-12,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-A-12,reduced rate,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-01-B-01,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-B-01,rebalanced offshore mix,range,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-01-B-02,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-B-02,service credit added,indexed,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-01-B-03,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-B-03,transition fee reduced,exact,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-01-B-04,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-B-04,reduced rate,range,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-01-B-05,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-B-05,rebalanced offshore mix,indexed,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-01-B-06,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-B-06,service credit added,exact,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-01-B-07,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-B-07,transition fee reduced,range,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-01-B-08,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-B-08,reduced rate,indexed,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-01-B-09,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-B-09,rebalanced offshore mix,exact,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-01-B-10,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-B-10,service credit added,range,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-01-B-11,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-B-11,transition fee reduced,indexed,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-01-B-12,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-B-12,reduced rate,exact,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-01-C-01,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-C-01,rebalanced offshore mix,range,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-01-C-02,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-C-02,service credit added,indexed,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-01-C-03,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-C-03,transition fee reduced,exact,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-01-C-04,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-C-04,reduced rate,range,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-01-C-05,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-C-05,rebalanced offshore mix,indexed,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-01-C-06,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-C-06,service credit added,exact,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-01-C-07,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-C-07,transition fee reduced,range,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-01-C-08,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-C-08,reduced rate,indexed,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-01-C-09,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-C-09,rebalanced offshore mix,exact,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-01-C-10,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-C-10,service credit added,range,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-01-C-11,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-C-11,transition fee reduced,indexed,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-01-C-12,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-C-12,reduced rate,exact,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-02-A-01,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-A-01,rebalanced offshore mix,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-02-A-02,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-A-02,service credit added,indexed,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-02-A-03,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-A-03,transition fee reduced,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-02-A-04,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-A-04,reduced rate,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-02-A-05,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-A-05,rebalanced offshore mix,indexed,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-02-A-06,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-A-06,service credit added,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-02-A-07,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-A-07,transition fee reduced,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-02-A-08,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-A-08,reduced rate,indexed,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-02-A-09,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-A-09,rebalanced offshore mix,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-02-A-10,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-A-10,service credit added,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-02-A-11,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-A-11,transition fee reduced,indexed,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-02-A-12,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-A-12,reduced rate,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-02-B-01,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-B-01,rebalanced offshore mix,range,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-02-B-02,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-B-02,service credit added,indexed,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-02-B-03,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-B-03,transition fee reduced,exact,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-02-B-04,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-B-04,reduced rate,range,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-02-B-05,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-B-05,rebalanced offshore mix,indexed,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-02-B-06,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-B-06,service credit added,exact,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-02-B-07,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-B-07,transition fee reduced,range,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-02-B-08,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-B-08,reduced rate,indexed,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-02-B-09,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-B-09,rebalanced offshore mix,exact,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-02-B-10,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-B-10,service credit added,range,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-02-B-11,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-B-11,transition fee reduced,indexed,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-02-B-12,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-B-12,reduced rate,exact,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-02-C-01,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-C-01,rebalanced offshore mix,range,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-02-C-02,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-C-02,service credit added,indexed,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-02-C-03,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-C-03,transition fee reduced,exact,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-02-C-04,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-C-04,reduced rate,range,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-02-C-05,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-C-05,rebalanced offshore mix,indexed,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-02-C-06,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-C-06,service credit added,exact,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-02-C-07,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-C-07,transition fee reduced,range,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-02-C-08,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-C-08,reduced rate,indexed,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-02-C-09,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-C-09,rebalanced offshore mix,exact,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-02-C-10,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-C-10,service credit added,range,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-02-C-11,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-C-11,transition fee reduced,indexed,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-02-C-12,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,PRICE-HCDN-LOT-HCDN-02-C-12,reduced rate,exact,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-03-A-01,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-A-01,rebalanced offshore mix,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-03-A-02,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-A-02,service credit added,indexed,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-03-A-03,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-A-03,transition fee reduced,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-03-A-04,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-A-04,reduced rate,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-03-A-05,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-A-05,rebalanced offshore mix,indexed,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-03-A-06,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-A-06,service credit added,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-03-A-07,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-A-07,transition fee reduced,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-03-A-08,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-A-08,reduced rate,indexed,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-03-A-09,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-A-09,rebalanced offshore mix,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-03-A-10,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-A-10,service credit added,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-03-A-11,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-A-11,transition fee reduced,indexed,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-03-A-12,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-A-12,reduced rate,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-03-B-01,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-B-01,rebalanced offshore mix,range,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-03-B-02,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-B-02,service credit added,indexed,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-03-B-03,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-B-03,transition fee reduced,exact,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-03-B-04,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-B-04,reduced rate,range,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-03-B-05,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-B-05,rebalanced offshore mix,indexed,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-03-B-06,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-B-06,service credit added,exact,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-03-B-07,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-B-07,transition fee reduced,range,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-03-B-08,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-B-08,reduced rate,indexed,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-03-B-09,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-B-09,rebalanced offshore mix,exact,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-03-B-10,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-B-10,service credit added,range,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-03-B-11,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-B-11,transition fee reduced,indexed,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-03-B-12,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-B-12,reduced rate,exact,SRC-HCDN-BAFO-B
REVPRICE-HCDN-LOT-HCDN-03-C-01,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-C-01,rebalanced offshore mix,range,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-03-C-02,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-C-02,service credit added,indexed,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-03-C-03,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-C-03,transition fee reduced,exact,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-03-C-04,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-C-04,reduced rate,range,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-03-C-05,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-C-05,rebalanced offshore mix,indexed,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-03-C-06,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-C-06,service credit added,exact,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-03-C-07,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-C-07,transition fee reduced,range,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-03-C-08,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-C-08,reduced rate,indexed,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-03-C-09,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-C-09,rebalanced offshore mix,exact,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-03-C-10,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-C-10,service credit added,range,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-03-C-11,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-C-11,transition fee reduced,indexed,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-03-C-12,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,PRICE-HCDN-LOT-HCDN-03-C-12,reduced rate,exact,SRC-HCDN-BAFO-C
REVPRICE-HCDN-LOT-HCDN-04-A-01,BAFO-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,PRICE-HCDN-LOT-HCDN-04-A-01,rebalanced offshore mix,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-04-A-02,BAFO-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,PRICE-HCDN-LOT-HCDN-04-A-02,service credit added,indexed,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-04-A-03,BAFO-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,PRICE-HCDN-LOT-HCDN-04-A-03,transition fee reduced,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-04-A-04,BAFO-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,PRICE-HCDN-LOT-HCDN-04-A-04,reduced rate,range,SRC-HCDN-BAFO-A
