vendor,type,annual_usd,renewal_date,owner,data_class,ai_usage_clauses,exit_terms,notes
Kyndryl,data_feed,4823000,2027-02-15,Chief Risk Officer,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Kyndryl supports payments capabilities; included for concentration, renewal and AI-clause reasoning."
TCS,saas,5500000,2026-03-15,Chief Data and Analytics Officer,confidential,standard data-processing and confidentiality restrictions,90-day module removal with transition support,"TCS supports digital banking capabilities; included for concentration, renewal and AI-clause reasoning."
Wipro,license,6177000,2027-04-15,SVP Infrastructure,pii_confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Wipro supports commercial lending capabilities; included for concentration, renewal and AI-clause reasoning."
Infosys,managed_service,6854000,2026-05-15,CISO,confidential,AI use requires prior written approval and audit evidence,standard annual renewal notice,"Infosys supports wealth capabilities; included for concentration, renewal and AI-clause reasoning."
EPAM,si_advisory,7531000,2027-06-15,CFO,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"EPAM supports financial crimes capabilities; included for concentration, renewal and AI-clause reasoning."
Thought Machine,data_feed,1008000,2026-07-15,SVP Retail Bank Ops,restricted,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Thought Machine supports data platform capabilities; included for concentration, renewal and AI-clause reasoning."
Mambu,saas,1685000,2027-08-15,SVP Client Service,confidential,standard data-processing and confidentiality restrictions,90-day module removal with transition support,"Mambu supports cybersecurity capabilities; included for concentration, renewal and AI-clause reasoning."
Q2,license,2362000,2026-09-15,Chief Model Risk Officer,confidential,AI use requires prior written approval and audit evidence,standard annual renewal notice,"Q2 supports erp finance capabilities; included for concentration, renewal and AI-clause reasoning."
Temenos,managed_service,3039000,2027-10-15,COO,pii_confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Temenos supports branch atm capabilities; included for concentration, renewal and AI-clause reasoning."
Featurespace,si_advisory,3716000,2026-11-15,Chief Product Officer,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Featurespace supports contact center capabilities; included for concentration, renewal and AI-clause reasoning."
Feedzai,data_feed,4393000,2027-12-15,Treasurer,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Feedzai supports model risk capabilities; included for concentration, renewal and AI-clause reasoning."
Alloy,saas,5070000,2026-01-15,SVP Consumer Lending CIO,restricted,AI use requires prior written approval and audit evidence,90-day module removal with transition support,"Alloy supports core banking capabilities; included for concentration, renewal and AI-clause reasoning."
Plaid,license,5747000,2027-02-15,SVP Cards,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Plaid supports payments capabilities; included for concentration, renewal and AI-clause reasoning."
Trulioo,managed_service,6424000,2026-03-15,CIO,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Trulioo supports digital banking capabilities; included for concentration, renewal and AI-clause reasoning."
Socure,si_advisory,7101000,2027-04-15,VP Technology Service Mgmt,pii_confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Socure supports commercial lending capabilities; included for concentration, renewal and AI-clause reasoning."
DocuSign,data_feed,578000,2026-05-15,Chief Compliance Officer,confidential,AI use requires prior written approval and audit evidence,standard annual renewal notice,"DocuSign supports wealth capabilities; included for concentration, renewal and AI-clause reasoning."
Icertis,saas,1255000,2027-06-15,Chief Procurement Officer,confidential,standard data-processing and confidentiality restrictions,90-day module removal with transition support,"Icertis supports financial crimes capabilities; included for concentration, renewal and AI-clause reasoning."
Coupa,license,1932000,2026-07-15,EVP Technology Operations,restricted,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Coupa supports data platform capabilities; included for concentration, renewal and AI-clause reasoning."
Thomson Reuters,managed_service,2609000,2027-08-15,SVP Payments Technology,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Thomson Reuters supports cybersecurity capabilities; included for concentration, renewal and AI-clause reasoning."
Wolters Kluwer,si_advisory,3286000,2026-09-15,Chief Digital Officer,confidential,AI use requires prior written approval and audit evidence,standard annual renewal notice,"Wolters Kluwer supports erp finance capabilities; included for concentration, renewal and AI-clause reasoning."
NVIDIA,data_feed,3963000,2027-10-15,SVP Commercial Bank CIO,pii_confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"NVIDIA supports branch atm capabilities; included for concentration, renewal and AI-clause reasoning."
