event_id,event_type,product_family_id,severity,opened_at,capa_id,audit_reference,opco,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
RISK-025,SOX control,PF-GLP-005,low,2025-12-30,CAPA-025,AI-GOV,Great Lakes Pantry,GRC register,grc-register-0025,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-026,PCI scope,PF-LSH-HOLDCO-006,medium,2026-01-04,,SOX-ITGC,Holdco,GRC register,grc-register-0026,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-027,GDPR transfer,PF-NLS-007,high,2026-01-09,,PCI-DSS,Northline,GRC register,grc-register-0027,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-028,Vendor risk,PF-BMS-008,critical,2026-01-14,CAPA-028,GDPR-DPIA,Brightmark,GRC register,grc-register-0028,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-029,AI policy exception,PF-FFF-009,low,2026-01-19,,Vendor-TPRM,Forge & Field,GRC register,grc-register-0029,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-030,Security incident,PF-GLP-010,medium,2026-01-24,,AI-GOV,Great Lakes Pantry,GRC register,grc-register-0030,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-031,SOX control,PF-LSH-HOLDCO-011,high,2026-01-29,CAPA-031,SOX-ITGC,Holdco,GRC register,grc-register-0031,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-032,PCI scope,PF-NLS-012,critical,2026-02-03,,PCI-DSS,Northline,GRC register,grc-register-0032,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-033,GDPR transfer,PF-BMS-013,low,2026-02-08,,GDPR-DPIA,Brightmark,GRC register,grc-register-0033,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-034,Vendor risk,PF-FFF-014,medium,2026-02-13,CAPA-034,Vendor-TPRM,Forge & Field,GRC register,grc-register-0034,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-035,AI policy exception,PF-GLP-015,high,2026-02-18,,AI-GOV,Great Lakes Pantry,GRC register,grc-register-0035,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-036,Security incident,PF-LSH-HOLDCO-016,critical,2026-02-23,,SOX-ITGC,Holdco,GRC register,grc-register-0036,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-037,SOX control,PF-NLS-017,low,2026-02-28,CAPA-037,PCI-DSS,Northline,GRC register,grc-register-0037,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-038,PCI scope,PF-BMS-018,medium,2026-03-05,,GDPR-DPIA,Brightmark,GRC register,grc-register-0038,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-039,GDPR transfer,PF-FFF-019,high,2026-03-10,,Vendor-TPRM,Forge & Field,GRC register,grc-register-0039,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-040,Vendor risk,PF-GLP-020,critical,2026-03-15,CAPA-040,AI-GOV,Great Lakes Pantry,GRC register,grc-register-0040,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-041,AI policy exception,PF-LSH-HOLDCO-001,low,2026-03-20,,SOX-ITGC,Holdco,GRC register,grc-register-0041,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-042,Security incident,PF-NLS-002,medium,2026-03-25,,PCI-DSS,Northline,GRC register,grc-register-0042,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-043,SOX control,PF-BMS-003,high,2026-03-30,CAPA-043,GDPR-DPIA,Brightmark,GRC register,grc-register-0043,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-044,PCI scope,PF-FFF-004,critical,2026-04-04,,Vendor-TPRM,Forge & Field,GRC register,grc-register-0044,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-045,GDPR transfer,PF-GLP-005,low,2026-04-09,,AI-GOV,Great Lakes Pantry,GRC register,grc-register-0045,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-046,Vendor risk,PF-LSH-HOLDCO-006,medium,2026-04-14,CAPA-046,SOX-ITGC,Holdco,GRC register,grc-register-0046,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-047,AI policy exception,PF-NLS-007,high,2026-04-19,,PCI-DSS,Northline,GRC register,grc-register-0047,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-048,Security incident,PF-BMS-008,critical,2026-04-24,,GDPR-DPIA,Brightmark,GRC register,grc-register-0048,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-049,SOX control,PF-FFF-009,low,2026-04-29,CAPA-049,Vendor-TPRM,Forge & Field,GRC register,grc-register-0049,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-050,PCI scope,PF-GLP-010,medium,2026-05-04,,AI-GOV,Great Lakes Pantry,GRC register,grc-register-0050,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-051,GDPR transfer,PF-LSH-HOLDCO-011,high,2026-05-09,,SOX-ITGC,Holdco,GRC register,grc-register-0051,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-052,Vendor risk,PF-NLS-012,critical,2026-05-14,CAPA-052,PCI-DSS,Northline,GRC register,grc-register-0052,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-053,AI policy exception,PF-BMS-013,low,2026-05-19,,GDPR-DPIA,Brightmark,GRC register,grc-register-0053,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-054,Security incident,PF-FFF-014,medium,2026-05-24,,Vendor-TPRM,Forge & Field,GRC register,grc-register-0054,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-055,SOX control,PF-GLP-015,high,2026-05-29,CAPA-055,AI-GOV,Great Lakes Pantry,GRC register,grc-register-0055,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-056,PCI scope,PF-LSH-HOLDCO-016,critical,2026-06-03,,SOX-ITGC,Holdco,GRC register,grc-register-0056,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-057,GDPR transfer,PF-NLS-017,low,2026-06-08,,PCI-DSS,Northline,GRC register,grc-register-0057,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-058,Vendor risk,PF-BMS-018,medium,2026-06-13,CAPA-058,GDPR-DPIA,Brightmark,GRC register,grc-register-0058,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-059,AI policy exception,PF-FFF-019,high,2026-06-18,,Vendor-TPRM,Forge & Field,GRC register,grc-register-0059,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-060,Security incident,PF-GLP-020,critical,2026-06-23,,AI-GOV,Great Lakes Pantry,GRC register,grc-register-0060,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-061,SOX control,PF-LSH-HOLDCO-001,low,2026-06-28,CAPA-061,SOX-ITGC,Holdco,GRC register,grc-register-0061,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-062,PCI scope,PF-NLS-002,medium,2026-07-03,,PCI-DSS,Northline,GRC register,grc-register-0062,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
