product_family_id,business_unit,revenue_usd,margin_pct,lifecycle_state,regulatory_burden,plant_dependency,product_name,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
PF-NLS-013,Northline,18000000,22.8,invest,Standard commercial controls,Warehouse / 3PL dependency,Promotion kits,Northline product portfolio,northline-product-portfolio-0013,Northline Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-BMS-014,Brightmark,10800000,24.4,sustain,Standard commercial controls,Agency and supplier network,Loyalty platforms,Brightmark product portfolio,brightmark-product-portfolio-0014,Brightmark Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-FFF-015,Forge & Field,14400000,26,modernize,Standard commercial controls,Warehouse / 3PL dependency,Drinkware,Forge & Field product portfolio,forge-field-product-portfolio-0015,Forge & Field Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-GLP-016,Great Lakes Pantry,11340000,27.6,retire,High: food safety / consumer product claims,Agency and supplier network,DTC bundles,Great Lakes Pantry product portfolio,great-lakes-pantry-product-portfolio-0016,Great Lakes Pantry Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-NLS-017,Northline,36000000,29.2,invest,Standard commercial controls,Warehouse / 3PL dependency,Office micro-markets,Northline product portfolio,northline-product-portfolio-0017,Northline Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-BMS-018,Brightmark,19440000,30.8,sustain,Standard commercial controls,Agency and supplier network,Pantry services,Brightmark product portfolio,brightmark-product-portfolio-0018,Brightmark Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-FFF-019,Forge & Field,9600000,18,modernize,Standard commercial controls,Warehouse / 3PL dependency,Onsite dining,Forge & Field product portfolio,forge-field-product-portfolio-0019,Forge & Field Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-GLP-020,Great Lakes Pantry,8100000,19.6,retire,Standard commercial controls,Agency and supplier network,Route replenishment,Great Lakes Pantry product portfolio,great-lakes-pantry-product-portfolio-0020,Great Lakes Pantry Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-NLS-021,Northline,27000000,21.2,invest,High: food safety / consumer product claims,Warehouse / 3PL dependency,Cold-chain services,Northline product portfolio,northline-product-portfolio-0021,Northline Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-BMS-022,Brightmark,15120000,22.8,sustain,Standard commercial controls,Agency and supplier network,Freight brokerage,Brightmark product portfolio,brightmark-product-portfolio-0022,Brightmark Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-FFF-023,Forge & Field,19200000,24.4,modernize,Standard commercial controls,Warehouse / 3PL dependency,Promotion kits,Forge & Field product portfolio,forge-field-product-portfolio-0023,Forge & Field Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-GLP-024,Great Lakes Pantry,14580000,26,retire,Standard commercial controls,Agency and supplier network,Loyalty platforms,Great Lakes Pantry product portfolio,great-lakes-pantry-product-portfolio-0024,Great Lakes Pantry Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-NLS-025,Northline,18000000,27.6,invest,Standard commercial controls,Warehouse / 3PL dependency,Drinkware,Northline product portfolio,northline-product-portfolio-0025,Northline Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-BMS-026,Brightmark,10800000,29.2,sustain,High: food safety / consumer product claims,Agency and supplier network,DTC bundles,Brightmark product portfolio,brightmark-product-portfolio-0026,Brightmark Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-FFF-027,Forge & Field,14400000,30.8,modernize,Standard commercial controls,Warehouse / 3PL dependency,Office micro-markets,Forge & Field product portfolio,forge-field-product-portfolio-0027,Forge & Field Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-GLP-028,Great Lakes Pantry,11340000,18,retire,Standard commercial controls,Agency and supplier network,Pantry services,Great Lakes Pantry product portfolio,great-lakes-pantry-product-portfolio-0028,Great Lakes Pantry Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-NLS-029,Northline,36000000,19.6,invest,Standard commercial controls,Warehouse / 3PL dependency,Onsite dining,Northline product portfolio,northline-product-portfolio-0029,Northline Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-BMS-030,Brightmark,19440000,21.2,sustain,Standard commercial controls,Agency and supplier network,Route replenishment,Brightmark product portfolio,brightmark-product-portfolio-0030,Brightmark Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-FFF-031,Forge & Field,9600000,22.8,modernize,High: food safety / consumer product claims,Warehouse / 3PL dependency,Cold-chain services,Forge & Field product portfolio,forge-field-product-portfolio-0031,Forge & Field Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-GLP-032,Great Lakes Pantry,8100000,24.4,retire,Standard commercial controls,Agency and supplier network,Freight brokerage,Great Lakes Pantry product portfolio,great-lakes-pantry-product-portfolio-0032,Great Lakes Pantry Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-NLS-033,Northline,27000000,26,invest,Standard commercial controls,Warehouse / 3PL dependency,Promotion kits,Northline product portfolio,northline-product-portfolio-0033,Northline Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-BMS-034,Brightmark,15120000,27.6,sustain,Standard commercial controls,Agency and supplier network,Loyalty platforms,Brightmark product portfolio,brightmark-product-portfolio-0034,Brightmark Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-FFF-035,Forge & Field,19200000,29.2,modernize,Standard commercial controls,Warehouse / 3PL dependency,Drinkware,Forge & Field product portfolio,forge-field-product-portfolio-0035,Forge & Field Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-GLP-036,Great Lakes Pantry,14580000,30.8,retire,High: food safety / consumer product claims,Agency and supplier network,DTC bundles,Great Lakes Pantry product portfolio,great-lakes-pantry-product-portfolio-0036,Great Lakes Pantry Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-NLS-037,Northline,18000000,18,invest,Standard commercial controls,Warehouse / 3PL dependency,Office micro-markets,Northline product portfolio,northline-product-portfolio-0037,Northline Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-BMS-038,Brightmark,10800000,19.6,sustain,Standard commercial controls,Agency and supplier network,Pantry services,Brightmark product portfolio,brightmark-product-portfolio-0038,Brightmark Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-FFF-039,Forge & Field,14400000,21.2,modernize,Standard commercial controls,Warehouse / 3PL dependency,Onsite dining,Forge & Field product portfolio,forge-field-product-portfolio-0039,Forge & Field Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-GLP-040,Great Lakes Pantry,11340000,22.8,retire,Standard commercial controls,Agency and supplier network,Route replenishment,Great Lakes Pantry product portfolio,great-lakes-pantry-product-portfolio-0040,Great Lakes Pantry Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-NLS-041,Northline,36000000,24.4,invest,High: food safety / consumer product claims,Warehouse / 3PL dependency,Cold-chain services,Northline product portfolio,northline-product-portfolio-0041,Northline Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-BMS-042,Brightmark,19440000,26,sustain,Standard commercial controls,Agency and supplier network,Freight brokerage,Brightmark product portfolio,brightmark-product-portfolio-0042,Brightmark Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-FFF-043,Forge & Field,9600000,27.6,modernize,Standard commercial controls,Warehouse / 3PL dependency,Promotion kits,Forge & Field product portfolio,forge-field-product-portfolio-0043,Forge & Field Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-GLP-044,Great Lakes Pantry,8100000,29.2,retire,Standard commercial controls,Agency and supplier network,Loyalty platforms,Great Lakes Pantry product portfolio,great-lakes-pantry-product-portfolio-0044,Great Lakes Pantry Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-NLS-045,Northline,27000000,30.8,invest,Standard commercial controls,Warehouse / 3PL dependency,Drinkware,Northline product portfolio,northline-product-portfolio-0045,Northline Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-BMS-046,Brightmark,15120000,18,sustain,High: food safety / consumer product claims,Agency and supplier network,DTC bundles,Brightmark product portfolio,brightmark-product-portfolio-0046,Brightmark Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-FFF-047,Forge & Field,19200000,19.6,modernize,Standard commercial controls,Warehouse / 3PL dependency,Office micro-markets,Forge & Field product portfolio,forge-field-product-portfolio-0047,Forge & Field Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
PF-GLP-048,Great Lakes Pantry,14580000,21.2,retire,Standard commercial controls,Agency and supplier network,Pantry services,Great Lakes Pantry product portfolio,great-lakes-pantry-product-portfolio-0048,Great Lakes Pantry Product Office,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
