site_id,country,business_unit,primary_system,validated_system_flag,quality_cost_usd,capacity_utilization_pct,region,site_type,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
SITE-FFF-015,United Arab Emirates,Forge & Field,Shopify / NetSuite,false,150000,72,Middle East,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0015,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-016,United States,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,true,185000,73,North America,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0016,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-017,Canada,Northline,Manhattan WMS,true,220000,74,Europe,Distribution / freight node,Northline site master,northline-site-master-0017,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-018,Mexico,Brightmark,Coupa / Brandfolder,true,255000,75,LATAM,Agency / sourcing office,Brightmark site master,brightmark-site-master-0018,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-019,United Kingdom,Forge & Field,Shopify / NetSuite,true,290000,76,APAC,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0019,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-020,Germany,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,true,325000,77,Middle East,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0020,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-021,France,Northline,Manhattan WMS,true,360000,78,North America,Distribution / freight node,Northline site master,northline-site-master-0021,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-022,Spain,Brightmark,Coupa / Brandfolder,false,395000,79,Europe,Agency / sourcing office,Brightmark site master,brightmark-site-master-0022,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-023,Netherlands,Forge & Field,Shopify / NetSuite,true,430000,80,LATAM,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0023,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-024,Poland,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,true,465000,81,APAC,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0024,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-025,China,Northline,Manhattan WMS,true,80000,82,Middle East,Distribution / freight node,Northline site master,northline-site-master-0025,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-026,Japan,Brightmark,Coupa / Brandfolder,true,115000,83,North America,Agency / sourcing office,Brightmark site master,brightmark-site-master-0026,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-027,Malaysia,Forge & Field,Shopify / NetSuite,true,150000,84,Europe,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0027,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-028,Australia,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,true,185000,85,LATAM,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0028,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-029,Brazil,Northline,Manhattan WMS,false,220000,86,APAC,Distribution / freight node,Northline site master,northline-site-master-0029,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-030,United Arab Emirates,Brightmark,Coupa / Brandfolder,true,255000,87,Middle East,Agency / sourcing office,Brightmark site master,brightmark-site-master-0030,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-031,United States,Forge & Field,Shopify / NetSuite,true,290000,88,North America,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0031,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-032,Canada,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,true,325000,89,Europe,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0032,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-033,Mexico,Northline,Manhattan WMS,true,360000,90,LATAM,Distribution / freight node,Northline site master,northline-site-master-0033,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-034,United Kingdom,Brightmark,Coupa / Brandfolder,true,395000,58,APAC,Agency / sourcing office,Brightmark site master,brightmark-site-master-0034,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-035,Germany,Forge & Field,Shopify / NetSuite,true,430000,59,Middle East,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0035,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-036,France,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,false,465000,60,North America,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0036,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-037,Spain,Northline,Manhattan WMS,true,80000,61,Europe,Distribution / freight node,Northline site master,northline-site-master-0037,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-038,Netherlands,Brightmark,Coupa / Brandfolder,true,115000,62,LATAM,Agency / sourcing office,Brightmark site master,brightmark-site-master-0038,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-039,Poland,Forge & Field,Shopify / NetSuite,true,150000,63,APAC,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0039,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-040,China,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,true,185000,64,Middle East,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0040,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-041,Japan,Northline,Manhattan WMS,true,220000,65,North America,Distribution / freight node,Northline site master,northline-site-master-0041,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-042,Malaysia,Brightmark,Coupa / Brandfolder,true,255000,66,Europe,Agency / sourcing office,Brightmark site master,brightmark-site-master-0042,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-043,Australia,Forge & Field,Shopify / NetSuite,false,290000,67,LATAM,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0043,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-044,Brazil,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,true,325000,68,APAC,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0044,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-045,United Arab Emirates,Northline,Manhattan WMS,true,360000,69,Middle East,Distribution / freight node,Northline site master,northline-site-master-0045,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-046,United States,Brightmark,Coupa / Brandfolder,true,395000,70,North America,Agency / sourcing office,Brightmark site master,brightmark-site-master-0046,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-047,Canada,Forge & Field,Shopify / NetSuite,true,430000,71,Europe,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0047,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-048,Mexico,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,true,465000,72,LATAM,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0048,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-049,United Kingdom,Northline,Manhattan WMS,true,80000,73,APAC,Distribution / freight node,Northline site master,northline-site-master-0049,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-050,Germany,Brightmark,Coupa / Brandfolder,false,115000,74,Middle East,Agency / sourcing office,Brightmark site master,brightmark-site-master-0050,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-051,France,Forge & Field,Shopify / NetSuite,true,150000,75,North America,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0051,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-052,Spain,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,true,185000,76,Europe,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0052,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-053,Netherlands,Northline,Manhattan WMS,true,220000,77,LATAM,Distribution / freight node,Northline site master,northline-site-master-0053,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-054,Poland,Brightmark,Coupa / Brandfolder,true,255000,78,APAC,Agency / sourcing office,Brightmark site master,brightmark-site-master-0054,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-055,China,Forge & Field,Shopify / NetSuite,true,290000,79,Middle East,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0055,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-056,Japan,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,true,325000,80,North America,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0056,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
