signal_id,market,competitor,claim,source_url,confidence,source_system,source_record_id,source_owner,last_validated_date,evidence_usable,notes_gaps
MKT-011,Private investment group and shared services,YETI,Foodservice logistics clients demand better cold-chain visibility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0011,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-012,"Foodservice supply chain, freight, cold chain, distribution",Compass Group,Marketing services clients are consolidating promotion sourcing vendors.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0012,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-013,"Marketing technology, sourcing, promotions, loyalty operations",Lineage Logistics,DTC consumer products margin is pressured by fulfillment and return costs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0013,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-014,"Premium consumer products, DTC commerce, retail channels",DHL Supply Chain,Corporate foodservice buyers are adopting micro-market and pantry programs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0014,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-015,"Workplace foodservice, micro-markets, vending, onsite dining",Bunzl,Treasury teams are raising FX hedge discipline after currency volatility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0015,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-016,Private investment group and shared services,Accenture Song,Foodservice logistics clients demand better cold-chain visibility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0016,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-017,"Foodservice supply chain, freight, cold chain, distribution",YETI,Marketing services clients are consolidating promotion sourcing vendors.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0017,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-018,"Marketing technology, sourcing, promotions, loyalty operations",Compass Group,DTC consumer products margin is pressured by fulfillment and return costs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0018,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-019,"Premium consumer products, DTC commerce, retail channels",Lineage Logistics,Corporate foodservice buyers are adopting micro-market and pantry programs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0019,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-020,"Workplace foodservice, micro-markets, vending, onsite dining",DHL Supply Chain,Treasury teams are raising FX hedge discipline after currency volatility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0020,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-021,Private investment group and shared services,Bunzl,Foodservice logistics clients demand better cold-chain visibility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0021,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-022,"Foodservice supply chain, freight, cold chain, distribution",Accenture Song,Marketing services clients are consolidating promotion sourcing vendors.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0022,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-023,"Marketing technology, sourcing, promotions, loyalty operations",YETI,DTC consumer products margin is pressured by fulfillment and return costs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0023,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-024,"Premium consumer products, DTC commerce, retail channels",Compass Group,Corporate foodservice buyers are adopting micro-market and pantry programs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0024,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-025,"Workplace foodservice, micro-markets, vending, onsite dining",Lineage Logistics,Treasury teams are raising FX hedge discipline after currency volatility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0025,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-026,Private investment group and shared services,DHL Supply Chain,Foodservice logistics clients demand better cold-chain visibility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0026,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-027,"Foodservice supply chain, freight, cold chain, distribution",Bunzl,Marketing services clients are consolidating promotion sourcing vendors.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0027,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-028,"Marketing technology, sourcing, promotions, loyalty operations",Accenture Song,DTC consumer products margin is pressured by fulfillment and return costs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0028,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-029,"Premium consumer products, DTC commerce, retail channels",YETI,Corporate foodservice buyers are adopting micro-market and pantry programs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0029,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-030,"Workplace foodservice, micro-markets, vending, onsite dining",Compass Group,Treasury teams are raising FX hedge discipline after currency volatility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0030,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-031,Private investment group and shared services,Lineage Logistics,Foodservice logistics clients demand better cold-chain visibility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0031,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-032,"Foodservice supply chain, freight, cold chain, distribution",DHL Supply Chain,Marketing services clients are consolidating promotion sourcing vendors.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0032,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-033,"Marketing technology, sourcing, promotions, loyalty operations",Bunzl,DTC consumer products margin is pressured by fulfillment and return costs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0033,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-034,"Premium consumer products, DTC commerce, retail channels",Accenture Song,Corporate foodservice buyers are adopting micro-market and pantry programs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0034,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-035,"Workplace foodservice, micro-markets, vending, onsite dining",YETI,Treasury teams are raising FX hedge discipline after currency volatility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0035,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-036,Private investment group and shared services,Compass Group,Foodservice logistics clients demand better cold-chain visibility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0036,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-037,"Foodservice supply chain, freight, cold chain, distribution",Lineage Logistics,Marketing services clients are consolidating promotion sourcing vendors.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0037,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-038,"Marketing technology, sourcing, promotions, loyalty operations",DHL Supply Chain,DTC consumer products margin is pressured by fulfillment and return costs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0038,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-039,"Premium consumer products, DTC commerce, retail channels",Bunzl,Corporate foodservice buyers are adopting micro-market and pantry programs.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0039,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
MKT-040,"Workplace foodservice, micro-markets, vending, onsite dining",Accenture Song,Treasury teams are raising FX hedge discipline after currency volatility.,synthetic://lakeshore/market-scan,0.86,Strategy market scan,strategy-market-scan-0040,Corporate Strategy,2026-05-31,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
