edge_id,source_app_id,target_app_id,integration_type,latency_sla,kill_blocker_flag,data_domain,criticality,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
INT-011,APP-LSH-HOLDCO-031,APP-NLS-082,Kafka event,hourly,false,customer,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0011,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-012,APP-FFF-034,APP-FFF-089,Batch ETL,daily,false,vendor,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0012,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-013,APP-NLS-037,APP-LSH-HOLDCO-096,API,real-time,false,shipment,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0013,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-014,APP-GLP-040,APP-BMS-103,EDI,<15 min,true,campaign,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0014,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-015,APP-BMS-043,APP-GLP-110,SFTP file,hourly,false,orders,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0015,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-016,APP-LSH-HOLDCO-046,APP-NLS-117,MuleSoft flow,daily,false,inventory,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0016,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-017,APP-FFF-049,APP-FFF-124,Kafka event,real-time,false,cash,high,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0017,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-018,APP-NLS-052,APP-LSH-HOLDCO-131,Batch ETL,<15 min,false,customer,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0018,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-019,APP-GLP-055,APP-BMS-138,API,hourly,false,vendor,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0019,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-020,APP-BMS-058,APP-GLP-145,EDI,daily,false,shipment,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0020,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-021,APP-LSH-HOLDCO-061,APP-NLS-152,SFTP file,real-time,false,campaign,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0021,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-022,APP-FFF-064,APP-FFF-159,MuleSoft flow,<15 min,false,orders,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0022,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-023,APP-NLS-067,APP-LSH-HOLDCO-166,Kafka event,hourly,false,inventory,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0023,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-024,APP-GLP-070,APP-BMS-173,Batch ETL,daily,false,cash,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0024,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-025,APP-BMS-073,APP-GLP-180,API,real-time,false,customer,high,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0025,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-026,APP-LSH-HOLDCO-076,APP-NLS-007,EDI,<15 min,false,vendor,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0026,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-027,APP-FFF-079,APP-FFF-014,SFTP file,hourly,true,shipment,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0027,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-028,APP-NLS-082,APP-LSH-HOLDCO-021,MuleSoft flow,daily,false,campaign,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0028,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-029,APP-GLP-085,APP-BMS-028,Kafka event,real-time,false,orders,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0029,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-030,APP-BMS-088,APP-GLP-035,Batch ETL,<15 min,false,inventory,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0030,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-031,APP-LSH-HOLDCO-091,APP-NLS-042,API,hourly,false,cash,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0031,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-032,APP-FFF-094,APP-FFF-049,EDI,daily,false,customer,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0032,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-033,APP-NLS-097,APP-LSH-HOLDCO-056,SFTP file,real-time,false,vendor,high,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0033,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-034,APP-GLP-100,APP-BMS-063,MuleSoft flow,<15 min,false,shipment,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0034,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-035,APP-BMS-103,APP-GLP-070,Kafka event,hourly,false,campaign,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0035,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-036,APP-LSH-HOLDCO-106,APP-NLS-077,Batch ETL,daily,false,orders,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0036,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-037,APP-FFF-109,APP-FFF-084,API,real-time,false,inventory,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0037,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-038,APP-NLS-112,APP-LSH-HOLDCO-091,EDI,<15 min,false,cash,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0038,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-039,APP-GLP-115,APP-BMS-098,SFTP file,hourly,false,customer,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0039,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-040,APP-BMS-118,APP-GLP-105,MuleSoft flow,daily,true,vendor,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0040,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-041,APP-LSH-HOLDCO-121,APP-NLS-112,Kafka event,real-time,false,shipment,high,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0041,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-042,APP-FFF-124,APP-FFF-119,Batch ETL,<15 min,false,campaign,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0042,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-043,APP-NLS-127,APP-LSH-HOLDCO-126,API,hourly,false,orders,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0043,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-044,APP-GLP-130,APP-BMS-133,EDI,daily,false,inventory,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0044,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-045,APP-BMS-133,APP-GLP-140,SFTP file,real-time,false,cash,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0045,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-046,APP-LSH-HOLDCO-136,APP-NLS-147,MuleSoft flow,<15 min,false,customer,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0046,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-047,APP-FFF-139,APP-FFF-154,Kafka event,hourly,false,vendor,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0047,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-048,APP-NLS-142,APP-LSH-HOLDCO-161,Batch ETL,daily,false,shipment,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0048,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-049,APP-GLP-145,APP-BMS-168,API,real-time,false,campaign,high,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0049,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-050,APP-BMS-148,APP-GLP-175,EDI,<15 min,false,orders,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0050,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-051,APP-LSH-HOLDCO-151,APP-NLS-002,SFTP file,hourly,false,inventory,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0051,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-052,APP-FFF-154,APP-FFF-009,MuleSoft flow,daily,false,cash,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0052,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-053,APP-NLS-157,APP-LSH-HOLDCO-016,Kafka event,real-time,true,customer,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0053,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-054,APP-GLP-160,APP-BMS-023,Batch ETL,<15 min,false,vendor,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0054,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-055,APP-BMS-163,APP-GLP-030,API,hourly,false,shipment,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0055,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-056,APP-LSH-HOLDCO-166,APP-NLS-037,EDI,daily,false,campaign,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0056,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-057,APP-FFF-169,APP-FFF-044,SFTP file,real-time,false,orders,high,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0057,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-058,APP-NLS-172,APP-LSH-HOLDCO-051,MuleSoft flow,<15 min,false,inventory,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0058,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-059,APP-GLP-175,APP-BMS-058,Kafka event,hourly,false,cash,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0059,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-060,APP-BMS-178,APP-GLP-065,Batch ETL,daily,false,customer,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0060,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-061,APP-LSH-HOLDCO-001,APP-NLS-072,API,real-time,false,vendor,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0061,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-062,APP-FFF-004,APP-FFF-079,EDI,<15 min,false,shipment,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0062,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-063,APP-NLS-007,APP-LSH-HOLDCO-086,SFTP file,hourly,false,campaign,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0063,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-064,APP-GLP-010,APP-BMS-093,MuleSoft flow,daily,false,orders,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0064,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-065,APP-BMS-013,APP-GLP-100,Kafka event,real-time,false,inventory,high,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0065,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-066,APP-LSH-HOLDCO-016,APP-NLS-107,Batch ETL,<15 min,true,cash,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0066,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-067,APP-FFF-019,APP-FFF-114,API,hourly,false,customer,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0067,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-068,APP-NLS-022,APP-LSH-HOLDCO-121,EDI,daily,false,vendor,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0068,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-069,APP-GLP-025,APP-BMS-128,SFTP file,real-time,false,shipment,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0069,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-070,APP-BMS-028,APP-GLP-135,MuleSoft flow,<15 min,false,campaign,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0070,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-071,APP-LSH-HOLDCO-031,APP-NLS-142,Kafka event,hourly,false,orders,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0071,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-072,APP-FFF-034,APP-FFF-149,Batch ETL,daily,false,inventory,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0072,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-073,APP-NLS-037,APP-LSH-HOLDCO-156,API,real-time,false,cash,high,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0073,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-074,APP-GLP-040,APP-BMS-163,EDI,<15 min,false,customer,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0074,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-075,APP-BMS-043,APP-GLP-170,SFTP file,hourly,false,vendor,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0075,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-076,APP-LSH-HOLDCO-046,APP-NLS-177,MuleSoft flow,daily,false,shipment,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0076,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-077,APP-FFF-049,APP-FFF-004,Kafka event,real-time,false,campaign,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0077,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-078,APP-NLS-052,APP-LSH-HOLDCO-011,Batch ETL,<15 min,false,orders,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0078,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-079,APP-GLP-055,APP-BMS-018,API,hourly,true,inventory,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0079,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-080,APP-BMS-058,APP-GLP-025,EDI,daily,false,cash,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0080,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-081,APP-LSH-HOLDCO-061,APP-NLS-032,SFTP file,real-time,false,customer,high,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0081,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-082,APP-FFF-064,APP-FFF-039,MuleSoft flow,<15 min,false,vendor,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0082,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-083,APP-NLS-067,APP-LSH-HOLDCO-046,Kafka event,hourly,false,shipment,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0083,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-084,APP-GLP-070,APP-BMS-053,Batch ETL,daily,false,campaign,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0084,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-085,APP-BMS-073,APP-GLP-060,API,real-time,false,orders,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0085,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-086,APP-LSH-HOLDCO-076,APP-NLS-067,EDI,<15 min,false,inventory,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0086,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-087,APP-FFF-079,APP-FFF-074,SFTP file,hourly,false,cash,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0087,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-088,APP-NLS-082,APP-LSH-HOLDCO-081,MuleSoft flow,daily,false,customer,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0088,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-089,APP-GLP-085,APP-BMS-088,Kafka event,real-time,false,vendor,high,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0089,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-090,APP-BMS-088,APP-GLP-095,Batch ETL,<15 min,false,shipment,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0090,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-091,APP-LSH-HOLDCO-091,APP-NLS-102,API,hourly,false,campaign,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0091,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-092,APP-FFF-094,APP-FFF-109,EDI,daily,true,orders,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0092,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-093,APP-NLS-097,APP-LSH-HOLDCO-116,SFTP file,real-time,false,inventory,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0093,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-094,APP-GLP-100,APP-BMS-123,MuleSoft flow,<15 min,false,cash,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0094,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-095,APP-BMS-103,APP-GLP-130,Kafka event,hourly,false,customer,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0095,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-096,APP-LSH-HOLDCO-106,APP-NLS-137,Batch ETL,daily,false,vendor,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0096,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
