app_id,name,criticality,owner_role,system_of_record,ams_vendor,time_classification,platform,hosting_model,data_classification,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
APP-GLP-015,Great Lakes Pantry Commerce Service,Tier 1,Great Lakes Pantry Application Owner,false,KYRIBA,modernize,Toast,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0015,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-016,Holdco Marketing Automation Service,Tier 2,Holdco Application Owner,true,KYRIBA,retire,Microsoft 365,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0016,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-017,Northline HRIS Core,Tier 3,Northline Application Owner,false,KYRIBA,run,MuleSoft,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0017,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-018,Brightmark Cyber EDR Service,Tier 3,Brightmark Application Owner,false,KYRIBA,change,Braze,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0018,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-019,Forge & Field Contract Lifecycle Service,Tier 2,Forge & Field Application Owner,false,KYRIBA,modernize,Shopify Plus,On-prem,restricted,ServiceNow CMDB,servicenow-cmdb-0019,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-020,Great Lakes Pantry Treasury Service,Tier 3,Great Lakes Pantry Application Owner,false,KYRIBA,retire,365 Retail Markets,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0020,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-021,Holdco Finance Core,Tier 3,Holdco Application Owner,true,KYRIBA,run,ServiceNow,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0021,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-022,Northline Procurement Service,Tier 1,Northline Application Owner,false,KYRIBA,change,FourKites,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0022,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-023,Brightmark Identity Service,Tier 3,Brightmark Application Owner,false,KYRIBA,modernize,Snowflake,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0023,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-024,Forge & Field ITSM Service,Tier 3,Forge & Field Application Owner,false,KYRIBA,retire,ShipBob,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0024,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-025,Great Lakes Pantry Data Warehouse Core,Tier 2,Great Lakes Pantry Application Owner,false,KYRIBA,run,Cantaloupe Seed,Hybrid,restricted,ServiceNow CMDB,servicenow-cmdb-0025,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-026,Holdco BI Service,Tier 3,Holdco Application Owner,true,KYRIBA,change,Workday,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0026,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-027,Northline Integration Service,Tier 3,Northline Application Owner,false,KYRIBA,modernize,Blue Yonder,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0027,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-028,Brightmark CRM Service,Tier 2,Brightmark Application Owner,false,KYRIBA,retire,Coupa,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0028,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-029,Forge & Field Planning Core,Tier 1,Forge & Field Application Owner,false,KYRIBA,run,Klaviyo,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0029,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-030,Great Lakes Pantry WMS Service,Tier 3,Great Lakes Pantry Application Owner,false,KYRIBA,change,Power BI,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0030,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-031,Holdco TMS Service,Tier 2,Holdco Application Owner,true,KYRIBA,modernize,Kyriba,Azure,restricted,ServiceNow CMDB,servicenow-cmdb-0031,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-032,Northline DAM Service,Tier 3,Northline Application Owner,false,KYRIBA,retire,Manhattan WMS,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0032,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-033,Brightmark PIM Core,Tier 3,Brightmark Application Owner,false,KYRIBA,run,Brandfolder DAM,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0033,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-034,Forge & Field OMS Service,Tier 2,Forge & Field Application Owner,false,KYRIBA,change,PIM Akeneo,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0034,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-035,Great Lakes Pantry Commerce Service,Tier 3,Great Lakes Pantry Application Owner,false,KYRIBA,modernize,Salesforce Field Service,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0035,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-036,Holdco Marketing Automation Service,Tier 1,Holdco Application Owner,true,KYRIBA,retire,Power BI,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0036,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-037,Northline HRIS Core,Tier 2,Northline Application Owner,false,KYRIBA,run,SAP S/4HANA,AWS,restricted,ServiceNow CMDB,servicenow-cmdb-0037,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-038,Brightmark Cyber EDR Service,Tier 3,Brightmark Application Owner,false,KYRIBA,change,Adobe Experience Manager,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0038,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-039,Forge & Field Contract Lifecycle Service,Tier 3,Forge & Field Application Owner,false,KYRIBA,modernize,NetSuite,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0039,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-040,Great Lakes Pantry Treasury Service,Tier 2,Great Lakes Pantry Application Owner,false,KYRIBA,retire,NetSuite,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0040,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-041,Holdco Finance Core,Tier 3,Holdco Application Owner,true,KYRIBA,run,Okta,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0041,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-042,Northline Procurement Service,Tier 3,Northline Application Owner,false,KYRIBA,change,Snowflake,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0042,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-043,Brightmark Identity Service,Tier 1,Brightmark Application Owner,false,KYRIBA,modernize,Salesforce Marketing Cloud,SaaS,restricted,ServiceNow CMDB,servicenow-cmdb-0043,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-044,Forge & Field ITSM Service,Tier 3,Forge & Field Application Owner,false,KYRIBA,retire,Salesforce Commerce Cloud,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0044,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-045,Great Lakes Pantry Data Warehouse Core,Tier 3,Great Lakes Pantry Application Owner,false,KYRIBA,run,Toast,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0045,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-046,Holdco BI Service,Tier 2,Holdco Application Owner,true,KYRIBA,change,Microsoft 365,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0046,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-047,Northline Integration Service,Tier 3,Northline Application Owner,false,KYRIBA,modernize,MuleSoft,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0047,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-048,Brightmark CRM Service,Tier 3,Brightmark Application Owner,false,KYRIBA,retire,Braze,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0048,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-049,Forge & Field Planning Core,Tier 2,Forge & Field Application Owner,false,KYRIBA,run,Shopify Plus,On-prem,restricted,ServiceNow CMDB,servicenow-cmdb-0049,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-050,Great Lakes Pantry WMS Service,Tier 1,Great Lakes Pantry Application Owner,false,KYRIBA,change,365 Retail Markets,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0050,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-051,Holdco TMS Service,Tier 3,Holdco Application Owner,true,KYRIBA,modernize,ServiceNow,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0051,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-052,Northline DAM Service,Tier 2,Northline Application Owner,false,KYRIBA,retire,FourKites,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0052,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-053,Brightmark PIM Core,Tier 3,Brightmark Application Owner,false,KYRIBA,run,Snowflake,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0053,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-054,Forge & Field OMS Service,Tier 3,Forge & Field Application Owner,false,KYRIBA,change,ShipBob,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0054,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-055,Great Lakes Pantry Commerce Service,Tier 2,Great Lakes Pantry Application Owner,false,KYRIBA,modernize,Cantaloupe Seed,Hybrid,restricted,ServiceNow CMDB,servicenow-cmdb-0055,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-056,Holdco Marketing Automation Service,Tier 3,Holdco Application Owner,true,KYRIBA,retire,Workday,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0056,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-057,Northline HRIS Core,Tier 1,Northline Application Owner,false,KYRIBA,run,Blue Yonder,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0057,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-058,Brightmark Cyber EDR Service,Tier 2,Brightmark Application Owner,false,KYRIBA,change,Coupa,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0058,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-059,Forge & Field Contract Lifecycle Service,Tier 3,Forge & Field Application Owner,false,KYRIBA,modernize,Klaviyo,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0059,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-060,Great Lakes Pantry Treasury Service,Tier 3,Great Lakes Pantry Application Owner,false,KYRIBA,retire,Power BI,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0060,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-061,Holdco Finance Core,Tier 2,Holdco Application Owner,true,KYRIBA,run,Kyriba,Azure,restricted,ServiceNow CMDB,servicenow-cmdb-0061,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-062,Northline Procurement Service,Tier 3,Northline Application Owner,false,KYRIBA,change,Manhattan WMS,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0062,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-063,Brightmark Identity Service,Tier 3,Brightmark Application Owner,false,KYRIBA,modernize,Brandfolder DAM,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0063,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-064,Forge & Field ITSM Service,Tier 1,Forge & Field Application Owner,false,KYRIBA,retire,PIM Akeneo,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0064,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-065,Great Lakes Pantry Data Warehouse Core,Tier 3,Great Lakes Pantry Application Owner,false,KYRIBA,run,Salesforce Field Service,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0065,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-066,Holdco BI Service,Tier 3,Holdco Application Owner,true,KYRIBA,change,Power BI,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0066,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-067,Northline Integration Service,Tier 2,Northline Application Owner,false,KYRIBA,modernize,SAP S/4HANA,AWS,restricted,ServiceNow CMDB,servicenow-cmdb-0067,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-068,Brightmark CRM Service,Tier 3,Brightmark Application Owner,false,KYRIBA,retire,Adobe Experience Manager,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0068,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-069,Forge & Field Planning Core,Tier 3,Forge & Field Application Owner,false,KYRIBA,run,NetSuite,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0069,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-070,Great Lakes Pantry WMS Service,Tier 2,Great Lakes Pantry Application Owner,false,KYRIBA,change,NetSuite,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0070,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-071,Holdco TMS Service,Tier 1,Holdco Application Owner,true,KYRIBA,modernize,Okta,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0071,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-072,Northline DAM Service,Tier 3,Northline Application Owner,false,KYRIBA,retire,Snowflake,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0072,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-073,Brightmark PIM Core,Tier 2,Brightmark Application Owner,false,KYRIBA,run,Salesforce Marketing Cloud,SaaS,restricted,ServiceNow CMDB,servicenow-cmdb-0073,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-074,Forge & Field OMS Service,Tier 3,Forge & Field Application Owner,false,KYRIBA,change,Salesforce Commerce Cloud,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0074,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-075,Great Lakes Pantry Commerce Service,Tier 3,Great Lakes Pantry Application Owner,false,KYRIBA,modernize,Toast,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0075,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-076,Holdco Marketing Automation Service,Tier 2,Holdco Application Owner,true,KYRIBA,retire,Microsoft 365,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0076,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-077,Northline HRIS Core,Tier 3,Northline Application Owner,false,KYRIBA,run,MuleSoft,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0077,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-078,Brightmark Cyber EDR Service,Tier 1,Brightmark Application Owner,false,KYRIBA,change,Braze,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0078,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-079,Forge & Field Contract Lifecycle Service,Tier 2,Forge & Field Application Owner,false,KYRIBA,modernize,Shopify Plus,On-prem,restricted,ServiceNow CMDB,servicenow-cmdb-0079,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-080,Great Lakes Pantry Treasury Service,Tier 3,Great Lakes Pantry Application Owner,false,KYRIBA,retire,365 Retail Markets,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0080,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-081,Holdco Finance Core,Tier 3,Holdco Application Owner,true,KYRIBA,run,ServiceNow,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0081,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-082,Northline Procurement Service,Tier 2,Northline Application Owner,false,KYRIBA,change,FourKites,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0082,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-083,Brightmark Identity Service,Tier 3,Brightmark Application Owner,false,KYRIBA,modernize,Snowflake,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0083,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-084,Forge & Field ITSM Service,Tier 3,Forge & Field Application Owner,false,KYRIBA,retire,ShipBob,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0084,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-085,Great Lakes Pantry Data Warehouse Core,Tier 1,Great Lakes Pantry Application Owner,false,KYRIBA,run,Cantaloupe Seed,Hybrid,restricted,ServiceNow CMDB,servicenow-cmdb-0085,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
