tenant_key,leader_id,leader_name,role,reports_to_role,organization_area,source_basis,source_file,confidence,caveat,source_file,source_row,value_source
apex-retail,APEX_RETAIL_BUS_ROLE_13,,Chief Merchandising Officer,Business executive committee,Merchandising,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,32,tenant_file
apex-retail,APEX_RETAIL_BUS_ROLE_14,,Chief Supply Chain Officer,Business executive committee,Supply Chain and Fulfillment,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,33,tenant_file
apex-retail,APEX_RETAIL_BUS_ROLE_15,,Chief Marketing Officer,Business executive committee,Loyalty and Customer Growth,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,34,tenant_file
apex-retail,APEX_RETAIL_BUS_ROLE_16,,CFO,Business executive committee,Finance and FP&A,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,35,tenant_file
apex-retail,APEX_RETAIL_BUS_ROLE_17,,Chief Risk Officer,Business executive committee,Loss Prevention and Risk,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,36,tenant_file
apex-retail,APEX_RETAIL_BUS_ROLE_18,,CIO,Business executive committee,Technology,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,37,tenant_file
apex-retail,APEX_RETAIL_BUS_ROLE_19,,CHRO,Business executive committee,Human Resources,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,38,tenant_file
apex-retail,APEX_RETAIL_BUS_ROLE_20,,Chief Procurement Officer,Business executive committee,Procurement and Vendor Management,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,39,tenant_file
apex-retail,APEX_RETAIL_BUS_ROLE_21,,Chief Real Estate Officer,Business executive committee,Real Estate and Facilities,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,40,tenant_file
apex-retail,APEX_RETAIL_BUS_ROLE_22,,SVP Private Brands,Business executive committee,Private Brands,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,41,tenant_file
