Play_ID,Metric_ID,Peer_or_Archetype,Play_Name,Metric_Moved,Delta,Enablers,Reference_Pattern,Domain
FIRSTCAPITAL-PLAY-0001,FIRSTCAPITAL-MET-0001,top quartile operator,First Capital Financial comparable transformation play 1,First Capital Financial benefit realization against committed value metric 1,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0065,FIRSTCAPITAL-MET-0065,top quartile operator,First Capital Financial comparable transformation play 65,First Capital Financial unit cost across served population or customer journey metric 65,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0066,FIRSTCAPITAL-MET-0066,top quartile operator,First Capital Financial comparable transformation play 66,First Capital Financial benefit realization against committed value metric 66,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0067,FIRSTCAPITAL-MET-0067,top quartile operator,First Capital Financial comparable transformation play 67,First Capital Financial elapsed time for target process metric 67,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0068,FIRSTCAPITAL-MET-0068,top quartile operator,First Capital Financial comparable transformation play 68,First Capital Financial open control and governance pressure metric 68,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0069,FIRSTCAPITAL-MET-0069,top quartile operator,First Capital Financial comparable transformation play 69,First Capital Financial active usage of changed workflow metric 69,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0070,FIRSTCAPITAL-MET-0070,top quartile operator,First Capital Financial comparable transformation play 70,First Capital Financial unit cost across served population or customer journey metric 70,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0071,FIRSTCAPITAL-MET-0071,top quartile operator,First Capital Financial comparable transformation play 71,First Capital Financial benefit realization against committed value metric 71,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0072,FIRSTCAPITAL-MET-0072,top quartile operator,First Capital Financial comparable transformation play 72,First Capital Financial elapsed time for target process metric 72,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0073,FIRSTCAPITAL-MET-0073,top quartile operator,First Capital Financial comparable transformation play 73,First Capital Financial open control and governance pressure metric 73,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0074,FIRSTCAPITAL-MET-0074,top quartile operator,First Capital Financial comparable transformation play 74,First Capital Financial active usage of changed workflow metric 74,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0075,FIRSTCAPITAL-MET-0075,top quartile operator,First Capital Financial comparable transformation play 75,First Capital Financial unit cost across served population or customer journey metric 75,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0076,FIRSTCAPITAL-MET-0076,top quartile operator,First Capital Financial comparable transformation play 76,First Capital Financial benefit realization against committed value metric 76,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0077,FIRSTCAPITAL-MET-0077,top quartile operator,First Capital Financial comparable transformation play 77,First Capital Financial elapsed time for target process metric 77,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0078,FIRSTCAPITAL-MET-0078,top quartile operator,First Capital Financial comparable transformation play 78,First Capital Financial open control and governance pressure metric 78,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0079,FIRSTCAPITAL-MET-0079,top quartile operator,First Capital Financial comparable transformation play 79,First Capital Financial active usage of changed workflow metric 79,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0080,FIRSTCAPITAL-MET-0080,top quartile operator,First Capital Financial comparable transformation play 80,First Capital Financial unit cost across served population or customer journey metric 80,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0081,FIRSTCAPITAL-MET-0081,top quartile operator,First Capital Financial comparable transformation play 81,First Capital Financial benefit realization against committed value metric 81,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0082,FIRSTCAPITAL-MET-0082,top quartile operator,First Capital Financial comparable transformation play 82,First Capital Financial elapsed time for target process metric 82,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0083,FIRSTCAPITAL-MET-0083,top quartile operator,First Capital Financial comparable transformation play 83,First Capital Financial open control and governance pressure metric 83,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0084,FIRSTCAPITAL-MET-0084,top quartile operator,First Capital Financial comparable transformation play 84,First Capital Financial active usage of changed workflow metric 84,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0085,FIRSTCAPITAL-MET-0085,top quartile operator,First Capital Financial comparable transformation play 85,First Capital Financial unit cost across served population or customer journey metric 85,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0086,FIRSTCAPITAL-MET-0086,top quartile operator,First Capital Financial comparable transformation play 86,First Capital Financial benefit realization against committed value metric 86,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0087,FIRSTCAPITAL-MET-0087,top quartile operator,First Capital Financial comparable transformation play 87,First Capital Financial elapsed time for target process metric 87,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0088,FIRSTCAPITAL-MET-0088,top quartile operator,First Capital Financial comparable transformation play 88,First Capital Financial open control and governance pressure metric 88,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0089,FIRSTCAPITAL-MET-0089,top quartile operator,First Capital Financial comparable transformation play 89,First Capital Financial active usage of changed workflow metric 89,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0090,FIRSTCAPITAL-MET-0090,top quartile operator,First Capital Financial comparable transformation play 90,First Capital Financial unit cost across served population or customer journey metric 90,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0091,FIRSTCAPITAL-MET-0091,top quartile operator,First Capital Financial comparable transformation play 91,First Capital Financial benefit realization against committed value metric 91,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0092,FIRSTCAPITAL-MET-0092,top quartile operator,First Capital Financial comparable transformation play 92,First Capital Financial elapsed time for target process metric 92,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0093,FIRSTCAPITAL-MET-0093,top quartile operator,First Capital Financial comparable transformation play 93,First Capital Financial open control and governance pressure metric 93,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0094,FIRSTCAPITAL-MET-0094,top quartile operator,First Capital Financial comparable transformation play 94,First Capital Financial active usage of changed workflow metric 94,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0095,FIRSTCAPITAL-MET-0095,top quartile operator,First Capital Financial comparable transformation play 95,First Capital Financial unit cost across served population or customer journey metric 95,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0096,FIRSTCAPITAL-MET-0096,top quartile operator,First Capital Financial comparable transformation play 96,First Capital Financial benefit realization against committed value metric 96,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0097,FIRSTCAPITAL-MET-0097,top quartile operator,First Capital Financial comparable transformation play 97,First Capital Financial elapsed time for target process metric 97,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0098,FIRSTCAPITAL-MET-0098,top quartile operator,First Capital Financial comparable transformation play 98,First Capital Financial open control and governance pressure metric 98,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0099,FIRSTCAPITAL-MET-0099,top quartile operator,First Capital Financial comparable transformation play 99,First Capital Financial active usage of changed workflow metric 99,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0100,FIRSTCAPITAL-MET-0100,top quartile operator,First Capital Financial comparable transformation play 100,First Capital Financial unit cost across served population or customer journey metric 100,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0101,FIRSTCAPITAL-MET-0101,top quartile operator,First Capital Financial comparable transformation play 101,First Capital Financial benefit realization against committed value metric 101,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0102,FIRSTCAPITAL-MET-0102,top quartile operator,First Capital Financial comparable transformation play 102,First Capital Financial elapsed time for target process metric 102,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0103,FIRSTCAPITAL-MET-0103,top quartile operator,First Capital Financial comparable transformation play 103,First Capital Financial open control and governance pressure metric 103,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0104,FIRSTCAPITAL-MET-0104,top quartile operator,First Capital Financial comparable transformation play 104,First Capital Financial active usage of changed workflow metric 104,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0105,FIRSTCAPITAL-MET-0105,top quartile operator,First Capital Financial comparable transformation play 105,First Capital Financial unit cost across served population or customer journey metric 105,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0106,FIRSTCAPITAL-MET-0106,top quartile operator,First Capital Financial comparable transformation play 106,First Capital Financial benefit realization against committed value metric 106,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0107,FIRSTCAPITAL-MET-0107,top quartile operator,First Capital Financial comparable transformation play 107,First Capital Financial elapsed time for target process metric 107,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
