app_id,run_cost_fy25_usd,allocated_vendor,basis
FCF-APP-CYBERSECURITY-080,4910000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-081,5047000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-082,5184000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-083,5321000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-084,5458000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-085,5595000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-086,5732000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-087,5869000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-088,6006000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-089,6143000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-090,6280000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-091,6417000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-CYBERSECURITY-092,6554000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-093,6691000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-094,428000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-095,565000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-096,702000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-097,839000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-098,976000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-099,1113000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-100,1250000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-101,1387000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-102,1524000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-103,1661000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-CYBERSECURITY-104,1798000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-105,1935000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-106,2072000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-107,2209000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-108,2346000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-109,2483000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-110,2620000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-111,2757000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-112,2894000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-113,3031000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-114,3168000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-115,3305000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-CYBERSECURITY-116,3442000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-117,3579000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-118,3716000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-119,3853000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-120,3990000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-121,4127000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-122,4264000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-123,4401000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-124,4538000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-125,4675000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-126,4812000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-127,4949000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-CYBERSECURITY-128,5086000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-129,5223000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-130,5360000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-131,5497000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-132,5634000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-133,5771000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-134,5908000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-135,6045000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-136,6182000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-137,6319000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-138,6456000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-139,6593000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-CYBERSECURITY-140,6730000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-141,467000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-142,604000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-143,741000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-144,878000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-145,1015000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-146,1152000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-147,1289000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-148,1426000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-149,1563000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-150,1700000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-151,1837000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-CYBERSECURITY-152,1974000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-153,2111000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-154,2248000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-155,2385000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-156,2522000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-157,2659000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-158,2796000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-159,2933000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-160,3070000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-161,3207000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-162,3344000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-163,3481000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-CYBERSECURITY-164,3618000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-165,3755000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-166,3892000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-167,4029000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-168,4166000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-169,4303000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-170,4440000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-171,4577000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-172,4714000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-173,4851000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-174,4988000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-175,5125000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-CYBERSECURITY-176,5262000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-177,5399000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-178,5536000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-179,5673000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-180,5810000,SAS,annual run cost allocated from technology finance workbook
