table,exists_in_supabase,exists_in_azure,supabase_rows,azure_rows,azure_relation,primary_key_overlap_count,checksum_status,sample_missing_ids,classification,evidence,notes
clients,yes,yes,9,9,equal,,PENDING,,PARITY,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Counts match historically; row checksum and PK overlap were not reproduced in this run.
persons,unknown,unknown,,,,,BLOCKED,,BLOCKER,"Not included in current or historical Supabase-Azure reconciliation scope",Required client evidence table; must compare or document supersession.
person_client_memberships,unknown,unknown,,,,,BLOCKED,,BLOCKER,"Not included in current or historical Supabase-Azure reconciliation scope",Required authorization/client evidence table; must compare or document supersession.
engagements,unknown,unknown,,,,,BLOCKED,,BLOCKER,"Final export logs mention table export, but reconciliation was not captured",Required Strategic Moves substrate; must compare or document supersession before shutdown.
source_events,unknown,unknown,,,,,BLOCKED,,BLOCKER,"Not included in current or historical Supabase-Azure reconciliation scope",Required Source event table; must compare or document supersession.
source_event_*,unknown,unknown,,,,,BLOCKED,,BLOCKER,"Not included in current or historical Supabase-Azure reconciliation scope",Required table family; enumerate all matching source tables in source and Azure.
source_artifacts,unknown,unknown,,,,,BLOCKED,,BLOCKER,"Not included in current or historical Supabase-Azure reconciliation scope",Required Source artifact family; must compare or document supersession.
generated_artifacts,unknown,unknown,,,,,BLOCKED,,BLOCKER,"Not included in current or historical Supabase-Azure reconciliation scope",Required artifact/evidence table; must compare or document supersession.
move_artifact_*,unknown,unknown,,,,,BLOCKED,,BLOCKER,"Not included in current or historical Supabase-Azure reconciliation scope",Required Move artifact family; enumerate all matching move tables in source and Azure.
move_*,unknown,unknown,,,,,BLOCKED,,BLOCKER,"Not included in current or historical Supabase-Azure reconciliation scope",Required Move table family; enumerate all matching move tables in source and Azure.
corpus_patterns,yes,yes,8987,9026,azure_ahead,,PENDING,,AZURE_AHEAD,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Azure is ahead by 39 rows; row checksum and provenance explanation still pending.
corpus_pattern_versions,yes,yes,8987,9026,azure_ahead,,PENDING,,AZURE_AHEAD,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Azure is ahead by 39 rows; row checksum and provenance explanation still pending.
corpus_pattern_content,yes,yes,8987,9026,azure_ahead,,PENDING,,AZURE_AHEAD,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Azure is ahead by 39 rows; row checksum and provenance explanation still pending.
corpus_pattern_relationships,yes,yes,27052,27169,azure_ahead,,PENDING,,AZURE_AHEAD,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Azure is ahead by 117 rows; row checksum and provenance explanation still pending.
corpus_telemetry,yes,yes,9027,9066,azure_ahead,,PENDING,,AZURE_AHEAD,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Azure is ahead by 39 rows; row checksum and provenance explanation still pending.
corpus_review_state,yes,yes,0,0,equal,,PASS,,PARITY,"2026-06-06 operator count evidence",Zero-row parity historically.
corpus_overlays,yes,yes,0,0,equal,,PASS,,PARITY,"2026-06-06 operator count evidence",Zero-row parity historically.
genome_patterns,yes,yes,43436,43436,equal,,PENDING,,PARITY,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Counts match historically; row checksum and PK overlap were not reproduced in this run.
intelligence_graph_edges,yes,yes,93743,93743,equal,,PENDING,,PARITY,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Counts match historically; row checksum and PK overlap were not reproduced in this run.
knowledge_sources,yes,yes,136,136,equal,,PENDING,,PARITY,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Counts match historically; row checksum and PK overlap were not reproduced in this run.
knowledge_chunks,yes,yes,0,0,equal,,PASS,,PARITY,"2026-06-06 operator count evidence",Zero-row parity historically.
storage_objects,unknown,unknown,,,,,BLOCKED,,BLOCKER,"Supabase storage bucket inventory/export not captured",Must inventory/export or prove unused before shutdown.
ai_egress_audit,unknown,yes,,,,,BLOCKED,,BLOCKER,"Runtime provider configured; row-level audit proof not captured",Required signed-in QA proof must show provider=anthropic for LLM calls.
