initiative_id,milestone_id,milestone_name,milestone_type,target_date,actual_date,due_date,status,gate_criteria,approver_role,blocker,evidence_id,blocker_or_condition,source_file,source_row,value_source
APX-INIT-004,APX-INIT-004-MS-3,control_ready,,2026-08-05,2026-07-30,2026-07-19,at_risk,,VP Customer Experience,,,camera/POS evidence linkage,ai-control-tower/T02_project-milestones.csv,19,tenant_file
APX-INIT-004,APX-INIT-004-MS-4,pilot_exit,,2026-08-15,2026-08-06,2026-08-25,not_started,,VP Operations,,,,ai-control-tower/T02_project-milestones.csv,20,tenant_file
APX-INIT-004,APX-INIT-004-MS-5,scale_decision,,2026-09-22,2026-09-18,2026-10-01,not_started,,Director of Service Management,,,,ai-control-tower/T02_project-milestones.csv,21,tenant_file
APX-INIT-005,APX-INIT-005-MS-1,charter,,2026-11-20,2026-12-26,2026-12-04,complete,,VP Customer Experience,,,,ai-control-tower/T02_project-milestones.csv,22,tenant_file
APX-INIT-005,APX-INIT-005-MS-2,data_ready,,2026-07-14,2026-08-02,2026-07-30,complete,,Director of Data,,,,ai-control-tower/T02_project-milestones.csv,23,tenant_file
APX-INIT-005,APX-INIT-005-MS-3,control_ready,,2026-08-30,2026-08-28,2026-08-24,at_risk,,VP Engineering,,,consent and customer identity gaps,ai-control-tower/T02_project-milestones.csv,24,tenant_file
APX-INIT-005,APX-INIT-005-MS-4,pilot_exit,,2026-09-04,2026-09-23,2026-09-20,not_started,,Head of Platform,,,,ai-control-tower/T02_project-milestones.csv,25,tenant_file
APX-INIT-005,APX-INIT-005-MS-5,scale_decision,,2026-10-10,2026-10-22,2026-11-09,not_started,,VP Operations,,,,ai-control-tower/T02_project-milestones.csv,26,tenant_file
APX-INIT-006,APX-INIT-006-MS-1,charter,,2026-08-15,2026-07-05,2026-08-01,complete,,VP Operations,,,,ai-control-tower/T02_project-milestones.csv,27,tenant_file
APX-INIT-006,APX-INIT-006-MS-2,data_ready,,2026-09-09,2026-09-03,2026-08-26,complete,,Director of Finance Systems,,,,ai-control-tower/T02_project-milestones.csv,28,tenant_file
APX-INIT-006,APX-INIT-006-MS-3,control_ready,,2026-08-25,2026-09-27,2026-09-23,at_risk,,Director of Data,,,incrementality proof missing,ai-control-tower/T02_project-milestones.csv,29,tenant_file
APX-INIT-006,APX-INIT-006-MS-4,pilot_exit,,2026-11-18,2026-11-01,2026-10-21,not_started,,Director of Service Management,,,,ai-control-tower/T02_project-milestones.csv,30,tenant_file
APX-INIT-006,APX-INIT-006-MS-5,scale_decision,,2026-12-30,2026-12-04,2026-12-08,not_started,,VP Customer Experience,,,,ai-control-tower/T02_project-milestones.csv,31,tenant_file
APX-INIT-007,APX-INIT-007-MS-1,charter,,2026-08-29,2026-09-24,2026-09-07,complete,,Director of Finance Systems,,,,ai-control-tower/T02_project-milestones.csv,32,tenant_file
APX-INIT-007,APX-INIT-007-MS-2,data_ready,,2026-09-28,2026-09-06,2026-09-23,complete,,VP Customer Experience,,,,ai-control-tower/T02_project-milestones.csv,33,tenant_file
APX-INIT-007,APX-INIT-007-MS-3,control_ready,,2026-10-12,2026-10-16,2026-10-31,at_risk,,Head of Platform,,,store inventory accuracy,ai-control-tower/T02_project-milestones.csv,34,tenant_file
APX-INIT-007,APX-INIT-007-MS-4,pilot_exit,,2026-12-24,2026-11-12,2026-12-07,not_started,,Director of Data,,,,ai-control-tower/T02_project-milestones.csv,35,tenant_file
APX-INIT-007,APX-INIT-007-MS-5,scale_decision,,2026-08-18,2026-08-25,2026-08-09,not_started,,Director of Finance Systems,,,,ai-control-tower/T02_project-milestones.csv,36,tenant_file
APX-INIT-008,APX-INIT-008-MS-1,charter,,2026-09-16,2026-08-25,2026-09-21,complete,,Director of Service Management,,,,ai-control-tower/T02_project-milestones.csv,37,tenant_file
APX-INIT-008,APX-INIT-008-MS-2,data_ready,,2026-10-20,2026-10-15,2026-10-29,complete,,Head of AI Governance,,,,ai-control-tower/T02_project-milestones.csv,38,tenant_file
APX-INIT-008,APX-INIT-008-MS-3,control_ready,,2026-11-05,2026-11-07,2026-12-04,at_risk,,Director of Data,,,fairness and customer friction review,ai-control-tower/T02_project-milestones.csv,39,tenant_file
APX-INIT-008,APX-INIT-008-MS-4,pilot_exit,,2026-07-31,2026-08-01,2026-07-26,not_started,,VP Operations,,,,ai-control-tower/T02_project-milestones.csv,40,tenant_file
APX-INIT-008,APX-INIT-008-MS-5,scale_decision,,2026-09-08,2026-09-22,2026-08-31,not_started,,VP Engineering,,,,ai-control-tower/T02_project-milestones.csv,41,tenant_file
APX-INIT-009,APX-INIT-009-MS-1,charter,,2026-10-08,2026-11-08,2026-11-07,complete,,VP Operations,,,,ai-control-tower/T02_project-milestones.csv,42,tenant_file
APX-INIT-009,APX-INIT-009-MS-2,data_ready,,2026-12-29,2026-12-28,2026-12-05,complete,,Director of Service Management,,,,ai-control-tower/T02_project-milestones.csv,43,tenant_file
APX-INIT-009,APX-INIT-009-MS-3,control_ready,,2026-07-25,2026-07-30,2026-07-31,at_risk,,Director of Finance Systems,,,vendor funding lineage,ai-control-tower/T02_project-milestones.csv,44,tenant_file
APX-INIT-009,APX-INIT-009-MS-4,pilot_exit,,2026-09-15,2026-08-08,2026-08-27,not_started,,Director of Data,,,,ai-control-tower/T02_project-milestones.csv,45,tenant_file
APX-INIT-009,APX-INIT-009-MS-5,scale_decision,,2026-10-07,2026-09-11,2026-09-24,not_started,,Director of Service Management,,,,ai-control-tower/T02_project-milestones.csv,46,tenant_file
APX-INIT-010,APX-INIT-010-MS-1,charter,,2026-11-16,2026-11-17,2026-12-07,complete,,VP Operations,,,,ai-control-tower/T02_project-milestones.csv,47,tenant_file
APX-INIT-010,APX-INIT-010-MS-2,data_ready,,2026-08-27,2026-08-07,2026-08-02,complete,,Head of AI Governance,,,,ai-control-tower/T02_project-milestones.csv,48,tenant_file
APX-INIT-010,APX-INIT-010-MS-3,control_ready,,2026-09-11,2026-09-08,2026-08-30,at_risk,,Head of AI Governance,,,knowledge base quality,ai-control-tower/T02_project-milestones.csv,49,tenant_file
APX-INIT-010,APX-INIT-010-MS-4,pilot_exit,,2026-10-17,2026-10-14,2026-09-26,not_started,,Head of Platform,,,,ai-control-tower/T02_project-milestones.csv,50,tenant_file
APX-INIT-010,APX-INIT-010-MS-5,scale_decision,,2026-11-03,2026-11-02,2026-11-12,not_started,,VP Engineering,,,,ai-control-tower/T02_project-milestones.csv,51,tenant_file
APX-INIT-011,APX-INIT-011-MS-1,charter,,2026-08-25,2026-07-22,2026-07-30,complete,,Head of Platform,,,,ai-control-tower/T02_project-milestones.csv,52,tenant_file
APX-INIT-011,APX-INIT-011-MS-2,data_ready,,2026-09-16,2026-08-28,2026-09-04,complete,,Director of Data,,,,ai-control-tower/T02_project-milestones.csv,53,tenant_file
APX-INIT-011,APX-INIT-011-MS-3,control_ready,,2026-09-26,2026-10-18,2026-10-11,at_risk,,VP Engineering,,,planner workflow fit,ai-control-tower/T02_project-milestones.csv,54,tenant_file
APX-INIT-011,APX-INIT-011-MS-4,pilot_exit,,2026-11-24,2026-10-06,2026-10-26,not_started,,Director of Finance Systems,,,,ai-control-tower/T02_project-milestones.csv,55,tenant_file
APX-INIT-011,APX-INIT-011-MS-5,scale_decision,,2026-11-10,2026-12-29,2026-12-06,not_started,,Head of Platform,,,,ai-control-tower/T02_project-milestones.csv,56,tenant_file
APX-INIT-012,APX-INIT-012-MS-1,charter,,2026-09-14,2026-08-07,2026-09-06,complete,,VP Operations,,,,ai-control-tower/T02_project-milestones.csv,57,tenant_file
APX-INIT-012,APX-INIT-012-MS-2,data_ready,,2026-09-21,2026-10-23,2026-10-13,complete,,VP Customer Experience,,,,ai-control-tower/T02_project-milestones.csv,58,tenant_file
APX-INIT-012,APX-INIT-012-MS-3,control_ready,,2026-10-01,2026-11-23,2026-10-28,at_risk,,Director of Data,,,mobile device and policy readiness,ai-control-tower/T02_project-milestones.csv,59,tenant_file
APX-INIT-012,APX-INIT-012-MS-4,pilot_exit,,2026-12-27,2027-01-05,2026-12-08,not_started,,Director of Data,,,,ai-control-tower/T02_project-milestones.csv,60,tenant_file
APX-INIT-012,APX-INIT-012-MS-5,scale_decision,,2026-08-18,2026-07-26,2026-08-13,not_started,,Head of AI Governance,,,,ai-control-tower/T02_project-milestones.csv,61,tenant_file
APX-INIT-013,APX-INIT-013-MS-1,charter,,2026-09-09,2026-10-21,2026-10-04,complete,,Director of Finance Systems,,,,ai-control-tower/T02_project-milestones.csv,62,tenant_file
APX-INIT-013,APX-INIT-013-MS-2,data_ready,,2026-11-08,2026-11-21,2026-10-31,complete,,VP Engineering,,,,ai-control-tower/T02_project-milestones.csv,63,tenant_file
APX-INIT-013,APX-INIT-013-MS-3,control_ready,,2026-11-27,2026-11-28,2026-12-16,at_risk,,Head of AI Governance,,,carrier API latency,ai-control-tower/T02_project-milestones.csv,64,tenant_file
APX-INIT-013,APX-INIT-013-MS-4,pilot_exit,,2026-09-04,2026-07-25,2026-08-11,not_started,,VP Operations,,,,ai-control-tower/T02_project-milestones.csv,65,tenant_file
APX-INIT-013,APX-INIT-013-MS-5,scale_decision,,2026-08-23,2026-08-09,2026-09-05,not_started,,Head of Platform,,,,ai-control-tower/T02_project-milestones.csv,66,tenant_file
APX-INIT-014,APX-INIT-014-MS-1,charter,,2026-10-05,2026-11-17,2026-10-28,complete,,Head of AI Governance,,,,ai-control-tower/T02_project-milestones.csv,67,tenant_file
APX-INIT-014,APX-INIT-014-MS-2,data_ready,,2026-12-26,2027-01-11,2026-12-13,complete,,VP Engineering,,,,ai-control-tower/T02_project-milestones.csv,68,tenant_file
APX-INIT-014,APX-INIT-014-MS-3,control_ready,,2026-07-18,2026-09-04,2026-08-09,at_risk,,Director of Finance Systems,,,measurement by product team incomplete,ai-control-tower/T02_project-milestones.csv,69,tenant_file
APX-INIT-014,APX-INIT-014-MS-4,pilot_exit,,2026-09-12,2026-08-14,2026-09-12,not_started,,Head of Platform,,,,ai-control-tower/T02_project-milestones.csv,70,tenant_file
APX-INIT-014,APX-INIT-014-MS-5,scale_decision,,2026-10-24,2026-11-06,2026-10-09,not_started,,Director of Finance Systems,,,,ai-control-tower/T02_project-milestones.csv,71,tenant_file
