policy_id,policy_name,policy_type,effective_date,version,policy_owner,applies_to_systems,data_domains,control_requirement,ai_constraint,review_cycle_days,next_review_date,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
POL-011,Cloud Data Handling Standard 2,Control,2026-11-15,v2.0,AI Governance Council,CI-APP-SERVICENOW,Inventory,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,365,2027-11-15,GRC,POL-11,GRC Office,2026-05-01,0.84,true,
POL-012,Third-Party Risk Review 2,Standard,2026-12-15,v3.1,Cybersecurity Governance,CI-SEC-OKTA,Promotion,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,730,2027-12-15,GRC,POL-12,GRC Office,2026-05-01,0.84,true,
POL-013,Store Systems Change Control 2,Policy,2026-01-15,v1.2,AI Governance Council,CI-CLOUD-AWS-PROD,Supply Chain,"Owner attestation, evidence retention, and pre-production review are required.",No autonomous decisioning without accountable human attestation.,180,2027-01-15,GRC,POL-13,GRC Office,2026-05-01,0.84,true,
POL-014,Customer Data Consent Procedure 2,Procedure,2026-02-15,v2.3,Cybersecurity Governance,CI-CLOUD-AZURE-PROD,Vendor Master,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,365,2027-02-15,GRC,POL-14,GRC Office,2026-05-01,0.84,true,
POL-015,Contact Center Recording Retention 2,Control,2026-03-15,v3.4,AI Governance Council,CI-APP-WORKDAY-HCM,Store Labor,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,730,2027-03-15,GRC,POL-15,GRC Office,2026-05-01,0.84,true,
POL-016,Revenue Recognition Automation Controls 2,Standard,2026-04-15,v1.0,Cybersecurity Governance,CI-APP-ADOBE-COMMERCE,Financial Planning,"Owner attestation, evidence retention, and pre-production review are required.",No autonomous decisioning without accountable human attestation.,180,2027-04-15,GRC,POL-16,GRC Office,2026-05-01,0.84,true,
POL-017,AI Use and Customer Experience Review 3,Policy,2026-05-15,v2.1,AI Governance Council,CI-APP-SAP-S4,Customer Profile,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,365,2027-05-15,GRC,POL-17,GRC Office,2026-05-01,0.84,true,
POL-018,Promotion Data Quality Standard 3,Procedure,2026-06-15,v3.2,Cybersecurity Governance,CI-APP-ORACLE-RETAIL,Point of Sale,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,730,2027-06-15,GRC,POL-18,GRC Office,2026-05-01,0.84,true,
POL-019,Cloud Data Handling Standard 3,Control,2026-07-15,v1.3,AI Governance Council,CI-APP-NCR-POS,Inventory,"Owner attestation, evidence retention, and pre-production review are required.",No autonomous decisioning without accountable human attestation.,180,2027-07-15,GRC,POL-19,GRC Office,2026-05-01,0.84,true,
POL-020,Third-Party Risk Review 3,Standard,2026-08-15,v2.4,Cybersecurity Governance,CI-SVC-ECOMMERCE,Promotion,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,365,2027-08-15,GRC,POL-20,GRC Office,2026-05-01,0.84,true,
POL-021,Store Systems Change Control 3,Policy,2026-09-15,v3.0,AI Governance Council,CI-DATA-CDP,Supply Chain,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,730,2027-09-15,GRC,POL-21,GRC Office,2026-05-01,0.84,true,
POL-022,Customer Data Consent Procedure 3,Procedure,2026-10-15,v1.1,Cybersecurity Governance,CI-SVC-CONTACT-CENTER,Vendor Master,"Owner attestation, evidence retention, and pre-production review are required.",No autonomous decisioning without accountable human attestation.,180,2027-10-15,GRC,POL-22,GRC Office,2026-05-01,0.84,true,
POL-023,Contact Center Recording Retention 3,Control,2026-11-15,v2.2,AI Governance Council,CI-APP-BLUEYONDER,Store Labor,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,365,2027-11-15,GRC,POL-23,GRC Office,2026-05-01,0.84,true,
POL-024,Revenue Recognition Automation Controls 3,Standard,2026-12-15,v3.3,Cybersecurity Governance,CI-APP-MANHATTAN-WMS,Financial Planning,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,730,2027-12-15,GRC,POL-24,GRC Office,2026-05-01,0.84,true,
POL-025,AI Use and Customer Experience Review 4,Policy,2026-01-15,v1.4,AI Governance Council,CI-WH-SNOWFLAKE,Customer Profile,"Owner attestation, evidence retention, and pre-production review are required.",No autonomous decisioning without accountable human attestation.,180,2027-01-15,GRC,POL-25,GRC Office,2026-05-01,0.84,true,
POL-026,Promotion Data Quality Standard 4,Procedure,2026-02-15,v2.0,Cybersecurity Governance,CI-PLAT-DATABRICKS,Point of Sale,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,365,2027-02-15,GRC,POL-26,GRC Office,2026-05-01,0.84,true,
POL-027,Cloud Data Handling Standard 4,Control,2026-03-15,v3.1,AI Governance Council,CI-APP-SERVICENOW,Inventory,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,730,2027-03-15,GRC,POL-27,GRC Office,2026-05-01,0.84,true,
POL-028,Third-Party Risk Review 4,Standard,2026-04-15,v1.2,Cybersecurity Governance,CI-SEC-OKTA,Promotion,"Owner attestation, evidence retention, and pre-production review are required.",No autonomous decisioning without accountable human attestation.,180,2027-04-15,GRC,POL-28,GRC Office,2026-05-01,0.84,true,
POL-029,Store Systems Change Control 4,Policy,2026-05-15,v2.3,AI Governance Council,CI-CLOUD-AWS-PROD,Supply Chain,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,365,2027-05-15,GRC,POL-29,GRC Office,2026-05-01,0.84,true,
POL-030,Customer Data Consent Procedure 4,Procedure,2026-06-15,v3.4,Cybersecurity Governance,CI-CLOUD-AZURE-PROD,Vendor Master,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,730,2027-06-15,GRC,POL-30,GRC Office,2026-05-01,0.84,true,
POL-031,Contact Center Recording Retention 4,Control,2026-07-15,v1.0,AI Governance Council,CI-APP-WORKDAY-HCM,Store Labor,"Owner attestation, evidence retention, and pre-production review are required.",No autonomous decisioning without accountable human attestation.,180,2027-07-15,GRC,POL-31,GRC Office,2026-05-01,0.84,true,
POL-032,Revenue Recognition Automation Controls 4,Standard,2026-08-15,v2.1,Cybersecurity Governance,CI-APP-ADOBE-COMMERCE,Financial Planning,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,365,2027-08-15,GRC,POL-32,GRC Office,2026-05-01,0.84,true,
