change_id,planned_start,planned_end,ci_id,business_service,change_type,risk_level,approval_group,implementation_owner,status,backout_plan_tested,caused_incident_id,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
CHG0048031,2026-02-06,2026-02-06,CI-APP-058,Assortment Planning,Normal,Low,Enterprise CAB,Commerce Platform Engineering,Scheduled,true,,ServiceNow,CHG48031,Change Management,2026-05-01,0.83,true,
CHG0048032,2026-03-07,2026-03-07,CI-DATA-063,Private Label Quality,Standard,Low,Enterprise CAB,Contact Center Technology,Scheduled,true,,ServiceNow,CHG48032,Change Management,2026-05-01,0.83,true,
CHG0048033,2026-04-08,2026-04-08,CI-APP-ORACLE-RETAIL,Merchandising Operations,Normal,Low,AI Governance Council,Supply Chain Technology,Failed,true,INC0120033,ServiceNow,CHG48033,Change Management,2026-05-01,0.83,false,
CHG0048034,2026-05-09,2026-05-09,CI-APP-BLUEYONDER,Demand Forecasting,Emergency,High,Enterprise CAB,Cybersecurity Governance,Scheduled,true,,ServiceNow,CHG48034,Change Management,2026-05-01,0.83,true,
CHG0048035,2026-06-10,2026-06-10,CI-SEC-OKTA,Identity and Access,Normal,Medium,Enterprise CAB,Supply Chain Technology,Scheduled,false,,ServiceNow,CHG48035,Change Management,2026-05-01,0.83,true,
CHG0048036,2026-01-11,2026-01-11,CI-APP-001,Store Inventory Visibility,Standard,Low,AI Governance Council,Customer Data Platform Office,Implemented,true,,ServiceNow,CHG48036,Change Management,2026-05-01,0.83,true,
CHG0048037,2026-02-12,2026-02-12,CI-DATA-006,Retail Media Campaign Ops,Normal,Low,Enterprise CAB,IT Sourcing,Scheduled,true,,ServiceNow,CHG48037,Change Management,2026-05-01,0.83,true,
CHG0048038,2026-03-13,2026-03-13,CI-SVC-011,Last Mile Delivery,Normal,Low,Enterprise CAB,Customer Data Platform Office,Scheduled,true,,ServiceNow,CHG48038,Change Management,2026-05-01,0.83,true,
CHG0048039,2026-04-14,2026-04-14,CI-APP-016,Demand Signal Repository,Normal,Low,AI Governance Council,IT Sourcing,Implemented,true,,ServiceNow,CHG48039,Change Management,2026-05-01,0.83,true,
CHG0048040,2026-05-15,2026-05-15,CI-DATA-021,Marketplace Seller Hub,Standard,Medium,Enterprise CAB,Customer Data Platform Office,Scheduled,true,,ServiceNow,CHG48040,Change Management,2026-05-01,0.83,true,
CHG0048041,2026-06-16,2026-06-16,CI-SVC-026,Assortment Planning,Normal,Low,Enterprise CAB,IT Sourcing,Scheduled,true,,ServiceNow,CHG48041,Change Management,2026-05-01,0.83,true,
CHG0048042,2026-01-17,2026-01-17,CI-APP-031,Private Label Quality,Normal,Low,AI Governance Council,Customer Data Platform Office,Implemented,false,,ServiceNow,CHG48042,Change Management,2026-05-01,0.83,true,
CHG0048043,2026-02-18,2026-02-18,CI-DATA-036,Returns Optimization,Normal,Low,Enterprise CAB,IT Sourcing,Scheduled,true,,ServiceNow,CHG48043,Change Management,2026-05-01,0.83,true,
CHG0048044,2026-03-19,2026-03-19,CI-SVC-041,Vendor Scorecarding,Standard,Low,Enterprise CAB,Customer Data Platform Office,Failed,true,INC0120044,ServiceNow,CHG48044,Change Management,2026-05-01,0.83,false,
CHG0048045,2026-04-20,2026-04-20,CI-APP-046,Associate Productivity,Normal,Medium,AI Governance Council,IT Sourcing,Implemented,true,,ServiceNow,CHG48045,Change Management,2026-05-01,0.83,true,
CHG0048046,2026-05-21,2026-05-21,CI-DATA-051,Loyalty Offer Decisioning,Normal,Low,Enterprise CAB,Customer Data Platform Office,Scheduled,true,,ServiceNow,CHG48046,Change Management,2026-05-01,0.83,true,
CHG0048047,2026-06-22,2026-06-22,CI-SVC-056,Category P&L Analytics,Normal,Low,Enterprise CAB,IT Sourcing,Scheduled,true,,ServiceNow,CHG48047,Change Management,2026-05-01,0.83,true,
CHG0048048,2026-01-23,2026-01-23,CI-APP-061,Customer Identity Resolution,Standard,Low,AI Governance Council,Customer Data Platform Office,Implemented,true,,ServiceNow,CHG48048,Change Management,2026-05-01,0.83,true,
CHG0048049,2026-02-24,2026-02-24,CI-DATA-066,Promotion Pricing Engine,Normal,Low,Enterprise CAB,IT Sourcing,Scheduled,false,,ServiceNow,CHG48049,Change Management,2026-05-01,0.83,true,
CHG0048050,2026-03-25,2026-03-25,CI-DATA-CDP,Customer 360 and Personalization,Normal,Medium,Enterprise CAB,Contact Center Technology,Scheduled,true,,ServiceNow,CHG48050,Change Management,2026-05-01,0.83,true,
CHG0048051,2026-04-26,2026-04-26,CI-PLAT-DATABRICKS,Advanced Analytics,Emergency,High,AI Governance Council,Commerce Platform Engineering,Implemented,true,,ServiceNow,CHG48051,Change Management,2026-05-01,0.83,true,
CHG0048052,2026-05-01,2026-05-01,CI-APP-WORKDAY-HCM,Workforce Management,Standard,Low,Enterprise CAB,Contact Center Technology,Scheduled,true,,ServiceNow,CHG48052,Change Management,2026-05-01,0.83,true,
CHG0048053,2026-06-02,2026-06-02,CI-APP-004,Returns Optimization,Normal,Low,Enterprise CAB,Cloud Platform Services,Scheduled,true,,ServiceNow,CHG48053,Change Management,2026-05-01,0.83,true,
CHG0048054,2026-01-03,2026-01-03,CI-DATA-009,Vendor Scorecarding,Normal,Low,AI Governance Council,Store Technology,Implemented,true,,ServiceNow,CHG48054,Change Management,2026-05-01,0.83,true,
CHG0048055,2026-02-04,2026-02-04,CI-SVC-014,Associate Productivity,Normal,Medium,Enterprise CAB,Cloud Platform Services,Failed,true,INC0120055,ServiceNow,CHG48055,Change Management,2026-05-01,0.83,false,
CHG0048056,2026-03-05,2026-03-05,CI-APP-019,Loyalty Offer Decisioning,Standard,Low,Enterprise CAB,Store Technology,Scheduled,false,,ServiceNow,CHG48056,Change Management,2026-05-01,0.83,true,
CHG0048057,2026-04-06,2026-04-06,CI-DATA-024,Category P&L Analytics,Normal,Low,AI Governance Council,Cloud Platform Services,Implemented,true,,ServiceNow,CHG48057,Change Management,2026-05-01,0.83,true,
CHG0048058,2026-05-07,2026-05-07,CI-SVC-029,Customer Identity Resolution,Normal,Low,Enterprise CAB,Store Technology,Scheduled,true,,ServiceNow,CHG48058,Change Management,2026-05-01,0.83,true,
CHG0048059,2026-06-08,2026-06-08,CI-APP-034,Promotion Pricing Engine,Normal,Low,Enterprise CAB,Cloud Platform Services,Scheduled,true,,ServiceNow,CHG48059,Change Management,2026-05-01,0.83,true,
CHG0048060,2026-01-09,2026-01-09,CI-DATA-039,Store Labor Scheduling,Standard,Medium,AI Governance Council,Store Technology,Implemented,true,,ServiceNow,CHG48060,Change Management,2026-05-01,0.83,true,
CHG0048061,2026-02-10,2026-02-10,CI-SVC-044,Fraud Detection,Normal,Low,Enterprise CAB,Cloud Platform Services,Scheduled,true,,ServiceNow,CHG48061,Change Management,2026-05-01,0.83,true,
CHG0048062,2026-03-11,2026-03-11,CI-APP-049,Store Inventory Visibility,Normal,Low,Enterprise CAB,Store Technology,Scheduled,true,,ServiceNow,CHG48062,Change Management,2026-05-01,0.83,true,
CHG0048063,2026-04-12,2026-04-12,CI-DATA-054,Retail Media Campaign Ops,Normal,Low,AI Governance Council,Cloud Platform Services,Implemented,false,,ServiceNow,CHG48063,Change Management,2026-05-01,0.83,true,
CHG0048064,2026-05-13,2026-05-13,CI-SVC-059,Last Mile Delivery,Standard,Low,Enterprise CAB,Store Technology,Scheduled,true,,ServiceNow,CHG48064,Change Management,2026-05-01,0.83,true,
CHG0048065,2026-06-14,2026-06-14,CI-APP-064,Demand Signal Repository,Normal,Medium,Enterprise CAB,Cloud Platform Services,Scheduled,true,,ServiceNow,CHG48065,Change Management,2026-05-01,0.83,true,
CHG0048066,2026-01-15,2026-01-15,CI-APP-NCR-POS,Store Checkout,Normal,Low,AI Governance Council,Customer Data Platform Office,Failed,true,INC0120066,ServiceNow,CHG48066,Change Management,2026-05-01,0.83,false,
CHG0048067,2026-02-16,2026-02-16,CI-APP-MANHATTAN-WMS,Distribution Operations,Normal,Low,Enterprise CAB,IT Sourcing,Scheduled,true,,ServiceNow,CHG48067,Change Management,2026-05-01,0.83,true,
CHG0048068,2026-03-17,2026-03-17,CI-CLOUD-AWS-PROD,Cloud Hosting,Emergency,High,Enterprise CAB,Customer Data Platform Office,Scheduled,true,,ServiceNow,CHG48068,Change Management,2026-05-01,0.83,true,
CHG0048069,2026-04-18,2026-04-18,CI-SVC-002,Promotion Pricing Engine,Normal,Low,AI Governance Council,Merchandising Analytics,Implemented,true,,ServiceNow,CHG48069,Change Management,2026-05-01,0.83,true,
CHG0048070,2026-05-19,2026-05-19,CI-APP-007,Store Labor Scheduling,Normal,Medium,Enterprise CAB,Finance Technology,Scheduled,false,,ServiceNow,CHG48070,Change Management,2026-05-01,0.83,true,
CHG0048071,2026-06-20,2026-06-20,CI-DATA-012,Fraud Detection,Normal,Low,Enterprise CAB,Merchandising Analytics,Scheduled,true,,ServiceNow,CHG48071,Change Management,2026-05-01,0.83,true,
CHG0048072,2026-01-21,2026-01-21,CI-SVC-017,Store Inventory Visibility,Standard,Low,AI Governance Council,Finance Technology,Implemented,true,,ServiceNow,CHG48072,Change Management,2026-05-01,0.83,true,
CHG0048073,2026-02-22,2026-02-22,CI-APP-022,Retail Media Campaign Ops,Normal,Low,Enterprise CAB,Merchandising Analytics,Scheduled,true,,ServiceNow,CHG48073,Change Management,2026-05-01,0.83,true,
CHG0048074,2026-03-23,2026-03-23,CI-DATA-027,Last Mile Delivery,Normal,Low,Enterprise CAB,Finance Technology,Scheduled,true,,ServiceNow,CHG48074,Change Management,2026-05-01,0.83,true,
CHG0048075,2026-04-24,2026-04-24,CI-SVC-032,Demand Signal Repository,Normal,Medium,AI Governance Council,Merchandising Analytics,Implemented,true,,ServiceNow,CHG48075,Change Management,2026-05-01,0.83,true,
CHG0048076,2026-05-25,2026-05-25,CI-APP-037,Marketplace Seller Hub,Standard,Low,Enterprise CAB,Finance Technology,Scheduled,true,,ServiceNow,CHG48076,Change Management,2026-05-01,0.83,true,
CHG0048077,2026-06-26,2026-06-26,CI-DATA-042,Assortment Planning,Normal,Low,Enterprise CAB,Merchandising Analytics,Failed,false,INC0120077,ServiceNow,CHG48077,Change Management,2026-05-01,0.83,false,
CHG0048078,2026-01-01,2026-01-01,CI-SVC-047,Private Label Quality,Normal,Low,AI Governance Council,Finance Technology,Implemented,true,,ServiceNow,CHG48078,Change Management,2026-05-01,0.83,true,
CHG0048079,2026-02-02,2026-02-02,CI-APP-052,Returns Optimization,Normal,Low,Enterprise CAB,Merchandising Analytics,Scheduled,true,,ServiceNow,CHG48079,Change Management,2026-05-01,0.83,true,
CHG0048080,2026-03-03,2026-03-03,CI-DATA-057,Vendor Scorecarding,Standard,Medium,Enterprise CAB,Finance Technology,Scheduled,true,,ServiceNow,CHG48080,Change Management,2026-05-01,0.83,true,
CHG0048081,2026-04-04,2026-04-04,CI-SVC-062,Associate Productivity,Normal,Low,AI Governance Council,Merchandising Analytics,Implemented,true,,ServiceNow,CHG48081,Change Management,2026-05-01,0.83,true,
CHG0048082,2026-05-05,2026-05-05,CI-APP-SAP-S4,Finance and Procurement,Normal,Low,Enterprise CAB,Store Technology,Scheduled,true,,ServiceNow,CHG48082,Change Management,2026-05-01,0.83,true,
CHG0048083,2026-06-06,2026-06-06,CI-SVC-CONTACT-CENTER,Customer Experience,Normal,Low,Enterprise CAB,Cloud Platform Services,Scheduled,true,,ServiceNow,CHG48083,Change Management,2026-05-01,0.83,true,
CHG0048084,2026-01-07,2026-01-07,CI-APP-SERVICENOW,IT Service Management,Standard,Low,AI Governance Council,Store Technology,Implemented,false,,ServiceNow,CHG48084,Change Management,2026-05-01,0.83,true,
CHG0048085,2026-02-08,2026-02-08,CI-APP-ADOBE-COMMERCE,Digital Experience,Emergency,High,Enterprise CAB,Cloud Platform Services,Scheduled,true,,ServiceNow,CHG48085,Change Management,2026-05-01,0.83,true,
CHG0048086,2026-03-09,2026-03-09,CI-SVC-005,Marketplace Seller Hub,Normal,Low,Enterprise CAB,Cybersecurity Governance,Scheduled,true,,ServiceNow,CHG48086,Change Management,2026-05-01,0.83,true,
CHG0048087,2026-04-10,2026-04-10,CI-APP-010,Assortment Planning,Normal,Low,AI Governance Council,Supply Chain Technology,Implemented,true,,ServiceNow,CHG48087,Change Management,2026-05-01,0.83,true,
CHG0048088,2026-05-11,2026-05-11,CI-DATA-015,Private Label Quality,Standard,Low,Enterprise CAB,Cybersecurity Governance,Failed,true,INC0120088,ServiceNow,CHG48088,Change Management,2026-05-01,0.83,false,
CHG0048089,2026-06-12,2026-06-12,CI-SVC-020,Returns Optimization,Normal,Low,Enterprise CAB,Supply Chain Technology,Scheduled,true,,ServiceNow,CHG48089,Change Management,2026-05-01,0.83,true,
