ci_id,ci_name,ci_type,business_service,application_owner,technical_owner,support_group,criticality,hosting_model,environment,vendor_id,contract_id,data_classification,service_tier,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
CI-DATA-003,Loyalty Offer Decisioning 1,Data Platform,Loyalty Offer Decisioning,Supply Chain Technology,Contact Center Technology,Cloud Platform Services,Tier 3,Public Cloud,Production,VEN-SALESFORCE,CON-SALESFORCE-2026,Internal,Bronze,ServiceNow,CI-DATA-003,CMDB Stewardship,2026-05-01,0.81,true,
CI-APP-004,Returns Optimization 1,Application,Returns Optimization,Customer Data Platform Office,Cloud Platform Services,Cybersecurity Governance,Tier 2,On Premise,Production,VEN-SEGMENT,CON-SEGMENT-2026,Internal,Silver,ServiceNow,CI-APP-004,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
CI-SVC-005,Marketplace Seller Hub 1,Business Service,Marketplace Seller Hub,Merchandising Analytics,Cybersecurity Governance,IT Sourcing,Tier 3,Hybrid,Production,VEN-BLUEYONDER,CON-BLUEYONDER-2026,Restricted,Bronze,ServiceNow,CI-SVC-005,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
CI-DATA-006,Retail Media Campaign Ops 1,Data Platform,Retail Media Campaign Ops,Contact Center Technology,IT Sourcing,Finance Technology,Tier 1,SaaS,Production,VEN-MANHATTAN,CON-MANHATTAN-2026,Confidential,Gold,ServiceNow,CI-DATA-006,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
CI-APP-007,Store Labor Scheduling 1,Application,Store Labor Scheduling,Cloud Platform Services,Finance Technology,Commerce Platform Engineering,Tier 2,Hosted,Production,VEN-NCR,CON-NCR-2026,Internal,Silver,ServiceNow,CI-APP-007,CMDB Stewardship,2026-05-01,0.8500000000000001,true,
CI-SVC-008,Category P&L Analytics 1,Business Service,Category P&L Analytics,Cybersecurity Governance,Commerce Platform Engineering,Store Technology,Tier 3,Public Cloud,Production,VEN-ADOBE,CON-ADOBE-2026,Internal,Bronze,ServiceNow,CI-SVC-008,CMDB Stewardship,2026-05-01,0.8600000000000001,false,
CI-DATA-009,Vendor Scorecarding 1,Data Platform,Vendor Scorecarding,IT Sourcing,Store Technology,Supply Chain Technology,Tier 3,On Premise,Production,VEN-GENESYS,CON-GENESYS-2026,Restricted,Bronze,ServiceNow,CI-DATA-009,CMDB Stewardship,2026-05-01,0.87,true,
CI-APP-010,Assortment Planning 1,Application,Assortment Planning,Finance Technology,Supply Chain Technology,Customer Data Platform Office,Tier 2,Hybrid,Production,VEN-DATABRICKS,CON-DATABRICKS-2026,Confidential,Silver,ServiceNow,CI-APP-010,CMDB Stewardship,2026-05-01,0.88,true,
CI-SVC-011,Last Mile Delivery 1,Business Service,Last Mile Delivery,Commerce Platform Engineering,Customer Data Platform Office,Merchandising Analytics,Tier 1,SaaS,Production,VEN-SNOW,CON-SNOW-2026,Internal,Gold,ServiceNow,CI-SVC-011,CMDB Stewardship,2026-05-01,0.79,true,
CI-DATA-012,Fraud Detection 1,Data Platform,Fraud Detection,Store Technology,Merchandising Analytics,Contact Center Technology,Tier 3,Hosted,Production,VEN-MICROSOFT,CON-MICROSOFT-2026,Internal,Bronze,ServiceNow,CI-DATA-012,CMDB Stewardship,2026-05-01,0.8,true,
CI-APP-013,Customer Identity Resolution 1,Application,Customer Identity Resolution,Supply Chain Technology,Contact Center Technology,Cloud Platform Services,Tier 2,Public Cloud,Production,VEN-AWS,CON-AWS-2026,Restricted,Silver,ServiceNow,CI-APP-013,CMDB Stewardship,2026-05-01,0.81,true,
CI-SVC-014,Associate Productivity 1,Business Service,Associate Productivity,Customer Data Platform Office,Cloud Platform Services,Cybersecurity Governance,Tier 3,On Premise,Production,VEN-AZURE,CON-AZURE-2026,Confidential,Bronze,ServiceNow,CI-SVC-014,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
CI-DATA-015,Private Label Quality 1,Data Platform,Private Label Quality,Merchandising Analytics,Cybersecurity Governance,IT Sourcing,Tier 3,Hybrid,Production,VEN-DATABRICKS,CON-DATABRICKS-2026,Internal,Bronze,ServiceNow,CI-DATA-015,CMDB Stewardship,2026-05-01,0.8300000000000001,false,
CI-APP-016,Demand Signal Repository 1,Application,Demand Signal Repository,Contact Center Technology,IT Sourcing,Finance Technology,Tier 1,SaaS,Production,VEN-SNOWFLAKE,CON-SNOWFLAKE-2026,Internal,Gold,ServiceNow,CI-APP-016,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
CI-SVC-017,Store Inventory Visibility 2,Business Service,Store Inventory Visibility,Cloud Platform Services,Finance Technology,Commerce Platform Engineering,Tier 3,Hosted,Production,VEN-OKTA,CON-OKTA-2026,Restricted,Bronze,ServiceNow,CI-SVC-017,CMDB Stewardship,2026-05-01,0.8500000000000001,true,
CI-DATA-018,Promotion Pricing Engine 2,Data Platform,Promotion Pricing Engine,Cybersecurity Governance,Commerce Platform Engineering,Store Technology,Tier 3,Public Cloud,Production,VEN-CROWDSTRIKE,CON-CROWDSTRIKE-2026,Confidential,Bronze,ServiceNow,CI-DATA-018,CMDB Stewardship,2026-05-01,0.8600000000000001,true,
CI-APP-019,Loyalty Offer Decisioning 2,Application,Loyalty Offer Decisioning,IT Sourcing,Store Technology,Supply Chain Technology,Tier 2,On Premise,Production,VEN-PALOALTO,CON-PALOALTO-2026,Internal,Silver,ServiceNow,CI-APP-019,CMDB Stewardship,2026-05-01,0.87,true,
CI-SVC-020,Returns Optimization 2,Business Service,Returns Optimization,Finance Technology,Supply Chain Technology,Customer Data Platform Office,Tier 3,Hybrid,Production,VEN-ZSCALER,CON-ZSCALER-2026,Internal,Bronze,ServiceNow,CI-SVC-020,CMDB Stewardship,2026-05-01,0.88,true,
CI-DATA-021,Marketplace Seller Hub 2,Data Platform,Marketplace Seller Hub,Commerce Platform Engineering,Customer Data Platform Office,Merchandising Analytics,Tier 1,SaaS,Production,VEN-BROADCOM,CON-BROADCOM-2026,Restricted,Gold,ServiceNow,CI-DATA-021,CMDB Stewardship,2026-05-01,0.79,true,
CI-APP-022,Retail Media Campaign Ops 2,Application,Retail Media Campaign Ops,Store Technology,Merchandising Analytics,Contact Center Technology,Tier 2,Hosted,Production,VEN-CISCO,CON-CISCO-2026,Confidential,Silver,ServiceNow,CI-APP-022,CMDB Stewardship,2026-05-01,0.8,false,
CI-SVC-023,Store Labor Scheduling 2,Business Service,Store Labor Scheduling,Supply Chain Technology,Contact Center Technology,Cloud Platform Services,Tier 3,Public Cloud,Production,VEN-VEEAM,CON-VEEAM-2026,Internal,Bronze,ServiceNow,CI-SVC-023,CMDB Stewardship,2026-05-01,0.81,true,
CI-DATA-024,Category P&L Analytics 2,Data Platform,Category P&L Analytics,Customer Data Platform Office,Cloud Platform Services,Cybersecurity Governance,Tier 3,On Premise,Production,VEN-HASHICORP,CON-HASHICORP-2026,Internal,Bronze,ServiceNow,CI-DATA-024,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
CI-APP-025,Vendor Scorecarding 2,Application,Vendor Scorecarding,Merchandising Analytics,Cybersecurity Governance,IT Sourcing,Tier 2,Hybrid,Production,VEN-QLIK,CON-QLIK-2026,Restricted,Silver,ServiceNow,CI-APP-025,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
CI-SVC-026,Assortment Planning 2,Business Service,Assortment Planning,Contact Center Technology,IT Sourcing,Finance Technology,Tier 1,SaaS,Production,VEN-QUALTRICS,CON-QUALTRICS-2026,Confidential,Gold,ServiceNow,CI-SVC-026,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
CI-DATA-027,Last Mile Delivery 2,Data Platform,Last Mile Delivery,Cloud Platform Services,Finance Technology,Commerce Platform Engineering,Tier 3,Hosted,Production,VEN-WORKDAY,CON-WORKDAY-2026,Internal,Bronze,ServiceNow,CI-DATA-027,CMDB Stewardship,2026-05-01,0.8500000000000001,true,
CI-APP-028,Fraud Detection 2,Application,Fraud Detection,Cybersecurity Governance,Commerce Platform Engineering,Store Technology,Tier 2,Public Cloud,Production,VEN-SAP,CON-SAP-2026,Internal,Silver,ServiceNow,CI-APP-028,CMDB Stewardship,2026-05-01,0.8600000000000001,true,
CI-SVC-029,Customer Identity Resolution 2,Business Service,Customer Identity Resolution,IT Sourcing,Store Technology,Supply Chain Technology,Tier 3,On Premise,Production,VEN-ORACLE,CON-ORACLE-2026,Restricted,Bronze,ServiceNow,CI-SVC-029,CMDB Stewardship,2026-05-01,0.87,false,
CI-DATA-030,Associate Productivity 2,Data Platform,Associate Productivity,Finance Technology,Supply Chain Technology,Customer Data Platform Office,Tier 3,Hybrid,Production,VEN-SALESFORCE,CON-SALESFORCE-2026,Confidential,Bronze,ServiceNow,CI-DATA-030,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-031,Private Label Quality 2,Application,Private Label Quality,Commerce Platform Engineering,Customer Data Platform Office,Merchandising Analytics,Tier 1,SaaS,Production,VEN-SEGMENT,CON-SEGMENT-2026,Internal,Gold,ServiceNow,CI-APP-031,CMDB Stewardship,2026-05-01,0.79,true,
CI-SVC-032,Demand Signal Repository 2,Business Service,Demand Signal Repository,Store Technology,Merchandising Analytics,Contact Center Technology,Tier 3,Hosted,Production,VEN-BLUEYONDER,CON-BLUEYONDER-2026,Internal,Bronze,ServiceNow,CI-SVC-032,CMDB Stewardship,2026-05-01,0.8,true,
CI-DATA-033,Store Inventory Visibility 3,Data Platform,Store Inventory Visibility,Supply Chain Technology,Contact Center Technology,Cloud Platform Services,Tier 3,Public Cloud,Production,VEN-MANHATTAN,CON-MANHATTAN-2026,Restricted,Bronze,ServiceNow,CI-DATA-033,CMDB Stewardship,2026-05-01,0.81,true,
CI-APP-034,Promotion Pricing Engine 3,Application,Promotion Pricing Engine,Customer Data Platform Office,Cloud Platform Services,Cybersecurity Governance,Tier 2,On Premise,Production,VEN-NCR,CON-NCR-2026,Confidential,Silver,ServiceNow,CI-APP-034,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
CI-SVC-035,Loyalty Offer Decisioning 3,Business Service,Loyalty Offer Decisioning,Merchandising Analytics,Cybersecurity Governance,IT Sourcing,Tier 3,Hybrid,Production,VEN-ADOBE,CON-ADOBE-2026,Internal,Bronze,ServiceNow,CI-SVC-035,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
CI-DATA-036,Returns Optimization 3,Data Platform,Returns Optimization,Contact Center Technology,IT Sourcing,Finance Technology,Tier 1,SaaS,Production,VEN-GENESYS,CON-GENESYS-2026,Internal,Gold,ServiceNow,CI-DATA-036,CMDB Stewardship,2026-05-01,0.8400000000000001,false,
CI-APP-037,Marketplace Seller Hub 3,Application,Marketplace Seller Hub,Cloud Platform Services,Finance Technology,Commerce Platform Engineering,Tier 2,Hosted,Production,VEN-DATABRICKS,CON-DATABRICKS-2026,Restricted,Silver,ServiceNow,CI-APP-037,CMDB Stewardship,2026-05-01,0.8500000000000001,true,
CI-SVC-038,Retail Media Campaign Ops 3,Business Service,Retail Media Campaign Ops,Cybersecurity Governance,Commerce Platform Engineering,Store Technology,Tier 3,Public Cloud,Production,VEN-SNOW,CON-SNOW-2026,Confidential,Bronze,ServiceNow,CI-SVC-038,CMDB Stewardship,2026-05-01,0.8600000000000001,true,
CI-DATA-039,Store Labor Scheduling 3,Data Platform,Store Labor Scheduling,IT Sourcing,Store Technology,Supply Chain Technology,Tier 3,On Premise,Production,VEN-MICROSOFT,CON-MICROSOFT-2026,Internal,Bronze,ServiceNow,CI-DATA-039,CMDB Stewardship,2026-05-01,0.87,true,
CI-APP-040,Category P&L Analytics 3,Application,Category P&L Analytics,Finance Technology,Supply Chain Technology,Customer Data Platform Office,Tier 2,Hybrid,Production,VEN-AWS,CON-AWS-2026,Internal,Silver,ServiceNow,CI-APP-040,CMDB Stewardship,2026-05-01,0.88,true,
CI-SVC-041,Vendor Scorecarding 3,Business Service,Vendor Scorecarding,Commerce Platform Engineering,Customer Data Platform Office,Merchandising Analytics,Tier 1,SaaS,Production,VEN-AZURE,CON-AZURE-2026,Restricted,Gold,ServiceNow,CI-SVC-041,CMDB Stewardship,2026-05-01,0.79,true,
CI-DATA-042,Assortment Planning 3,Data Platform,Assortment Planning,Store Technology,Merchandising Analytics,Contact Center Technology,Tier 3,Hosted,Production,VEN-DATABRICKS,CON-DATABRICKS-2026,Confidential,Bronze,ServiceNow,CI-DATA-042,CMDB Stewardship,2026-05-01,0.8,true,
CI-APP-043,Last Mile Delivery 3,Application,Last Mile Delivery,Supply Chain Technology,Contact Center Technology,Cloud Platform Services,Tier 2,Public Cloud,Production,VEN-SNOWFLAKE,CON-SNOWFLAKE-2026,Internal,Silver,ServiceNow,CI-APP-043,CMDB Stewardship,2026-05-01,0.81,false,
CI-SVC-044,Fraud Detection 3,Business Service,Fraud Detection,Customer Data Platform Office,Cloud Platform Services,Cybersecurity Governance,Tier 3,On Premise,Production,VEN-OKTA,CON-OKTA-2026,Internal,Bronze,ServiceNow,CI-SVC-044,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
CI-DATA-045,Customer Identity Resolution 3,Data Platform,Customer Identity Resolution,Merchandising Analytics,Cybersecurity Governance,IT Sourcing,Tier 3,Hybrid,Production,VEN-CROWDSTRIKE,CON-CROWDSTRIKE-2026,Restricted,Bronze,ServiceNow,CI-DATA-045,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
CI-APP-046,Associate Productivity 3,Application,Associate Productivity,Contact Center Technology,IT Sourcing,Finance Technology,Tier 1,SaaS,Production,VEN-PALOALTO,CON-PALOALTO-2026,Confidential,Gold,ServiceNow,CI-APP-046,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
CI-SVC-047,Private Label Quality 3,Business Service,Private Label Quality,Cloud Platform Services,Finance Technology,Commerce Platform Engineering,Tier 3,Hosted,Production,VEN-ZSCALER,CON-ZSCALER-2026,Internal,Bronze,ServiceNow,CI-SVC-047,CMDB Stewardship,2026-05-01,0.8500000000000001,true,
CI-DATA-048,Demand Signal Repository 3,Data Platform,Demand Signal Repository,Cybersecurity Governance,Commerce Platform Engineering,Store Technology,Tier 3,Public Cloud,Production,VEN-BROADCOM,CON-BROADCOM-2026,Internal,Bronze,ServiceNow,CI-DATA-048,CMDB Stewardship,2026-05-01,0.8600000000000001,true,
CI-APP-049,Store Inventory Visibility 4,Application,Store Inventory Visibility,IT Sourcing,Store Technology,Supply Chain Technology,Tier 2,On Premise,Production,VEN-CISCO,CON-CISCO-2026,Restricted,Silver,ServiceNow,CI-APP-049,CMDB Stewardship,2026-05-01,0.87,true,
CI-SVC-050,Promotion Pricing Engine 4,Business Service,Promotion Pricing Engine,Finance Technology,Supply Chain Technology,Customer Data Platform Office,Tier 3,Hybrid,Production,VEN-VEEAM,CON-VEEAM-2026,Confidential,Bronze,ServiceNow,CI-SVC-050,CMDB Stewardship,2026-05-01,0.88,false,
CI-DATA-051,Loyalty Offer Decisioning 4,Data Platform,Loyalty Offer Decisioning,Commerce Platform Engineering,Customer Data Platform Office,Merchandising Analytics,Tier 1,SaaS,Production,VEN-HASHICORP,CON-HASHICORP-2026,Internal,Gold,ServiceNow,CI-DATA-051,CMDB Stewardship,2026-05-01,0.79,true,
CI-APP-052,Returns Optimization 4,Application,Returns Optimization,Store Technology,Merchandising Analytics,Contact Center Technology,Tier 2,Hosted,Production,VEN-QLIK,CON-QLIK-2026,Internal,Silver,ServiceNow,CI-APP-052,CMDB Stewardship,2026-05-01,0.8,true,
CI-SVC-053,Marketplace Seller Hub 4,Business Service,Marketplace Seller Hub,Supply Chain Technology,Contact Center Technology,Cloud Platform Services,Tier 3,Public Cloud,Production,VEN-QUALTRICS,CON-QUALTRICS-2026,Restricted,Bronze,ServiceNow,CI-SVC-053,CMDB Stewardship,2026-05-01,0.81,true,
CI-DATA-054,Retail Media Campaign Ops 4,Data Platform,Retail Media Campaign Ops,Customer Data Platform Office,Cloud Platform Services,Cybersecurity Governance,Tier 3,On Premise,Production,VEN-WORKDAY,CON-WORKDAY-2026,Confidential,Bronze,ServiceNow,CI-DATA-054,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
CI-APP-055,Store Labor Scheduling 4,Application,Store Labor Scheduling,Merchandising Analytics,Cybersecurity Governance,IT Sourcing,Tier 2,Hybrid,Production,VEN-SAP,CON-SAP-2026,Internal,Silver,ServiceNow,CI-APP-055,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
CI-SVC-056,Category P&L Analytics 4,Business Service,Category P&L Analytics,Contact Center Technology,IT Sourcing,Finance Technology,Tier 1,SaaS,Production,VEN-ORACLE,CON-ORACLE-2026,Internal,Gold,ServiceNow,CI-SVC-056,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
CI-DATA-057,Vendor Scorecarding 4,Data Platform,Vendor Scorecarding,Cloud Platform Services,Finance Technology,Commerce Platform Engineering,Tier 3,Hosted,Production,VEN-SALESFORCE,CON-SALESFORCE-2026,Restricted,Bronze,ServiceNow,CI-DATA-057,CMDB Stewardship,2026-05-01,0.8500000000000001,false,
CI-APP-058,Assortment Planning 4,Application,Assortment Planning,Cybersecurity Governance,Commerce Platform Engineering,Store Technology,Tier 2,Public Cloud,Production,VEN-SEGMENT,CON-SEGMENT-2026,Confidential,Silver,ServiceNow,CI-APP-058,CMDB Stewardship,2026-05-01,0.8600000000000001,true,
CI-SVC-059,Last Mile Delivery 4,Business Service,Last Mile Delivery,IT Sourcing,Store Technology,Supply Chain Technology,Tier 3,On Premise,Production,VEN-BLUEYONDER,CON-BLUEYONDER-2026,Internal,Bronze,ServiceNow,CI-SVC-059,CMDB Stewardship,2026-05-01,0.87,true,
CI-DATA-060,Fraud Detection 4,Data Platform,Fraud Detection,Finance Technology,Supply Chain Technology,Customer Data Platform Office,Tier 3,Hybrid,Production,VEN-MANHATTAN,CON-MANHATTAN-2026,Internal,Bronze,ServiceNow,CI-DATA-060,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-061,Customer Identity Resolution 4,Application,Customer Identity Resolution,Commerce Platform Engineering,Customer Data Platform Office,Merchandising Analytics,Tier 1,SaaS,Production,VEN-NCR,CON-NCR-2026,Restricted,Gold,ServiceNow,CI-APP-061,CMDB Stewardship,2026-05-01,0.79,true,
CI-SVC-062,Associate Productivity 4,Business Service,Associate Productivity,Store Technology,Merchandising Analytics,Contact Center Technology,Tier 3,Hosted,Production,VEN-ADOBE,CON-ADOBE-2026,Confidential,Bronze,ServiceNow,CI-SVC-062,CMDB Stewardship,2026-05-01,0.8,true,
CI-DATA-063,Private Label Quality 4,Data Platform,Private Label Quality,Supply Chain Technology,Contact Center Technology,Cloud Platform Services,Tier 3,Public Cloud,Production,VEN-GENESYS,CON-GENESYS-2026,Internal,Bronze,ServiceNow,CI-DATA-063,CMDB Stewardship,2026-05-01,0.81,true,
CI-APP-064,Demand Signal Repository 4,Application,Demand Signal Repository,Customer Data Platform Office,Cloud Platform Services,Cybersecurity Governance,Tier 2,On Premise,Production,VEN-DATABRICKS,CON-DATABRICKS-2026,Internal,Silver,ServiceNow,CI-APP-064,CMDB Stewardship,2026-05-01,0.8200000000000001,false,
CI-SVC-065,Store Inventory Visibility 5,Business Service,Store Inventory Visibility,Merchandising Analytics,Cybersecurity Governance,IT Sourcing,Tier 3,Hybrid,Production,VEN-SNOW,CON-SNOW-2026,Restricted,Bronze,ServiceNow,CI-SVC-065,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
CI-DATA-066,Promotion Pricing Engine 5,Data Platform,Promotion Pricing Engine,Contact Center Technology,IT Sourcing,Finance Technology,Tier 1,SaaS,Production,VEN-MICROSOFT,CON-MICROSOFT-2026,Confidential,Gold,ServiceNow,CI-DATA-066,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
