data_asset_id,data_asset_name,domain,source_systems,target_platform,data_owner,freshness,quality_score,semantic_layer_status,move_relevance
LAKESHORE-DATA-0020,Kyriba rollout defect/evidence corpus,operations,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Treasurer,daily/monthly target,84,not_ready,finance AI
LAKESHORE-DATA-0021,cash positioning gold table,treasury,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CFO,intraday target,48,not_ready,Kyriba rollout
LAKESHORE-DATA-0022,bank connectivity test evidence,controls,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Treasurer,intraday target,52,partial,cash visibility
LAKESHORE-DATA-0023,payment approval lineage,finance,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CIO,intraday target,56,certified_candidate,payments control
LAKESHORE-DATA-0024,liquidity forecast data product,procurement,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Chief Supply Chain Officer,daily/monthly target,60,not_ready,automated close
LAKESHORE-DATA-0025,debt and FX exposure mart,operations,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Controller,daily/monthly target,64,partial,finance AI
LAKESHORE-DATA-0026,close reconciliation semantic model,treasury,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Procurement Officer,daily/monthly target,68,certified_candidate,Kyriba rollout
LAKESHORE-DATA-0027,working capital data product,controls,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Data Officer,daily/monthly target,72,not_ready,cash visibility
LAKESHORE-DATA-0028,supplier spend risk mart,finance,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CISO,daily/monthly target,76,partial,payments control
LAKESHORE-DATA-0029,finance service workload lake,procurement,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CFO,daily/monthly target,80,certified_candidate,automated close
LAKESHORE-DATA-0030,Kyriba rollout defect/evidence corpus,operations,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Treasurer,daily/monthly target,84,not_ready,finance AI
LAKESHORE-DATA-0031,cash positioning gold table,treasury,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CFO,intraday target,48,not_ready,Kyriba rollout
LAKESHORE-DATA-0032,bank connectivity test evidence,controls,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Treasurer,intraday target,52,partial,cash visibility
LAKESHORE-DATA-0033,payment approval lineage,finance,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CIO,intraday target,56,certified_candidate,payments control
LAKESHORE-DATA-0034,liquidity forecast data product,procurement,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Chief Supply Chain Officer,daily/monthly target,60,not_ready,automated close
LAKESHORE-DATA-0035,debt and FX exposure mart,operations,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Controller,daily/monthly target,64,partial,finance AI
LAKESHORE-DATA-0036,close reconciliation semantic model,treasury,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Procurement Officer,daily/monthly target,68,certified_candidate,Kyriba rollout
LAKESHORE-DATA-0037,working capital data product,controls,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Data Officer,daily/monthly target,72,not_ready,cash visibility
LAKESHORE-DATA-0038,supplier spend risk mart,finance,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CISO,daily/monthly target,76,partial,payments control
LAKESHORE-DATA-0039,finance service workload lake,procurement,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CFO,daily/monthly target,80,certified_candidate,automated close
LAKESHORE-DATA-0040,Kyriba rollout defect/evidence corpus,operations,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Treasurer,daily/monthly target,84,not_ready,finance AI
LAKESHORE-DATA-0041,cash positioning gold table,treasury,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CFO,intraday target,48,not_ready,Kyriba rollout
LAKESHORE-DATA-0042,bank connectivity test evidence,controls,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Treasurer,intraday target,52,partial,cash visibility
LAKESHORE-DATA-0043,payment approval lineage,finance,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CIO,intraday target,56,certified_candidate,payments control
LAKESHORE-DATA-0044,liquidity forecast data product,procurement,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Chief Supply Chain Officer,daily/monthly target,60,not_ready,automated close
LAKESHORE-DATA-0045,debt and FX exposure mart,operations,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Controller,daily/monthly target,64,partial,finance AI
LAKESHORE-DATA-0046,close reconciliation semantic model,treasury,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Procurement Officer,daily/monthly target,68,certified_candidate,Kyriba rollout
LAKESHORE-DATA-0047,working capital data product,controls,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Data Officer,daily/monthly target,72,not_ready,cash visibility
LAKESHORE-DATA-0048,supplier spend risk mart,finance,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CISO,daily/monthly target,76,partial,payments control
LAKESHORE-DATA-0049,finance service workload lake,procurement,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CFO,daily/monthly target,80,certified_candidate,automated close
LAKESHORE-DATA-0050,Kyriba rollout defect/evidence corpus,operations,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Treasurer,daily/monthly target,84,not_ready,finance AI
LAKESHORE-DATA-0051,cash positioning gold table,treasury,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CFO,intraday target,48,not_ready,Kyriba rollout
LAKESHORE-DATA-0052,bank connectivity test evidence,controls,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Treasurer,intraday target,52,partial,cash visibility
LAKESHORE-DATA-0053,payment approval lineage,finance,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CIO,intraday target,56,certified_candidate,payments control
LAKESHORE-DATA-0054,liquidity forecast data product,procurement,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Chief Supply Chain Officer,daily/monthly target,60,not_ready,automated close
LAKESHORE-DATA-0055,debt and FX exposure mart,operations,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Controller,daily/monthly target,64,partial,finance AI
LAKESHORE-DATA-0056,close reconciliation semantic model,treasury,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Procurement Officer,daily/monthly target,68,certified_candidate,Kyriba rollout
LAKESHORE-DATA-0057,working capital data product,controls,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Data Officer,daily/monthly target,72,not_ready,cash visibility
LAKESHORE-DATA-0058,supplier spend risk mart,finance,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CISO,daily/monthly target,76,partial,payments control
LAKESHORE-DATA-0059,finance service workload lake,procurement,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CFO,daily/monthly target,80,certified_candidate,automated close
LAKESHORE-DATA-0060,Kyriba rollout defect/evidence corpus,operations,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Treasurer,daily/monthly target,84,not_ready,finance AI
LAKESHORE-DATA-0061,cash positioning gold table,treasury,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CFO,intraday target,48,not_ready,Kyriba rollout
LAKESHORE-DATA-0062,bank connectivity test evidence,controls,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Treasurer,intraday target,52,partial,cash visibility
LAKESHORE-DATA-0063,payment approval lineage,finance,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CIO,intraday target,56,certified_candidate,payments control
LAKESHORE-DATA-0064,liquidity forecast data product,procurement,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Chief Supply Chain Officer,daily/monthly target,60,not_ready,automated close
LAKESHORE-DATA-0065,debt and FX exposure mart,operations,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Controller,daily/monthly target,64,partial,finance AI
LAKESHORE-DATA-0066,close reconciliation semantic model,treasury,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Procurement Officer,daily/monthly target,68,certified_candidate,Kyriba rollout
LAKESHORE-DATA-0067,working capital data product,controls,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Data Officer,daily/monthly target,72,not_ready,cash visibility
LAKESHORE-DATA-0068,supplier spend risk mart,finance,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CISO,daily/monthly target,76,partial,payments control
LAKESHORE-DATA-0069,finance service workload lake,procurement,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CFO,daily/monthly target,80,certified_candidate,automated close
LAKESHORE-DATA-0070,Kyriba rollout defect/evidence corpus,operations,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Treasurer,daily/monthly target,84,not_ready,finance AI
LAKESHORE-DATA-0071,cash positioning gold table,treasury,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CFO,intraday target,48,not_ready,Kyriba rollout
LAKESHORE-DATA-0072,bank connectivity test evidence,controls,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Treasurer,intraday target,52,partial,cash visibility
LAKESHORE-DATA-0073,payment approval lineage,finance,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CIO,intraday target,56,certified_candidate,payments control
LAKESHORE-DATA-0074,liquidity forecast data product,procurement,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Chief Supply Chain Officer,daily/monthly target,60,not_ready,automated close
LAKESHORE-DATA-0075,debt and FX exposure mart,operations,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Controller,daily/monthly target,64,partial,finance AI
LAKESHORE-DATA-0076,close reconciliation semantic model,treasury,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Procurement Officer,daily/monthly target,68,certified_candidate,Kyriba rollout
LAKESHORE-DATA-0077,working capital data product,controls,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Data Officer,daily/monthly target,72,not_ready,cash visibility
LAKESHORE-DATA-0078,supplier spend risk mart,finance,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CISO,daily/monthly target,76,partial,payments control
LAKESHORE-DATA-0079,finance service workload lake,procurement,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CFO,daily/monthly target,80,certified_candidate,automated close
LAKESHORE-DATA-0080,Kyriba rollout defect/evidence corpus,operations,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Treasurer,daily/monthly target,84,not_ready,finance AI
LAKESHORE-DATA-0081,cash positioning gold table,treasury,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CFO,intraday target,48,not_ready,Kyriba rollout
LAKESHORE-DATA-0082,bank connectivity test evidence,controls,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Treasurer,intraday target,52,partial,cash visibility
LAKESHORE-DATA-0083,payment approval lineage,finance,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CIO,intraday target,56,certified_candidate,payments control
LAKESHORE-DATA-0084,liquidity forecast data product,procurement,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Chief Supply Chain Officer,daily/monthly target,60,not_ready,automated close
LAKESHORE-DATA-0085,debt and FX exposure mart,operations,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Controller,daily/monthly target,64,partial,finance AI
LAKESHORE-DATA-0086,close reconciliation semantic model,treasury,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Procurement Officer,daily/monthly target,68,certified_candidate,Kyriba rollout
LAKESHORE-DATA-0087,working capital data product,controls,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Data Officer,daily/monthly target,72,not_ready,cash visibility
LAKESHORE-DATA-0088,supplier spend risk mart,finance,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CISO,daily/monthly target,76,partial,payments control
LAKESHORE-DATA-0089,finance service workload lake,procurement,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CFO,daily/monthly target,80,certified_candidate,automated close
LAKESHORE-DATA-0090,Kyriba rollout defect/evidence corpus,operations,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Treasurer,daily/monthly target,84,not_ready,finance AI
LAKESHORE-DATA-0091,cash positioning gold table,treasury,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CFO,intraday target,48,not_ready,Kyriba rollout
LAKESHORE-DATA-0092,bank connectivity test evidence,controls,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Treasurer,intraday target,52,partial,cash visibility
LAKESHORE-DATA-0093,payment approval lineage,finance,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CIO,intraday target,56,certified_candidate,payments control
LAKESHORE-DATA-0094,liquidity forecast data product,procurement,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Chief Supply Chain Officer,daily/monthly target,60,not_ready,automated close
LAKESHORE-DATA-0095,debt and FX exposure mart,operations,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Controller,daily/monthly target,64,partial,finance AI
LAKESHORE-DATA-0096,close reconciliation semantic model,treasury,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Procurement Officer,daily/monthly target,68,certified_candidate,Kyriba rollout
LAKESHORE-DATA-0097,working capital data product,controls,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Chief Data Officer,daily/monthly target,72,not_ready,cash visibility
LAKESHORE-DATA-0098,supplier spend risk mart,finance,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CISO,daily/monthly target,76,partial,payments control
LAKESHORE-DATA-0099,finance service workload lake,procurement,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,CFO,daily/monthly target,80,certified_candidate,automated close
LAKESHORE-DATA-0100,Kyriba rollout defect/evidence corpus,operations,SAP; BlackLine; Coupa; ServiceNow; Power BI,semantic layer / BI,Treasurer,daily/monthly target,84,not_ready,finance AI
LAKESHORE-DATA-0101,cash positioning gold table,treasury,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CFO,intraday target,48,not_ready,Kyriba rollout
LAKESHORE-DATA-0102,bank connectivity test evidence,controls,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Treasurer,intraday target,52,partial,cash visibility
LAKESHORE-DATA-0103,payment approval lineage,finance,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,CIO,intraday target,56,certified_candidate,payments control
LAKESHORE-DATA-0104,liquidity forecast data product,procurement,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Chief Supply Chain Officer,daily/monthly target,60,not_ready,automated close
LAKESHORE-DATA-0105,debt and FX exposure mart,operations,Kyriba; bank portals; SAP; treasury spreadsheets,Kyriba plus finance lakehouse,Controller,daily/monthly target,64,partial,finance AI
