vendor_id,vendor_name,category,annual_value_usd,renewal_date,exit_terms,ai_usage_clauses,data_rights,notes
SHA-VEND-031,Cisco,loyalty,36900000,2026-07-01,90-day termination for convenience unavailable; 12-month step-down required.,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-032,Oracle,data_platform,35450000,2027-08-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-033,Workday,AI_tooling,34000000,2028-09-01,standard 90-180 day notice,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-034,Coupa,contact_center,32550000,2026-10-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-035,Icertis,payment,31100000,2027-11-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-036,PagerDuty,GDS,29650000,2028-12-01,90-day termination for convenience unavailable; 12-month step-down required.,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-037,Snyk,cloud,28200000,2026-01-01,standard 90-180 day notice,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-038,JFrog,SI,26750000,2027-02-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-039,HashiCorp,observability,25300000,2028-03-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-040,Confluent,security,23850000,2026-04-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-041,MongoDB,PSS,22400000,2027-05-01,90-day termination for convenience unavailable; 12-month step-down required.,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-042,Redis,MRO,20950000,2028-06-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-043,Fivetran,loyalty,19500000,2026-07-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-044,dbt Labs,data_platform,18050000,2027-08-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-045,Collibra,AI_tooling,16600000,2028-09-01,standard 90-180 day notice,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-046,Informatica,contact_center,15150000,2026-10-01,90-day termination for convenience unavailable; 12-month step-down required.,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-047,MuleSoft,payment,13700000,2027-11-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-048,Apigee,GDS,12250000,2028-12-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-049,NICE,cloud,10800000,2026-01-01,standard 90-180 day notice,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-050,Twilio,SI,9350000,2027-02-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-051,BMC,observability,7900000,2028-03-01,90-day termination for convenience unavailable; 12-month step-down required.,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-052,Rocket Software,security,6450000,2026-04-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
