route,view_or_section,element,literal_text,type,verdict,rationale
/source/events/[eventId],Evidence tab,subline,"Evidence ripens through seven distinct states. Gates auto-promote criterion when evidence qualifies.",helper,DEMOTE,"'seven-state ramp' is an internal model. Lead with the count (X of Y usable); move the mechanism to a tooltip."
/source/events/[eventId],Evidence tab,7-state legend,"Usable Evidence | Available | Parsed | Loaded | Not Requested | Stale | Low Confidence",helper,DEMOTE,"Seven always-visible state definitions = a glossary squatting on the workspace. Collapse to a legend popover."
/source/events/[eventId],Gate tab,subline,"{n} outstanding · review each criterion below or open the detail drawer for the waiver path.",helper,KEEP,"Actionable. Minor reword of 'waiver path' → 'request an exception'."
/source/events/[eventId],Gate tab,promote button,"Promote to {target} | Promoting… (disabled until all met)",button,KEEP,"Correctly gated primary action. But hide rather than disable when 0 criteria are evaluated yet."
/source/events/[eventId],Log tab,empty state,"No activity recorded yet. When the agent updates artifacts, advances stages, marks gate criteria, or records evidence, those events show up here as the audit trail.",empty,KEEP,"Good — explains what fills it. Trim the middle clause."
/source/events/[eventId] (legacy),SourceEventDetailPage,'Deterministic' wording,"Deterministic event report (30+ occurrences of 'deterministic')",helper,DELETE,"Internal correctness claim, meaningless to a buyer. Delete the word everywhere in user copy; say what it IS ('citation-backed report')."
/source/events/[eventId] (legacy),SourceEventDetailPage,citation codes,"PAT_SRC… (10 occurrences)",badge,DEMOTE,"Internal artifact codes in citations. Show the human source name; keep the code in a hover/detail only."
/source/events/[eventId] (legacy),SourceEventDetailPage,whole component,"2,000-line legacy event-detail coexisting with the new canvas",route,DELETE,"Two parallel event-detail implementations. Retire the legacy page or the new canvas — one event detail. Most jargon leaks live here."
/source/events/[eventId],AgentDock,Sentinel rail,"Side-rail at 45% (defaultLeftPercent=45), always open",banner,DEMOTE,"Chat rail occupies ~45% of canvas by default. Linear opens command on demand. Default to collapsed/narrower; let it expand on focus. (Validates your hypothesis.)"
/source/events/[eventId],AgentDock,role copy,"Drafts artifacts, surfaces evidence, flags gaps before they cost you.",helper,KEEP,"Good plain-language role line. Keep."
/source/events/[eventId]/scorecard,governance shell,'deterministic' wording,"'deterministic' x6 (governance shell, rationale, completion, audit trail…)",helper,DELETE,"Same jargon-leak as event detail. Reword to outcome language."
/source/events/[eventId]/scorecard,status,multi-layer status,"shell status badge + lifecycle strip + readiness meter + approval counter",counter,MERGE,"Four status conveyors stacked on one page (per composition pass). Pick one canonical status + one progress meter."
/source/events/[eventId]/scorecard,empty states,blocked/seeded text,"No blocked criteria… | All seeded criteria…",empty,KEEP,"Has explicit empty handling — good. Drop the word 'seeded'."
/source/events/[eventId]/report,gate status,pills,"gate status pills",badge,KEEP,"Clean; no redundancy found on this page."
/source/events/[eventId]/report,title,report name,"Deterministic event report",title,DELETE,"Buyer-facing report titled with an internal correctness adjective. Rename to a CXO-legible title."
/source/compare,picker,intro,"Select two source events to view their health scores, gate progress, evidence counts, contradiction counts, and synthesis guidance side by side.",helper,DEMOTE,"35-word feature list promising specifics. Trim to one line; let the columns demonstrate."
/source/compare,comparison,legend,"Better (mint tint) | Worse (rust tint)",legend,KEEP,"Minimal, color-driven. Good restraint."
/source/compare,error state,same-event / no-data,"(no validation when same event picked; empty cells render silently)",empty,DELETE,"Silent empty/duplicate state. Add a real empty/guard state ('Pick two different events')."
/source/events/[eventId]/vendors/[vendorId],header,vendor identity,"{name} · {ticker} · HQ: {hq} · {employees} employees · Track record: {tr}",title,KEEP,"Clean identity row; this page is the cleanest in the surface (0 leaks, 0 redundancy found)."
/source/events/[eventId]/vendors/[vendorId],sections,step labels,"Response completeness (Step 4) | Pricing (Step 6) | Risk posture (Sentinel)",helper,DEMOTE,"'Step 4/6' internal stage numbers + agent name as section provenance. Reword or drop."
/source/events/[eventId]/vendors/[vendorId],empty states,scorecard/BAFO,"(0 rows render with no empty text)",empty,DELETE,"Confident headers over empty tables = promise-asymmetry. Add empty-row copy."
/source/events/[eventId]/value,value page,computeBaseline leak,"computeBaseline()",helper,DELETE,"A function name in buyer copy (value/page.tsx:101). Worst leak in the surface. Delete; state baseline in plain words. [Codex catch, verified]"
/source/events/[eventId]/value,value ledger,backend wording,"runtime | seed (SourceValueLedger.tsx:388,399)",helper,DELETE,"Implementation language on a CFO-facing page. Remove. [Codex catch, verified]"
/source/new,capture queue,section label (rename),"Capture to move forward → 'What we still need'",heading,RENAME,"Plainer, user-framed. [Codex rename, adopted] — if the Capture Queue survives the MERGE above."
/source/events/[eventId],Gate tab,promote verb (rename),"Promote to {target} → 'Advance to {target}'",button,RENAME,"'Promote' reads like internal stage-machine language; 'Advance' is operator-natural. [Codex rename, adopted]"
/source/events/[eventId],Evidence tab,eyebrow (rename),"Evidence readiness → 'Evidence'",heading,RENAME,"Drop 'readiness'; the count already conveys it. [Codex rename, adopted]"
