metric_id,platform_id,period,metric_name,value,unit,capacity_pct,notes
SHA-VOL-130,SHA-APP-108,2026-05,monthly_users,43470,users,60,Volumetric baseline for SkyHarbor corporate sales service 009
SHA-VOL-131,SHA-APP-109,2026-05,daily_transactions,44840,txn/day,61,Volumetric baseline for SkyHarbor interline service 010
SHA-VOL-132,SHA-APP-110,2026-05,batch_jobs,46210,jobs/month,62,Volumetric baseline for SkyHarbor alliance service 011
SHA-VOL-133,SHA-APP-111,2026-05,api_calls,47580,calls/day,63,Volumetric baseline for SkyHarbor regional ops service 012
SHA-VOL-134,SHA-APP-112,2026-05,incidents,48950,incidents/month,64,Volumetric baseline for SkyHarbor catering service 013
SHA-VOL-135,SHA-APP-113,2026-05,monthly_users,50320,users,65,Volumetric baseline for SkyHarbor fuel service 014
SHA-VOL-136,SHA-APP-114,2026-05,daily_transactions,51690,txn/day,66,Volumetric baseline for SkyHarbor safety service 015
SHA-VOL-137,SHA-APP-115,2026-05,batch_jobs,53060,jobs/month,67,Volumetric baseline for SkyHarbor training service 016
SHA-VOL-138,SHA-APP-116,2026-05,api_calls,54430,calls/day,68,Volumetric baseline for SkyHarbor identity service 017
SHA-VOL-139,SHA-APP-117,2026-05,incidents,55800,incidents/month,69,Volumetric baseline for SkyHarbor payments fraud service 018
SHA-VOL-140,SHA-APP-118,2026-05,monthly_users,57170,users,70,Volumetric baseline for SkyHarbor retail media service 019
SHA-VOL-141,SHA-APP-119,2026-05,daily_transactions,58540,txn/day,71,Volumetric baseline for SkyHarbor wifi connectivity service 020
SHA-VOL-142,SHA-APP-120,2026-05,batch_jobs,59910,jobs/month,72,Volumetric baseline for SkyHarbor airport ops service 021
SHA-VOL-143,SHA-APP-121,2026-05,api_calls,61280,calls/day,73,Volumetric baseline for SkyHarbor cargo service 022
SHA-VOL-144,SHA-APP-122,2026-05,incidents,62650,incidents/month,74,Volumetric baseline for SkyHarbor premium lounge service 023
SHA-VOL-145,SHA-APP-123,2026-05,monthly_users,64020,users,75,Volumetric baseline for SkyHarbor deicing service 024
SHA-VOL-146,SHA-APP-124,2026-05,daily_transactions,65390,txn/day,76,Volumetric baseline for SkyHarbor gate planning service 025
SHA-VOL-147,SHA-APP-125,2026-05,batch_jobs,66760,jobs/month,77,Volumetric baseline for SkyHarbor refunds service 026
SHA-VOL-148,SHA-APP-126,2026-05,api_calls,68130,calls/day,78,Volumetric baseline for SkyHarbor vouchers service 027
SHA-VOL-149,SHA-APP-127,2026-05,incidents,69500,incidents/month,79,Volumetric baseline for SkyHarbor travel docs service 028
SHA-VOL-150,SHA-APP-128,2026-05,monthly_users,70870,users,80,Volumetric baseline for SkyHarbor corporate sales service 029
SHA-VOL-151,SHA-APP-129,2026-05,daily_transactions,72240,txn/day,81,Volumetric baseline for SkyHarbor interline service 030
SHA-VOL-152,SHA-APP-130,2026-05,batch_jobs,73610,jobs/month,82,Volumetric baseline for SkyHarbor alliance service 031
SHA-VOL-153,SHA-APP-131,2026-05,api_calls,74980,calls/day,83,Volumetric baseline for SkyHarbor regional ops service 032
SHA-VOL-154,SHA-APP-132,2026-05,incidents,76350,incidents/month,84,Volumetric baseline for SkyHarbor catering service 033
SHA-VOL-155,SHA-APP-133,2026-05,monthly_users,77720,users,85,Volumetric baseline for SkyHarbor fuel service 034
SHA-VOL-156,SHA-APP-134,2026-05,daily_transactions,79090,txn/day,86,Volumetric baseline for SkyHarbor safety service 035
SHA-VOL-157,SHA-APP-135,2026-05,batch_jobs,80460,jobs/month,87,Volumetric baseline for SkyHarbor training service 036
SHA-VOL-158,SHA-APP-136,2026-05,api_calls,81830,calls/day,88,Volumetric baseline for SkyHarbor identity service 037
SHA-VOL-159,SHA-APP-137,2026-05,incidents,83200,incidents/month,89,Volumetric baseline for SkyHarbor payments fraud service 038
SHA-VOL-160,SHA-APP-138,2026-05,monthly_users,84570,users,30,Volumetric baseline for SkyHarbor retail media service 039
SHA-VOL-161,SHA-APP-139,2026-05,daily_transactions,85940,txn/day,31,Volumetric baseline for SkyHarbor wifi connectivity service 040
SHA-VOL-162,SHA-APP-140,2026-05,batch_jobs,87310,jobs/month,32,Volumetric baseline for SkyHarbor airport ops service 041
SHA-VOL-163,SHA-APP-141,2026-05,api_calls,88680,calls/day,33,Volumetric baseline for SkyHarbor cargo service 042
SHA-VOL-164,SHA-APP-142,2026-05,incidents,90050,incidents/month,34,Volumetric baseline for SkyHarbor premium lounge service 043
SHA-VOL-165,SHA-APP-143,2026-05,monthly_users,91420,users,35,Volumetric baseline for SkyHarbor deicing service 044
SHA-VOL-166,SHA-APP-144,2026-05,daily_transactions,92790,txn/day,36,Volumetric baseline for SkyHarbor gate planning service 045
SHA-VOL-167,SHA-APP-145,2026-05,batch_jobs,94160,jobs/month,37,Volumetric baseline for SkyHarbor refunds service 046
SHA-VOL-168,SHA-APP-146,2026-05,api_calls,95530,calls/day,38,Volumetric baseline for SkyHarbor vouchers service 047
SHA-VOL-169,SHA-APP-147,2026-05,incidents,96900,incidents/month,39,Volumetric baseline for SkyHarbor travel docs service 048
SHA-VOL-170,SHA-APP-148,2026-05,monthly_users,98270,users,40,Volumetric baseline for SkyHarbor corporate sales service 049
SHA-VOL-171,SHA-APP-149,2026-05,daily_transactions,99640,txn/day,41,Volumetric baseline for SkyHarbor interline service 050
