source_id,spend_id,initiative_id,vendor,product_or_service,spend_type,monthly_spend_usd,annualized_spend_usd,renewal_date,unit_economics_metric,unit_economics_value,owner_role,evidence_state
src-vendors,SPEND-PALO-ALTO-NETWORKS,,Palo Alto Networks,si_advisory,si_advisory,453000,5436000,2026-07-15,annual_contract_value_usd,5436000,CIO,review_required
src-vendors,SPEND-OKTA,,Okta,data_feed,data_feed,509417,6113000,2027-08-15,annual_contract_value_usd,6113000,VP Technology Service Mgmt,usable
src-vendors,SPEND-SAILPOINT,,SailPoint,saas,saas,565833,6790000,2026-09-15,annual_contract_value_usd,6790000,Chief Compliance Officer,usable
src-vendors,SPEND-NCR,,NCR,license,license,622250,7467000,2027-10-15,annual_contract_value_usd,7467000,Chief Procurement Officer,usable
src-vendors,SPEND-FISERV,,Fiserv,managed_service,managed_service,78667,944000,2026-11-15,annual_contract_value_usd,944000,EVP Technology Operations,usable
src-vendors,SPEND-FENERGO,,Fenergo,si_advisory,si_advisory,135083,1621000,2027-12-15,annual_contract_value_usd,1621000,SVP Payments Technology,usable
src-vendors,SPEND-NCINO,,nCino,data_feed,data_feed,191500,2298000,2026-01-15,annual_contract_value_usd,2298000,Chief Digital Officer,review_required
src-vendors,SPEND-MUREX,,Murex,saas,saas,247917,2975000,2027-02-15,annual_contract_value_usd,2975000,SVP Commercial Bank CIO,usable
src-vendors,SPEND-SAS,,SAS,license,license,304333,3652000,2026-03-15,annual_contract_value_usd,3652000,SVP Wealth Technology,usable
src-vendors,SPEND-PEGA,,Pega,managed_service,managed_service,360750,4329000,2027-04-15,annual_contract_value_usd,4329000,Chief Risk Officer,usable
src-vendors,SPEND-BROADRIDGE,,Broadridge,si_advisory,si_advisory,417167,5006000,2026-05-15,annual_contract_value_usd,5006000,Chief Data and Analytics Officer,usable
src-vendors,SPEND-GENESYS,,Genesys,data_feed,data_feed,473583,5683000,2027-06-15,annual_contract_value_usd,5683000,SVP Infrastructure,usable
src-vendors,SPEND-VERINT,,Verint,saas,saas,530000,6360000,2026-07-15,annual_contract_value_usd,6360000,CISO,review_required
src-vendors,SPEND-TWILIO,,Twilio,license,license,586417,7037000,2027-08-15,annual_contract_value_usd,7037000,CFO,usable
src-vendors,SPEND-BLEND,,Blend,managed_service,managed_service,42833,514000,2026-09-15,annual_contract_value_usd,514000,SVP Retail Bank Ops,usable
src-vendors,SPEND-ZELLE-EWS,,Zelle/EWS,si_advisory,si_advisory,99250,1191000,2027-10-15,annual_contract_value_usd,1191000,SVP Client Service,usable
src-vendors,SPEND-THE-CLEARING-HOUSE,,The Clearing House,data_feed,data_feed,155667,1868000,2026-11-15,annual_contract_value_usd,1868000,Chief Model Risk Officer,usable
src-vendors,SPEND-VISA-DPS,,Visa DPS,saas,saas,212083,2545000,2027-12-15,annual_contract_value_usd,2545000,COO,usable
src-vendors,SPEND-MASTERCARD,,Mastercard,license,license,268500,3222000,2026-01-15,annual_contract_value_usd,3222000,Chief Product Officer,review_required
src-vendors,SPEND-FICO,,FICO,managed_service,managed_service,324917,3899000,2027-02-15,annual_contract_value_usd,3899000,Treasurer,usable
src-vendors,SPEND-MOODY-S-ANALYTICS,,Moody's Analytics,si_advisory,si_advisory,381333,4576000,2026-03-15,annual_contract_value_usd,4576000,SVP Consumer Lending CIO,usable
src-vendors,SPEND-S-P-GLOBAL,,S&P Global,data_feed,data_feed,437750,5253000,2027-04-15,annual_contract_value_usd,5253000,SVP Cards,usable
src-vendors,SPEND-BLOOMBERG,,Bloomberg,saas,saas,494167,5930000,2026-05-15,annual_contract_value_usd,5930000,CIO,usable
src-vendors,SPEND-REFINITIV,,Refinitiv,license,license,550583,6607000,2027-06-15,annual_contract_value_usd,6607000,VP Technology Service Mgmt,usable
src-vendors,SPEND-TABLEAU,,Tableau,managed_service,managed_service,607000,7284000,2026-07-15,annual_contract_value_usd,7284000,Chief Compliance Officer,review_required
src-vendors,SPEND-LOOKER,,Looker,si_advisory,si_advisory,63417,761000,2027-08-15,annual_contract_value_usd,761000,Chief Procurement Officer,usable
src-vendors,SPEND-INFORMATICA,,Informatica,data_feed,data_feed,119833,1438000,2026-09-15,annual_contract_value_usd,1438000,EVP Technology Operations,usable
src-vendors,SPEND-COLLIBRA,,Collibra,saas,saas,176250,2115000,2027-10-15,annual_contract_value_usd,2115000,SVP Payments Technology,usable
src-vendors,SPEND-ALATION,,Alation,license,license,232667,2792000,2026-11-15,annual_contract_value_usd,2792000,Chief Digital Officer,usable
src-vendors,SPEND-CONFLUENT,,Confluent,managed_service,managed_service,289083,3469000,2027-12-15,annual_contract_value_usd,3469000,SVP Commercial Bank CIO,usable
src-vendors,SPEND-RED-HAT,,Red Hat,si_advisory,si_advisory,345500,4146000,2026-01-15,annual_contract_value_usd,4146000,SVP Wealth Technology,review_required
src-vendors,SPEND-KYNDRYL,,Kyndryl,data_feed,data_feed,401917,4823000,2027-02-15,annual_contract_value_usd,4823000,Chief Risk Officer,usable
src-vendors,SPEND-TCS,,TCS,saas,saas,458333,5500000,2026-03-15,annual_contract_value_usd,5500000,Chief Data and Analytics Officer,usable
src-vendors,SPEND-WIPRO,,Wipro,license,license,514750,6177000,2027-04-15,annual_contract_value_usd,6177000,SVP Infrastructure,usable
src-vendors,SPEND-INFOSYS,,Infosys,managed_service,managed_service,571167,6854000,2026-05-15,annual_contract_value_usd,6854000,CISO,usable
src-vendors,SPEND-EPAM,,EPAM,si_advisory,si_advisory,627583,7531000,2027-06-15,annual_contract_value_usd,7531000,CFO,usable
src-vendors,SPEND-THOUGHT-MACHINE,,Thought Machine,data_feed,data_feed,84000,1008000,2026-07-15,annual_contract_value_usd,1008000,SVP Retail Bank Ops,review_required
src-vendors,SPEND-MAMBU,,Mambu,saas,saas,140417,1685000,2027-08-15,annual_contract_value_usd,1685000,SVP Client Service,usable
src-vendors,SPEND-Q2,,Q2,license,license,196833,2362000,2026-09-15,annual_contract_value_usd,2362000,Chief Model Risk Officer,usable
src-vendors,SPEND-TEMENOS,,Temenos,managed_service,managed_service,253250,3039000,2027-10-15,annual_contract_value_usd,3039000,COO,usable
src-vendors,SPEND-FEATURESPACE,,Featurespace,si_advisory,si_advisory,309667,3716000,2026-11-15,annual_contract_value_usd,3716000,Chief Product Officer,usable
src-vendors,SPEND-FEEDZAI,,Feedzai,data_feed,data_feed,366083,4393000,2027-12-15,annual_contract_value_usd,4393000,Treasurer,usable
src-vendors,SPEND-ALLOY,,Alloy,saas,saas,422500,5070000,2026-01-15,annual_contract_value_usd,5070000,SVP Consumer Lending CIO,review_required
src-vendors,SPEND-PLAID,,Plaid,license,license,478917,5747000,2027-02-15,annual_contract_value_usd,5747000,SVP Cards,usable
src-vendors,SPEND-TRULIOO,,Trulioo,managed_service,managed_service,535333,6424000,2026-03-15,annual_contract_value_usd,6424000,CIO,usable
src-vendors,SPEND-SOCURE,,Socure,si_advisory,si_advisory,591750,7101000,2027-04-15,annual_contract_value_usd,7101000,VP Technology Service Mgmt,usable
src-vendors,SPEND-DOCUSIGN,,DocuSign,data_feed,data_feed,48167,578000,2026-05-15,annual_contract_value_usd,578000,Chief Compliance Officer,usable
src-vendors,SPEND-ICERTIS,,Icertis,saas,saas,104583,1255000,2027-06-15,annual_contract_value_usd,1255000,Chief Procurement Officer,usable
src-vendors,SPEND-COUPA,,Coupa,license,license,161000,1932000,2026-07-15,annual_contract_value_usd,1932000,EVP Technology Operations,review_required
src-vendors,SPEND-THOMSON-REUTERS,,Thomson Reuters,managed_service,managed_service,217417,2609000,2027-08-15,annual_contract_value_usd,2609000,SVP Payments Technology,usable
src-vendors,SPEND-WOLTERS-KLUWER,,Wolters Kluwer,si_advisory,si_advisory,273833,3286000,2026-09-15,annual_contract_value_usd,3286000,Chief Digital Officer,usable
src-vendors,SPEND-NVIDIA,,NVIDIA,data_feed,data_feed,330250,3963000,2027-10-15,annual_contract_value_usd,3963000,SVP Commercial Bank CIO,usable
