source_id,initiative_id,initiative_name,category,stage,owner,sponsor,vendor,tool_or_system,impacted_personas,promised_benefit,target_metric_key,baseline_value,target_value,target_date,status_flag,evidence_state
src-portfolio,FCF-INIT-022,Vendor AI indemnity clause refresh,AI initiative,Run,CIO,CIO,Internal,Internal,CIO,Vendor AI indemnity clause refresh is tied to Engineering Productivity Office with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,12274000,23360000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-023,IAM privileged access cleanup,technology modernization,Scope,VP Technology Service Mgmt,VP Technology Service Mgmt,nCino,nCino,VP Technology Service Mgmt,"IAM privileged access cleanup is tied to ITSM, Observability and SRE with restructure posture and board/CXO evidence requirements.",benefit_realization_usd,13065000,24850000,2026-12-31,Restructure,review_required
src-portfolio,FCF-INIT-024,SAS model-hosting rationalization,AI initiative,Pilot,Chief Compliance Officer,Chief Compliance Officer,Broadridge,Broadridge,Chief Compliance Officer,SAS model-hosting rationalization is tied to Regulatory Remediation PMO with watch posture and board/CXO evidence requirements.,benefit_realization_usd,13856000,26340000,2026-12-31,Watch,received
src-portfolio,FCF-INIT-025,Snowflake cost governance,technology modernization,Build,Chief Procurement Officer,Chief Procurement Officer,NICE,NICE,Chief Procurement Officer,Snowflake cost governance is tied to Vendor and Sourcing Technology with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,14647000,27830000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-026,Client complaint root-cause analytics,AI initiative,Scale,EVP Technology Operations,EVP Technology Operations,Snowflake,Snowflake,EVP Technology Operations,Client complaint root-cause analytics is tied to Core Banking Platforms with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,1638000,29320000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-027,Loan operations straight-through processing,AI initiative,Run,SVP Payments Technology,SVP Payments Technology,Palo Alto Networks,Palo Alto Networks,SVP Payments Technology,Loan operations straight-through processing is tied to Payments and Treasury Services with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,2429000,30810000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-028,Data retention and legal hold automation,AI initiative,Scope,Chief Digital Officer,Chief Digital Officer,SAP,SAP,Chief Digital Officer,Data retention and legal hold automation is tied to Digital Banking and Client Experience with restructure posture and board/CXO evidence requirements.,benefit_realization_usd,3220000,32300000,2026-12-31,Restructure,review_required
src-portfolio,FCF-INIT-029,Engineering productivity tooling for legacy apps,technology modernization,Pilot,SVP Commercial Bank CIO,SVP Commercial Bank CIO,NCR,NCR,SVP Commercial Bank CIO,Engineering productivity tooling for legacy apps is tied to Commercial Lending Technology with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,4011000,33790000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-030,Payment exceptions workflow modernization,technology modernization,Build,SVP Wealth Technology,SVP Wealth Technology,Genesys,Genesys,SVP Wealth Technology,Payment exceptions workflow modernization is tied to Wealth and Private Bank Technology with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,4802000,3280000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-031,Customer 360 consent and preference hub,technology modernization,Scale,Chief Risk Officer,Chief Risk Officer,SAS,SAS,Chief Risk Officer,"Customer 360 consent and preference hub is tied to Risk, Compliance and Financial Crimes with healthy posture and board/CXO evidence requirements.",benefit_realization_usd,5593000,4770000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-032,Third-party risk scoring automation,AI initiative,Run,Chief Data and Analytics Officer,Chief Data and Analytics Officer,FIS,FIS,Chief Data and Analytics Officer,Third-party risk scoring automation is tied to Enterprise Data and AI with watch posture and board/CXO evidence requirements.,benefit_realization_usd,6384000,6260000,2026-12-31,Watch,received
src-portfolio,FCF-CLOSED-001,Branch teller desktop consolidation,technology modernization,Closed,EVP Technology Operations,EVP Technology Operations,FIS,FIS,EVP Technology Operations,Closeout package includes before/after handle-time sample and branch adoption exceptions.,benefit_realization_usd,900000,1400000,2026-12-31,Closed - value verified,received
src-portfolio,FCF-CLOSED-002,ACH exception queue triage uplift,AI initiative,Closed,SVP Payments Technology,SVP Payments Technology,ACI Worldwide,ACI Worldwide,SVP Payments Technology,Operations evidence shows the triage model reduced aging over 5 business days but did not eliminate manual sanction-screening review.,benefit_realization_usd,1110000,1700000,2026-12-31,Closed - lessons captured,received
src-portfolio,FCF-CLOSED-003,Commercial credit memo template standardization,technology modernization,Closed,Chief Digital Officer,Chief Digital Officer,Internal,Internal,Chief Digital Officer,Credit policy retained manual override authority; value is limited to memo assembly and reviewer cycle time.,benefit_realization_usd,1320000,2000000,2026-12-31,Closed - value verified,received
src-portfolio,FCF-CLOSED-004,Mortgage document indexing remediation,technology modernization,Closed,SVP Commercial Bank CIO,SVP Commercial Bank CIO,nCino,nCino,SVP Commercial Bank CIO,Records management accepted the index remediation after sampling 600 loan files across 3 servicing centers.,benefit_realization_usd,1530000,2300000,2026-12-31,Closed - lessons captured,received
src-portfolio,FCF-CLOSED-005,Treasury intraday liquidity dashboard,technology modernization,Closed,SVP Wealth Technology,SVP Wealth Technology,Broadridge,Broadridge,SVP Wealth Technology,Treasury signed off on liquidity dashboard timeliness but left stress-scenario lineage as an open control item.,benefit_realization_usd,1740000,2600000,2026-12-31,Closed - value verified,received
src-portfolio,FCF-CLOSED-006,Loan operations RPA retirement,technology modernization,Closed,Chief Risk Officer,Chief Risk Officer,NICE,NICE,Chief Risk Officer,RPA retirement delivered run-cost savings only after Pega case-routing controls were amended.,benefit_realization_usd,1950000,2900000,2026-12-31,Closed - lessons captured,received
src-portfolio,FCF-CLOSED-007,Cyber privileged-access recertification,technology modernization,Closed,Chief Data and Analytics Officer,Chief Data and Analytics Officer,Snowflake,Snowflake,Chief Data and Analytics Officer,"Cyber evidence includes recertification completion, privileged group exceptions, and post-cycle remediation owners.",benefit_realization_usd,2160000,3200000,2026-12-31,Closed - value verified,received
src-portfolio,FCF-CLOSED-008,Vendor renewal evidence room pilot,technology modernization,Closed,SVP Infrastructure,SVP Infrastructure,Palo Alto Networks,Palo Alto Networks,SVP Infrastructure,Procurement reused the evidence room pattern for three renewals but did not yet integrate it with ServiceNow GRC.,benefit_realization_usd,2370000,3500000,2026-12-31,Closed - lessons captured,received
src-portfolio,FCF-CLOSED-009,Digital-servicing complaint taxonomy cleanup,AI initiative,Closed,CISO,CISO,SAP,SAP,CISO,"Complaint taxonomy cleanup improved root-cause coding, with unresolved mapping to Salesforce FSC case types.",benefit_realization_usd,2580000,3800000,2026-12-31,Closed - value verified,received
src-portfolio,FCF-CLOSED-010,Model inventory attestation cycle,AI initiative,Closed,CFO,CFO,NCR,NCR,CFO,"Model inventory attestation closed after second-line review, with monitoring evidence deferred to the next quarter.",benefit_realization_usd,2790000,4100000,2026-12-31,Closed - lessons captured,received
