source_id,benefit_id,initiative_id,benefit_name,metric_key,baseline_value,current_value,target_value,promised_annual_value_usd,realized_annual_value_usd,confidence,readiness_state,evidence_state
src-finance,BEN-FCF-INIT-032,FCF-INIT-032,Third-party risk scoring automation value case,benefit_realization_usd,6384000,,6260000,6260000,,low,baseline_set,received
src-finance,BEN-FCF-CLOSED-001,FCF-CLOSED-001,Branch teller desktop consolidation value case,benefit_realization_usd,900000,,1400000,1400000,,low,baseline_set,received
src-finance,BEN-FCF-CLOSED-002,FCF-CLOSED-002,ACH exception queue triage uplift value case,benefit_realization_usd,1110000,,1700000,1700000,,low,baseline_set,received
src-finance,BEN-FCF-CLOSED-003,FCF-CLOSED-003,Commercial credit memo template standardization value case,benefit_realization_usd,1320000,,2000000,2000000,,low,baseline_set,received
src-finance,BEN-FCF-CLOSED-004,FCF-CLOSED-004,Mortgage document indexing remediation value case,benefit_realization_usd,1530000,,2300000,2300000,,low,baseline_set,received
src-finance,BEN-FCF-CLOSED-005,FCF-CLOSED-005,Treasury intraday liquidity dashboard value case,benefit_realization_usd,1740000,,2600000,2600000,,low,baseline_set,received
src-finance,BEN-FCF-CLOSED-006,FCF-CLOSED-006,Loan operations RPA retirement value case,benefit_realization_usd,1950000,,2900000,2900000,,low,baseline_set,received
src-finance,BEN-FCF-CLOSED-007,FCF-CLOSED-007,Cyber privileged-access recertification value case,benefit_realization_usd,2160000,,3200000,3200000,,low,baseline_set,received
src-finance,BEN-FCF-CLOSED-008,FCF-CLOSED-008,Vendor renewal evidence room pilot value case,benefit_realization_usd,2370000,,3500000,3500000,,low,baseline_set,received
src-finance,BEN-FCF-CLOSED-009,FCF-CLOSED-009,Digital-servicing complaint taxonomy cleanup value case,benefit_realization_usd,2580000,,3800000,3800000,,low,baseline_set,received
src-finance,BEN-FCF-CLOSED-010,FCF-CLOSED-010,Model inventory attestation cycle value case,benefit_realization_usd,2790000,,4100000,4100000,,low,baseline_set,received
