app_id,time_classification,rationale
APX-DOTNET-TIME,invest,Classified from lifecycle=active_dev stack=legacy_dotnet criticality=2
APX-ORACLE-GL-POCKET,eliminate,Classified from lifecycle=mature_with_debt stack=oracle_ebs criticality=3
APX-ORACLE-INTL,invest,Classified from lifecycle=sunset_planned stack=sfcc_extension criticality=1
APX-ORACLE-TAX-LEG,invest,Classified from lifecycle=active_dev stack=saas_major criticality=2
APX-SFCC-CART,invest,Classified from lifecycle=active_dev stack=saas_niche criticality=3
APX-SFCC-PROMO,invest,Classified from lifecycle=active_dev stack=modern_java criticality=1
APX-SFCC-SEARCH,invest,Classified from lifecycle=mature_with_debt stack=modern_dotnet criticality=2
APX-SFCC-PROFILE,invest,Classified from lifecycle=active_dev stack=ts_node criticality=3
APX-SFCC-MARKET,invest,Classified from lifecycle=active_dev stack=modern_fe criticality=1
APX-SFCC-CONTENT,invest,Classified from lifecycle=sunset_planned stack=python_ml criticality=2
APX-OKTA,invest,Classified from lifecycle=active_dev stack=mobile criticality=3
APX-M365,tolerate,Classified from lifecycle=mature_with_debt stack=store_edge criticality=1
APX-ADOBE,invest,Classified from lifecycle=active_dev stack=data_platform criticality=2
APX-COUPA,migrate,Classified from lifecycle=active_dev stack=mainframe criticality=3
APX-ARIBA,eliminate,Classified from lifecycle=active_dev stack=as400 criticality=1
APX-BLUEYONDER,migrate,Classified from lifecycle=active_dev stack=legacy_java criticality=2
APX-CROWDSTRIKE,invest,Classified from lifecycle=mature_with_debt stack=legacy_dotnet criticality=3
APX-SPLUNK,eliminate,Classified from lifecycle=active_dev stack=oracle_ebs criticality=1
APX-ALGOLIA,invest,Classified from lifecycle=active_dev stack=sfcc_extension criticality=2
APX-LAUNCHDARKLY,invest,Classified from lifecycle=active_dev stack=saas_major criticality=3
APX-FIVETRAN,invest,Classified from lifecycle=active_dev stack=saas_niche criticality=1
APX-DBT,invest,Classified from lifecycle=mature_with_debt stack=modern_java criticality=2
APX-LOOKER,invest,Classified from lifecycle=active_dev stack=modern_dotnet criticality=3
APX-CORNERSTONE,invest,Classified from lifecycle=sunset_planned stack=ts_node criticality=1
APX-UKG,invest,Classified from lifecycle=active_dev stack=modern_fe criticality=2
APX-ADP,invest,Classified from lifecycle=active_dev stack=python_ml criticality=3
APX-VERTEX-TAX,invest,Classified from lifecycle=mature_with_debt stack=mobile criticality=1
APX-AVALARA,tolerate,Classified from lifecycle=active_dev stack=store_edge criticality=2
APX-MIMECAST,invest,Classified from lifecycle=active_dev stack=data_platform criticality=3
APX-JAVA-LOYALTY,migrate,Classified from lifecycle=active_dev stack=mainframe criticality=1
APX-JAVA-FRAUD,eliminate,Classified from lifecycle=sunset_planned stack=as400 criticality=2
APX-JAVA-INVENTORY,migrate,Classified from lifecycle=mature_with_debt stack=legacy_java criticality=3
APX-JAVA-RETURNS-MOD,invest,Classified from lifecycle=active_dev stack=legacy_dotnet criticality=1
APX-JAVA-ALLOCATION,eliminate,Classified from lifecycle=active_dev stack=oracle_ebs criticality=2
APX-JAVA-PIM,invest,Classified from lifecycle=active_dev stack=sfcc_extension criticality=3
APX-JAVA-SUSTAIN,invest,Classified from lifecycle=active_dev stack=saas_major criticality=1
APX-NET-GIFTCARD,invest,Classified from lifecycle=mature_with_debt stack=saas_niche criticality=2
APX-NET-MOBILE-BFF,invest,Classified from lifecycle=sunset_planned stack=modern_java criticality=3
APX-NET-STOREOPS,invest,Classified from lifecycle=active_dev stack=modern_dotnet criticality=1
APX-NET-WFM,invest,Classified from lifecycle=active_dev stack=ts_node criticality=2
APX-NODE-ACCOUNT,invest,Classified from lifecycle=active_dev stack=modern_fe criticality=3
APX-NODE-SEARCH,invest,Classified from lifecycle=mature_with_debt stack=python_ml criticality=1
APX-NODE-RECS-BFF,invest,Classified from lifecycle=active_dev stack=mobile criticality=2
APX-NODE-MARKET,tolerate,Classified from lifecycle=active_dev stack=store_edge criticality=3
APX-NODE-ORDER,invest,Classified from lifecycle=sunset_planned stack=data_platform criticality=1
APX-FE-ACCOUNT,migrate,Classified from lifecycle=active_dev stack=mainframe criticality=2
APX-FE-SEARCH,eliminate,Classified from lifecycle=mature_with_debt stack=as400 criticality=3
APX-FE-ASSOCIATE,migrate,Classified from lifecycle=active_dev stack=legacy_java criticality=1
APX-FE-MANAGER,invest,Classified from lifecycle=active_dev stack=legacy_dotnet criticality=2
APX-FE-PIM,eliminate,Classified from lifecycle=active_dev stack=oracle_ebs criticality=3
APX-ML-FRAUD,invest,Classified from lifecycle=active_dev stack=sfcc_extension criticality=1
APX-ML-RETURNS,invest,Classified from lifecycle=mature_with_debt stack=saas_major criticality=2
APX-ML-IMAGE,invest,Classified from lifecycle=active_dev stack=saas_niche criticality=3
APX-ML-MMM,invest,Classified from lifecycle=active_dev stack=modern_java criticality=1
APX-MOBILE-CUSTOMER,invest,Classified from lifecycle=active_dev stack=modern_dotnet criticality=2
APX-MOBILE-ASSOC,invest,Classified from lifecycle=active_dev stack=ts_node criticality=3
APX-MOBILE-MANAGER,invest,Classified from lifecycle=mature_with_debt stack=modern_fe criticality=1
APX-EDGE-RFID,invest,Classified from lifecycle=active_dev stack=python_ml criticality=2
APX-EDGE-KIOSK,invest,Classified from lifecycle=sunset_planned stack=mobile criticality=3
APX-EDGE-ROUTER,tolerate,Classified from lifecycle=active_dev stack=store_edge criticality=1
APX-SNOWFLAKE,invest,Classified from lifecycle=active_dev stack=data_platform criticality=2
APX-DATABRICKS,migrate,Classified from lifecycle=mature_with_debt stack=mainframe criticality=3
APX-VERTEX-AI,eliminate,Classified from lifecycle=active_dev stack=as400 criticality=1
APX-AWS-EDP,migrate,Classified from lifecycle=active_dev stack=legacy_java criticality=2
APX-CISCO-SDWAN,invest,Classified from lifecycle=active_dev stack=legacy_dotnet criticality=3
APX-EQUINIX,eliminate,Classified from lifecycle=sunset_planned stack=oracle_ebs criticality=1
APX-VERIZON-WAN,invest,Classified from lifecycle=mature_with_debt stack=sfcc_extension criticality=2
APX-INVENTORY-API,invest,Classified from lifecycle=active_dev stack=saas_major criticality=3
APX-BLUE-YONDER,invest,Classified from lifecycle=active_dev stack=saas_niche criticality=1
APX-FRAUD-ML,invest,Classified from lifecycle=active_dev stack=modern_java criticality=2
APX-GEN-090,invest,Classified from lifecycle=active_dev stack=modern_dotnet criticality=3
