node_id,name,tenant_key
N0123,Compliance and Model Risk Management data lineage and definition risk,harbortrust-bank
N0124,Contact Center and Servicing Workflow Platform,harbortrust-bank
N0125,Contact Center and Servicing,harbortrust-bank
N0126,Chief Experience Officer,harbortrust-bank
N0127,Contact Center Servicing Operational Dataset,harbortrust-bank
N0128,Contact Center and Servicing Analytics Mart,harbortrust-bank
N0129,Contact Center Servicing Analytics Mart,harbortrust-bank
N0130,Contact Center and Servicing Reporting Workspace,harbortrust-bank
N0131,Contact Center and Servicing Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0132,Customer Experience governance council,harbortrust-bank
N0133,Contact center modernization and readiness program,harbortrust-bank
N0134,Contact Center and Servicing Analyst / Steward,harbortrust-bank
N0135,Salesforce,harbortrust-bank
N0136,Contact Center and Servicing cycle time,harbortrust-bank
N0137,Contact Center and Servicing data lineage and definition risk,harbortrust-bank
N0138,Digital Account Opening Platform,harbortrust-bank
N0139,Digital Account Opening and Onboarding,harbortrust-bank
N0140,Digital Banking Product Owner,harbortrust-bank
N0141,Digital Account Opening Onboarding Operational Dataset,harbortrust-bank
N0142,KYC Identity Verification Service,harbortrust-bank
N0143,Digital Account Opening Onboarding Analytics Mart,harbortrust-bank
N0144,Funding and Account Setup API,harbortrust-bank
N0145,Digital Account Opening and Onboarding Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0146,Digital Banking governance council,harbortrust-bank
N0147,Digital onboarding modernization and readiness program,harbortrust-bank
N0148,Digital Account Opening and Onboarding Analyst / Steward,harbortrust-bank
N0149,Accenture Managed Services,harbortrust-bank
N0150,Digital Account Opening and Onboarding cycle time,harbortrust-bank
N0151,Digital Account Opening and Onboarding data lineage and definition risk,harbortrust-bank
N0152,Core Banking Modernization,harbortrust-bank
N0153,CIO,harbortrust-bank
N0154,Core Banking Modernization Operational Dataset,harbortrust-bank
N0155,IBM z/OS Core Banking Mainframe,harbortrust-bank
N0156,Core Banking Modernization Analytics Mart,harbortrust-bank
N0157,Core Banking API Gateway,harbortrust-bank
N0158,Core Banking Modernization Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0159,Technology Modernization governance council,harbortrust-bank
N0160,Core banking modernization modernization and readiness program,harbortrust-bank
N0161,Core Banking Modernization Analyst / Steward,harbortrust-bank
N0162,Core Banking Modernization cycle time,harbortrust-bank
N0163,Core Banking Modernization data lineage and definition risk,harbortrust-bank
N0164,Customer 360 Data Product,harbortrust-bank
N0165,CDAO,harbortrust-bank
N0166,Customer 360 Data Product Operational Dataset,harbortrust-bank
N0167,CRM Customer Master,harbortrust-bank
N0168,Customer 360 Data Product Analytics Mart,harbortrust-bank
N0169,Identity Resolution Service,harbortrust-bank
N0170,Customer 360 Data Product Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0171,Enterprise Data governance council,harbortrust-bank
N0172,Customer 360 modernization and readiness program,harbortrust-bank
N0173,Customer 360 Data Product Analyst / Steward,harbortrust-bank
N0174,Customer 360 Data Product cycle time,harbortrust-bank
N0175,Customer 360 Data Product data lineage and definition risk,harbortrust-bank
N0176,Retail Banking Analytics Workflow Platform,harbortrust-bank
N0177,Retail Banking Analytics,harbortrust-bank
N0178,Retail Analytics Lead,harbortrust-bank
N0179,Retail Banking Analytics Operational Dataset,harbortrust-bank
N0180,Retail Banking Analytics Analytics Mart,harbortrust-bank
N0181,Retail Banking Analytics Reporting Workspace,harbortrust-bank
N0182,Retail Banking Analytics Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0183,Retail Analytics governance council,harbortrust-bank
N0184,Retail banking analytics modernization and readiness program,harbortrust-bank
N0185,Retail Banking Analytics Analyst / Steward,harbortrust-bank
N0186,Snowflake,harbortrust-bank
N0187,Retail Banking Analytics cycle time,harbortrust-bank
N0188,Retail Banking Analytics data lineage and definition risk,harbortrust-bank
N0189,Cards Portfolio Analytics Workflow Platform,harbortrust-bank
N0190,Cards Portfolio Analytics,harbortrust-bank
N0191,Cards Analytics Lead,harbortrust-bank
N0192,Cards Portfolio Analytics Operational Dataset,harbortrust-bank
N0193,Cards Portfolio Analytics Analytics Mart,harbortrust-bank
N0194,Cards Portfolio Analytics Reporting Workspace,harbortrust-bank
N0195,Cards Portfolio Analytics Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0196,Cards Analytics governance council,harbortrust-bank
N0197,Cards analytics modernization and readiness program,harbortrust-bank
N0198,Cards Portfolio Analytics Analyst / Steward,harbortrust-bank
N0199,Cards Portfolio Analytics cycle time,harbortrust-bank
N0200,Cards Portfolio Analytics data lineage and definition risk,harbortrust-bank
N0201,Payments and Settlement Analytics Workflow Platform,harbortrust-bank
N0202,Payments and Settlement Analytics,harbortrust-bank
N0203,Payments Analytics Lead,harbortrust-bank
N0204,Payments Settlement Analytics Operational Dataset,harbortrust-bank
N0205,Payments and Settlement Analytics Analytics Mart,harbortrust-bank
N0206,Payments Settlement Analytics Analytics Mart,harbortrust-bank
N0207,Payments and Settlement Analytics Reporting Workspace,harbortrust-bank
N0208,Payments and Settlement Analytics Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0209,Payments Analytics governance council,harbortrust-bank
N0210,Payments analytics modernization and readiness program,harbortrust-bank
N0211,Payments and Settlement Analytics Analyst / Steward,harbortrust-bank
N0212,Payments and Settlement Analytics cycle time,harbortrust-bank
N0213,Payments and Settlement Analytics data lineage and definition risk,harbortrust-bank
N0214,Fraud and Risk Analytics Workflow Platform,harbortrust-bank
N0215,Fraud and Risk Analytics,harbortrust-bank
N0216,Fraud Analytics Lead,harbortrust-bank
N0217,Fraud Risk Analytics Operational Dataset,harbortrust-bank
N0218,Fraud and Risk Analytics Analytics Mart,harbortrust-bank
N0219,Fraud Risk Analytics Analytics Mart,harbortrust-bank
N0220,Fraud and Risk Analytics Reporting Workspace,harbortrust-bank
N0221,Fraud and Risk Analytics Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0222,Risk Analytics governance council,harbortrust-bank
N0223,Fraud/risk analytics modernization and readiness program,harbortrust-bank
N0224,Fraud and Risk Analytics Analyst / Steward,harbortrust-bank
N0225,Fraud and Risk Analytics cycle time,harbortrust-bank
N0226,Fraud and Risk Analytics data lineage and definition risk,harbortrust-bank
N0227,Snowflake Banking Warehouse,harbortrust-bank
N0228,Cloud Data Platform,harbortrust-bank
N0229,Cloud Data Platform Operational Dataset,harbortrust-bank
N0230,Databricks Risk Feature Workspace,harbortrust-bank
N0231,Cloud Data Platform Analytics Mart,harbortrust-bank
N0232,Informatica Banking ETL,harbortrust-bank
N0233,Cloud Data Platform Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0234,Enterprise data platform / cloud data foundation modernization and readiness program,harbortrust-bank
N0235,Cloud Data Platform Analyst / Steward,harbortrust-bank
N0236,Cloud Data Platform cycle time,harbortrust-bank
N0237,Cloud Data Platform data lineage and definition risk,harbortrust-bank
N0238,IT Budget and Tower Baseline Workflow Platform,harbortrust-bank
N0239,IT Budget and Tower Baseline,harbortrust-bank
N0240,CIO / CFO,harbortrust-bank
N0241,IT Budget Tower Baseline Operational Dataset,harbortrust-bank
N0242,IT Budget and Tower Baseline Analytics Mart,harbortrust-bank
N0243,IT Budget Tower Baseline Analytics Mart,harbortrust-bank
N0244,IT Budget and Tower Baseline Reporting Workspace,harbortrust-bank
N0245,IT Budget and Tower Baseline Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0246,Technology Finance governance council,harbortrust-bank
N0247,IT budget and Tower spend baseline modernization and readiness program,harbortrust-bank
N0248,IT Budget and Tower Baseline Analyst / Steward,harbortrust-bank
N0249,IT Budget and Tower Baseline cycle time,harbortrust-bank
N0250,IT Budget and Tower Baseline data lineage and definition risk,harbortrust-bank
N0251,Vendor and Contract Optimization Workflow Platform,harbortrust-bank
N0252,Vendor and Contract Optimization,harbortrust-bank
N0253,Chief Procurement Officer,harbortrust-bank
N0254,Vendor Contract Optimization Operational Dataset,harbortrust-bank
N0255,Vendor and Contract Optimization Analytics Mart,harbortrust-bank
N0256,Vendor Contract Optimization Analytics Mart,harbortrust-bank
N0257,Vendor and Contract Optimization Reporting Workspace,harbortrust-bank
N0258,Vendor and Contract Optimization Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0259,Procurement and Vendor Management governance council,harbortrust-bank
N0260,Vendor / contract / sourcing context modernization and readiness program,harbortrust-bank
N0261,Vendor and Contract Optimization Analyst / Steward,harbortrust-bank
N0262,Vendor and Contract Optimization cycle time,harbortrust-bank
N0263,Vendor and Contract Optimization data lineage and definition risk,harbortrust-bank
N0264,ServiceNow CMDB,harbortrust-bank
N0265,Infrastructure and CMDB,harbortrust-bank
N0266,CTO,harbortrust-bank
N0267,Infrastructure CMDB Operational Dataset,harbortrust-bank
N0268,IBM z/OS Mainframe Cluster,harbortrust-bank
N0269,Infrastructure CMDB Analytics Mart,harbortrust-bank
N0270,Azure Banking Landing Zone,harbortrust-bank
N0271,Infrastructure and CMDB Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0272,Technology Operations governance council,harbortrust-bank
N0273,CMDB / infrastructure / cloud inventory context modernization and readiness program,harbortrust-bank
N0274,Infrastructure and CMDB Analyst / Steward,harbortrust-bank
N0275,TransUnion,harbortrust-bank
N0276,Infrastructure and CMDB cycle time,harbortrust-bank
N0277,Infrastructure and CMDB data lineage and definition risk,harbortrust-bank
N0278,ServiceNow ITSM,harbortrust-bank
N0279,Incident Problem Change Operations,harbortrust-bank
N0280,VP IT Operations,harbortrust-bank
N0281,Incident Problem Change Operations Operational Dataset,harbortrust-bank
N0282,Splunk Observability,harbortrust-bank
N0283,Incident Problem Change Operations Analytics Mart,harbortrust-bank
N0284,PagerDuty Incident Response,harbortrust-bank
N0285,Incident Problem Change Operations Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0286,Incident / problem / change operational health context modernization and readiness program,harbortrust-bank
N0287,Incident Problem Change Operations Analyst / Steward,harbortrust-bank
N0288,Incident Problem Change Operations cycle time,harbortrust-bank
N0289,Incident Problem Change Operations data lineage and definition risk,harbortrust-bank
N0290,Settlement Reconciliation Mart,harbortrust-bank
N0291,Event Streaming Integration Layer,harbortrust-bank
N0292,Alation Data Catalog,harbortrust-bank
