tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,period_start,period_end,application_ref,batch_domain,scheduled_jobs,failed_jobs,late_completion_count,manual_restarts,incident_ticket_ref,source_file_id,synthetic_policy
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-09:APP-MER-IDENTITY,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-09,2026-09-01,2026-09-30,APP-MER-IDENTITY,iam_certification_jobs,42,7,5,4,SNOW-MER-TECH-IMS-001-2026-09-IDENTITY,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-09:APP-MER-EHR-INT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-09,2026-09-01,2026-09-30,APP-MER-EHR-INT,clinical_interface_batches,64,9,6,5,SNOW-MER-TECH-IMS-001-2026-09-EHR-INT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-09:APP-MER-DATALAKE-OPS,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-09,2026-09-01,2026-09-30,APP-MER-DATALAKE-OPS,cloud_ops_data_pipeline,96,12,8,6,SNOW-MER-TECH-IMS-001-2026-09-DATALAKE-OPS,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-09:APP-MER-ENDPOINT-MGMT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-09,2026-09-01,2026-09-30,APP-MER-ENDPOINT-MGMT,endpoint_deployment_rings,74,10,7,5,SNOW-MER-TECH-IMS-001-2026-09-ENDPOINT-MGMT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-10:APP-MER-SERVICENOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-10,2026-10-01,2026-10-31,APP-MER-SERVICENOW,itsm_queue_exports,28,5,3,2,SNOW-MER-TECH-IMS-001-2026-10-SERVICENOW,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-10:APP-MER-IDENTITY,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-10,2026-10-01,2026-10-31,APP-MER-IDENTITY,iam_certification_jobs,42,6,4,3,SNOW-MER-TECH-IMS-001-2026-10-IDENTITY,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-10:APP-MER-EHR-INT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-10,2026-10-01,2026-10-31,APP-MER-EHR-INT,clinical_interface_batches,64,8,5,4,SNOW-MER-TECH-IMS-001-2026-10-EHR-INT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-10:APP-MER-DATALAKE-OPS,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-10,2026-10-01,2026-10-31,APP-MER-DATALAKE-OPS,cloud_ops_data_pipeline,96,11,7,5,SNOW-MER-TECH-IMS-001-2026-10-DATALAKE-OPS,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-10:APP-MER-ENDPOINT-MGMT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-10,2026-10-01,2026-10-31,APP-MER-ENDPOINT-MGMT,endpoint_deployment_rings,74,9,6,4,SNOW-MER-TECH-IMS-001-2026-10-ENDPOINT-MGMT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-11:APP-MER-SERVICENOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-11,2026-11-01,2026-11-30,APP-MER-SERVICENOW,itsm_queue_exports,28,7,5,3,SNOW-MER-TECH-IMS-001-2026-11-SERVICENOW,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-11:APP-MER-IDENTITY,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-11,2026-11-01,2026-11-30,APP-MER-IDENTITY,iam_certification_jobs,42,8,5,4,SNOW-MER-TECH-IMS-001-2026-11-IDENTITY,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-11:APP-MER-EHR-INT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-11,2026-11-01,2026-11-30,APP-MER-EHR-INT,clinical_interface_batches,64,10,7,5,SNOW-MER-TECH-IMS-001-2026-11-EHR-INT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-11:APP-MER-DATALAKE-OPS,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-11,2026-11-01,2026-11-30,APP-MER-DATALAKE-OPS,cloud_ops_data_pipeline,96,13,8,6,SNOW-MER-TECH-IMS-001-2026-11-DATALAKE-OPS,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-11:APP-MER-ENDPOINT-MGMT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-11,2026-11-01,2026-11-30,APP-MER-ENDPOINT-MGMT,endpoint_deployment_rings,74,11,7,5,SNOW-MER-TECH-IMS-001-2026-11-ENDPOINT-MGMT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-12:APP-MER-SERVICENOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-12,2026-12-01,2026-12-31,APP-MER-SERVICENOW,itsm_queue_exports,28,4,3,2,SNOW-MER-TECH-IMS-001-2026-12-SERVICENOW,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-12:APP-MER-IDENTITY,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-12,2026-12-01,2026-12-31,APP-MER-IDENTITY,iam_certification_jobs,42,5,3,3,SNOW-MER-TECH-IMS-001-2026-12-IDENTITY,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-12:APP-MER-EHR-INT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-12,2026-12-01,2026-12-31,APP-MER-EHR-INT,clinical_interface_batches,64,7,5,4,SNOW-MER-TECH-IMS-001-2026-12-EHR-INT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-12:APP-MER-DATALAKE-OPS,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-12,2026-12-01,2026-12-31,APP-MER-DATALAKE-OPS,cloud_ops_data_pipeline,96,10,7,5,SNOW-MER-TECH-IMS-001-2026-12-DATALAKE-OPS,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-12:APP-MER-ENDPOINT-MGMT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-12,2026-12-01,2026-12-31,APP-MER-ENDPOINT-MGMT,endpoint_deployment_rings,74,8,5,4,SNOW-MER-TECH-IMS-001-2026-12-ENDPOINT-MGMT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-01:APP-MER-SERVICENOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-01,2027-01-01,2027-01-31,APP-MER-SERVICENOW,itsm_queue_exports,28,5,3,2,SNOW-MER-TECH-IMS-001-2027-01-SERVICENOW,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-01:APP-MER-IDENTITY,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-01,2027-01-01,2027-01-31,APP-MER-IDENTITY,iam_certification_jobs,42,6,4,3,SNOW-MER-TECH-IMS-001-2027-01-IDENTITY,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-01:APP-MER-EHR-INT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-01,2027-01-01,2027-01-31,APP-MER-EHR-INT,clinical_interface_batches,64,8,5,4,SNOW-MER-TECH-IMS-001-2027-01-EHR-INT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-01:APP-MER-DATALAKE-OPS,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-01,2027-01-01,2027-01-31,APP-MER-DATALAKE-OPS,cloud_ops_data_pipeline,96,11,7,5,SNOW-MER-TECH-IMS-001-2027-01-DATALAKE-OPS,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-01:APP-MER-ENDPOINT-MGMT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-01,2027-01-01,2027-01-31,APP-MER-ENDPOINT-MGMT,endpoint_deployment_rings,74,9,6,4,SNOW-MER-TECH-IMS-001-2027-01-ENDPOINT-MGMT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-02:APP-MER-SERVICENOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-02,2027-02-01,2027-02-28,APP-MER-SERVICENOW,itsm_queue_exports,28,7,5,3,SNOW-MER-TECH-IMS-001-2027-02-SERVICENOW,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-02:APP-MER-IDENTITY,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-02,2027-02-01,2027-02-28,APP-MER-IDENTITY,iam_certification_jobs,42,8,5,4,SNOW-MER-TECH-IMS-001-2027-02-IDENTITY,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-02:APP-MER-EHR-INT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-02,2027-02-01,2027-02-28,APP-MER-EHR-INT,clinical_interface_batches,64,10,7,5,SNOW-MER-TECH-IMS-001-2027-02-EHR-INT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-02:APP-MER-DATALAKE-OPS,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-02,2027-02-01,2027-02-28,APP-MER-DATALAKE-OPS,cloud_ops_data_pipeline,96,13,8,6,SNOW-MER-TECH-IMS-001-2027-02-DATALAKE-OPS,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-02:APP-MER-ENDPOINT-MGMT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-02,2027-02-01,2027-02-28,APP-MER-ENDPOINT-MGMT,endpoint_deployment_rings,74,11,7,5,SNOW-MER-TECH-IMS-001-2027-02-ENDPOINT-MGMT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-03:APP-MER-SERVICENOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-03,2027-03-01,2027-03-31,APP-MER-SERVICENOW,itsm_queue_exports,28,6,4,3,SNOW-MER-TECH-IMS-001-2027-03-SERVICENOW,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-03:APP-MER-IDENTITY,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-03,2027-03-01,2027-03-31,APP-MER-IDENTITY,iam_certification_jobs,42,7,5,4,SNOW-MER-TECH-IMS-001-2027-03-IDENTITY,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-03:APP-MER-EHR-INT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-03,2027-03-01,2027-03-31,APP-MER-EHR-INT,clinical_interface_batches,64,9,6,5,SNOW-MER-TECH-IMS-001-2027-03-EHR-INT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-03:APP-MER-DATALAKE-OPS,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-03,2027-03-01,2027-03-31,APP-MER-DATALAKE-OPS,cloud_ops_data_pipeline,96,12,8,6,SNOW-MER-TECH-IMS-001-2027-03-DATALAKE-OPS,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-03:APP-MER-ENDPOINT-MGMT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-03,2027-03-01,2027-03-31,APP-MER-ENDPOINT-MGMT,endpoint_deployment_rings,74,10,7,5,SNOW-MER-TECH-IMS-001-2027-03-ENDPOINT-MGMT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-04:APP-MER-SERVICENOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-04,2027-04-01,2027-04-30,APP-MER-SERVICENOW,itsm_queue_exports,28,8,5,4,SNOW-MER-TECH-IMS-001-2027-04-SERVICENOW,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-04:APP-MER-IDENTITY,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-04,2027-04-01,2027-04-30,APP-MER-IDENTITY,iam_certification_jobs,42,9,6,5,SNOW-MER-TECH-IMS-001-2027-04-IDENTITY,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-04:APP-MER-EHR-INT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-04,2027-04-01,2027-04-30,APP-MER-EHR-INT,clinical_interface_batches,64,11,7,6,SNOW-MER-TECH-IMS-001-2027-04-EHR-INT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-04:APP-MER-DATALAKE-OPS,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-04,2027-04-01,2027-04-30,APP-MER-DATALAKE-OPS,cloud_ops_data_pipeline,96,14,9,7,SNOW-MER-TECH-IMS-001-2027-04-DATALAKE-OPS,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-04:APP-MER-ENDPOINT-MGMT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-04,2027-04-01,2027-04-30,APP-MER-ENDPOINT-MGMT,endpoint_deployment_rings,74,12,8,6,SNOW-MER-TECH-IMS-001-2027-04-ENDPOINT-MGMT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-05:APP-MER-SERVICENOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-05,2027-05-01,2027-05-31,APP-MER-SERVICENOW,itsm_queue_exports,28,5,3,2,SNOW-MER-TECH-IMS-001-2027-05-SERVICENOW,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-05:APP-MER-IDENTITY,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-05,2027-05-01,2027-05-31,APP-MER-IDENTITY,iam_certification_jobs,42,6,4,3,SNOW-MER-TECH-IMS-001-2027-05-IDENTITY,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-05:APP-MER-EHR-INT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-05,2027-05-01,2027-05-31,APP-MER-EHR-INT,clinical_interface_batches,64,8,5,4,SNOW-MER-TECH-IMS-001-2027-05-EHR-INT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-05:APP-MER-DATALAKE-OPS,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-05,2027-05-01,2027-05-31,APP-MER-DATALAKE-OPS,cloud_ops_data_pipeline,96,11,7,5,SNOW-MER-TECH-IMS-001-2027-05-DATALAKE-OPS,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-05:APP-MER-ENDPOINT-MGMT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-05,2027-05-01,2027-05-31,APP-MER-ENDPOINT-MGMT,endpoint_deployment_rings,74,9,6,4,SNOW-MER-TECH-IMS-001-2027-05-ENDPOINT-MGMT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-06:APP-MER-SERVICENOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-06,2027-06-01,2027-06-30,APP-MER-SERVICENOW,itsm_queue_exports,28,8,5,4,SNOW-MER-TECH-IMS-001-2027-06-SERVICENOW,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-06:APP-MER-IDENTITY,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-06,2027-06-01,2027-06-30,APP-MER-IDENTITY,iam_certification_jobs,42,9,6,5,SNOW-MER-TECH-IMS-001-2027-06-IDENTITY,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-06:APP-MER-EHR-INT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-06,2027-06-01,2027-06-30,APP-MER-EHR-INT,clinical_interface_batches,64,11,7,6,SNOW-MER-TECH-IMS-001-2027-06-EHR-INT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-06:APP-MER-DATALAKE-OPS,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-06,2027-06-01,2027-06-30,APP-MER-DATALAKE-OPS,cloud_ops_data_pipeline,96,14,9,7,SNOW-MER-TECH-IMS-001-2027-06-DATALAKE-OPS,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2027-06:APP-MER-ENDPOINT-MGMT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-06,2027-06-01,2027-06-30,APP-MER-ENDPOINT-MGMT,endpoint_deployment_rings,74,12,8,6,SNOW-MER-TECH-IMS-001-2027-06-ENDPOINT-MGMT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
