tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,period_start,period_end,service_tower,severity,ticket_count,sla_target_hours,avg_resolution_hours,backlog_end_count,source_file_id
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-09:P4,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-09,2026-09-01,2026-09-30,Enterprise Service Desk and Infrastructure Operations,P4,425,72,78,51,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-10:P1,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-10,2026-10-01,2026-10-31,Enterprise Service Desk and Infrastructure Operations,P1,44,4,3.6,2,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-10:P2,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-10,2026-10-01,2026-10-31,Enterprise Service Desk and Infrastructure Operations,P2,183,8,7.4,7,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-10:P3,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-10,2026-10-01,2026-10-31,Enterprise Service Desk and Infrastructure Operations,P3,618,24,20.6,25,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-10:P4,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-10,2026-10-01,2026-10-31,Enterprise Service Desk and Infrastructure Operations,P4,417,72,54,17,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-11:P1,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-11,2026-11-01,2026-11-30,Enterprise Service Desk and Infrastructure Operations,P1,46,4,5.8,6,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-11:P2,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-11,2026-11-01,2026-11-30,Enterprise Service Desk and Infrastructure Operations,P2,189,8,10.9,23,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-11:P3,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-11,2026-11-01,2026-11-30,Enterprise Service Desk and Infrastructure Operations,P3,639,24,29.5,77,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-11:P4,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-11,2026-11-01,2026-11-30,Enterprise Service Desk and Infrastructure Operations,P4,430,72,78,52,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-12:P1,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-12,2026-12-01,2026-12-31,Enterprise Service Desk and Infrastructure Operations,P1,45,4,3.6,2,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-12:P2,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-12,2026-12-01,2026-12-31,Enterprise Service Desk and Infrastructure Operations,P2,185,8,7.4,7,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-12:P3,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-12,2026-12-01,2026-12-31,Enterprise Service Desk and Infrastructure Operations,P3,625,24,20.6,25,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-12:P4,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-12,2026-12-01,2026-12-31,Enterprise Service Desk and Infrastructure Operations,P4,420,72,54,17,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-01:P1,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-01,2027-01-01,2027-01-31,Enterprise Service Desk and Infrastructure Operations,P1,45,4,3.6,2,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-01:P2,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-01,2027-01-01,2027-01-31,Enterprise Service Desk and Infrastructure Operations,P2,188,8,7.4,8,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-01:P3,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-01,2027-01-01,2027-01-31,Enterprise Service Desk and Infrastructure Operations,P3,635,24,20.6,25,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-01:P4,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-01,2027-01-01,2027-01-31,Enterprise Service Desk and Infrastructure Operations,P4,428,72,54,17,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-02:P1,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-02,2027-02-01,2027-02-28,Enterprise Service Desk and Infrastructure Operations,P1,47,4,5.8,6,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-02:P2,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-02,2027-02-01,2027-02-28,Enterprise Service Desk and Infrastructure Operations,P2,194,8,10.9,23,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-02:P3,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-02,2027-02-01,2027-02-28,Enterprise Service Desk and Infrastructure Operations,P3,656,24,29.5,79,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-02:P4,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-02,2027-02-01,2027-02-28,Enterprise Service Desk and Infrastructure Operations,P4,441,72,78,53,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-03:P1,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-03,2027-03-01,2027-03-31,Enterprise Service Desk and Infrastructure Operations,P1,46,4,3.6,2,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-03:P2,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-03,2027-03-01,2027-03-31,Enterprise Service Desk and Infrastructure Operations,P2,191,8,7.4,8,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-03:P3,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-03,2027-03-01,2027-03-31,Enterprise Service Desk and Infrastructure Operations,P3,647,24,20.6,26,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-03:P4,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-03,2027-03-01,2027-03-31,Enterprise Service Desk and Infrastructure Operations,P4,436,72,54,17,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-04:P1,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-04,2027-04-01,2027-04-30,Enterprise Service Desk and Infrastructure Operations,P1,48,4,5.8,6,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-04:P2,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-04,2027-04-01,2027-04-30,Enterprise Service Desk and Infrastructure Operations,P2,198,8,10.9,24,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-04:P3,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-04,2027-04-01,2027-04-30,Enterprise Service Desk and Infrastructure Operations,P3,668,24,29.5,80,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-04:P4,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-04,2027-04-01,2027-04-30,Enterprise Service Desk and Infrastructure Operations,P4,450,72,78,54,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-05:P1,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-05,2027-05-01,2027-05-31,Enterprise Service Desk and Infrastructure Operations,P1,48,4,3.6,2,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-05:P2,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-05,2027-05-01,2027-05-31,Enterprise Service Desk and Infrastructure Operations,P2,201,8,7.4,8,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-05:P3,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-05,2027-05-01,2027-05-31,Enterprise Service Desk and Infrastructure Operations,P3,679,24,20.6,27,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-05:P4,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-05,2027-05-01,2027-05-31,Enterprise Service Desk and Infrastructure Operations,P4,457,72,54,18,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-06:P1,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-06,2027-06-01,2027-06-30,Enterprise Service Desk and Infrastructure Operations,P1,49,4,5.8,6,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-06:P2,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-06,2027-06-01,2027-06-30,Enterprise Service Desk and Infrastructure Operations,P2,204,8,10.9,24,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-06:P3,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-06,2027-06-01,2027-06-30,Enterprise Service Desk and Infrastructure Operations,P3,691,24,29.5,83,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2027-06:P4,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-06,2027-06-01,2027-06-30,Enterprise Service Desk and Infrastructure Operations,P4,466,72,78,56,DOC-MER-TECH-IMS-001-SLA
