tenant_key,fact_id,evidence_id,fact_type,interview_group,priority_theme,business_priority,fact_text,decision_supported,confidence,active_candidate_status
meridian-health,MER-SA07-FACT-0042,MER-SA07-INT-EVID-0042,executive_interview_observation,"CTO / Infrastructure, Cloud & Platform",modernization,Governed data foundation for AI / LLM automation,"CTO / Infrastructure, Cloud & Platform says Governed data foundation for AI / LLM automation is promising, but modernization is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0043,MER-SA07-INT-EVID-0043,executive_interview_observation,"CTO / Infrastructure, Cloud & Platform",AI readiness,Call center optimization,"CTO / Infrastructure, Cloud & Platform says Call center optimization is promising, but AI readiness is not decision-grade until Claims administration platform evidence closes: Intent taxonomy not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0044,MER-SA07-INT-EVID-0044,executive_interview_observation,"CTO / Infrastructure, Cloud & Platform",risk,Provider quality and performance,"CTO / Infrastructure, Cloud & Platform says Provider quality and performance is promising, but risk is not decision-grade until Tableau reporting estate evidence closes: Near-real-time quality layer not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0045,MER-SA07-INT-EVID-0045,executive_interview_observation,"CTO / Infrastructure, Cloud & Platform",metrics,End-to-end cost transparency,"CTO / Infrastructure, Cloud & Platform says End-to-end cost transparency is promising, but metrics is not decision-grade until Claims administration platform evidence closes: Provider contract terms not digitized in governed form. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0046,MER-SA07-INT-EVID-0046,executive_interview_observation,"CTO / Infrastructure, Cloud & Platform",value,Payment integrity and leakage reduction,"CTO / Infrastructure, Cloud & Platform says Payment integrity and leakage reduction is promising, but value is not decision-grade until SAS analytics estate evidence closes: Provider entity resolution not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0047,MER-SA07-INT-EVID-0047,executive_interview_observation,"CTO / Infrastructure, Cloud & Platform",sourcing,Automated close and reporting,"CTO / Infrastructure, Cloud & Platform says Automated close and reporting is promising, but sourcing is not decision-grade until Tableau reporting estate evidence closes: Close workflow integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0048,MER-SA07-INT-EVID-0048,executive_interview_observation,"CTO / Infrastructure, Cloud & Platform",evidence,Unified clinical + claims lakehouse,"CTO / Infrastructure, Cloud & Platform says Unified clinical + claims lakehouse is promising, but evidence is not decision-grade until Epic Caboodle evidence closes: AWS/Databricks foundation not ready. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0049,MER-SA07-INT-EVID-0049,executive_interview_observation,CDAO / Data & Analytics,strategy,End-to-end cost transparency,"CDAO / Data & Analytics says End-to-end cost transparency is promising, but strategy is not decision-grade until Claims administration platform evidence closes: Provider contract terms not digitized in governed form. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0050,MER-SA07-INT-EVID-0050,executive_interview_observation,CDAO / Data & Analytics,operating model,Payment integrity and leakage reduction,"CDAO / Data & Analytics says Payment integrity and leakage reduction is promising, but operating model is not decision-grade until SAS analytics estate evidence closes: Provider entity resolution not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0051,MER-SA07-INT-EVID-0051,executive_interview_observation,CDAO / Data & Analytics,vendor,Automated close and reporting,"CDAO / Data & Analytics says Automated close and reporting is promising, but vendor is not decision-grade until Tableau reporting estate evidence closes: Close workflow integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0052,MER-SA07-INT-EVID-0052,executive_interview_observation,CDAO / Data & Analytics,platform,Unified clinical + claims lakehouse,"CDAO / Data & Analytics says Unified clinical + claims lakehouse is promising, but platform is not decision-grade until Pharmacy claims platform evidence closes: AWS/Databricks foundation not ready. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0053,MER-SA07-INT-EVID-0053,executive_interview_observation,CDAO / Data & Analytics,data,Governed data foundation for AI / LLM automation,"CDAO / Data & Analytics says Governed data foundation for AI / LLM automation is promising, but data is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0054,MER-SA07-INT-EVID-0054,executive_interview_observation,CDAO / Data & Analytics,modernization,Call center optimization,"CDAO / Data & Analytics says Call center optimization is promising, but modernization is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0055,MER-SA07-INT-EVID-0055,executive_interview_observation,CDAO / Data & Analytics,AI readiness,Provider quality and performance,"CDAO / Data & Analytics says Provider quality and performance is promising, but AI readiness is not decision-grade until Epic Clarity evidence closes: Provider contract linkage not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0056,MER-SA07-INT-EVID-0056,executive_interview_observation,CDAO / Data & Analytics,risk,End-to-end cost transparency,"CDAO / Data & Analytics says End-to-end cost transparency is promising, but risk is not decision-grade until SQL Server reporting marts evidence closes: Margin semantic model not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0057,MER-SA07-INT-EVID-0057,executive_interview_observation,CDAO / Data & Analytics,metrics,Payment integrity and leakage reduction,"CDAO / Data & Analytics says Payment integrity and leakage reduction is promising, but metrics is not decision-grade until Claims administration platform evidence closes: Rules and model lineage not governed. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0058,MER-SA07-INT-EVID-0058,executive_interview_observation,CDAO / Data & Analytics,value,Automated close and reporting,"CDAO / Data & Analytics says Automated close and reporting is promising, but value is not decision-grade until Power BI reporting estate evidence closes: Certified finance semantic layer not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0059,MER-SA07-INT-EVID-0059,executive_interview_observation,CDAO / Data & Analytics,sourcing,Unified clinical + claims lakehouse,"CDAO / Data & Analytics says Unified clinical + claims lakehouse is promising, but sourcing is not decision-grade until Epic Clarity evidence closes: Claims and pharmacy harmonization not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0060,MER-SA07-INT-EVID-0060,executive_interview_observation,CDAO / Data & Analytics,evidence,Governed data foundation for AI / LLM automation,"CDAO / Data & Analytics says Governed data foundation for AI / LLM automation is promising, but evidence is not decision-grade until Databricks on AWS evidence closes: Data quality rules not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0061,MER-SA07-INT-EVID-0061,executive_interview_observation,Chief Experience Officer / Member Experience,strategy,Payment integrity and leakage reduction,"Chief Experience Officer / Member Experience says Payment integrity and leakage reduction is promising, but strategy is not decision-grade until Claims administration platform evidence closes: Rules and model lineage not governed. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0062,MER-SA07-INT-EVID-0062,executive_interview_observation,Chief Experience Officer / Member Experience,operating model,Automated close and reporting,"Chief Experience Officer / Member Experience says Automated close and reporting is promising, but operating model is not decision-grade until Power BI reporting estate evidence closes: Certified finance semantic layer not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0063,MER-SA07-INT-EVID-0063,executive_interview_observation,Chief Experience Officer / Member Experience,vendor,Unified clinical + claims lakehouse,"Chief Experience Officer / Member Experience says Unified clinical + claims lakehouse is promising, but vendor is not decision-grade until Claims administration platform evidence closes: Claims and pharmacy harmonization not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0064,MER-SA07-INT-EVID-0064,executive_interview_observation,Chief Experience Officer / Member Experience,platform,Governed data foundation for AI / LLM automation,"Chief Experience Officer / Member Experience says Governed data foundation for AI / LLM automation is promising, but platform is not decision-grade until Databricks on AWS evidence closes: Data quality rules not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0065,MER-SA07-INT-EVID-0065,executive_interview_observation,Chief Experience Officer / Member Experience,data,Call center optimization,"Chief Experience Officer / Member Experience says Call center optimization is promising, but data is not decision-grade until Contact center transcript and telephony platform evidence closes: Transcript governance not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0066,MER-SA07-INT-EVID-0066,executive_interview_observation,Chief Experience Officer / Member Experience,modernization,Provider quality and performance,"Chief Experience Officer / Member Experience says Provider quality and performance is promising, but modernization is not decision-grade until Epic Caboodle evidence closes: Attribution ownership not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
