tenant_key,evidence_id,interview_group,relationship_status,confidence,relationship_id,relationship_type,source_entity,target_entity,relationship_evidence
meridian-health,MER-SA07-INT-EVID-0002,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0002-INITIATIVE-SPONSOR,initiative_to_sponsor,Governed data foundation for AI / LLM automation,CEO,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but operating model is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0003,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0003-FUNCTION-SYSTEM,function_to_system,CEO / Enterprise Strategy,Claims administration platform,"CEO / Enterprise Strategy says Call center optimization is promising, but vendor is not decision-grade until Claims administration platform evidence closes: Intent taxonomy not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0003,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0003-SYSTEM-DATA,system_to_data_asset,Claims administration platform,claims status,Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven
meridian-health,MER-SA07-INT-EVID-0003,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0003-USECASE-EVIDENCE,use_case_to_evidence_needed,Call center optimization,Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,Call center optimization phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0003,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0003-METRIC-OWNER,metric_to_owner,baseline_required,CEO,Which vendor or contract issue creates the most friction?
meridian-health,MER-SA07-INT-EVID-0003,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0003-RISK-CONTROL,risk_to_control,Intent taxonomy not certified,control evidence needed,Intent taxonomy not certified
meridian-health,MER-SA07-INT-EVID-0003,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0003-INITIATIVE-SPONSOR,initiative_to_sponsor,Call center optimization,CEO,"CEO / Enterprise Strategy says Call center optimization is promising, but vendor is not decision-grade until Claims administration platform evidence closes: Intent taxonomy not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0004,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0004-FUNCTION-SYSTEM,function_to_system,CEO / Enterprise Strategy,Power BI reporting estate,"CEO / Enterprise Strategy says Provider quality and performance is promising, but platform is not decision-grade until Power BI reporting estate evidence closes: Near-real-time quality layer not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0004,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0004-SYSTEM-DATA,system_to_data_asset,Power BI reporting estate,care gaps,Measure logic fragmented across BI tools; Attribution ownership not proven; Provider contract linkage not certified; Near-real-time quality layer not proven
meridian-health,MER-SA07-INT-EVID-0004,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0004-USECASE-EVIDENCE,use_case_to_evidence_needed,Provider quality and performance,Measure logic fragmented across BI tools; Attribution ownership not proven; Provider contract linkage not certified; Near-real-time quality layer not proven,Provider quality and performance phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0004,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0004-METRIC-OWNER,metric_to_owner,baseline_required,CEO,Which application or platform constraint matters most?
meridian-health,MER-SA07-INT-EVID-0004,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0004-RISK-CONTROL,risk_to_control,Near-real-time quality layer not proven,control evidence needed,Near-real-time quality layer not proven
meridian-health,MER-SA07-INT-EVID-0004,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0004-INITIATIVE-SPONSOR,initiative_to_sponsor,Provider quality and performance,CEO,"CEO / Enterprise Strategy says Provider quality and performance is promising, but platform is not decision-grade until Power BI reporting estate evidence closes: Near-real-time quality layer not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0005,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0005-FUNCTION-SYSTEM,function_to_system,CEO / Enterprise Strategy,Claims administration platform,"CEO / Enterprise Strategy says End-to-end cost transparency is promising, but data is not decision-grade until Claims administration platform evidence closes: Provider contract terms not digitized in governed form. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0005,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0005-SYSTEM-DATA,system_to_data_asset,Claims administration platform,cost-of-care,Provider contract terms not digitized in governed form; Claims and GL calendar alignment not proven; Cost allocation rules not loaded; Margin semantic model not certified
meridian-health,MER-SA07-INT-EVID-0005,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0005-USECASE-EVIDENCE,use_case_to_evidence_needed,End-to-end cost transparency,Provider contract terms not digitized in governed form; Claims and GL calendar alignment not proven; Cost allocation rules not loaded; Margin semantic model not certified,End-to-end cost transparency phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0005,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0005-METRIC-OWNER,metric_to_owner,baseline_required,CEO,Where are data quality or lineage gaps blocking confidence?
meridian-health,MER-SA07-INT-EVID-0005,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0005-RISK-CONTROL,risk_to_control,Provider contract terms not digitized in governed form,control evidence needed,Provider contract terms not digitized in governed form
meridian-health,MER-SA07-INT-EVID-0005,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0005-INITIATIVE-SPONSOR,initiative_to_sponsor,End-to-end cost transparency,CEO,"CEO / Enterprise Strategy says End-to-end cost transparency is promising, but data is not decision-grade until Claims administration platform evidence closes: Provider contract terms not digitized in governed form. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0006,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0006-FUNCTION-SYSTEM,function_to_system,CEO / Enterprise Strategy,SAS analytics estate,"CEO / Enterprise Strategy says Payment integrity and leakage reduction is promising, but modernization is not decision-grade until SAS analytics estate evidence closes: Provider entity resolution not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0006,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0006-SYSTEM-DATA,system_to_data_asset,SAS analytics estate,claims anomalies,Rules and model lineage not governed; Provider entity resolution not proven; Investigation workflow evidence not loaded; Recovery realization tracking not loaded
meridian-health,MER-SA07-INT-EVID-0006,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0006-USECASE-EVIDENCE,use_case_to_evidence_needed,Payment integrity and leakage reduction,Rules and model lineage not governed; Provider entity resolution not proven; Investigation workflow evidence not loaded; Recovery realization tracking not loaded,Payment integrity and leakage reduction phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0006,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0006-METRIC-OWNER,metric_to_owner,baseline_required,CEO,Which modernization priority is hardest to fund or sequence?
meridian-health,MER-SA07-INT-EVID-0006,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0006-RISK-CONTROL,risk_to_control,Provider entity resolution not proven,control evidence needed,Provider entity resolution not proven
meridian-health,MER-SA07-INT-EVID-0006,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0006-INITIATIVE-SPONSOR,initiative_to_sponsor,Payment integrity and leakage reduction,CEO,"CEO / Enterprise Strategy says Payment integrity and leakage reduction is promising, but modernization is not decision-grade until SAS analytics estate evidence closes: Provider entity resolution not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0007,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0007-FUNCTION-SYSTEM,function_to_system,CEO / Enterprise Strategy,Tableau reporting estate,"CEO / Enterprise Strategy says Automated close and reporting is promising, but AI readiness is not decision-grade until Tableau reporting estate evidence closes: Close workflow integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0007,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0007-SYSTEM-DATA,system_to_data_asset,Tableau reporting estate,close process,Manual reporting maintenance load; Certified finance semantic layer not loaded; Close workflow integration not proven; Metric governance not formalized
meridian-health,MER-SA07-INT-EVID-0007,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0007-USECASE-EVIDENCE,use_case_to_evidence_needed,Automated close and reporting,Manual reporting maintenance load; Certified finance semantic layer not loaded; Close workflow integration not proven; Metric governance not formalized,Automated close and reporting phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0007,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0007-METRIC-OWNER,metric_to_owner,baseline_required,CEO,Which AI use case has executive appetite but weak evidence?
meridian-health,MER-SA07-INT-EVID-0007,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0007-RISK-CONTROL,risk_to_control,Close workflow integration not proven,control evidence needed,Close workflow integration not proven
meridian-health,MER-SA07-INT-EVID-0007,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0007-INITIATIVE-SPONSOR,initiative_to_sponsor,Automated close and reporting,CEO,"CEO / Enterprise Strategy says Automated close and reporting is promising, but AI readiness is not decision-grade until Tableau reporting estate evidence closes: Close workflow integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0008,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0008-FUNCTION-SYSTEM,function_to_system,CEO / Enterprise Strategy,Claims administration platform,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but risk is not decision-grade until Claims administration platform evidence closes: AWS/Databricks foundation not ready. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0008,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0008-SYSTEM-DATA,system_to_data_asset,Claims administration platform,pharmacy,No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready
meridian-health,MER-SA07-INT-EVID-0008,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0008-USECASE-EVIDENCE,use_case_to_evidence_needed,Unified clinical + claims lakehouse,No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready,Unified clinical + claims lakehouse phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0008,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0008-METRIC-OWNER,metric_to_owner,baseline_required,CEO,What risk or control would block production use?
meridian-health,MER-SA07-INT-EVID-0008,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0008-RISK-CONTROL,risk_to_control,AWS/Databricks foundation not ready,control evidence needed,AWS/Databricks foundation not ready
meridian-health,MER-SA07-INT-EVID-0008,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0008-INITIATIVE-SPONSOR,initiative_to_sponsor,Unified clinical + claims lakehouse,CEO,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but risk is not decision-grade until Claims administration platform evidence closes: AWS/Databricks foundation not ready. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0009,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0009-FUNCTION-SYSTEM,function_to_system,CEO / Enterprise Strategy,Epic Clarity,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but metrics is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0009,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0009-SYSTEM-DATA,system_to_data_asset,Epic Clarity,semantic layer,No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded
meridian-health,MER-SA07-INT-EVID-0009,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0009-USECASE-EVIDENCE,use_case_to_evidence_needed,Governed data foundation for AI / LLM automation,No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0009,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0009-METRIC-OWNER,metric_to_owner,baseline_required,CEO,Which KPI baseline should Tower validate first?
meridian-health,MER-SA07-INT-EVID-0009,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0009-RISK-CONTROL,risk_to_control,No formal data governance,control evidence needed,No formal data governance
meridian-health,MER-SA07-INT-EVID-0009,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0009-INITIATIVE-SPONSOR,initiative_to_sponsor,Governed data foundation for AI / LLM automation,CEO,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but metrics is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0010,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0010-FUNCTION-SYSTEM,function_to_system,CEO / Enterprise Strategy,CRM / member case management,"CEO / Enterprise Strategy says Call center optimization is promising, but value is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0010,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0010-SYSTEM-DATA,system_to_data_asset,CRM / member case management,next-best-action content,Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven
meridian-health,MER-SA07-INT-EVID-0010,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0010-USECASE-EVIDENCE,use_case_to_evidence_needed,Call center optimization,Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,Call center optimization phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0010,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0010-METRIC-OWNER,metric_to_owner,baseline_required,CEO,What value expectation should finance test before approval?
meridian-health,MER-SA07-INT-EVID-0010,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0010-RISK-CONTROL,risk_to_control,Real-time integration not proven,control evidence needed,Real-time integration not proven
meridian-health,MER-SA07-INT-EVID-0010,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0010-INITIATIVE-SPONSOR,initiative_to_sponsor,Call center optimization,CEO,"CEO / Enterprise Strategy says Call center optimization is promising, but value is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0011,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0011-FUNCTION-SYSTEM,function_to_system,CEO / Enterprise Strategy,Epic Caboodle,"CEO / Enterprise Strategy says Provider quality and performance is promising, but sourcing is not decision-grade until Epic Caboodle evidence closes: Provider contract linkage not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0011,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0011-SYSTEM-DATA,system_to_data_asset,Epic Caboodle,HEDIS,Measure logic fragmented across BI tools; Attribution ownership not proven; Provider contract linkage not certified; Near-real-time quality layer not proven
meridian-health,MER-SA07-INT-EVID-0011,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0011-USECASE-EVIDENCE,use_case_to_evidence_needed,Provider quality and performance,Measure logic fragmented across BI tools; Attribution ownership not proven; Provider contract linkage not certified; Near-real-time quality layer not proven,Provider quality and performance phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0011,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0011-METRIC-OWNER,metric_to_owner,baseline_required,CEO,Which sourcing constraint should Source understand before event generation?
meridian-health,MER-SA07-INT-EVID-0011,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0011-RISK-CONTROL,risk_to_control,Provider contract linkage not certified,control evidence needed,Provider contract linkage not certified
meridian-health,MER-SA07-INT-EVID-0011,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0011-INITIATIVE-SPONSOR,initiative_to_sponsor,Provider quality and performance,CEO,"CEO / Enterprise Strategy says Provider quality and performance is promising, but sourcing is not decision-grade until Epic Caboodle evidence closes: Provider contract linkage not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0012,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0012-FUNCTION-SYSTEM,function_to_system,CEO / Enterprise Strategy,SQL Server reporting marts,"CEO / Enterprise Strategy says End-to-end cost transparency is promising, but evidence is not decision-grade until SQL Server reporting marts evidence closes: Margin semantic model not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0012,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0012-SYSTEM-DATA,system_to_data_asset,SQL Server reporting marts,margin,Provider contract terms not digitized in governed form; Claims and GL calendar alignment not proven; Cost allocation rules not loaded; Margin semantic model not certified
meridian-health,MER-SA07-INT-EVID-0012,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0012-USECASE-EVIDENCE,use_case_to_evidence_needed,End-to-end cost transparency,Provider contract terms not digitized in governed form; Claims and GL calendar alignment not proven; Cost allocation rules not loaded; Margin semantic model not certified,End-to-end cost transparency phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0012,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0012-METRIC-OWNER,metric_to_owner,baseline_required,CEO,What evidence would make the next decision safer?
meridian-health,MER-SA07-INT-EVID-0012,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0012-RISK-CONTROL,risk_to_control,Margin semantic model not certified,control evidence needed,Margin semantic model not certified
meridian-health,MER-SA07-INT-EVID-0012,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0012-INITIATIVE-SPONSOR,initiative_to_sponsor,End-to-end cost transparency,CEO,"CEO / Enterprise Strategy says End-to-end cost transparency is promising, but evidence is not decision-grade until SQL Server reporting marts evidence closes: Margin semantic model not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0013,CFO / Finance & Value,candidate_until_validated,medium,MER-SA07-REL-0013-FUNCTION-SYSTEM,function_to_system,CFO / Finance & Value,Epic Clarity,"CFO / Finance & Value says Governed data foundation for AI / LLM automation is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0013,CFO / Finance & Value,candidate_until_validated,medium,MER-SA07-REL-0013-SYSTEM-DATA,system_to_data_asset,Epic Clarity,prior authorization,No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded
meridian-health,MER-SA07-INT-EVID-0013,CFO / Finance & Value,candidate_until_validated,medium,MER-SA07-REL-0013-USECASE-EVIDENCE,use_case_to_evidence_needed,Governed data foundation for AI / LLM automation,No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0013,CFO / Finance & Value,candidate_until_validated,medium,MER-SA07-REL-0013-METRIC-OWNER,metric_to_owner,baseline_required,CFO,What are the top strategic priorities this year?
meridian-health,MER-SA07-INT-EVID-0013,CFO / Finance & Value,candidate_until_validated,medium,MER-SA07-REL-0013-RISK-CONTROL,risk_to_control,No formal data governance,control evidence needed,No formal data governance
meridian-health,MER-SA07-INT-EVID-0013,CFO / Finance & Value,candidate_until_validated,medium,MER-SA07-REL-0013-INITIATIVE-SPONSOR,initiative_to_sponsor,Governed data foundation for AI / LLM automation,CFO,"CFO / Finance & Value says Governed data foundation for AI / LLM automation is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0014,CFO / Finance & Value,candidate_until_validated,high,MER-SA07-REL-0014-FUNCTION-SYSTEM,function_to_system,CFO / Finance & Value,CRM / member case management,"CFO / Finance & Value says Call center optimization is promising, but operating model is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0014,CFO / Finance & Value,candidate_until_validated,high,MER-SA07-REL-0014-SYSTEM-DATA,system_to_data_asset,CRM / member case management,CRM cases,Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven
meridian-health,MER-SA07-INT-EVID-0014,CFO / Finance & Value,candidate_until_validated,high,MER-SA07-REL-0014-USECASE-EVIDENCE,use_case_to_evidence_needed,Call center optimization,Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,Call center optimization phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0014,CFO / Finance & Value,candidate_until_validated,high,MER-SA07-REL-0014-METRIC-OWNER,metric_to_owner,baseline_required,CFO,Where does the current operating model slow decisions?
meridian-health,MER-SA07-INT-EVID-0014,CFO / Finance & Value,candidate_until_validated,high,MER-SA07-REL-0014-RISK-CONTROL,risk_to_control,Real-time integration not proven,control evidence needed,Real-time integration not proven
meridian-health,MER-SA07-INT-EVID-0014,CFO / Finance & Value,candidate_until_validated,high,MER-SA07-REL-0014-INITIATIVE-SPONSOR,initiative_to_sponsor,Call center optimization,CFO,"CFO / Finance & Value says Call center optimization is promising, but operating model is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0015,CFO / Finance & Value,candidate_until_validated,high,MER-SA07-REL-0015-FUNCTION-SYSTEM,function_to_system,CFO / Finance & Value,Tableau reporting estate,"CFO / Finance & Value says Provider quality and performance is promising, but vendor is not decision-grade until Tableau reporting estate evidence closes: Provider contract linkage not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0015,CFO / Finance & Value,candidate_until_validated,high,MER-SA07-REL-0015-SYSTEM-DATA,system_to_data_asset,Tableau reporting estate,provider attribution,Measure logic fragmented across BI tools; Attribution ownership not proven; Provider contract linkage not certified; Near-real-time quality layer not proven
meridian-health,MER-SA07-INT-EVID-0015,CFO / Finance & Value,candidate_until_validated,high,MER-SA07-REL-0015-USECASE-EVIDENCE,use_case_to_evidence_needed,Provider quality and performance,Measure logic fragmented across BI tools; Attribution ownership not proven; Provider contract linkage not certified; Near-real-time quality layer not proven,Provider quality and performance phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0015,CFO / Finance & Value,candidate_until_validated,high,MER-SA07-REL-0015-METRIC-OWNER,metric_to_owner,baseline_required,CFO,Which vendor or contract issue creates the most friction?
meridian-health,MER-SA07-INT-EVID-0015,CFO / Finance & Value,candidate_until_validated,high,MER-SA07-REL-0015-RISK-CONTROL,risk_to_control,Provider contract linkage not certified,control evidence needed,Provider contract linkage not certified
