tenant_key,gap_id,key_initiative,evidence_gap,first_interview_group,module_usage_notes,active_candidate_status
meridian-health,MER-SA07-GAP-0014,Provider quality and performance,Attribution ownership not proven,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0015,Provider quality and performance,Provider contract linkage not certified,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0016,Provider quality and performance,Near-real-time quality layer not proven,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0017,End-to-end cost transparency,Provider contract terms not digitized in governed form,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0018,End-to-end cost transparency,Claims and GL calendar alignment not proven,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0019,End-to-end cost transparency,Cost allocation rules not loaded,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0020,End-to-end cost transparency,Margin semantic model not certified,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0021,Payment integrity and leakage reduction,Rules and model lineage not governed,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0022,Payment integrity and leakage reduction,Provider entity resolution not proven,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0023,Payment integrity and leakage reduction,Investigation workflow evidence not loaded,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0024,Payment integrity and leakage reduction,Recovery realization tracking not loaded,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0025,Automated close and reporting,Manual reporting maintenance load,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0026,Automated close and reporting,Certified finance semantic layer not loaded,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0027,Automated close and reporting,Close workflow integration not proven,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0028,Automated close and reporting,Metric governance not formalized,CEO / Enterprise Strategy,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,candidate
meridian-health,MER-SA07-GAP-0029,AI Benefits Realization Ledger,FP&A validation and usage extracts required,CFO / Finance & Value,Home|Knowledge|Intelligence|Moves|Tower|Source,candidate
meridian-health,MER-SA07-GAP-0030,Member Service Agent Assist Transformation,"Approved business case, baseline, and PHI controls required",Chief Experience Officer / Member Experience,Home|Knowledge|Intelligence|Moves|Tower|Source,candidate
meridian-health,MER-SA07-GAP-0031,AI Governance / Model Risk Controls,"HITL, audit logging, and model-risk evidence required",CISO / Security,Home|Knowledge|Intelligence|Moves|Tower|Source,candidate
meridian-health,MER-SA07-GAP-0032,Contact Center Platform / Knowledge Modernization,"AHT, FCR, transfer, CSAT, and QA baselines required",Contact Center / Member Service Operations,Home|Knowledge|Intelligence|Moves|Tower|Source,candidate
meridian-health,MER-SA07-GAP-0033,FY26 AI spend governance,"Budget, program, and benefits ledger ties required",CIO / Enterprise Technology,Home|Knowledge|Intelligence|Moves|Tower|Source,candidate
