tenant_key,dimension,question,respondent_role,respondent_persona,answer,confidence,evidence_source,follow_up_needed,mapped_dimension,mapped_fields,relationship_candidates_created,known_gaps
meridian-health,14_metrics_outcomes,What should AbarVa know about Claims and Payment Analytics for metrics outcomes?,Procurement Lead,Procurement Lead responsible for Claims Analytics context,"metrics outcomes: respondent confirmed the record is useful for orientation, but asked AbarVa to verify source ownership, row-level lineage, volume baseline, and whether the data is current or target-state only.",High,MERIDIAN-HEALTH-MH-CLAIMS-ANALYTICS-EV01; MERIDIAN-HEALTH-MH-CLAIMS-ANALYTICS-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Claims and Payment Analytics Workflow Platform supports Claims and Payment Analytics; Claims and Payment Analytics Analytics Mart consumes Claims Payment Analytics Operational Dataset; Databricks provides Claims and Payment Analytics Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Provider Performance Analytics for metrics outcomes?,ServiceNow / CMDB Owner,ServiceNow / CMDB Owner responsible for Provider Network context,"metrics outcomes: respondent said the next workshop should reconcile this context to systems, data assets, vendors, risks, metrics, and program funding before it becomes active tenant truth.",High,MERIDIAN-HEALTH-MH-PROVIDER-PERFORMANCE-EV01; MERIDIAN-HEALTH-MH-PROVIDER-PERFORMANCE-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Provider Performance Analytics Workflow Platform supports Provider Performance Analytics; Provider Performance Analytics Analytics Mart consumes Provider Performance Analytics Operational Dataset; Microsoft provides Provider Performance Analytics Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Enterprise Data Platform for metrics outcomes?,CIO,"CIO responsible for Enterprise Data, Analytics & AI context","metrics outcomes: respondent identified missing proof around operating volume, owner accountability, cross-system dependency, and whether the evidence is approved for Home, Moves, Source, Tower, and Intelligence.",High,MERIDIAN-HEALTH-MH-DATA-PLATFORM-EV01; MERIDIAN-HEALTH-MH-DATA-PLATFORM-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Databricks on AWS Lakehouse supports Enterprise Data Platform; Netezza Enterprise Warehouse consumes Enterprise Data Platform Operational Dataset; Genesys provides Databricks on AWS Lakehouse,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Data Governance and Data Quality for metrics outcomes?,CDAO,CDAO responsible for Data Governance context,"metrics outcomes: respondent noted that the data should support fact-based context browsing, while advisory claims require relationship validation, module readiness checks, and source-owner attestation.",High,MERIDIAN-HEALTH-MH-DATA-GOVERNANCE-EV01; MERIDIAN-HEALTH-MH-DATA-GOVERNANCE-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Data Governance and Data Quality Workflow Platform supports Data Governance and Data Quality; Data Governance and Data Quality Analytics Mart consumes Data Governance Data Quality Operational Dataset; Salesforce provides Data Governance and Data Quality Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Agent Assist and Next Best Action for metrics outcomes?,CFO,CFO responsible for Member Experience context,"metrics outcomes: respondent confirmed the record is useful for orientation, but asked AbarVa to verify source ownership, row-level lineage, volume baseline, and whether the data is current or target-state only.",Medium,MERIDIAN-HEALTH-MH-AGENT-ASSIST-EV01; MERIDIAN-HEALTH-MH-AGENT-ASSIST-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Agent Assist and Next Best Action Workflow Platform supports Agent Assist and Next Best Action; Agent Assist and Next Best Action Analytics Mart consumes Agent Assist Next Best Action Operational Dataset; Tableau provides Agent Assist and Next Best Action Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Unified Clinical and Claims Lakehouse for metrics outcomes?,COO,"COO responsible for Enterprise Data, Analytics & AI context","metrics outcomes: respondent said the next workshop should reconcile this context to systems, data assets, vendors, risks, metrics, and program funding before it becomes active tenant truth.",High,MERIDIAN-HEALTH-MH-UNIFIED-LAKEHOUSE-EV01; MERIDIAN-HEALTH-MH-UNIFIED-LAKEHOUSE-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Epic Clarity supports Unified Clinical and Claims Lakehouse; Claims Administration Platform consumes Unified Clinical Claims Lakehouse Operational Dataset; Epic provides Epic Clarity,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about IT Budget and Tower Baseline for metrics outcomes?,CMO,CMO responsible for Technology Finance context,"metrics outcomes: respondent identified missing proof around operating volume, owner accountability, cross-system dependency, and whether the evidence is approved for Home, Moves, Source, Tower, and Intelligence.",High,MERIDIAN-HEALTH-MH-IT-BUDGET-EV01; MERIDIAN-HEALTH-MH-IT-BUDGET-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,IT Budget and Tower Baseline Workflow Platform supports IT Budget and Tower Baseline; IT Budget and Tower Baseline Analytics Mart consumes IT Budget Tower Baseline Operational Dataset; Optum Managed Services provides IT Budget and Tower Baseline Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Vendor and Contract Optimization for metrics outcomes?,Health Plan COO,Health Plan COO responsible for Procurement and Vendor Management context,"metrics outcomes: respondent noted that the data should support fact-based context browsing, while advisory claims require relationship validation, module readiness checks, and source-owner attestation.",High,MERIDIAN-HEALTH-MH-VENDOR-SOURCING-EV01; MERIDIAN-HEALTH-MH-VENDOR-SOURCING-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Vendor and Contract Optimization Workflow Platform supports Vendor and Contract Optimization; Vendor and Contract Optimization Analytics Mart consumes Vendor Contract Optimization Operational Dataset; Oracle provides Vendor and Contract Optimization Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Infrastructure and CMDB for metrics outcomes?,VP Contact Center,VP Contact Center responsible for Technology Operations context,"metrics outcomes: respondent confirmed the record is useful for orientation, but asked AbarVa to verify source ownership, row-level lineage, volume baseline, and whether the data is current or target-state only.",High,MERIDIAN-HEALTH-MH-CMDB-INFRA-EV01; MERIDIAN-HEALTH-MH-CMDB-INFRA-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,ServiceNow CMDB supports Infrastructure and CMDB; VMware Data Center Cluster consumes Infrastructure CMDB Operational Dataset; AWS provides ServiceNow CMDB,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Incident Problem Change Operations for metrics outcomes?,Procurement Lead,Procurement Lead responsible for Technology Operations context,"metrics outcomes: respondent said the next workshop should reconcile this context to systems, data assets, vendors, risks, metrics, and program funding before it becomes active tenant truth.",Medium,MERIDIAN-HEALTH-MH-INCIDENTS-EV01; MERIDIAN-HEALTH-MH-INCIDENTS-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,ServiceNow ITSM supports Incident Problem Change Operations; Datadog Observability consumes Incident Problem Change Operations Operational Dataset; Optum Managed Services provides ServiceNow ITSM,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
