integration_id,name,from_system_id,to_system_id,integration_type,frequency,criticality,notes
INT-00001,Customer-Salesforce-Engine-0046 to Crew-Infosys-Service-0726 via API,APP-00046,APP-00726,API,Hourly,Critical,daily_volume=3431069; failures_month=7; modernization=Migrate
INT-00019,Treasury-AIMS-Hub-0308 to Mainframe-Adobe-Service-0828 via File Transfer,APP-00308,APP-00828,File Transfer,Event,Medium,daily_volume=4298535; failures_month=92; modernization=Modernize
INT-00020,Ground-Amadeus-Engine-0305 to Crew-Jeppesen-Suite-0720 via Batch,APP-00305,APP-00720,Batch,Event,Medium,daily_volume=5581154; failures_month=39; modernization=Migrate
INT-00021,Metadata-Hexaware-Hub-0194 to Disruption-Infosys-Suite-0110 via Event,APP-00194,APP-00110,Event,Real-time,Critical,daily_volume=1593377; failures_month=75; modernization=Replatform
INT-00022,Data-Microsoft-Suite-0581 to Legal-AIMS-Platform-0278 via API,APP-00581,APP-00278,API,Real-time,Critical,daily_volume=5962032; failures_month=22; modernization=Retain
INT-00023,Cloud-Microsoft-Suite-0663 to Gate-AIMS-Manager-0411 via Batch,APP-00663,APP-00411,Batch,Hourly,Low,daily_volume=2362183; failures_month=14; modernization=Migrate
INT-00024,Data-Jeppesen-Manager-0773 to Inventory-Teradata-Service-0816 via Streaming,APP-00773,APP-00816,Streaming,Event,High,daily_volume=7615467; failures_month=40; modernization=Retire
INT-00025,Customer-ServiceNow-Suite-0009 to Engine-Lufthansa Systems-Hub-0469 via CDC,APP-00009,APP-00469,CDC,Daily,Low,daily_volume=573703; failures_month=0; modernization=Migrate
INT-00026,Maintenance-Amadeus-Hub-0249 to Network-IBM-Hub-0369 via File Transfer,APP-00249,APP-00369,File Transfer,Weekly,Critical,daily_volume=334999; failures_month=0; modernization=Modernize
INT-00027,Investor-Teradata-Engine-0036 to Line-IBM-Engine-0466 via Streaming,APP-00036,APP-00466,Streaming,Event,Critical,daily_volume=136632; failures_month=98; modernization=Migrate
INT-00028,Observability-Workday-Platform-0297 to Data-Lufthansa Systems-Hub-0398 via Batch,APP-00297,APP-00398,Batch,Daily,High,daily_volume=4496012; failures_month=53; modernization=Replatform
INT-00029,Digital-TCS-Suite-0318 to Parts-Sabre AirVision-Suite-0152 via Streaming,APP-00318,APP-00152,Streaming,Event,Critical,daily_volume=1621061; failures_month=69; modernization=Replatform
INT-00030,MRO-Sabre-Hub-0900 to Ancillary-Amadeus-Engine-0078 via Streaming,APP-00900,APP-00078,Streaming,Real-time,Critical,daily_volume=3900412; failures_month=67; modernization=Replace
INT-00031,Digital-SITA-Platform-0003 to Real-Oracle-Service-0010 via Event,APP-00003,APP-00010,Event,Real-time,Medium,daily_volume=5731728; failures_month=114; modernization=Replatform
INT-00032,Revenue-Salesforce-Hub-0116 to Endpoint-Sabre-Manager-0600 via ETL,APP-00116,APP-00600,ETL,Daily,Medium,daily_volume=5214216; failures_month=11; modernization=Migrate
INT-00033,Gate-ServiceNow-Engine-0531 to Weight-Hexaware-Platform-0566 via ETL,APP-00531,APP-00566,ETL,Daily,High,daily_volume=6173110; failures_month=100; modernization=Replace
INT-00034,Tax-Sabre AirVision-Engine-0805 to Disruption-Sabre AirVision-Suite-0041 via Batch,APP-00805,APP-00041,Batch,Hourly,Low,daily_volume=6792593; failures_month=98; modernization=Modernize
INT-00035,Gate-Workday-Platform-0703 to Digital-Lufthansa Systems-Suite-0204 via Real-time,APP-00703,APP-00204,Real-time,Real-time,Low,daily_volume=3132132; failures_month=1; modernization=Replace
INT-00036,Legal-TCS-Engine-0156 to GRC-Jeppesen-Manager-0279 via Batch,APP-00156,APP-00279,Batch,Daily,High,daily_volume=4350700; failures_month=55; modernization=Replatform
INT-00037,Corporate-SITA-Service-0005 to Fuel-Snowflake-Engine-0447 via API,APP-00005,APP-00447,API,Daily,Medium,daily_volume=4577801; failures_month=32; modernization=Invest
INT-00038,Corporate-TCS-Suite-0119 to Ancillary-AIMS-Service-0698 via ETL,APP-00119,APP-00698,ETL,Daily,Critical,daily_volume=1933578; failures_month=29; modernization=Migrate
INT-00039,Self-Service-Jeppesen-Engine-0456 to Cargo-Sabre AirVision-Service-0735 via ETL,APP-00456,APP-00735,ETL,Real-time,Low,daily_volume=7060498; failures_month=54; modernization=Modernize
INT-00040,Container-Salesforce-Hub-0185 to Ancillary-Databricks-Platform-0361 via Streaming,APP-00185,APP-00361,Streaming,Event,Critical,daily_volume=1081286; failures_month=16; modernization=Replatform
INT-00041,Network-Amadeus-Manager-0572 to Procurement-Jeppesen-Platform-0029 via Event,APP-00572,APP-00029,Event,Real-time,High,daily_volume=5345089; failures_month=64; modernization=Migrate
INT-00042,Customer-ServiceNow-Hub-0768 to Observability-TCS-Suite-0056 via Event,APP-00768,APP-00056,Event,Event,Low,daily_volume=5225540; failures_month=47; modernization=Migrate
INT-00043,Privileged-Jeppesen-Engine-0150 to Cloud-Jeppesen-Manager-0545 via Real-time,APP-00150,APP-00545,Real-time,Hourly,Medium,daily_volume=7217973; failures_month=72; modernization=Replatform
INT-00044,Data-SAP-Engine-0881 to Network-Workday-Engine-0652 via Event,APP-00881,APP-00652,Event,Weekly,Low,daily_volume=1710492; failures_month=2; modernization=Invest
INT-00045,Parts-Salesforce-Manager-0035 to Slot-Snowflake-Service-0074 via CDC,APP-00035,APP-00074,CDC,Weekly,High,daily_volume=4030905; failures_month=50; modernization=Invest
INT-00046,Slot-Lufthansa Systems-Platform-0880 to Engine-Databricks-Hub-0077 via API,APP-00880,APP-00077,API,Daily,Low,daily_volume=7749743; failures_month=118; modernization=Migrate
INT-00047,Line-SITA-Service-0072 to Revenue-TCS-Platform-0568 via ELT,APP-00072,APP-00568,ELT,Daily,Critical,daily_volume=3289767; failures_month=32; modernization=Invest
INT-00048,Compute-Accenture-Manager-0363 to Component-SITA-Platform-0222 via Event,APP-00363,APP-00222,Event,Real-time,Medium,daily_volume=6099970; failures_month=33; modernization=Replatform
INT-00049,Data-Lufthansa Systems-Service-0863 to Parts-Workday-Service-0174 via Event,APP-00863,APP-00174,Event,Hourly,High,daily_volume=5357643; failures_month=31; modernization=Replace
INT-00050,Real-Workday-Platform-0806 to Security-Custom-Suite-0001 via Event,APP-00806,APP-00001,Event,Real-time,Critical,daily_volume=2175940; failures_month=85; modernization=Modernize
INT-00051,Revenue-Sabre-Engine-0221 to Real-time-Lufthansa Systems-Suite-0632 via ELT,APP-00221,APP-00632,ELT,Real-time,High,daily_volume=2470549; failures_month=110; modernization=Migrate
INT-00052,Mainframe-Lufthansa Systems-Suite-0879 to Tax-Adobe-Service-0434 via Streaming,APP-00879,APP-00434,Streaming,Event,Medium,daily_volume=7266836; failures_month=6; modernization=Replace
INT-00053,Payroll-Sabre-Platform-0616 to Self-Service-Lufthansa Systems-Hub-0723 via File Transfer,APP-00616,APP-00723,File Transfer,Real-time,Critical,daily_volume=4286042; failures_month=22; modernization=Modernize
INT-00054,Revenue-SAP-Engine-0647 to Identity-Databricks-Service-0093 via CDC,APP-00647,APP-00093,CDC,Real-time,Low,daily_volume=5093884; failures_month=32; modernization=Invest
INT-00055,Network-SITA-Manager-0084 to Component-Microsoft-Manager-0503 via Event,APP-00084,APP-00503,Event,Weekly,Medium,daily_volume=5331185; failures_month=89; modernization=Invest
INT-00056,Data-Salesforce-Platform-0496 to Cloud-Salesforce-Service-0193 via API,APP-00496,APP-00193,API,Event,Low,daily_volume=3404688; failures_month=67; modernization=Replatform
INT-00057,Contact-AIMS-Suite-0058 to Procurement-Jeppesen-Platform-0029 via Batch,APP-00058,APP-00029,Batch,Weekly,Low,daily_volume=6897280; failures_month=34; modernization=Replace
INT-00058,Component-Sabre-Service-0148 to Container-Amadeus-Platform-0317 via CDC,APP-00148,APP-00317,CDC,Daily,High,daily_volume=4181010; failures_month=75; modernization=Replatform
INT-00059,Corporate-Databricks-Hub-0672 to Finance-AIMS-Engine-0602 via Real-time,APP-00672,APP-00602,Real-time,Real-time,Critical,daily_volume=3484449; failures_month=72; modernization=Modernize
INT-00060,Crew-Salesforce-Platform-0694 to Self-Service-ServiceNow-Platform-0100 via API,APP-00694,APP-00100,API,Real-time,Critical,daily_volume=6214979; failures_month=57; modernization=Migrate
INT-00061,Flight-Snowflake-Engine-0574 to Disruption-Salesforce-Platform-0070 via ETL,APP-00574,APP-00070,ETL,Weekly,Low,daily_volume=1192573; failures_month=73; modernization=Retain
INT-00062,Gate-Sabre AirVision-Service-0406 to Revenue-IBM-Engine-0829 via Real-time,APP-00406,APP-00829,Real-time,Daily,Medium,daily_volume=3541731; failures_month=31; modernization=Retire
INT-00063,Real-Oracle-Service-0010 to Cloud-Infosys-Engine-0288 via ELT,APP-00010,APP-00288,ELT,Hourly,Low,daily_volume=6201279; failures_month=36; modernization=Retain
INT-00064,Component-Snowflake-Service-0206 to Observability-Microsoft-Hub-0225 via API,APP-00206,APP-00225,API,Real-time,Low,daily_volume=1442539; failures_month=22; modernization=Modernize
INT-00065,Crew-Jeppesen-Suite-0720 to Privileged-Amadeus-Hub-0889 via CDC,APP-00720,APP-00889,CDC,Daily,High,daily_volume=4399325; failures_month=109; modernization=Retire
INT-00066,Weight-Sabre-Manager-0321 to Inventory-Oracle-Engine-0325 via API,APP-00321,APP-00325,API,Event,Medium,daily_volume=5032594; failures_month=45; modernization=Replatform
INT-00067,Data-AIMS-Hub-0532 to Pricing-AIMS-Platform-0118 via Event,APP-00532,APP-00118,Event,Weekly,Critical,daily_volume=5161622; failures_month=102; modernization=Replatform
INT-00068,Payroll-Oracle-Manager-0122 to Crew-AIMS-Engine-0642 via Event,APP-00122,APP-00642,Event,Hourly,High,daily_volume=1318271; failures_month=20; modernization=Migrate
INT-00069,Crew-IBM-Hub-0061 to Self-Service-Infosys-Service-0576 via ELT,APP-00061,APP-00576,ELT,Event,Low,daily_volume=4219219; failures_month=69; modernization=Invest
INT-00070,Lounge-Oracle-Hub-0479 to Gate-Databricks-Platform-0159 via Streaming,APP-00479,APP-00159,Streaming,Daily,Medium,daily_volume=3185358; failures_month=45; modernization=Modernize
INT-00071,Crew-AIMS-Hub-0392 to Digital-AIMS-Service-0523 via CDC,APP-00392,APP-00523,CDC,Real-time,High,daily_volume=4738935; failures_month=50; modernization=Migrate
INT-00072,Parts-Workday-Service-0174 to Finance-Sabre-Platform-0180 via ELT,APP-00174,APP-00180,ELT,Weekly,Critical,daily_volume=5667168; failures_month=19; modernization=Retain
INT-00073,Self-Service-Teradata-Manager-0553 to Loyalty-Amadeus-Service-0018 via Real-time,APP-00553,APP-00018,Real-time,Hourly,Low,daily_volume=5805447; failures_month=33; modernization=Retain
INT-00074,Component-Microsoft-Manager-0503 to Engine-Lufthansa Systems-Hub-0469 via ETL,APP-00503,APP-00469,ETL,Daily,Medium,daily_volume=2443792; failures_month=30; modernization=Replatform
INT-00075,Fuel-Amadeus-Manager-0300 to Treasury-Amadeus-Suite-0680 via API,APP-00300,APP-00680,API,Daily,Critical,daily_volume=406464; failures_month=60; modernization=Replatform
INT-00076,Sales-SITA-Manager-0474 to Ancillary-Infosys-Manager-0277 via ELT,APP-00474,APP-00277,ELT,Event,Low,daily_volume=4736195; failures_month=30; modernization=Migrate
INT-00077,Crew-TCS-Hub-0791 to Customer-Sabre AirVision-Platform-0695 via ETL,APP-00791,APP-00695,ETL,Daily,Low,daily_volume=5598663; failures_month=2; modernization=Retain
INT-00078,Crew-Teradata-Suite-0421 to Loyalty-Teradata-Hub-0336 via Batch,APP-00421,APP-00336,Batch,Hourly,Critical,daily_volume=4168246; failures_month=112; modernization=Retain
INT-00079,Pricing-AIMS-Platform-0118 to Crew-Accenture-Service-0478 via ELT,APP-00118,APP-00478,ELT,Weekly,Low,daily_volume=448839; failures_month=33; modernization=Retire
INT-00080,Line-Sabre-Hub-0347 to Tax-Adobe-Service-0434 via API,APP-00347,APP-00434,API,Real-time,Low,daily_volume=6861994; failures_month=36; modernization=Retain
INT-00081,Procurement-Custom-Hub-0470 to Self-Service-SAP-Engine-0556 via ELT,APP-00470,APP-00556,ELT,Event,High,daily_volume=2697010; failures_month=70; modernization=Retain
INT-00082,Mainframe-Infosys-Hub-0665 to Engine-Jeppesen-Platform-0628 via Event,APP-00665,APP-00628,Event,Daily,Medium,daily_volume=4015382; failures_month=0; modernization=Retire
INT-00083,Line-Sabre-Hub-0347 to Legal-Sabre AirVision-Platform-0815 via File Transfer,APP-00347,APP-00815,File Transfer,Daily,Medium,daily_volume=7660951; failures_month=38; modernization=Replace
INT-00084,Baggage-Teradata-Suite-0857 to Master-Adobe-Manager-0513 via CDC,APP-00857,APP-00513,CDC,Real-time,Critical,daily_volume=2555304; failures_month=96; modernization=Retain
INT-00085,Revenue-IBM-Manager-0107 to Ancillary-Lufthansa Systems-Manager-0639 via Real-time,APP-00107,APP-00639,Real-time,Daily,Low,daily_volume=2539622; failures_month=65; modernization=Modernize
INT-00086,Gate-ServiceNow-Hub-0188 to Component-Jeppesen-Platform-0086 via Streaming,APP-00188,APP-00086,Streaming,Hourly,High,daily_volume=3677886; failures_month=68; modernization=Retire
INT-00087,Component-Accenture-Service-0650 to Metadata-Teradata-Engine-0343 via CDC,APP-00650,APP-00343,CDC,Daily,Low,daily_volume=6481139; failures_month=117; modernization=Replatform
INT-00088,Network-Workday-Suite-0549 to Digital-Sabre-Manager-0333 via File Transfer,APP-00549,APP-00333,File Transfer,Daily,High,daily_volume=2917701; failures_month=120; modernization=Invest
INT-00089,Investor-TCS-Manager-0276 to Distribution-ServiceNow-Platform-0382 via ETL,APP-00276,APP-00382,ETL,Daily,Critical,daily_volume=4985482; failures_month=77; modernization=Invest
INT-00090,Gate-Salesforce-Engine-0656 to Data-Jeppesen-Hub-0550 via ETL,APP-00656,APP-00550,ETL,Hourly,Critical,daily_volume=804964; failures_month=98; modernization=Retain
INT-00091,Reliability-ServiceNow-Suite-0195 to Observability-Accenture-Manager-0729 via Batch,APP-00195,APP-00729,Batch,Event,Medium,daily_volume=4214847; failures_month=5; modernization=Replace
INT-00092,Engine-Salesforce-Manager-0897 to Observability-SAP-Hub-0618 via ETL,APP-00897,APP-00618,ETL,Hourly,Medium,daily_volume=1129787; failures_month=117; modernization=Replatform
INT-00093,Digital-Workday-Manager-0699 to Inventory-IBM-Suite-0226 via ETL,APP-00699,APP-00226,ETL,Real-time,High,daily_volume=309687; failures_month=7; modernization=Invest
INT-00094,ML-Custom-Suite-0438 to Tax-Jeppesen-Engine-0172 via API,APP-00438,APP-00172,API,Weekly,High,daily_volume=2261921; failures_month=1; modernization=Replace
INT-00095,Container-Hexaware-Hub-0856 to Cloud-Jeppesen-Manager-0545 via Event,APP-00856,APP-00545,Event,Event,Low,daily_volume=6987833; failures_month=103; modernization=Migrate
INT-00096,Ancillary-Microsoft-Platform-0527 to Lounge-Oracle-Hub-0479 via File Transfer,APP-00527,APP-00479,File Transfer,Event,Low,daily_volume=1308400; failures_month=26; modernization=Migrate
INT-00097,Component-IBM-Manager-0891 to Crew-Lufthansa Systems-Service-0248 via Real-time,APP-00891,APP-00248,Real-time,Daily,Low,daily_volume=349707; failures_month=33; modernization=Migrate
INT-00098,Container-Amadeus-Manager-0453 to Crew-ServiceNow-Manager-0571 via ELT,APP-00453,APP-00571,ELT,Daily,Critical,daily_volume=5784673; failures_month=43; modernization=Migrate
INT-00099,Privileged-Amadeus-Hub-0889 to Corporate-Teradata-Engine-0242 via Real-time,APP-00889,APP-00242,Real-time,Daily,Low,daily_volume=5673500; failures_month=75; modernization=Replatform
INT-00100,Weight-AIMS-Hub-0645 to Weight-Oracle-Engine-0894 via Real-time,APP-00645,APP-00894,Real-time,Real-time,Low,daily_volume=5549011; failures_month=112; modernization=Modernize
INT-00101,Fuel-Amadeus-Manager-0300 to Crew-AIMS-Hub-0392 via Real-time,APP-00300,APP-00392,Real-time,Daily,Critical,daily_volume=281787; failures_month=5; modernization=Replace
INT-00102,Data-Salesforce-Platform-0496 to Engine-Oracle-Service-0155 via API,APP-00496,APP-00155,API,Weekly,Medium,daily_volume=2292788; failures_month=50; modernization=Replace
INT-00103,Ancillary-Accenture-Suite-0534 to Weight-SAP-Hub-0687 via Event,APP-00534,APP-00687,Event,Real-time,High,daily_volume=4559514; failures_month=62; modernization=Replatform
INT-00104,Crew-Teradata-Suite-0421 to Disruption-Infosys-Service-0483 via File Transfer,APP-00421,APP-00483,File Transfer,Event,Medium,daily_volume=1444895; failures_month=100; modernization=Modernize
INT-00105,Payroll-ServiceNow-Service-0355 to Inventory-Oracle-Engine-0887 via File Transfer,APP-00355,APP-00887,File Transfer,Hourly,High,daily_volume=6327708; failures_month=57; modernization=Retire
INT-00106,Parts-Amadeus-Service-0766 to Mainframe-SAP-Platform-0109 via Real-time,APP-00766,APP-00109,Real-time,Hourly,Critical,daily_volume=3321613; failures_month=13; modernization=Invest
INT-00107,Crew-Workday-Manager-0048 to Ground-Hexaware-Engine-0094 via Batch,APP-00048,APP-00094,Batch,Hourly,Low,daily_volume=2040883; failures_month=13; modernization=Replace
INT-00108,Revenue-Workday-Service-0477 to Mainframe-Infosys-Hub-0665 via CDC,APP-00477,APP-00665,CDC,Event,Low,daily_volume=6738967; failures_month=33; modernization=Replace
INT-00109,Procurement-Databricks-Engine-0024 to Line-Teradata-Suite-0431 via API,APP-00024,APP-00431,API,Daily,Critical,daily_volume=4267396; failures_month=76; modernization=Modernize
INT-00110,Container-Jeppesen-Hub-0209 to Disruption-TCS-Manager-0331 via CDC,APP-00209,APP-00331,CDC,Event,High,daily_volume=4626030; failures_month=28; modernization=Replace
INT-00111,Finance-SITA-Platform-0520 to Contact-Snowflake-Platform-0646 via CDC,APP-00520,APP-00646,CDC,Weekly,Low,daily_volume=41108; failures_month=41; modernization=Retain
INT-00112,Weight-Teradata-Hub-0601 to Security-Custom-Service-0259 via ELT,APP-00601,APP-00259,ELT,Event,High,daily_volume=2242195; failures_month=95; modernization=Replace
INT-00113,Revenue-Hexaware-Manager-0752 to Weight-Sabre AirVision-Suite-0283 via CDC,APP-00752,APP-00283,CDC,Real-time,Critical,daily_volume=1558226; failures_month=61; modernization=Retain
INT-00114,Crew-Adobe-Hub-0383 to Network-ServiceNow-Hub-0037 via ETL,APP-00383,APP-00037,ETL,Event,Low,daily_volume=1432025; failures_month=91; modernization=Migrate
INT-00115,Customer-Teradata-Platform-0564 to Disruption-Infosys-Service-0483 via CDC,APP-00564,APP-00483,CDC,Daily,High,daily_volume=4253470; failures_month=89; modernization=Replace
INT-00116,Metadata-Teradata-Engine-0343 to Pricing-Teradata-Suite-0668 via Streaming,APP-00343,APP-00668,Streaming,Hourly,High,daily_volume=5047323; failures_month=115; modernization=Replace
INT-00117,Payroll-Oracle-Manager-0122 to Data-Lufthansa Systems-Engine-0511 via CDC,APP-00122,APP-00511,CDC,Daily,Critical,daily_volume=6747539; failures_month=10; modernization=Invest
INT-00118,Treasury-Hexaware-Suite-0597 to Corporate-Salesforce-Manager-0743 via CDC,APP-00597,APP-00743,CDC,Real-time,Low,daily_volume=2280244; failures_month=46; modernization=Modernize
INT-00119,Customer-Hexaware-Manager-0334 to Reliability-Accenture-Manager-0613 via Real-time,APP-00334,APP-00613,Real-time,Daily,Low,daily_volume=5705340; failures_month=54; modernization=Invest
INT-00120,Mobile-Adobe-Hub-0262 to Baggage-Amadeus-Hub-0689 via ETL,APP-00262,APP-00689,ETL,Real-time,Critical,daily_volume=6253448; failures_month=76; modernization=Replatform
INT-00121,Data-Custom-Platform-0544 to Data-Snowflake-Hub-0032 via ELT,APP-00544,APP-00032,ELT,Daily,Low,daily_volume=5277700; failures_month=79; modernization=Retire
INT-00122,Lounge-Hexaware-Service-0198 to Self-Service-Accenture-Suite-0494 via File Transfer,APP-00198,APP-00494,File Transfer,Daily,High,daily_volume=6924236; failures_month=14; modernization=Migrate
INT-00123,Network-Sabre-Manager-0796 to Data-Microsoft-Engine-0630 via ELT,APP-00796,APP-00630,ELT,Daily,Critical,daily_volume=7721269; failures_month=87; modernization=Migrate
INT-00124,Self-Service-AIMS-Engine-0535 to Data-Teradata-Suite-0168 via ELT,APP-00535,APP-00168,ELT,Real-time,Low,daily_volume=3049973; failures_month=40; modernization=Invest
INT-00125,Mainframe-Infosys-Hub-0665 to Storage-Databricks-Service-0655 via File Transfer,APP-00665,APP-00655,File Transfer,Event,Medium,daily_volume=4068819; failures_month=119; modernization=Retire
INT-00126,Storage-Databricks-Service-0655 to Reliability-ServiceNow-Hub-0101 via ELT,APP-00655,APP-00101,ELT,Event,Critical,daily_volume=3644459; failures_month=27; modernization=Replatform
INT-00127,ML-Sabre AirVision-Hub-0607 to Crew-AIMS-Platform-0364 via Event,APP-00607,APP-00364,Event,Daily,Low,daily_volume=471540; failures_month=10; modernization=Retain
INT-00128,Crew-Sabre AirVision-Platform-0231 to Container-Workday-Suite-0419 via Batch,APP-00231,APP-00419,Batch,Weekly,High,daily_volume=3351969; failures_month=34; modernization=Replatform
INT-00129,Slot-Teradata-Engine-0236 to Crew-Jeppesen-Manager-0136 via API,APP-00236,APP-00136,API,Weekly,Medium,daily_volume=127081; failures_month=89; modernization=Retire
INT-00130,Container-Salesforce-Hub-0185 to Tax-IBM-Hub-0426 via ELT,APP-00185,APP-00426,ELT,Real-time,High,daily_volume=3892625; failures_month=112; modernization=Migrate
INT-00131,Parts-Salesforce-Manager-0035 to Self-Service-Snowflake-Service-0391 via Batch,APP-00035,APP-00391,Batch,Event,Critical,daily_volume=6560349; failures_month=51; modernization=Replace
INT-00132,Crew-Teradata-Hub-0580 to Identity-Sabre AirVision-Service-0228 via ETL,APP-00580,APP-00228,ETL,Hourly,Low,daily_volume=2657243; failures_month=86; modernization=Replatform
INT-00133,Network-Workday-Manager-0082 to Crew-Teradata-Suite-0421 via Event,APP-00082,APP-00421,Event,Daily,Medium,daily_volume=454546; failures_month=106; modernization=Replatform
INT-00134,Treasury-AIMS-Hub-0308 to Inventory-AIMS-Service-0302 via Real-time,APP-00308,APP-00302,Real-time,Daily,Medium,daily_volume=1731024; failures_month=103; modernization=Invest
INT-00135,Mainframe-ServiceNow-Platform-0151 to Privileged-Amadeus-Hub-0889 via ETL,APP-00151,APP-00889,ETL,Real-time,Critical,daily_volume=1613045; failures_month=7; modernization=Migrate
INT-00136,Crew-SITA-Engine-0357 to Reliability-Workday-Hub-0746 via ELT,APP-00357,APP-00746,ELT,Weekly,Low,daily_volume=4210123; failures_month=85; modernization=Retain
INT-00137,GRC-Sabre-Engine-0865 to Real-Sabre-Suite-0327 via File Transfer,APP-00865,APP-00327,File Transfer,Hourly,Critical,daily_volume=3852972; failures_month=83; modernization=Replatform
INT-00138,Ancillary-Workday-Engine-0884 to Network-Infosys-Hub-0332 via Streaming,APP-00884,APP-00332,Streaming,Real-time,Critical,daily_volume=3711625; failures_month=33; modernization=Retain
INT-00139,Crew-Lufthansa Systems-Service-0248 to Revenue-ServiceNow-Hub-0120 via Real-time,APP-00248,APP-00120,Real-time,Hourly,High,daily_volume=5350629; failures_month=25; modernization=Migrate
INT-00140,Weight-Sabre-Manager-0321 to Tax-TCS-Suite-0055 via API,APP-00321,APP-00055,API,Weekly,Medium,daily_volume=6451448; failures_month=46; modernization=Replatform
INT-00141,Network-Workday-Suite-0417 to Master-Hexaware-Platform-0429 via ETL,APP-00417,APP-00429,ETL,Real-time,Low,daily_volume=5891103; failures_month=60; modernization=Retire
INT-00142,Crew-Custom-Platform-0565 to ML-Sabre AirVision-Suite-0064 via Real-time,APP-00565,APP-00064,Real-time,Real-time,High,daily_volume=7018345; failures_month=73; modernization=Invest
INT-00143,Component-Snowflake-Service-0206 to Storage-Accenture-Suite-0042 via File Transfer,APP-00206,APP-00042,File Transfer,Daily,Critical,daily_volume=2784849; failures_month=53; modernization=Replatform
INT-00144,Distribution-IBM-Hub-0234 to Customer-Hexaware-Manager-0334 via Streaming,APP-00234,APP-00334,Streaming,Daily,Low,daily_volume=5876691; failures_month=18; modernization=Replace
INT-00145,Line-Snowflake-Engine-0487 to Network-Databricks-Service-0081 via Event,APP-00487,APP-00081,Event,Weekly,Critical,daily_volume=281383; failures_month=113; modernization=Replatform
INT-00146,Inventory-Oracle-Engine-0325 to Finance-Sabre-Platform-0180 via ETL,APP-00325,APP-00180,ETL,Real-time,Medium,daily_volume=3792976; failures_month=114; modernization=Replatform
