tenant_key,as_of_date,business_case_id,project_id,initiative_name,initiative_classification,primary_tool_or_platform,vendor_name,domain_key,domain_name,business_value_type,business_value_story,cost_to_build_low_usd,cost_to_build_high_usd,approved_investment_usd,projected_annual_value_low_usd,projected_annual_value_high_usd,roi_low_multiple,roi_high_multiple,payback_months_target,benefit_realization_lag_months,success_metric,baseline_value,target_value,metric_unit,proof_needed,business_sponsor_role,finance_partner_role,finance_status,cfo_approval_date,committee_decision,readiness_score,confidence_level,gating_constraint,value_tracking_cadence,board_claimable_ytd_usd,finance_validated_ytd_usd,source_system,source_record_id,extract_date,quality_state
meridian-health,2026-08-24,BC-MER-011,PRJ-MER-015,Security operations automation,ai_assisted_automation,Security operations assistant,Microsoft,security,Cybersecurity & Risk,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",4674000,6384000,5700000,22898572,29342487,3.6,4.6,3,9,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",CISO,IT Finance Business Partner,sponsor_claimed,,challenge,54,medium,baseline definition,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-011,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-012,PRJ-MER-016,ServiceNow knowledge article generation 1,ai_enabled_tool_rollout,ServiceNow Now Assist,ServiceNow,apps,Enterprise Applications,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",1847881,2523936,2253514,10071492,13590117,4,5.4,3,12,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",VP Enterprise Platforms,IT Finance Business Partner,finance_challenged,,challenge,65,high,data quality,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-012,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-013,PRJ-MER-017,claims intake document AI 1,ai_assisted_automation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",3141399,4290691,3830974,18852930,21596106,4.4,5,3,3,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",Chief Data and AI Officer,IT Finance Business Partner,cfo_approved_target,2026-08-15,fund,76,low,workflow adoption,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-013,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-014,PRJ-MER-019,clinical documentation queue summarization 1,ai_use_case,Epic clinical AI assist,Epic,clinical_epic,Clinical / Epic,Create capacity,"Clinical AI frees capacity by reducing documentation, triage, and access friction.",3326187,4543084,4056325,21795161,26447504,4.8,5.8,3,6,clinical capacity released,0,4.8,fte_equivalent,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",CMIO,IT Finance Business Partner,not_submitted,,fund,87,medium,control review,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-014,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-015,PRJ-MER-020,model monitoring and prompt-risk controls 1,platform_foundation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,2217458,3028723,2704217,0,0,,,,9,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,finance_validated_actual,,continue,49,medium,Finance value treatment,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-015,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-016,PRJ-MER-021,member identity resolution data product 1,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,3510975,4795478,4281677,0,0,,,,12,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,sponsor_claimed,,continue,60,high,baseline definition,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-016,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-017,PRJ-MER-022,member mobile next-best-action pilot 1,ai_use_case,Digital front door AI decisioning,Internal build,digital,Digital & Member Experience,Grow revenue,"AI improves member experience, conversion, retention, and channel containment.",2402246,3281116,2929568,13092940,14998014,4,4.6,3,3,digital conversion lift,0,3.2,percent,"Show conversion, retention, channel shift, and net financial impact against baseline.",Chief Digital Officer,IT Finance Business Partner,finance_challenged,,challenge,71,low,data quality,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-017,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-018,PRJ-MER-023,Microsoft 365 Copilot productivity wave 1,ai_enabled_tool_rollout,Microsoft 365 Copilot,Microsoft,corporate_it,Corporate IT,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",3695763,5047871,4507028,22179916,26914387,4.4,5.3,3,6,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Corporate IT,IT Finance Business Partner,cfo_approved_target,2026-08-15,fund,82,medium,workflow adoption,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-018,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-019,PRJ-MER-025,SOC alert summarization assistant 1,ai_assisted_automation,Security operations assistant,Microsoft,security,Cybersecurity & Risk,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",3880552,5300266,4732380,25427692,32583331,4.8,6.1,3,9,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",CISO,IT Finance Business Partner,not_submitted,,fund,44,medium,control review,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-019,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-020,PRJ-MER-026,AI service management controls foundation 1,platform_foundation,ServiceNow Now Assist,ServiceNow,apps,Enterprise Applications,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,2771822,3785904,3380271,0,0,,,,12,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,VP Enterprise Platforms,IT Finance Business Partner,finance_validated_actual,,continue,55,high,Finance value treatment,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-020,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-021,PRJ-MER-027,AI feature store governance uplift 1,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,4065339,5552659,4957731,0,0,,,,3,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,sponsor_claimed,,continue,66,low,baseline definition,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-021,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-022,PRJ-MER-028,prior authorization clinical policy assistant 1,ai_use_case,Prior auth document AI,Internal build,apps,Enterprise Applications,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",2956610,4038297,3605622,16114386,19554125,4,4.8,3,6,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Claims Operations,IT Finance Business Partner,finance_challenged,,challenge,77,medium,data quality,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-022,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-023,PRJ-MER-029,contact center agent assist rollout 1,ai_enabled_tool_rollout,Contact center agent assist,Genesys,digital,Digital & Member Experience,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",1847881,2523936,2253514,11089958,14210797,4.4,5.6,3,9,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",SVP Member Services,IT Finance Business Partner,cfo_approved_target,2026-08-15,fund,88,medium,workflow adoption,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-023,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-024,PRJ-MER-031,ambulatory access waitlist optimization 1,ai_assisted_automation,Epic clinical AI assist,Epic,clinical_epic,Clinical / Epic,Create capacity,"Clinical AI frees capacity by reducing documentation, triage, and access friction.",2032669,2776329,2478865,13319264,17972547,4.8,6.5,3,12,clinical capacity released,0,4.8,fte_equivalent,"Show clinician time released, encounters supported, access improvement, and quality guardrails.","President, Medical Group",IT Finance Business Partner,not_submitted,,fund,50,high,control review,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-024,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-025,PRJ-MER-032,enterprise AI evaluation harness 1,platform_foundation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,3326187,4543084,4056325,0,0,,,,3,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,finance_validated_actual,,defer,61,low,Finance value treatment,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-025,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-026,PRJ-MER-033,provider data matching remediation 1,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,2217458,3028723,2704217,0,0,,,,6,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,VP Provider Operations,IT Finance Business Partner,sponsor_claimed,,continue,72,medium,baseline definition,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-026,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-027,PRJ-MER-034,digital front door personalization wave 1,ai_use_case,Digital front door AI decisioning,Internal build,digital,Digital & Member Experience,Grow revenue,"AI improves member experience, conversion, retention, and channel containment.",3510975,4795478,4281677,19135838,24520877,4,5.1,3,9,digital conversion lift,0,3.2,percent,"Show conversion, retention, channel shift, and net financial impact against baseline.",Chief Digital Officer,IT Finance Business Partner,finance_challenged,,challenge,83,medium,data quality,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-027,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-028,PRJ-MER-035,engineering Copilot controlled rollout 1,ai_enabled_tool_rollout,AI coding agents,OpenAI / Anthropic / Microsoft GitHub,architecture,Enterprise Architecture,Build faster,"Coding agents reduce product-development effort, lower build CAPEX, and speed releases.",2402246,3281116,2929568,14416944,19453717,4.4,5.9,3,12,software delivery capex avoided,18.4,15.1,usd_million,"Compare delivery cost, cycle time, defects, and release volume before and after rollout.",Chief Architect,IT Finance Business Partner,cfo_approved_target,2026-08-15,fund,45,high,workflow adoption,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-028,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-029,PRJ-MER-037,claims appeal response assistant 1,ai_assisted_automation,Prior auth document AI,Internal build,apps,Enterprise Applications,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",2587034,3533510,3154920,16951795,19418348,4.8,5.5,3,3,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Claims Operations,IT Finance Business Partner,not_submitted,,fund,56,low,control review,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-029,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-030,PRJ-MER-038,regulated AI sandbox foundation 1,platform_foundation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,3880552,5300266,4732380,0,0,,,,6,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,finance_validated_actual,,continue,67,medium,Finance value treatment,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-030,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-031,PRJ-MER-039,business glossary and value lineage cleanup 1,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,2771822,3785904,3380271,0,0,,,,9,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,sponsor_claimed,,continue,78,medium,baseline definition,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-031,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-032,PRJ-MER-040,clinical inbox summarization pilot 1,ai_use_case,Epic clinical AI assist,Epic,clinical_epic,Clinical / Epic,Create capacity,"Clinical AI frees capacity by reducing documentation, triage, and access friction.",4065339,5552659,4957731,22157284,29898260,4,5.4,3,12,clinical capacity released,0,4.8,fte_equivalent,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",CMIO,IT Finance Business Partner,finance_challenged,,challenge,89,high,data quality,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-032,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-033,PRJ-MER-041,Workday finance close assistant expansion 1,ai_enabled_tool_rollout,Workday AI,Workday,corporate_it,Corporate IT,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",2956610,4038297,3605622,17743931,20325744,4.4,5,3,3,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Controller,IT Finance Business Partner,cfo_approved_target,2026-08-15,fund,51,low,workflow adoption,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-033,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-034,PRJ-MER-043,security incident narrative assistant 1,ai_assisted_automation,Security operations assistant,Microsoft,security,Cybersecurity & Risk,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",3141399,4290691,3830974,20584321,24978201,4.8,5.8,3,6,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",CISO,IT Finance Business Partner,not_submitted,,fund,62,medium,control review,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-034,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-035,PRJ-MER-044,AI model registry foundation 1,platform_foundation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,2032669,2776329,2478865,0,0,,,,9,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,finance_validated_actual,,continue,73,medium,Finance value treatment,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-035,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-036,PRJ-MER-045,contract and policy corpus normalization 1,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,3326187,4543084,4056325,0,0,,,,12,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,sponsor_claimed,,continue,84,high,baseline definition,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-036,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-037,PRJ-MER-046,member service intent detection pilot 1,ai_use_case,Contact center agent assist,Genesys,digital,Digital & Member Experience,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",2217458,3028723,2704217,12085792,13844323,4,4.6,3,3,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",SVP Member Services,IT Finance Business Partner,finance_challenged,,challenge,46,low,data quality,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-037,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-038,PRJ-MER-047,ServiceNow virtual agent expansion 1,ai_enabled_tool_rollout,ServiceNow Now Assist,ServiceNow,apps,Enterprise Applications,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",3510975,4795478,4281677,21070922,25568670,4.4,5.3,3,6,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",VP Enterprise Platforms,IT Finance Business Partner,cfo_approved_target,2026-08-15,fund,57,medium,workflow adoption,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-038,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-039,PRJ-MER-049,clinical referral triage assistant 1,ai_assisted_automation,Epic clinical AI assist,Epic,clinical_epic,Clinical / Epic,Create capacity,"Clinical AI frees capacity by reducing documentation, triage, and access friction.",3695763,5047871,4507028,24216847,31031740,4.8,6.1,3,9,clinical capacity released,0,4.8,fte_equivalent,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",CMIO,IT Finance Business Partner,not_submitted,,fund,68,medium,control review,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-039,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-040,PRJ-MER-050,enterprise AI access management foundation 1,platform_foundation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,2587034,3533510,3154920,0,0,,,,12,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,finance_validated_actual,,continue,79,high,Finance value treatment,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-040,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-041,PRJ-MER-051,measurement baseline data product 1,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,3880552,5300266,4732380,0,0,,,,3,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,sponsor_claimed,,continue,90,low,baseline definition,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-041,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-042,PRJ-MER-052,provider service request classification 1,ai_use_case,ServiceNow Now Assist,ServiceNow,apps,Enterprise Applications,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",2771822,3785904,3380271,15107238,18331994,4,4.8,3,6,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",VP Provider Operations,IT Finance Business Partner,finance_challenged,,challenge,52,medium,data quality,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-042,2026-08-24,synthetic_review_ready
