tenant_key,business_case_id,initiative_name,business_value_type,projected_annual_value_low_usd,finance_status,proof_needed,next_action
meridian-health,BC-MER-016,member identity resolution data product 1,Foundation,0,sponsor_claimed,Link this foundation to funded use cases that have measured outcomes.,Link to funded use cases with measured outcomes.
meridian-health,BC-MER-017,member mobile next-best-action pilot 1,Grow revenue,13092940,finance_challenged,"Show conversion, retention, channel shift, and net financial impact against baseline.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-018,Microsoft 365 Copilot productivity wave 1,Reduce cost,22179916,cfo_approved_target,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-019,SOC alert summarization assistant 1,Reduce cost,25427692,not_submitted,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-021,AI feature store governance uplift 1,Foundation,0,sponsor_claimed,Link this foundation to funded use cases that have measured outcomes.,Link to funded use cases with measured outcomes.
meridian-health,BC-MER-022,prior authorization clinical policy assistant 1,Reduce cost,16114386,finance_challenged,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-023,contact center agent assist rollout 1,Reduce cost,11089958,cfo_approved_target,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-024,ambulatory access waitlist optimization 1,Create capacity,13319264,not_submitted,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-026,provider data matching remediation 1,Foundation,0,sponsor_claimed,Link this foundation to funded use cases that have measured outcomes.,Link to funded use cases with measured outcomes.
meridian-health,BC-MER-027,digital front door personalization wave 1,Grow revenue,19135838,finance_challenged,"Show conversion, retention, channel shift, and net financial impact against baseline.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-028,engineering Copilot controlled rollout 1,Build faster,14416944,cfo_approved_target,"Compare delivery cost, cycle time, defects, and release volume before and after rollout.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-029,claims appeal response assistant 1,Reduce cost,16951795,not_submitted,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-031,business glossary and value lineage cleanup 1,Foundation,0,sponsor_claimed,Link this foundation to funded use cases that have measured outcomes.,Link to funded use cases with measured outcomes.
meridian-health,BC-MER-032,clinical inbox summarization pilot 1,Create capacity,22157284,finance_challenged,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-033,Workday finance close assistant expansion 1,Reduce cost,17743931,cfo_approved_target,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-034,security incident narrative assistant 1,Reduce cost,20584321,not_submitted,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-036,contract and policy corpus normalization 1,Foundation,0,sponsor_claimed,Link this foundation to funded use cases that have measured outcomes.,Link to funded use cases with measured outcomes.
meridian-health,BC-MER-037,member service intent detection pilot 1,Reduce cost,12085792,finance_challenged,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-038,ServiceNow virtual agent expansion 1,Reduce cost,21070922,cfo_approved_target,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-039,clinical referral triage assistant 1,Create capacity,24216847,not_submitted,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-041,measurement baseline data product 1,Foundation,0,sponsor_claimed,Link this foundation to funded use cases that have measured outcomes.,Link to funded use cases with measured outcomes.
meridian-health,BC-MER-042,provider service request classification 1,Reduce cost,15107238,finance_challenged,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
