gateId,tenantKey,action,layer,artefactOrPath,scopeToday,commandToRun,expectedOutput,rollbackReadbackProof,approvalRequired,executedInThisRun
GATE-02,skyharbor-air,Replace or alias the active tenant input root,Layer 1,datasets/tenant-inputs/active/<tenant>/current,31 files in the active root,package promotion step (not implemented in this script),active root serves the governed package contents,prior root retained until retirement manifest passes,"Anand/Codex, per tenant",no
GATE-03,apex-retail,Load canonical data into Azure/Postgres,Layer 3,intelligence_v6.* / canonical stores,scope determined at apply time,ACA data-build job per docs/ops/aca-data-build-job-rule.md,"job run id, tenant scope, build version, Blob proof bundle, quality gate",documented job rollback + readback,Anand/Codex + data-build job contract,no
GATE-03,first-capital-financial,Load canonical data into Azure/Postgres,Layer 3,intelligence_v6.* / canonical stores,scope determined at apply time,ACA data-build job per docs/ops/aca-data-build-job-rule.md,"job run id, tenant scope, build version, Blob proof bundle, quality gate",documented job rollback + readback,Anand/Codex + data-build job contract,no
GATE-03,healthcare-demo-new,Load canonical data into Azure/Postgres,Layer 3,intelligence_v6.* / canonical stores,scope determined at apply time,ACA data-build job per docs/ops/aca-data-build-job-rule.md,"job run id, tenant scope, build version, Blob proof bundle, quality gate",documented job rollback + readback,Anand/Codex + data-build job contract,no
GATE-03,lakeshore-holdings,Load canonical data into Azure/Postgres,Layer 3,intelligence_v6.* / canonical stores,scope determined at apply time,ACA data-build job per docs/ops/aca-data-build-job-rule.md,"job run id, tenant scope, build version, Blob proof bundle, quality gate",documented job rollback + readback,Anand/Codex + data-build job contract,no
GATE-03,lakeshore-industries,Load canonical data into Azure/Postgres,Layer 3,intelligence_v6.* / canonical stores,scope determined at apply time,ACA data-build job per docs/ops/aca-data-build-job-rule.md,"job run id, tenant scope, build version, Blob proof bundle, quality gate",documented job rollback + readback,Anand/Codex + data-build job contract,no
GATE-03,meridian-health,Load canonical data into Azure/Postgres,Layer 3,intelligence_v6.* / canonical stores,scope determined at apply time,ACA data-build job per docs/ops/aca-data-build-job-rule.md,"job run id, tenant scope, build version, Blob proof bundle, quality gate",documented job rollback + readback,Anand/Codex + data-build job contract,no
GATE-03,skyharbor-air,Load canonical data into Azure/Postgres,Layer 3,intelligence_v6.* / canonical stores,scope determined at apply time,ACA data-build job per docs/ops/aca-data-build-job-rule.md,"job run id, tenant scope, build version, Blob proof bundle, quality gate",documented job rollback + readback,Anand/Codex + data-build job contract,no
GATE-04,apex-retail,Rebuild retrieval indexes,Layer 3/4,Azure AI Search / fts indexes,scope determined at apply time,indexing job,indexed counts + cite-render verification,prior index retained until swap,Anand/Codex,no
GATE-04,first-capital-financial,Rebuild retrieval indexes,Layer 3/4,Azure AI Search / fts indexes,scope determined at apply time,indexing job,indexed counts + cite-render verification,prior index retained until swap,Anand/Codex,no
GATE-04,healthcare-demo-new,Rebuild retrieval indexes,Layer 3/4,Azure AI Search / fts indexes,scope determined at apply time,indexing job,indexed counts + cite-render verification,prior index retained until swap,Anand/Codex,no
GATE-04,lakeshore-holdings,Rebuild retrieval indexes,Layer 3/4,Azure AI Search / fts indexes,scope determined at apply time,indexing job,indexed counts + cite-render verification,prior index retained until swap,Anand/Codex,no
GATE-04,lakeshore-industries,Rebuild retrieval indexes,Layer 3/4,Azure AI Search / fts indexes,scope determined at apply time,indexing job,indexed counts + cite-render verification,prior index retained until swap,Anand/Codex,no
GATE-04,meridian-health,Rebuild retrieval indexes,Layer 3/4,Azure AI Search / fts indexes,scope determined at apply time,indexing job,indexed counts + cite-render verification,prior index retained until swap,Anand/Codex,no
GATE-04,skyharbor-air,Rebuild retrieval indexes,Layer 3/4,Azure AI Search / fts indexes,scope determined at apply time,indexing job,indexed counts + cite-render verification,prior index retained until swap,Anand/Codex,no
GATE-05,apex-retail,Enable aVa / product context use for the refreshed package,Layer 4,agent context bundle + product projections,scope determined at apply time,flag/config change,signed-in proof per affected tenant,flag off,Anand/Codex,no
GATE-05,first-capital-financial,Enable aVa / product context use for the refreshed package,Layer 4,agent context bundle + product projections,scope determined at apply time,flag/config change,signed-in proof per affected tenant,flag off,Anand/Codex,no
GATE-05,healthcare-demo-new,Enable aVa / product context use for the refreshed package,Layer 4,agent context bundle + product projections,scope determined at apply time,flag/config change,signed-in proof per affected tenant,flag off,Anand/Codex,no
GATE-05,lakeshore-holdings,Enable aVa / product context use for the refreshed package,Layer 4,agent context bundle + product projections,scope determined at apply time,flag/config change,signed-in proof per affected tenant,flag off,Anand/Codex,no
GATE-05,lakeshore-industries,Enable aVa / product context use for the refreshed package,Layer 4,agent context bundle + product projections,scope determined at apply time,flag/config change,signed-in proof per affected tenant,flag off,Anand/Codex,no
GATE-05,meridian-health,Enable aVa / product context use for the refreshed package,Layer 4,agent context bundle + product projections,scope determined at apply time,flag/config change,signed-in proof per affected tenant,flag off,Anand/Codex,no
GATE-05,skyharbor-air,Enable aVa / product context use for the refreshed package,Layer 4,agent context bundle + product projections,scope determined at apply time,flag/config change,signed-in proof per affected tenant,flag off,Anand/Codex,no
GATE-06,apex-retail,Change signed-in runtime routes,Layer 4,app routes,scope determined at apply time,ACA main deploy workflow,digest-pinned revision + live route proof,traffic shift to prior revision,Anand/Codex,no
GATE-06,first-capital-financial,Change signed-in runtime routes,Layer 4,app routes,scope determined at apply time,ACA main deploy workflow,digest-pinned revision + live route proof,traffic shift to prior revision,Anand/Codex,no
GATE-06,healthcare-demo-new,Change signed-in runtime routes,Layer 4,app routes,scope determined at apply time,ACA main deploy workflow,digest-pinned revision + live route proof,traffic shift to prior revision,Anand/Codex,no
GATE-06,lakeshore-holdings,Change signed-in runtime routes,Layer 4,app routes,scope determined at apply time,ACA main deploy workflow,digest-pinned revision + live route proof,traffic shift to prior revision,Anand/Codex,no
GATE-06,lakeshore-industries,Change signed-in runtime routes,Layer 4,app routes,scope determined at apply time,ACA main deploy workflow,digest-pinned revision + live route proof,traffic shift to prior revision,Anand/Codex,no
GATE-06,meridian-health,Change signed-in runtime routes,Layer 4,app routes,scope determined at apply time,ACA main deploy workflow,digest-pinned revision + live route proof,traffic shift to prior revision,Anand/Codex,no
GATE-06,skyharbor-air,Change signed-in runtime routes,Layer 4,app routes,scope determined at apply time,ACA main deploy workflow,digest-pinned revision + live route proof,traffic shift to prior revision,Anand/Codex,no
GATE-07,apex-retail,"Retire, move, or delete legacy tenant files",Layer 1-4,"adjacent standard packs, candidate packs, generated packs",2 files across adjacent/candidate packs,retirement manifest apply step,"retire-in-place first, deletion only after rollback window",files retained in place,Anand/Codex,no
GATE-07,first-capital-financial,"Retire, move, or delete legacy tenant files",Layer 1-4,"adjacent standard packs, candidate packs, generated packs",22 files across adjacent/candidate packs,retirement manifest apply step,"retire-in-place first, deletion only after rollback window",files retained in place,Anand/Codex,no
GATE-07,healthcare-demo-new,"Retire, move, or delete legacy tenant files",Layer 1-4,"adjacent standard packs, candidate packs, generated packs",0 files across adjacent/candidate packs,retirement manifest apply step,"retire-in-place first, deletion only after rollback window",files retained in place,Anand/Codex,no
GATE-07,lakeshore-holdings,"Retire, move, or delete legacy tenant files",Layer 1-4,"adjacent standard packs, candidate packs, generated packs",2 files across adjacent/candidate packs,retirement manifest apply step,"retire-in-place first, deletion only after rollback window",files retained in place,Anand/Codex,no
GATE-07,lakeshore-industries,"Retire, move, or delete legacy tenant files",Layer 1-4,"adjacent standard packs, candidate packs, generated packs",0 files across adjacent/candidate packs,retirement manifest apply step,"retire-in-place first, deletion only after rollback window",files retained in place,Anand/Codex,no
GATE-07,meridian-health,"Retire, move, or delete legacy tenant files",Layer 1-4,"adjacent standard packs, candidate packs, generated packs",25 files across adjacent/candidate packs,retirement manifest apply step,"retire-in-place first, deletion only after rollback window",files retained in place,Anand/Codex,no
GATE-07,skyharbor-air,"Retire, move, or delete legacy tenant files",Layer 1-4,"adjacent standard packs, candidate packs, generated packs",1 files across adjacent/candidate packs,retirement manifest apply step,"retire-in-place first, deletion only after rollback window",files retained in place,Anand/Codex,no
GATE-08,apex-retail,Change canonical CSV column contracts,Layer 1,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,"0 naming drift(s), 0 column gap(s)",contract amendment + loader/adapter update,"documented reason, migration, and re-validation",revert contract commit,"Anand/Codex, with written justification",no
GATE-08,first-capital-financial,Change canonical CSV column contracts,Layer 1,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,"0 naming drift(s), 0 column gap(s)",contract amendment + loader/adapter update,"documented reason, migration, and re-validation",revert contract commit,"Anand/Codex, with written justification",no
GATE-08,healthcare-demo-new,Change canonical CSV column contracts,Layer 1,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,"0 naming drift(s), 0 column gap(s)",contract amendment + loader/adapter update,"documented reason, migration, and re-validation",revert contract commit,"Anand/Codex, with written justification",no
GATE-08,lakeshore-holdings,Change canonical CSV column contracts,Layer 1,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,"0 naming drift(s), 0 column gap(s)",contract amendment + loader/adapter update,"documented reason, migration, and re-validation",revert contract commit,"Anand/Codex, with written justification",no
GATE-08,lakeshore-industries,Change canonical CSV column contracts,Layer 1,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,"0 naming drift(s), 0 column gap(s)",contract amendment + loader/adapter update,"documented reason, migration, and re-validation",revert contract commit,"Anand/Codex, with written justification",no
GATE-08,meridian-health,Change canonical CSV column contracts,Layer 1,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,"2 naming drift(s), 18 column gap(s)",contract amendment + loader/adapter update,"documented reason, migration, and re-validation",revert contract commit,"Anand/Codex, with written justification",no
GATE-08,skyharbor-air,Change canonical CSV column contracts,Layer 1,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,"0 naming drift(s), 0 column gap(s)",contract amendment + loader/adapter update,"documented reason, migration, and re-validation",revert contract commit,"Anand/Codex, with written justification",no
