Gov_ID,Initiative_ID,Model_Count,Model_Risk_Tier,HITL,Bias_Monitoring,Drift_Monitoring,Reg_Regime,Responsible_AI_Gate_Status
APEXRETAIL-AIGOV-0024,APEXRETAIL-INIT-0024,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0025,APEXRETAIL-INIT-0025,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0026,APEXRETAIL-INIT-0026,2,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0027,APEXRETAIL-INIT-0027,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0028,APEXRETAIL-INIT-0028,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0029,APEXRETAIL-INIT-0029,5,medium,defined,needed,active,industry and enterprise AI policy,blocked
APEXRETAIL-AIGOV-0030,APEXRETAIL-INIT-0030,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0031,APEXRETAIL-INIT-0031,1,high,required,active,needed,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0032,APEXRETAIL-INIT-0032,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0033,APEXRETAIL-INIT-0033,3,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0034,APEXRETAIL-INIT-0034,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0035,APEXRETAIL-INIT-0035,5,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0036,APEXRETAIL-INIT-0036,6,high,defined,active,active,industry and enterprise AI policy,blocked
APEXRETAIL-AIGOV-0037,APEXRETAIL-INIT-0037,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0038,APEXRETAIL-INIT-0038,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0039,APEXRETAIL-INIT-0039,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0040,APEXRETAIL-INIT-0040,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0041,APEXRETAIL-INIT-0041,5,high,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0042,APEXRETAIL-INIT-0042,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0043,APEXRETAIL-INIT-0043,1,medium,required,active,needed,industry and enterprise AI policy,blocked
