evidence_id,source_id,source_path,source_type,locator,claim_supported,freshness_status,trust_status
EVID-SHA-0155,SRC-AICT,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,monthly_refresh,synthetic locator 56,adoption,current,review_required
EVID-SHA-0156,SRC-AR-2025,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,annual_report,synthetic locator 57,architecture,stale_review,usable
EVID-SHA-0157,SRC-Q1-2026,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,quarterly_earnings,synthetic locator 58,governance,current,usable
EVID-SHA-0158,SRC-ID-2026,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,investor_day_deck,synthetic locator 59,budget,current,usable
EVID-SHA-0159,SRC-CIO-ARCH,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,architecture_deck,synthetic locator 60,value,current,usable
EVID-SHA-0160,SRC-EDW,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,edw_deck,synthetic locator 61,risk,current,usable
EVID-SHA-0161,SRC-IROPS,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,program_roadmap,synthetic locator 62,adoption,current,usable
EVID-SHA-0162,SRC-MF,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,modernization_options,synthetic locator 63,architecture,current,usable
EVID-SHA-0163,SRC-AICT,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,monthly_refresh,synthetic locator 64,governance,current,usable
EVID-SHA-0164,SRC-AR-2025,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,annual_report,synthetic locator 65,budget,stale_review,review_required
EVID-SHA-0165,SRC-Q1-2026,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,quarterly_earnings,synthetic locator 66,value,current,usable
EVID-SHA-0166,SRC-ID-2026,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,investor_day_deck,synthetic locator 67,risk,current,usable
EVID-SHA-0167,SRC-CIO-ARCH,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,architecture_deck,synthetic locator 68,adoption,current,usable
EVID-SHA-0168,SRC-EDW,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,edw_deck,synthetic locator 69,architecture,current,usable
EVID-SHA-0169,SRC-IROPS,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,program_roadmap,synthetic locator 70,governance,current,usable
EVID-SHA-0170,SRC-MF,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,modernization_options,synthetic locator 71,budget,current,usable
EVID-SHA-0171,SRC-AICT,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,monthly_refresh,synthetic locator 72,value,current,usable
