initiative_id,milestone_id,milestone_name,milestone_type,target_date,actual_date,status,gate_criteria,gate_approver_role,blocker,evidence_artifact
FCF-INIT-003,M03-1,Data migration sequencing study,delivery,2026-05-31,,in_progress,Core data migration complexity + risk scored; parallel run duration estimated,CIO,FIS contract data export terms under legal review,
FCF-INIT-003,M03-2,RFP issued,gate,2026-09-30,,on_hold,Board approval of $80M+ replacement budget; OCC data lineage MRA closed,Board IT Committee,HOLD until M03-1 complete + OCC MRA closed,
FCF-INIT-003,M03-3,Vendor selected,gate,2027-06-30,,not_started,RFP evaluation; TCO model approved; parallel run commitment letter from vendor,Board IT Committee,,
FCF-INIT-003,M03-4,Parallel run start,delivery,2028-01-01,,not_started,New core live in parallel with FIS Horizon; first branch cutover,CIO,,
FCF-INIT-004,M04-0,Business case approved,gate,2025-04-30,2025-04-28,complete,$28.6M fraud avoidance evidence from v1; v2 enhancement scope approved,Chief Risk Officer,,FCF-BC-FRAUD-GRAPH-V2.pdf
FCF-INIT-004,M04-1,Graph model production deploy,delivery,2025-09-30,2025-09-22,complete,Graph model scoring 100% of card-present transactions; latency <80ms p99,Chief Risk Officer,,FCF-FRAUD-GRAPH-DEPLOY-SEPT25.log
FCF-INIT-004,M04-2,90-day fraud loss evidence,gate,2025-12-31,2026-01-02,complete,Verified fraud loss reduction ≥$18M annualized vs control group; MRM sign-off,Chief Model Risk Officer,,FCF-FRAUD-GRAPH-90DAY-EVIDENCE.pdf
FCF-INIT-004,M04-3,ACH + wire fraud expansion,delivery,2026-06-30,,in_progress,Graph model extended to ACH and wire transactions; BEC detection rate ≥78%,Chief Risk Officer,,
FCF-INIT-004,M04-4,$75M annualized fraud avoidance,outcome,2026-12-31,,in_progress,Verified quarterly fraud-loss avoidance report to board; run-rate ≥$75M/yr,Board Risk Committee,,
FCF-INIT-005,M05-0,Abandonment root cause locked,gate,2026-01-31,2026-02-03,complete,UX research complete; top 3 drop-off steps identified; KYC friction mapped,Chief Digital Officer,,FCF-DAO-UX-RESEARCH-FEB26.pdf
FCF-INIT-005,M05-1,KYC instant-verify integration,delivery,2026-04-30,,in_progress,Jumio/Socure instant KYC live; funding step <60s; ID verification pass rate ≥91%,Chief Digital Officer,CFPB guidance on e-KYC pending; legal review in progress,
FCF-INIT-005,M05-2,Abandonment ≤42% (peer median),gate,2026-07-31,,not_started,"Abandonment rate ≤42%; A/B test over 30,000 applicants; stat-sig at 95%",Chief Digital Officer,,
FCF-INIT-005,M05-3,AI personalization layer,delivery,2026-10-31,,not_started,Consent-based AI personalization live; offer relevance score ≥0.72; no data class violations,Chief Digital Officer,Consent framework not yet filed with CFPB,
FCF-INIT-005,M05-4,Abandonment ≤28% (top quartile),outcome,2027-03-31,,not_started,Abandonment ≤28%; $18.4M projected NII contribution verified,Chief Digital Officer,,
FCF-INIT-006,M06-0,Pilot scope approved,gate,2026-01-15,2026-01-14,complete,MRM pre-assessment; 8 analyst pilot cohort; credit policy alignment confirmed,SVP Commercial Bank CIO,,FCF-CREDIT-MEMO-PILOT-SCOPE.pdf
FCF-INIT-006,M06-1,"Pilot: 8 analysts, 60 days",delivery,2026-04-15,,in_progress,60-day controlled pilot; cycle time measured pre/post; error rate documented,SVP Commercial Bank CIO,,
FCF-INIT-006,M06-2,MRM validation complete,gate,2026-06-30,,not_started,SR 11-7 evidence package filed; explainability report; fair-lending impact assessment,Chief Model Risk Officer,MRM slot availability (same queue as AML triage),
FCF-INIT-006,M06-3,Deploy: all 280 credit analysts,delivery,2026-10-31,,not_started,Cycle time ≤18 days; quality pass rate ≥94%; no increase in credit loss rate,EVP Commercial Banking,,
FCF-INIT-006,M06-4,Cycle time ≤14 days (target),outcome,2027-03-31,,not_started,14-day cycle time sustained; $12.2M revenue acceleration verified,EVP Commercial Banking,,
FCF-INIT-007,M07-0,Pilot launched,delivery,2024-09-30,2024-09-28,complete,3 pilot branches live; camera infrastructure installed,SVP Retail Bank Ops,,
FCF-INIT-007,M07-1,90-day teller adoption review,gate,2025-01-31,2025-02-10,failed,≥60% teller adoption; ≥5% transaction throughput improvement,SVP Retail Bank Ops,Adoption 18%; privacy review not cleared; throughput flat,FCF-VISION-AI-PILOT-REVIEW-FEB25.pdf
FCF-INIT-007,M07-2,Kill decision ratified,gate,2026-06-30,,in_progress,Kill memo approved by CIO + SVP Retail; camera infrastructure decommission plan filed,CIO,Camera lease termination cost ($420K) under CFO review,
FCF-INIT-008,M08-0,Deployed: 850 agent seats,delivery,2025-03-31,2025-03-28,complete,All contact center agents using sentiment overlay,SVP Client Service,,
FCF-INIT-008,M08-1,6-month AHT review,gate,2025-09-30,2025-10-05,failed,≥10% AHT reduction; ≥5% CSAT improvement; no coaching-risk incidents,SVP Client Service,AHT unchanged (8.1 vs 8.2 baseline); 3 coaching-risk incidents filed by HR; CSAT flat,FCF-SENTIMENT-AI-REVIEW-OCT25.pdf
FCF-INIT-008,M08-2,Kill decision + license termination,gate,2026-06-30,,in_progress,Kill memo approved; vendor license terminated or converted to base ITSM only,CIO,Vendor minimum term runs through Q3 2026,
FCF-INIT-010,M10-0,"1,200 seat controlled pilot",delivery,2025-10-31,2025-10-28,complete,Developer + ops cohort live; baseline metrics captured; data-handling policy signed,CIO,,FCF-COPILOT-PILOT-OCT25.pdf
FCF-INIT-010,M10-1,90-day productivity evidence,gate,2026-01-31,2026-02-05,complete,≥20% code-completion velocity improvement; ≥15% email triage time reduction; no data-class violations,CIO,,FCF-COPILOT-90DAY-EVIDENCE-FEB26.pdf
FCF-INIT-010,M10-2,"Expand to 3,000 seats",delivery,2026-06-30,,in_progress,Finance (240 seats) + Ops (180 seats) + Wealth (120 seats) added; privacy impact assessment per function complete,CIO,Finance DLP policy for Copilot-for-Excel on GL data under review,
FCF-INIT-010,M10-3,Function-level ROI measured,gate,2026-09-30,,not_started,"ROI model by function; ≥$9.2M verified productivity savings at 3,000 seats",CFO,,
FCF-INIT-010,M10-4,"Enterprise standard (8,000+ seats)",outcome,2027-03-31,,not_started,Board approval for enterprise-wide rollout; ≥$24M annualized benefit verified,Board IT Committee,,
FCF-INIT-012,M12-0,47-model inventory complete,gate,2026-01-31,2026-01-29,complete,All 47 production models cataloged in model registry with SR 11-7 status,Chief Model Risk Officer,,FCF-MODEL-INVENTORY-JAN26.pdf
FCF-INIT-012,M12-1,Evidence packaging automated: 12 at-risk models,delivery,2026-05-31,,in_progress,Automated evidence bundles for 12 SR 11-7 at-risk models; review cycle ≤10 days,Chief Model Risk Officer,,
FCF-INIT-012,M12-2,Review cycle ≤6 days,outcome,2026-09-30,,not_started,All 47 models on automated evidence refresh; median review cycle ≤6 days,Chief Model Risk Officer,,
