initiative_id,initiative_name,business_area,owner_role,stage,promised_benefit_usd,measured_value_usd,value_confidence,status,primary_blocker,evidence_id,source_file,source_row,value_source
APX-INIT-011,Assortment localization copilot,Merchandising,Chief Merchandising Officer,design,30000000,0,low,prove_value,planner workflow fit,APX-EVID-011,family-5-execution-operations/F13_initiatives-portfolio.csv,12,tenant_file
APX-INIT-012,Store associate task assistant,Store Operations,COO,design,43000000,0,low,prove_value,mobile device and policy readiness,APX-EVID-012,family-5-execution-operations/F13_initiatives-portfolio.csv,13,tenant_file
APX-INIT-013,Supply chain ETA and carrier exception AI,Supply Chain,Chief Supply Chain Officer,build,36000000,7200000,medium,scale_candidate,carrier API latency,APX-EVID-013,family-5-execution-operations/F13_initiatives-portfolio.csv,14,tenant_file
APX-INIT-014,AI code productivity program,Technology,CIO,scale,22000000,9800000,high,scale_candidate,measurement by product team incomplete,APX-EVID-014,family-5-execution-operations/F13_initiatives-portfolio.csv,15,tenant_file
APEXRETAIL-INIT-0015,Retail lakehouse and customer inventory graph / expansion 1,Data and AI,Chief Data Officer,mobilize,95000000,12000000,medium,at_risk,identity and item-location data quality,APX-EVID-001,family-5-execution-operations/F13_initiatives-portfolio.csv,16,tenant_file
APEXRETAIL-INIT-0016,AI demand forecasting and replenishment / expansion 2,Merchandising,Chief Merchandising Officer,pilot,72000000,21000000,high,scale_candidate,forecast explainability by category,APX-EVID-002,family-5-execution-operations/F13_initiatives-portfolio.csv,17,tenant_file
APEXRETAIL-INIT-0017,Store labor scheduling optimization / expansion 3,Store Operations,COO,pilot,51000000,9000000,medium,hold_until_evidence,labor-rule integration and manager adoption,APX-EVID-003,family-5-execution-operations/F13_initiatives-portfolio.csv,18,tenant_file
APEXRETAIL-INIT-0018,Shrink anomaly detection / expansion 4,Loss Prevention,Chief Risk Officer,build,68000000,6800000,medium,at_risk,camera/POS evidence linkage,APX-EVID-004,family-5-execution-operations/F13_initiatives-portfolio.csv,19,tenant_file
APEXRETAIL-INIT-0019,Search and personalization AI / expansion 5,Digital Commerce,Chief Digital Officer,scale,84000000,42000000,high,scale_candidate,consent and customer identity gaps,APX-EVID-005,family-5-execution-operations/F13_initiatives-portfolio.csv,20,tenant_file
APEXRETAIL-INIT-0020,Retail media measurement clean room / expansion 6,Marketing,Chief Marketing Officer,design,38000000,4000000,medium,hold_until_evidence,incrementality proof missing,APX-EVID-006,family-5-execution-operations/F13_initiatives-portfolio.csv,21,tenant_file
APEXRETAIL-INIT-0021,BOPIS exception prediction / expansion 7,Omnichannel Fulfillment,Chief Supply Chain Officer,pilot,34000000,7400000,medium,scale_candidate,store inventory accuracy,APX-EVID-007,family-5-execution-operations/F13_initiatives-portfolio.csv,22,tenant_file
APEXRETAIL-INIT-0022,Returns fraud triage / expansion 8,Risk,Chief Risk Officer,build,26000000,3200000,medium,at_risk,fairness and customer friction review,APX-EVID-008,family-5-execution-operations/F13_initiatives-portfolio.csv,23,tenant_file
APEXRETAIL-INIT-0023,Finance margin bridge automation / expansion 9,Finance,CFO,pilot,24000000,5800000,high,scale_candidate,vendor funding lineage,APX-EVID-009,family-5-execution-operations/F13_initiatives-portfolio.csv,24,tenant_file
APEXRETAIL-INIT-0024,ServiceNow store support agent / expansion 10,IT Operations,VP IT Operations,pilot,18000000,2400000,medium,hold_until_evidence,knowledge base quality,APX-EVID-010,family-5-execution-operations/F13_initiatives-portfolio.csv,25,tenant_file
APEXRETAIL-INIT-0025,Assortment localization copilot / expansion 11,Merchandising,Chief Merchandising Officer,design,30000000,0,low,prove_value,planner workflow fit,APX-EVID-011,family-5-execution-operations/F13_initiatives-portfolio.csv,26,tenant_file
APEXRETAIL-INIT-0026,Store associate task assistant / expansion 12,Store Operations,COO,design,43000000,0,low,prove_value,mobile device and policy readiness,APX-EVID-012,family-5-execution-operations/F13_initiatives-portfolio.csv,27,tenant_file
APEXRETAIL-INIT-0027,Supply chain ETA and carrier exception AI / expansion 13,Supply Chain,Chief Supply Chain Officer,build,36000000,7200000,medium,scale_candidate,carrier API latency,APX-EVID-013,family-5-execution-operations/F13_initiatives-portfolio.csv,28,tenant_file
APEXRETAIL-INIT-0028,AI code productivity program / expansion 14,Technology,CIO,scale,22000000,9800000,high,scale_candidate,measurement by product team incomplete,APX-EVID-014,family-5-execution-operations/F13_initiatives-portfolio.csv,29,tenant_file
APEXRETAIL-INIT-0029,Retail lakehouse and customer inventory graph / expansion 15,Data and AI,Chief Data Officer,mobilize,95000000,12000000,medium,at_risk,identity and item-location data quality,APX-EVID-001,family-5-execution-operations/F13_initiatives-portfolio.csv,30,tenant_file
APEXRETAIL-INIT-0030,AI demand forecasting and replenishment / expansion 16,Merchandising,Chief Merchandising Officer,pilot,72000000,21000000,high,scale_candidate,forecast explainability by category,APX-EVID-002,family-5-execution-operations/F13_initiatives-portfolio.csv,31,tenant_file
APEXRETAIL-INIT-0031,Store labor scheduling optimization / expansion 17,Store Operations,COO,pilot,51000000,9000000,medium,hold_until_evidence,labor-rule integration and manager adoption,APX-EVID-003,family-5-execution-operations/F13_initiatives-portfolio.csv,32,tenant_file
APEXRETAIL-INIT-0032,Shrink anomaly detection / expansion 18,Loss Prevention,Chief Risk Officer,build,68000000,6800000,medium,at_risk,camera/POS evidence linkage,APX-EVID-004,family-5-execution-operations/F13_initiatives-portfolio.csv,33,tenant_file
APEXRETAIL-INIT-0033,Search and personalization AI / expansion 19,Digital Commerce,Chief Digital Officer,scale,84000000,42000000,high,scale_candidate,consent and customer identity gaps,APX-EVID-005,family-5-execution-operations/F13_initiatives-portfolio.csv,34,tenant_file
APEXRETAIL-INIT-0034,Retail media measurement clean room / expansion 20,Marketing,Chief Marketing Officer,design,38000000,4000000,medium,hold_until_evidence,incrementality proof missing,APX-EVID-006,family-5-execution-operations/F13_initiatives-portfolio.csv,35,tenant_file
APEXRETAIL-INIT-0035,BOPIS exception prediction / expansion 21,Omnichannel Fulfillment,Chief Supply Chain Officer,pilot,34000000,7400000,medium,scale_candidate,store inventory accuracy,APX-EVID-007,family-5-execution-operations/F13_initiatives-portfolio.csv,36,tenant_file
APEXRETAIL-INIT-0036,Returns fraud triage / expansion 22,Risk,Chief Risk Officer,build,26000000,3200000,medium,at_risk,fairness and customer friction review,APX-EVID-008,family-5-execution-operations/F13_initiatives-portfolio.csv,37,tenant_file
APEXRETAIL-INIT-0037,Finance margin bridge automation / expansion 23,Finance,CFO,pilot,24000000,5800000,high,scale_candidate,vendor funding lineage,APX-EVID-009,family-5-execution-operations/F13_initiatives-portfolio.csv,38,tenant_file
APEXRETAIL-INIT-0038,ServiceNow store support agent / expansion 24,IT Operations,VP IT Operations,pilot,18000000,2400000,medium,hold_until_evidence,knowledge base quality,APX-EVID-010,family-5-execution-operations/F13_initiatives-portfolio.csv,39,tenant_file
APEXRETAIL-INIT-0039,Assortment localization copilot / expansion 25,Merchandising,Chief Merchandising Officer,design,30000000,0,low,prove_value,planner workflow fit,APX-EVID-011,family-5-execution-operations/F13_initiatives-portfolio.csv,40,tenant_file
APEXRETAIL-INIT-0040,Store associate task assistant / expansion 26,Store Operations,COO,design,43000000,0,low,prove_value,mobile device and policy readiness,APX-EVID-012,family-5-execution-operations/F13_initiatives-portfolio.csv,41,tenant_file
APEXRETAIL-INIT-0041,Supply chain ETA and carrier exception AI / expansion 27,Supply Chain,Chief Supply Chain Officer,build,36000000,7200000,medium,scale_candidate,carrier API latency,APX-EVID-013,family-5-execution-operations/F13_initiatives-portfolio.csv,42,tenant_file
APEXRETAIL-INIT-0042,AI code productivity program / expansion 28,Technology,CIO,scale,22000000,9800000,high,scale_candidate,measurement by product team incomplete,APX-EVID-014,family-5-execution-operations/F13_initiatives-portfolio.csv,43,tenant_file
APEXRETAIL-INIT-0043,Retail lakehouse and customer inventory graph / expansion 29,Data and AI,Chief Data Officer,mobilize,95000000,12000000,medium,at_risk,identity and item-location data quality,APX-EVID-001,family-5-execution-operations/F13_initiatives-portfolio.csv,44,tenant_file
APEXRETAIL-INIT-0044,AI demand forecasting and replenishment / expansion 30,Merchandising,Chief Merchandising Officer,pilot,72000000,21000000,high,scale_candidate,forecast explainability by category,APX-EVID-002,family-5-execution-operations/F13_initiatives-portfolio.csv,45,tenant_file
APEXRETAIL-INIT-0045,Store labor scheduling optimization / expansion 31,Store Operations,COO,pilot,51000000,9000000,medium,hold_until_evidence,labor-rule integration and manager adoption,APX-EVID-003,family-5-execution-operations/F13_initiatives-portfolio.csv,46,tenant_file
APEXRETAIL-INIT-0046,Shrink anomaly detection / expansion 32,Loss Prevention,Chief Risk Officer,build,68000000,6800000,medium,at_risk,camera/POS evidence linkage,APX-EVID-004,family-5-execution-operations/F13_initiatives-portfolio.csv,47,tenant_file
APEXRETAIL-INIT-0047,Search and personalization AI / expansion 33,Digital Commerce,Chief Digital Officer,scale,84000000,42000000,high,scale_candidate,consent and customer identity gaps,APX-EVID-005,family-5-execution-operations/F13_initiatives-portfolio.csv,48,tenant_file
APEXRETAIL-INIT-0048,Retail media measurement clean room / expansion 34,Marketing,Chief Marketing Officer,design,38000000,4000000,medium,hold_until_evidence,incrementality proof missing,APX-EVID-006,family-5-execution-operations/F13_initiatives-portfolio.csv,49,tenant_file
APEXRETAIL-INIT-0049,BOPIS exception prediction / expansion 35,Omnichannel Fulfillment,Chief Supply Chain Officer,pilot,34000000,7400000,medium,scale_candidate,store inventory accuracy,APX-EVID-007,family-5-execution-operations/F13_initiatives-portfolio.csv,50,tenant_file
APEXRETAIL-INIT-0050,Returns fraud triage / expansion 36,Risk,Chief Risk Officer,build,26000000,3200000,medium,at_risk,fairness and customer friction review,APX-EVID-008,family-5-execution-operations/F13_initiatives-portfolio.csv,51,tenant_file
APEXRETAIL-INIT-0051,Finance margin bridge automation / expansion 37,Finance,CFO,pilot,24000000,5800000,high,scale_candidate,vendor funding lineage,APX-EVID-009,family-5-execution-operations/F13_initiatives-portfolio.csv,52,tenant_file
APEXRETAIL-INIT-0052,ServiceNow store support agent / expansion 38,IT Operations,VP IT Operations,pilot,18000000,2400000,medium,hold_until_evidence,knowledge base quality,APX-EVID-010,family-5-execution-operations/F13_initiatives-portfolio.csv,53,tenant_file
APEXRETAIL-INIT-0053,Assortment localization copilot / expansion 39,Merchandising,Chief Merchandising Officer,design,30000000,0,low,prove_value,planner workflow fit,APX-EVID-011,family-5-execution-operations/F13_initiatives-portfolio.csv,54,tenant_file
APEXRETAIL-INIT-0054,Store associate task assistant / expansion 40,Store Operations,COO,design,43000000,0,low,prove_value,mobile device and policy readiness,APX-EVID-012,family-5-execution-operations/F13_initiatives-portfolio.csv,55,tenant_file
APEXRETAIL-INIT-0055,Supply chain ETA and carrier exception AI / expansion 41,Supply Chain,Chief Supply Chain Officer,build,36000000,7200000,medium,scale_candidate,carrier API latency,APX-EVID-013,family-5-execution-operations/F13_initiatives-portfolio.csv,56,tenant_file
APEXRETAIL-INIT-0056,AI code productivity program / expansion 42,Technology,CIO,scale,22000000,9800000,high,scale_candidate,measurement by product team incomplete,APX-EVID-014,family-5-execution-operations/F13_initiatives-portfolio.csv,57,tenant_file
APEXRETAIL-INIT-0057,Retail lakehouse and customer inventory graph / expansion 43,Data and AI,Chief Data Officer,mobilize,95000000,12000000,medium,at_risk,identity and item-location data quality,APX-EVID-001,family-5-execution-operations/F13_initiatives-portfolio.csv,58,tenant_file
APEXRETAIL-INIT-0058,AI demand forecasting and replenishment / expansion 44,Merchandising,Chief Merchandising Officer,pilot,72000000,21000000,high,scale_candidate,forecast explainability by category,APX-EVID-002,family-5-execution-operations/F13_initiatives-portfolio.csv,59,tenant_file
APEXRETAIL-INIT-0059,Store labor scheduling optimization / expansion 45,Store Operations,COO,pilot,51000000,9000000,medium,hold_until_evidence,labor-rule integration and manager adoption,APX-EVID-003,family-5-execution-operations/F13_initiatives-portfolio.csv,60,tenant_file
APEXRETAIL-INIT-0060,Shrink anomaly detection / expansion 46,Loss Prevention,Chief Risk Officer,build,68000000,6800000,medium,at_risk,camera/POS evidence linkage,APX-EVID-004,family-5-execution-operations/F13_initiatives-portfolio.csv,61,tenant_file
APEXRETAIL-INIT-0061,Search and personalization AI / expansion 47,Digital Commerce,Chief Digital Officer,scale,84000000,42000000,high,scale_candidate,consent and customer identity gaps,APX-EVID-005,family-5-execution-operations/F13_initiatives-portfolio.csv,62,tenant_file
APEXRETAIL-INIT-0062,Retail media measurement clean room / expansion 48,Marketing,Chief Marketing Officer,design,38000000,4000000,medium,hold_until_evidence,incrementality proof missing,APX-EVID-006,family-5-execution-operations/F13_initiatives-portfolio.csv,63,tenant_file
APEXRETAIL-INIT-0063,BOPIS exception prediction / expansion 49,Omnichannel Fulfillment,Chief Supply Chain Officer,pilot,34000000,7400000,medium,scale_candidate,store inventory accuracy,APX-EVID-007,family-5-execution-operations/F13_initiatives-portfolio.csv,64,tenant_file
APEXRETAIL-INIT-0064,Returns fraud triage / expansion 50,Risk,Chief Risk Officer,build,26000000,3200000,medium,at_risk,fairness and customer friction review,APX-EVID-008,family-5-execution-operations/F13_initiatives-portfolio.csv,65,tenant_file
APEXRETAIL-INIT-0065,Finance margin bridge automation / expansion 51,Finance,CFO,pilot,24000000,5800000,high,scale_candidate,vendor funding lineage,APX-EVID-009,family-5-execution-operations/F13_initiatives-portfolio.csv,66,tenant_file
APEXRETAIL-INIT-0066,ServiceNow store support agent / expansion 52,IT Operations,VP IT Operations,pilot,18000000,2400000,medium,hold_until_evidence,knowledge base quality,APX-EVID-010,family-5-execution-operations/F13_initiatives-portfolio.csv,67,tenant_file
APEXRETAIL-INIT-0067,Assortment localization copilot / expansion 53,Merchandising,Chief Merchandising Officer,design,30000000,0,low,prove_value,planner workflow fit,APX-EVID-011,family-5-execution-operations/F13_initiatives-portfolio.csv,68,tenant_file
APEXRETAIL-INIT-0068,Store associate task assistant / expansion 54,Store Operations,COO,design,43000000,0,low,prove_value,mobile device and policy readiness,APX-EVID-012,family-5-execution-operations/F13_initiatives-portfolio.csv,69,tenant_file
APEXRETAIL-INIT-0069,Supply chain ETA and carrier exception AI / expansion 55,Supply Chain,Chief Supply Chain Officer,build,36000000,7200000,medium,scale_candidate,carrier API latency,APX-EVID-013,family-5-execution-operations/F13_initiatives-portfolio.csv,70,tenant_file
APEXRETAIL-INIT-0070,AI code productivity program / expansion 56,Technology,CIO,scale,22000000,9800000,high,scale_candidate,measurement by product team incomplete,APX-EVID-014,family-5-execution-operations/F13_initiatives-portfolio.csv,71,tenant_file
APEXRETAIL-INIT-0071,Retail lakehouse and customer inventory graph / expansion 57,Data and AI,Chief Data Officer,mobilize,95000000,12000000,medium,at_risk,identity and item-location data quality,APX-EVID-001,family-5-execution-operations/F13_initiatives-portfolio.csv,72,tenant_file
APEXRETAIL-INIT-0072,AI demand forecasting and replenishment / expansion 58,Merchandising,Chief Merchandising Officer,pilot,72000000,21000000,high,scale_candidate,forecast explainability by category,APX-EVID-002,family-5-execution-operations/F13_initiatives-portfolio.csv,73,tenant_file
APEXRETAIL-INIT-0073,Store labor scheduling optimization / expansion 59,Store Operations,COO,pilot,51000000,9000000,medium,hold_until_evidence,labor-rule integration and manager adoption,APX-EVID-003,family-5-execution-operations/F13_initiatives-portfolio.csv,74,tenant_file
APEXRETAIL-INIT-0074,Shrink anomaly detection / expansion 60,Loss Prevention,Chief Risk Officer,build,68000000,6800000,medium,at_risk,camera/POS evidence linkage,APX-EVID-004,family-5-execution-operations/F13_initiatives-portfolio.csv,75,tenant_file
APEXRETAIL-INIT-0075,Search and personalization AI / expansion 61,Digital Commerce,Chief Digital Officer,scale,84000000,42000000,high,scale_candidate,consent and customer identity gaps,APX-EVID-005,family-5-execution-operations/F13_initiatives-portfolio.csv,76,tenant_file
