incident_id,system_id,severity,opened_at,closed_at,root_cause
INC-00052,APP-0012,P3,2026-02-27,2026-02-27,capacity
INC-00053,APP-0261,P3,2026-05-06,2026-05-06,vendor outage
INC-00054,APP-0482,P2,2026-01-21,2026-01-21,integration
INC-00055,APP-0315,P3,2026-03-18,2026-03-18,capacity
INC-00056,APP-0310,P1,2026-05-06,2026-05-06,integration
INC-00057,APP-0570,P2,2026-01-05,2026-01-05,integration
INC-00058,APP-0252,P3,2026-03-24,2026-03-24,mainframe batch
INC-00059,APP-0193,P2,2026-01-20,2026-01-20,vendor outage
INC-00060,APP-0228,P3,2026-05-04,2026-05-04,vendor outage
INC-00061,APP-0029,P4,2026-05-15,2026-05-15,unknown
INC-00062,APP-0592,P3,2026-03-27,2026-03-27,data quality
INC-00063,APP-0031,P1,2026-04-16,2026-04-16,integration
INC-00064,APP-0073,P2,2026-03-04,2026-03-04,mainframe batch
INC-00065,APP-0422,P1,2026-02-27,2026-02-27,change
INC-00066,APP-0268,P2,2026-04-03,2026-04-03,human error
INC-00067,APP-0409,P2,2026-04-14,2026-04-14,capacity
INC-00068,APP-0584,P2,2026-02-13,2026-02-13,unknown
INC-00069,APP-0590,P2,2026-03-19,2026-03-19,data quality
INC-00070,APP-0159,P1,2026-03-12,2026-03-12,human error
INC-00071,APP-0491,P3,2026-05-19,2026-05-19,integration
INC-00072,APP-0220,P3,2026-02-20,2026-02-20,mainframe batch
INC-00073,APP-0409,P2,2026-01-26,2026-01-26,data quality
INC-00074,APP-0314,P3,2026-04-02,2026-04-02,mainframe batch
INC-00075,APP-0260,P1,2026-04-06,2026-04-06,change
INC-00076,APP-0231,P2,2026-01-13,2026-01-13,unknown
INC-00077,APP-0501,P3,2026-02-23,2026-02-23,change
INC-00078,APP-0534,P1,2026-03-21,2026-03-21,human error
INC-00079,APP-0185,P4,2026-03-23,2026-03-23,capacity
INC-00080,APP-0314,P4,2026-03-18,2026-03-18,data quality
INC-00081,APP-0063,P1,2026-03-25,2026-03-25,human error
INC-00082,APP-0274,P2,2026-04-13,2026-04-13,change
INC-00083,APP-0285,P1,2026-03-09,2026-03-09,vendor outage
INC-00084,APP-0484,P2,2026-04-18,2026-04-18,mainframe batch
INC-00085,APP-0448,P3,2026-02-23,2026-02-23,mainframe batch
INC-00086,APP-0068,P2,2026-05-17,2026-05-17,data quality
INC-00087,APP-0230,P2,2026-03-26,2026-03-26,vendor outage
INC-00088,APP-0162,P3,2026-01-19,2026-01-19,integration
INC-00089,APP-0151,P2,2026-02-22,2026-02-22,mainframe batch
INC-00090,APP-0055,P3,2026-04-17,2026-04-17,mainframe batch
INC-00091,APP-0016,P2,2026-05-10,2026-05-10,human error
INC-00092,APP-0248,P3,2026-01-11,2026-01-11,capacity
INC-00093,APP-0344,P2,2026-03-05,2026-03-05,integration
INC-00094,APP-0152,P3,2026-02-21,2026-02-21,data quality
INC-00095,APP-0087,P2,2026-02-22,2026-02-22,human error
INC-00096,APP-0426,P1,2026-03-22,2026-03-22,data quality
INC-00097,APP-0278,P4,2026-03-26,2026-03-26,change
INC-00098,APP-0402,P2,2026-03-06,2026-03-06,human error
INC-00099,APP-0282,P1,2026-02-28,2026-02-28,data quality
INC-00100,APP-0535,P1,2026-05-07,2026-05-07,data quality
INC-00101,APP-0417,P1,2026-03-07,2026-03-07,unknown
INC-00102,APP-0531,P3,2026-03-06,2026-03-06,capacity
INC-00103,APP-0090,P3,2026-03-05,2026-03-05,mainframe batch
INC-00104,APP-0216,P3,2026-04-24,2026-04-24,integration
INC-00105,APP-0328,P3,2026-02-16,2026-02-16,mainframe batch
INC-00106,APP-0183,P2,2026-03-23,2026-03-23,human error
INC-00107,APP-0586,P2,2026-05-21,2026-05-21,vendor outage
INC-00108,APP-0594,P3,2026-03-12,2026-03-12,capacity
INC-00109,APP-0325,P3,2026-02-11,2026-02-11,unknown
INC-00110,APP-0553,P4,2026-02-18,2026-02-18,vendor outage
INC-00111,APP-0350,P3,2026-03-20,2026-03-20,mainframe batch
INC-00112,APP-0172,P4,2026-03-06,2026-03-06,data quality
INC-00113,APP-0596,P3,2026-02-15,2026-02-15,unknown
INC-00114,APP-0193,P4,2026-04-11,2026-04-11,integration
INC-00115,APP-0490,P1,2026-02-03,2026-02-03,mainframe batch
INC-00116,APP-0286,P2,2026-03-18,2026-03-18,data quality
INC-00117,APP-0094,P3,2026-02-04,2026-02-04,data quality
INC-00118,APP-0098,P4,2026-02-11,2026-02-11,change
INC-00119,APP-0090,P4,2026-05-07,2026-05-07,unknown
INC-00120,APP-0331,P3,2026-02-19,2026-02-19,mainframe batch
INC-00121,APP-0244,P1,2026-05-25,2026-05-25,mainframe batch
INC-00122,APP-0471,P2,2026-01-08,2026-01-08,unknown
INC-00123,APP-0326,P2,2026-01-19,2026-01-19,human error
INC-00124,APP-0593,P2,2026-01-26,2026-01-26,unknown
INC-00125,APP-0351,P2,2026-02-22,2026-02-22,mainframe batch
INC-00126,APP-0097,P3,2026-02-13,2026-02-13,vendor outage
INC-00127,APP-0345,P3,2026-02-27,2026-02-27,unknown
INC-00128,APP-0204,P4,2026-05-05,2026-05-05,mainframe batch
INC-00129,APP-0360,P1,2026-04-16,2026-04-16,mainframe batch
INC-00130,APP-0184,P1,2026-02-12,2026-02-12,human error
INC-00131,APP-0505,P2,2026-02-10,2026-02-10,vendor outage
INC-00132,APP-0428,P3,2026-01-06,2026-01-06,integration
INC-00133,APP-0065,P3,2026-03-06,2026-03-06,human error
INC-00134,APP-0574,P3,2026-01-09,2026-01-09,mainframe batch
INC-00135,APP-0562,P2,2026-02-05,2026-02-05,integration
INC-00136,APP-0479,P2,2026-03-19,2026-03-19,integration
INC-00137,APP-0270,P3,2026-01-07,2026-01-07,capacity
INC-00138,APP-0437,P1,2026-03-08,2026-03-08,mainframe batch
INC-00139,APP-0493,P3,2026-02-14,2026-02-14,mainframe batch
INC-00140,APP-0194,P3,2026-03-13,2026-03-13,integration
INC-00141,APP-0087,P3,2026-03-14,2026-03-14,integration
INC-00142,APP-0443,P3,2026-03-23,2026-03-23,change
INC-00143,APP-0134,P2,2026-03-15,2026-03-15,mainframe batch
INC-00144,APP-0528,P1,2026-02-04,2026-02-04,capacity
INC-00145,APP-0355,P1,2026-04-09,2026-04-09,change
INC-00146,APP-0519,P2,2026-01-24,2026-01-24,integration
INC-00147,APP-0310,P3,2026-04-22,2026-04-22,capacity
INC-00148,APP-0289,P3,2026-02-09,2026-02-09,human error
INC-00149,APP-0597,P1,2026-04-06,2026-04-06,human error
INC-00150,APP-0336,P3,2026-03-19,2026-03-19,vendor outage
INC-00151,APP-0190,P2,2026-02-23,2026-02-23,unknown
INC-00152,APP-0039,P3,2026-03-10,2026-03-10,mainframe batch
INC-00153,APP-0340,P2,2026-05-06,2026-05-06,integration
INC-00154,APP-0041,P1,2026-01-04,2026-01-04,change
INC-00155,APP-0440,P2,2026-05-06,2026-05-06,mainframe batch
INC-00156,APP-0260,P4,2026-05-02,2026-05-02,mainframe batch
INC-00157,APP-0060,P2,2026-02-04,2026-02-04,capacity
INC-00158,APP-0082,P4,2026-02-19,2026-02-19,unknown
INC-00159,APP-0227,P4,2026-01-04,2026-01-04,mainframe batch
INC-00160,APP-0298,P4,2026-04-17,2026-04-17,integration
INC-00161,APP-0082,P3,2026-05-03,2026-05-03,human error
INC-00162,APP-0166,P2,2026-03-08,2026-03-08,capacity
INC-00163,APP-0264,P2,2026-03-03,2026-03-03,integration
INC-00164,APP-0353,P1,2026-02-24,2026-02-24,integration
INC-00165,APP-0236,P1,2026-05-28,2026-05-28,mainframe batch
INC-00166,APP-0021,P4,2026-03-03,2026-03-03,integration
INC-00167,APP-0092,P1,2026-05-16,2026-05-16,mainframe batch
INC-00168,APP-0370,P1,2026-02-27,2026-02-27,data quality
INC-00169,APP-0073,P1,2026-01-07,2026-01-07,change
INC-00170,APP-0562,P4,2026-03-22,2026-03-22,mainframe batch
INC-00171,APP-0308,P1,2026-04-22,2026-04-22,data quality
INC-00172,APP-0378,P2,2026-01-25,2026-01-25,capacity
INC-00173,APP-0391,P2,2026-03-11,2026-03-11,vendor outage
INC-00174,APP-0137,P2,2026-02-20,2026-02-20,change
INC-00175,APP-0545,P3,2026-04-26,2026-04-26,data quality
INC-00176,APP-0154,P1,2026-05-09,2026-05-09,data quality
INC-00177,APP-0087,P3,2026-02-28,2026-02-28,integration
INC-00178,APP-0097,P2,2026-05-02,2026-05-02,data quality
INC-00179,APP-0425,P4,2026-05-09,2026-05-09,unknown
INC-00180,APP-0438,P2,2026-01-23,2026-01-23,vendor outage
INC-00181,APP-0281,P3,2026-02-25,2026-02-25,mainframe batch
INC-00182,APP-0488,P4,2026-02-04,2026-02-04,data quality
INC-00183,APP-0403,P3,2026-05-03,2026-05-03,unknown
INC-00184,APP-0201,P3,2026-03-05,2026-03-05,vendor outage
INC-00185,APP-0355,P1,2026-05-28,2026-05-28,data quality
INC-00186,APP-0501,P2,2026-04-05,2026-04-05,capacity
INC-00187,APP-0377,P4,2026-01-09,2026-01-09,capacity
INC-00188,APP-0299,P3,2026-04-15,2026-04-15,mainframe batch
INC-00189,APP-0069,P2,2026-04-18,2026-04-18,human error
INC-00190,APP-0116,P3,2026-02-26,2026-02-26,human error
INC-00191,APP-0270,P2,2026-01-06,2026-01-06,human error
INC-00192,APP-0168,P2,2026-01-25,2026-01-25,human error
INC-00193,APP-0419,P2,2026-03-03,2026-03-03,mainframe batch
INC-00194,APP-0566,P3,2026-04-08,2026-04-08,vendor outage
INC-00195,APP-0418,P2,2026-04-24,2026-04-24,unknown
INC-00196,APP-0441,P1,2026-01-07,2026-01-07,capacity
INC-00197,APP-0503,P2,2026-01-24,2026-01-24,integration
INC-00198,APP-0205,P3,2026-02-04,2026-02-04,change
INC-00199,APP-0519,P2,2026-05-20,2026-05-20,capacity
INC-00200,APP-0104,P3,2026-03-06,2026-03-06,integration
INC-00201,APP-0434,P4,2026-05-26,2026-05-26,change
INC-00202,APP-0402,P4,2026-01-05,2026-01-05,change
INC-00203,APP-0229,P1,2026-05-01,2026-05-01,capacity
INC-00204,APP-0370,P2,2026-02-27,2026-02-27,unknown
INC-00205,APP-0108,P4,2026-02-17,2026-02-17,mainframe batch
INC-00206,APP-0480,P2,2026-01-12,2026-01-12,capacity
INC-00207,APP-0212,P2,2026-02-11,2026-02-11,data quality
INC-00208,APP-0421,P3,2026-04-08,2026-04-08,integration
INC-00209,APP-0488,P1,2026-03-02,2026-03-02,mainframe batch
INC-00210,APP-0002,P4,2026-02-10,2026-02-10,mainframe batch
INC-00211,APP-0283,P4,2026-05-04,2026-05-04,vendor outage
INC-00212,APP-0056,P2,2026-03-19,2026-03-19,change
INC-00213,APP-0079,P2,2026-05-23,2026-05-23,mainframe batch
INC-00214,APP-0276,P2,2026-01-09,2026-01-09,unknown
INC-00215,APP-0063,P2,2026-04-13,2026-04-13,unknown
INC-00216,APP-0385,P1,2026-02-12,2026-02-12,change
INC-00217,APP-0165,P3,2026-02-14,2026-02-14,data quality
INC-00218,APP-0514,P3,2026-05-27,2026-05-27,human error
INC-00219,APP-0033,P3,2026-02-28,2026-02-28,mainframe batch
INC-00220,APP-0320,P3,2026-05-25,2026-05-25,data quality
INC-00221,APP-0359,P3,2026-05-10,2026-05-10,unknown
INC-00222,APP-0011,P3,2026-04-06,2026-04-06,integration
INC-00223,APP-0572,P4,2026-02-04,2026-02-04,data quality
INC-00224,APP-0035,P2,2026-02-16,2026-02-16,data quality
INC-00225,APP-0060,P4,2026-05-07,2026-05-07,vendor outage
INC-00226,APP-0285,P2,2026-01-24,2026-01-24,vendor outage
INC-00227,APP-0418,P1,2026-01-05,2026-01-05,mainframe batch
INC-00228,APP-0540,P2,2026-01-07,2026-01-07,data quality
INC-00229,APP-0501,P2,2026-03-10,2026-03-10,vendor outage
INC-00230,APP-0498,P4,2026-05-11,2026-05-11,capacity
INC-00231,APP-0059,P1,2026-05-22,2026-05-22,integration
INC-00232,APP-0029,P3,2026-05-13,2026-05-13,integration
INC-00233,APP-0128,P4,2026-04-24,2026-04-24,vendor outage
INC-00234,APP-0525,P3,2026-04-04,2026-04-04,capacity
INC-00235,APP-0565,P2,2026-04-25,2026-04-25,vendor outage
INC-00236,APP-0540,P3,2026-04-11,2026-04-11,capacity
INC-00237,APP-0397,P2,2026-02-06,2026-02-06,change
INC-00238,APP-0465,P3,2026-05-25,2026-05-25,vendor outage
INC-00239,APP-0468,P3,2026-03-06,2026-03-06,unknown
INC-00240,APP-0084,P3,2026-01-07,2026-01-07,integration
INC-00241,APP-0013,P1,2026-02-27,2026-02-27,mainframe batch
INC-00242,APP-0425,P4,2026-03-28,2026-03-28,change
INC-00243,APP-0530,P4,2026-02-18,2026-02-18,change
INC-00244,APP-0594,P1,2026-04-08,2026-04-08,human error
INC-00245,APP-0073,P4,2026-05-28,2026-05-28,change
INC-00246,APP-0504,P3,2026-04-16,2026-04-16,capacity
INC-00247,APP-0217,P3,2026-01-05,2026-01-05,change
INC-00248,APP-0186,P2,2026-03-07,2026-03-07,change
INC-00249,APP-0321,P3,2026-05-19,2026-05-19,mainframe batch
INC-00250,APP-0015,P1,2026-04-14,2026-04-14,vendor outage
INC-00251,APP-0219,P4,2026-02-05,2026-02-05,unknown
INC-00252,APP-0425,P2,2026-04-28,2026-04-28,mainframe batch
INC-00253,APP-0459,P1,2026-03-25,2026-03-25,data quality
INC-00254,APP-0299,P2,2026-01-06,2026-01-06,vendor outage
INC-00255,APP-0126,P3,2026-02-17,2026-02-17,human error
INC-00256,APP-0214,P2,2026-05-27,2026-05-27,unknown
INC-00257,APP-0529,P4,2026-04-23,2026-04-23,data quality
INC-00258,APP-0336,P2,2026-03-27,2026-03-27,vendor outage
INC-00259,APP-0153,P3,2026-03-02,2026-03-02,vendor outage
INC-00260,APP-0050,P3,2026-05-26,2026-05-26,unknown
INC-00261,APP-0108,P3,2026-04-27,2026-04-27,data quality
INC-00262,APP-0125,P3,2026-03-04,2026-03-04,data quality
INC-00263,APP-0570,P3,2026-02-28,2026-02-28,change
INC-00264,APP-0211,P3,2026-05-06,2026-05-06,mainframe batch
INC-00265,APP-0390,P3,2026-01-12,2026-01-12,human error
INC-00266,APP-0403,P2,2026-03-03,2026-03-03,capacity
INC-00267,APP-0028,P1,2026-05-15,2026-05-15,change
INC-00268,APP-0216,P3,2026-02-08,2026-02-08,data quality
INC-00269,APP-0256,P2,2026-03-09,2026-03-09,mainframe batch
INC-00270,APP-0327,P2,2026-03-26,2026-03-26,human error
INC-00271,APP-0505,P4,2026-05-16,2026-05-16,data quality
INC-00272,APP-0352,P1,2026-05-22,2026-05-22,change
INC-00273,APP-0066,P4,2026-02-04,2026-02-04,data quality
INC-00274,APP-0357,P4,2026-02-05,2026-02-05,unknown
INC-00275,APP-0337,P3,2026-05-17,2026-05-17,unknown
INC-00276,APP-0531,P2,2026-05-23,2026-05-23,mainframe batch
INC-00277,APP-0069,P4,2026-02-04,2026-02-04,unknown
INC-00278,APP-0502,P4,2026-04-02,2026-04-02,unknown
INC-00279,APP-0572,P3,2026-01-01,2026-01-01,capacity
INC-00280,APP-0091,P2,2026-02-14,2026-02-14,vendor outage
INC-00281,APP-0236,P4,2026-03-15,2026-03-15,unknown
INC-00282,APP-0371,P2,2026-02-07,2026-02-07,data quality
INC-00283,APP-0207,P2,2026-02-06,2026-02-06,vendor outage
INC-00284,APP-0327,P3,2026-03-07,2026-03-07,data quality
INC-00285,APP-0430,P2,2026-01-22,2026-01-22,mainframe batch
INC-00286,APP-0272,P3,2026-03-02,2026-03-02,vendor outage
INC-00287,APP-0570,P3,2026-03-04,2026-03-04,unknown
INC-00288,APP-0487,P2,2026-04-10,2026-04-10,mainframe batch
INC-00289,APP-0006,P4,2026-04-16,2026-04-16,integration
INC-00290,APP-0002,P2,2026-05-17,2026-05-17,human error
INC-00291,APP-0062,P2,2026-05-02,2026-05-02,vendor outage
INC-00292,APP-0003,P3,2026-05-18,2026-05-18,vendor outage
INC-00293,APP-0397,P1,2026-02-06,2026-02-06,mainframe batch
INC-00294,APP-0561,P4,2026-04-26,2026-04-26,vendor outage
INC-00295,APP-0051,P2,2026-01-26,2026-01-26,human error
INC-00296,APP-0094,P3,2026-04-16,2026-04-16,vendor outage
INC-00297,APP-0587,P2,2026-02-21,2026-02-21,vendor outage
INC-00298,APP-0437,P4,2026-04-06,2026-04-06,vendor outage
INC-00299,APP-0248,P2,2026-05-06,2026-05-06,human error
INC-00300,APP-0199,P2,2026-01-21,2026-01-21,vendor outage
INC-00301,APP-0231,P3,2026-01-09,2026-01-09,vendor outage
INC-00302,APP-0190,P4,2026-04-02,2026-04-02,integration
INC-00303,APP-0330,P3,2026-05-06,2026-05-06,capacity
INC-00304,APP-0083,P3,2026-04-27,2026-04-27,integration
INC-00305,APP-0459,P1,2026-03-26,2026-03-26,human error
INC-00306,APP-0149,P3,2026-01-16,2026-01-16,data quality
INC-00307,APP-0127,P2,2026-03-15,2026-03-15,integration
INC-00308,APP-0430,P3,2026-04-21,2026-04-21,data quality
INC-00309,APP-0507,P2,2026-01-08,2026-01-08,vendor outage
INC-00310,APP-0132,P2,2026-05-15,2026-05-15,unknown
INC-00311,APP-0409,P2,2026-05-05,2026-05-05,vendor outage
INC-00312,APP-0157,P1,2026-04-09,2026-04-09,integration
INC-00313,APP-0300,P2,2026-05-28,2026-05-28,human error
INC-00314,APP-0188,P2,2026-01-03,2026-01-03,change
INC-00315,APP-0082,P3,2026-05-22,2026-05-22,change
INC-00316,APP-0246,P2,2026-05-07,2026-05-07,capacity
INC-00317,APP-0283,P4,2026-05-24,2026-05-24,mainframe batch
INC-00318,APP-0339,P2,2026-03-15,2026-03-15,capacity
INC-00319,APP-0083,P4,2026-02-07,2026-02-07,change
INC-00320,APP-0012,P3,2026-04-10,2026-04-10,unknown
INC-00321,APP-0129,P3,2026-02-01,2026-02-01,change
INC-00322,APP-0381,P3,2026-03-16,2026-03-16,capacity
INC-00323,APP-0425,P4,2026-01-19,2026-01-19,data quality
INC-00324,APP-0161,P1,2026-03-07,2026-03-07,capacity
INC-00325,APP-0240,P1,2026-02-15,2026-02-15,vendor outage
INC-00326,APP-0112,P3,2026-01-05,2026-01-05,mainframe batch
INC-00327,APP-0132,P2,2026-01-17,2026-01-17,integration
INC-00328,APP-0184,P2,2026-03-03,2026-03-03,vendor outage
INC-00329,APP-0208,P2,2026-02-11,2026-02-11,capacity
INC-00330,APP-0278,P3,2026-03-13,2026-03-13,vendor outage
INC-00331,APP-0497,P3,2026-04-02,2026-04-02,vendor outage
INC-00332,APP-0550,P2,2026-02-18,2026-02-18,vendor outage
INC-00333,APP-0416,P1,2026-03-21,2026-03-21,change
INC-00334,APP-0470,P2,2026-05-14,2026-05-14,human error
INC-00335,APP-0262,P3,2026-05-11,2026-05-11,mainframe batch
INC-00336,APP-0139,P3,2026-05-06,2026-05-06,capacity
INC-00337,APP-0091,P2,2026-05-07,2026-05-07,capacity
INC-00338,APP-0068,P1,2026-04-24,2026-04-24,change
INC-00339,APP-0230,P4,2026-03-21,2026-03-21,mainframe batch
INC-00340,APP-0573,P3,2026-04-01,2026-04-01,data quality
INC-00341,APP-0078,P2,2026-01-22,2026-01-22,human error
INC-00342,APP-0203,P1,2026-05-14,2026-05-14,change
INC-00343,APP-0291,P2,2026-04-28,2026-04-28,vendor outage
INC-00344,APP-0582,P3,2026-05-01,2026-05-01,mainframe batch
INC-00345,APP-0111,P1,2026-05-04,2026-05-04,unknown
INC-00346,APP-0041,P1,2026-01-19,2026-01-19,data quality
INC-00347,APP-0229,P2,2026-01-18,2026-01-18,change
INC-00348,APP-0559,P4,2026-01-03,2026-01-03,vendor outage
INC-00349,APP-0308,P3,2026-03-13,2026-03-13,change
INC-00350,APP-0498,P3,2026-03-11,2026-03-11,data quality
INC-00351,APP-0044,P1,2026-02-06,2026-02-06,integration
INC-00352,APP-0546,P3,2026-04-04,2026-04-04,human error
INC-00353,APP-0542,P3,2026-02-09,2026-02-09,integration
INC-00354,APP-0005,P2,2026-02-19,2026-02-19,unknown
INC-00355,APP-0147,P3,2026-03-05,2026-03-05,vendor outage
INC-00356,APP-0277,P3,2026-03-05,2026-03-05,mainframe batch
INC-00357,APP-0431,P2,2026-01-15,2026-01-15,data quality
INC-00358,APP-0243,P2,2026-01-09,2026-01-09,change
INC-00359,APP-0348,P2,2026-03-02,2026-03-02,human error
INC-00360,APP-0528,P2,2026-03-03,2026-03-03,data quality
INC-00361,APP-0016,P1,2026-03-25,2026-03-25,human error
INC-00362,APP-0201,P1,2026-04-24,2026-04-24,data quality
INC-00363,APP-0500,P1,2026-02-17,2026-02-17,capacity
INC-00364,APP-0401,P3,2026-02-21,2026-02-21,data quality
INC-00365,APP-0398,P2,2026-05-05,2026-05-05,mainframe batch
INC-00366,APP-0247,P1,2026-02-23,2026-02-23,data quality
INC-00367,APP-0526,P3,2026-01-11,2026-01-11,vendor outage
INC-00368,APP-0562,P4,2026-02-12,2026-02-12,mainframe batch
INC-00369,APP-0557,P3,2026-02-09,2026-02-09,capacity
INC-00370,APP-0528,P4,2026-04-02,2026-04-02,mainframe batch
INC-00371,APP-0394,P4,2026-01-26,2026-01-26,mainframe batch
INC-00372,APP-0529,P1,2026-01-22,2026-01-22,data quality
INC-00373,APP-0056,P1,2026-02-07,2026-02-07,unknown
INC-00374,APP-0371,P3,2026-02-06,2026-02-06,unknown
INC-00375,APP-0420,P3,2026-02-20,2026-02-20,human error
INC-00376,APP-0513,P2,2026-05-06,2026-05-06,capacity
INC-00377,APP-0443,P3,2026-03-01,2026-03-01,vendor outage
INC-00378,APP-0496,P3,2026-01-14,2026-01-14,mainframe batch
INC-00379,APP-0532,P3,2026-05-09,2026-05-09,human error
INC-00380,APP-0219,P3,2026-02-13,2026-02-13,integration
INC-00381,APP-0537,P3,2026-05-22,2026-05-22,vendor outage
INC-00382,APP-0260,P2,2026-01-01,2026-01-01,change
INC-00383,APP-0113,P2,2026-05-10,2026-05-10,change
INC-00384,APP-0398,P3,2026-01-15,2026-01-15,human error
INC-00385,APP-0029,P2,2026-05-22,2026-05-22,vendor outage
INC-00386,APP-0434,P3,2026-03-27,2026-03-27,change
INC-00387,APP-0156,P2,2026-02-19,2026-02-19,mainframe batch
INC-00388,APP-0573,P1,2026-05-01,2026-05-01,capacity
INC-00389,APP-0155,P2,2026-05-15,2026-05-15,change
INC-00390,APP-0057,P3,2026-05-26,2026-05-26,mainframe batch
INC-00391,APP-0493,P1,2026-04-27,2026-04-27,vendor outage
INC-00392,APP-0105,P3,2026-05-21,2026-05-21,integration
INC-00393,APP-0245,P3,2026-02-10,2026-02-10,mainframe batch
INC-00394,APP-0237,P1,2026-02-13,2026-02-13,unknown
INC-00395,APP-0191,P3,2026-05-19,2026-05-19,unknown
INC-00396,APP-0211,P2,2026-03-16,2026-03-16,vendor outage
INC-00397,APP-0254,P2,2026-04-17,2026-04-17,vendor outage
INC-00398,APP-0294,P4,2026-04-20,2026-04-20,data quality
INC-00399,APP-0333,P3,2026-01-03,2026-01-03,human error
INC-00400,APP-0087,P3,2026-05-02,2026-05-02,integration
