vendor_id,vendor_name,category,owned_by,business_owner,technology_owner,annual_contract_value_usd,renewal_date,criticality,license_or_unit_basis,commercial_risk,renewal_risk_rating,evidence_id,legacy_notes,source_file,source_row,value_source
APEXRETAIL-VND-0041,Salesforce / expansion 1,commerce,,COO,Store Systems and POS,1200000,2026-07-15,,,,high,APX-EVID-001,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,42,tenant_file
APEXRETAIL-VND-0042,Oracle / expansion 2,erp,,Chief Digital Officer,Digital Commerce Engineering,2040000,2026-08-15,,,,low,APX-EVID-002,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,43,tenant_file
APEXRETAIL-VND-0043,Manhattan / expansion 3,supply_chain,,Chief Merchandising Officer,Merchandising and Planning Systems,2880000,2026-09-15,,,,low,APX-EVID-003,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,44,tenant_file
APEXRETAIL-VND-0044,IBM / expansion 4,data_ai,,Chief Supply Chain Officer,Supply Chain Platforms,3720000,2026-10-15,,,,medium,APX-EVID-004,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,45,tenant_file
APEXRETAIL-VND-0045,Toshiba / expansion 5,security,,Chief Marketing Officer,Customer Data and Loyalty Platforms,4560000,2026-11-15,,,,low,APX-EVID-005,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,46,tenant_file
APEXRETAIL-VND-0046,Adobe / expansion 6,services,,CFO,ERP and Corporate Systems,5400000,2026-12-15,,,,high,APX-EVID-006,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,47,tenant_file
APEXRETAIL-VND-0047,Blue Yonder / expansion 7,commerce,,Chief Risk Officer,"Data, Analytics and AI",6240000,2026-07-15,,,,medium,APX-EVID-007,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,48,tenant_file
APEXRETAIL-VND-0048,SAP / expansion 8,erp,,CIO,Cloud Platform and SRE,7080000,2026-08-15,,,,low,APX-EVID-008,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,49,tenant_file
APEXRETAIL-VND-0049,Databricks / expansion 9,supply_chain,,CHRO,Cybersecurity,7920000,2026-09-15,,,,low,APX-EVID-009,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,50,tenant_file
APEXRETAIL-VND-0050,Snowflake / expansion 10,data_ai,,Chief Procurement Officer,Service Management and End User Tech,8760000,2026-10-15,,,,medium,APX-EVID-010,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,51,tenant_file
APEXRETAIL-VND-0051,ServiceNow / expansion 11,security,,Chief Real Estate Officer,Store Systems and POS,9600000,2026-11-15,,,,high,APX-EVID-011,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,52,tenant_file
APEXRETAIL-VND-0052,Microsoft / expansion 12,services,,SVP Private Brands,Digital Commerce Engineering,10440000,2026-12-15,,,,low,APX-EVID-012,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,53,tenant_file
APEXRETAIL-VND-0053,AWS / expansion 13,commerce,,COO,Merchandising and Planning Systems,11280000,2026-07-15,,,,medium,APX-EVID-013,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,54,tenant_file
APEXRETAIL-VND-0054,Google / expansion 14,erp,,Chief Digital Officer,Supply Chain Platforms,12120000,2026-08-15,,,,low,APX-EVID-014,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,55,tenant_file
APEXRETAIL-VND-0055,NVIDIA / expansion 15,supply_chain,,Chief Merchandising Officer,Customer Data and Loyalty Platforms,12960000,2026-09-15,,,,low,APX-EVID-001,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,56,tenant_file
APEXRETAIL-VND-0056,UKG / expansion 16,data_ai,,Chief Supply Chain Officer,ERP and Corporate Systems,13800000,2026-10-15,,,,high,APX-EVID-002,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,57,tenant_file
APEXRETAIL-VND-0057,Workday / expansion 17,security,,Chief Marketing Officer,"Data, Analytics and AI",14640000,2026-11-15,,,,low,APX-EVID-003,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,58,tenant_file
APEXRETAIL-VND-0058,CrowdStrike / expansion 18,services,,CFO,Cloud Platform and SRE,15480000,2026-12-15,,,,low,APX-EVID-004,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,59,tenant_file
APEXRETAIL-VND-0059,Datadog / expansion 19,commerce,,Chief Risk Officer,Cybersecurity,16320000,2026-07-15,,,,medium,APX-EVID-005,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,60,tenant_file
APEXRETAIL-VND-0060,MuleSoft / expansion 20,erp,,CIO,Service Management and End User Tech,17160000,2026-08-15,,,,low,APX-EVID-006,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,61,tenant_file
APEXRETAIL-VND-0061,Klaviyo / expansion 21,supply_chain,,CHRO,Store Systems and POS,18000000,2026-09-15,,,,high,APX-EVID-007,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,62,tenant_file
APEXRETAIL-VND-0062,Braze / expansion 22,data_ai,,Chief Procurement Officer,Digital Commerce Engineering,18840000,2026-10-15,,,,medium,APX-EVID-008,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,63,tenant_file
APEXRETAIL-VND-0063,NCR / expansion 23,security,,Chief Real Estate Officer,Merchandising and Planning Systems,19680000,2026-11-15,,,,low,APX-EVID-009,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,64,tenant_file
APEXRETAIL-VND-0064,Zebra / expansion 24,services,,SVP Private Brands,Supply Chain Platforms,20520000,2026-12-15,,,,low,APX-EVID-010,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,65,tenant_file
APEXRETAIL-VND-0065,Okta / expansion 25,commerce,,COO,Customer Data and Loyalty Platforms,21360000,2026-07-15,,,,medium,APX-EVID-011,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,66,tenant_file
APEXRETAIL-VND-0066,Fortinet / expansion 26,erp,,Chief Digital Officer,ERP and Corporate Systems,22200000,2026-08-15,,,,high,APX-EVID-012,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,67,tenant_file
APEXRETAIL-VND-0067,Accenture / expansion 27,supply_chain,,Chief Merchandising Officer,"Data, Analytics and AI",23040000,2026-09-15,,,,low,APX-EVID-013,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,68,tenant_file
APEXRETAIL-VND-0068,Deloitte / expansion 28,data_ai,,Chief Supply Chain Officer,Cloud Platform and SRE,23880000,2026-10-15,,,,medium,APX-EVID-014,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,69,tenant_file
APEXRETAIL-VND-0069,Infosys / expansion 29,security,,Chief Marketing Officer,Cybersecurity,24720000,2026-11-15,,,,low,APX-EVID-001,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,70,tenant_file
APEXRETAIL-VND-0070,TCS / expansion 30,services,,CFO,Service Management and End User Tech,25560000,2026-12-15,,,,low,APX-EVID-002,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,71,tenant_file
APEXRETAIL-VND-0071,EPAM / expansion 31,commerce,,Chief Risk Officer,Store Systems and POS,26400000,2026-07-15,,,,high,APX-EVID-003,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,72,tenant_file
APEXRETAIL-VND-0072,Capgemini / expansion 32,erp,,CIO,Digital Commerce Engineering,27240000,2026-08-15,,,,low,APX-EVID-004,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,73,tenant_file
APEXRETAIL-VND-0073,SAS / expansion 33,supply_chain,,CHRO,Merchandising and Planning Systems,28080000,2026-09-15,,,,low,APX-EVID-005,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,74,tenant_file
APEXRETAIL-VND-0074,Tableau / expansion 34,data_ai,,Chief Procurement Officer,Supply Chain Platforms,28920000,2026-10-15,,,,medium,APX-EVID-006,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,75,tenant_file
APEXRETAIL-VND-0075,Power BI / expansion 35,security,,Chief Real Estate Officer,Customer Data and Loyalty Platforms,29760000,2026-11-15,,,,low,APX-EVID-007,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,76,tenant_file
APEXRETAIL-VND-0076,Narvar / expansion 36,services,,SVP Private Brands,ERP and Corporate Systems,30600000,2026-12-15,,,,high,APX-EVID-008,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,77,tenant_file
APEXRETAIL-VND-0077,Riskified / expansion 37,commerce,,COO,"Data, Analytics and AI",31440000,2026-07-15,,,,medium,APX-EVID-009,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,78,tenant_file
APEXRETAIL-VND-0078,Forter / expansion 38,erp,,Chief Digital Officer,Cloud Platform and SRE,32280000,2026-08-15,,,,low,APX-EVID-010,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,79,tenant_file
APEXRETAIL-VND-0079,Stripe / expansion 39,supply_chain,,Chief Merchandising Officer,Cybersecurity,33120000,2026-09-15,,,,low,APX-EVID-011,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,80,tenant_file
APEXRETAIL-VND-0080,Adyen / expansion 40,data_ai,,Chief Supply Chain Officer,Service Management and End User Tech,33960000,2026-10-15,,,,medium,APX-EVID-012,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,81,tenant_file
APEXRETAIL-VND-0081,Salesforce / expansion 41,commerce,,COO,Store Systems and POS,1200000,2026-07-15,,,,high,APX-EVID-001,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,82,tenant_file
APEXRETAIL-VND-0082,Oracle / expansion 42,erp,,Chief Digital Officer,Digital Commerce Engineering,2040000,2026-08-15,,,,low,APX-EVID-002,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,83,tenant_file
APEXRETAIL-VND-0083,Manhattan / expansion 43,supply_chain,,Chief Merchandising Officer,Merchandising and Planning Systems,2880000,2026-09-15,,,,low,APX-EVID-003,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,84,tenant_file
APEXRETAIL-VND-0084,IBM / expansion 44,data_ai,,Chief Supply Chain Officer,Supply Chain Platforms,3720000,2026-10-15,,,,medium,APX-EVID-004,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,85,tenant_file
APEXRETAIL-VND-0085,Toshiba / expansion 45,security,,Chief Marketing Officer,Customer Data and Loyalty Platforms,4560000,2026-11-15,,,,low,APX-EVID-005,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,86,tenant_file
APEXRETAIL-VND-0086,Adobe / expansion 46,services,,CFO,ERP and Corporate Systems,5400000,2026-12-15,,,,high,APX-EVID-006,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,87,tenant_file
APEXRETAIL-VND-0087,Blue Yonder / expansion 47,commerce,,Chief Risk Officer,"Data, Analytics and AI",6240000,2026-07-15,,,,medium,APX-EVID-007,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,88,tenant_file
APEXRETAIL-VND-0088,SAP / expansion 48,erp,,CIO,Cloud Platform and SRE,7080000,2026-08-15,,,,low,APX-EVID-008,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,89,tenant_file
APEXRETAIL-VND-0089,Databricks / expansion 49,supply_chain,,CHRO,Cybersecurity,7920000,2026-09-15,,,,low,APX-EVID-009,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,90,tenant_file
APEXRETAIL-VND-0090,Snowflake / expansion 50,data_ai,,Chief Procurement Officer,Service Management and End User Tech,8760000,2026-10-15,,,,medium,APX-EVID-010,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,91,tenant_file
APEXRETAIL-VND-0091,ServiceNow / expansion 51,security,,Chief Real Estate Officer,Store Systems and POS,9600000,2026-11-15,,,,high,APX-EVID-011,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,92,tenant_file
APEXRETAIL-VND-0092,Microsoft / expansion 52,services,,SVP Private Brands,Digital Commerce Engineering,10440000,2026-12-15,,,,low,APX-EVID-012,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,93,tenant_file
APEXRETAIL-VND-0093,AWS / expansion 53,commerce,,COO,Merchandising and Planning Systems,11280000,2026-07-15,,,,medium,APX-EVID-013,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,94,tenant_file
APEXRETAIL-VND-0094,Google / expansion 54,erp,,Chief Digital Officer,Supply Chain Platforms,12120000,2026-08-15,,,,low,APX-EVID-014,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,95,tenant_file
APEXRETAIL-VND-0095,NVIDIA / expansion 55,supply_chain,,Chief Merchandising Officer,Customer Data and Loyalty Platforms,12960000,2026-09-15,,,,low,APX-EVID-001,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,96,tenant_file
APEXRETAIL-VND-0096,UKG / expansion 56,data_ai,,Chief Supply Chain Officer,ERP and Corporate Systems,13800000,2026-10-15,,,,high,APX-EVID-002,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,97,tenant_file
APEXRETAIL-VND-0097,Workday / expansion 57,security,,Chief Marketing Officer,"Data, Analytics and AI",14640000,2026-11-15,,,,low,APX-EVID-003,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,98,tenant_file
APEXRETAIL-VND-0098,CrowdStrike / expansion 58,services,,CFO,Cloud Platform and SRE,15480000,2026-12-15,,,,low,APX-EVID-004,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,99,tenant_file
APEXRETAIL-VND-0099,Datadog / expansion 59,commerce,,Chief Risk Officer,Cybersecurity,16320000,2026-07-15,,,,medium,APX-EVID-005,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,100,tenant_file
APEXRETAIL-VND-0100,MuleSoft / expansion 60,erp,,CIO,Service Management and End User Tech,17160000,2026-08-15,,,,low,APX-EVID-006,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,101,tenant_file
