system_id,system_name,vendor,version,deployment_model,domain,owner_person_id,annual_cost_usd,renewal_date,business_criticality,technical_debt_rating,data_sensitivity,integration_count,description,scope
system:meridian:vocera,Clinical communications System,Stryker Vocera,2025,SaaS,Clinical communications,person:meridian:jordan-mckenzie,722000,2026-08-08,Critical,Low,Confidential,10,Stryker Vocera platform supporting Clinical communications; scope=provider; generated to enrich graph coverage.,provider
system:meridian:perfectserve,Clinical communications System,PerfectServe,2025,SaaS,Clinical communications,person:meridian:kavita-patel,808000,2026-09-09,Medium,Medium,Confidential,11,PerfectServe platform supporting Clinical communications; scope=provider; generated to enrich graph coverage.,provider
system:meridian:phreesia,Patient access System,Phreesia,2025,Hybrid,Patient access,,894000,2026-10-10,High,Low,Confidential,12,Phreesia platform supporting Patient access; scope=provider; generated to enrich graph coverage.,provider
system:meridian:press-ganey,Patient experience System,Press Ganey,2025,SaaS,Patient experience,person:meridian:vacant-vp-applications,980000,2026-11-11,Medium,Low,Confidential,13,Press Ganey platform supporting Patient experience; scope=provider; generated to enrich graph coverage.,provider
system:meridian:qualtrics,Patient experience System,Qualtrics,2025,SaaS,Patient experience,person:meridian:linda-howard,1066000,2026-12-12,Medium,Low,Confidential,14,Qualtrics platform supporting Patient experience; scope=provider; generated to enrich graph coverage.,provider
system:meridian:symplr-wfm,Workforce System,symplr,2025,Hybrid,Workforce,person:meridian:jordan-mckenzie,1152000,2026-01-13,High,Medium,Confidential,15,symplr platform supporting Workforce; scope=provider; generated to enrich graph coverage.,provider
system:meridian:api-healthcare,Workforce legacy System,symplr,2025,SaaS,Workforce legacy,person:meridian:kavita-patel,1238000,2026-02-14,Medium,Low,Confidential,16,symplr platform supporting Workforce legacy; scope=provider; generated to enrich graph coverage.,provider
system:meridian:smart-square,Scheduling System,AMN Smart Square,2025,SaaS,Scheduling,,1324000,2026-03-15,Critical,Low,Confidential,17,AMN Smart Square platform supporting Scheduling; scope=provider; generated to enrich graph coverage.,provider
system:meridian:lawson-legacy,ERP legacy System,Infor Lawson,legacy,Hybrid,ERP legacy,person:meridian:vacant-vp-applications,1410000,2026-04-16,High,High,Confidential,18,Infor Lawson platform supporting ERP legacy; scope=provider; generated to enrich graph coverage.,provider
system:meridian:ghx,Supply chain System,GHX,2025,SaaS,Supply chain,person:meridian:linda-howard,1496000,2026-05-17,Medium,Medium,Confidential,19,GHX platform supporting Supply chain; scope=provider; generated to enrich graph coverage.,provider
system:meridian:mirth,Integration System,NextGen Mirth,2025,SaaS,Integration,person:meridian:jordan-mckenzie,1582000,,Medium,Low,Confidential,20,NextGen Mirth platform supporting Integration; scope=shared; generated to enrich graph coverage.,shared
system:meridian:rhapsody,Integration System,Rhapsody,2025,Hybrid,Integration,person:meridian:kavita-patel,1668000,2026-07-19,High,Low,Confidential,21,Rhapsody platform supporting Integration; scope=shared; generated to enrich graph coverage.,shared
system:meridian:carequality,HIE System,Carequality,2025,SaaS,HIE,,1754000,2026-08-20,Medium,Low,Confidential,22,Carequality platform supporting HIE; scope=provider; generated to enrich graph coverage.,provider
system:meridian:commonwell,HIE System,CommonWell,2025,SaaS,HIE,person:meridian:vacant-vp-applications,1840000,2026-09-21,Medium,Medium,Confidential,23,CommonWell platform supporting HIE; scope=provider; generated to enrich graph coverage.,provider
system:meridian:doxyme,Telehealth legacy System,Doxy.me,2025,Hybrid,Telehealth legacy,person:meridian:linda-howard,1926000,2026-10-22,Critical,Low,Confidential,24,Doxy.me platform supporting Telehealth legacy; scope=provider; generated to enrich graph coverage.,provider
system:meridian:tableau,BI System,Tableau,2025,SaaS,BI,person:meridian:jordan-mckenzie,2012000,2026-11-23,Medium,Low,Confidential,25,Tableau platform supporting BI; scope=shared; generated to enrich graph coverage.,shared
system:meridian:powerbi,BI System,Microsoft,2025,SaaS,BI,person:meridian:kavita-patel,2098000,2026-12-24,Medium,Low,Confidential,26,Microsoft platform supporting BI; scope=shared; generated to enrich graph coverage.,shared
system:meridian:quest-network,Network adequacy System,Quest Analytics,2025,Hybrid,Network adequacy,,2184000,2026-01-25,High,Medium,Confidential,27,Quest Analytics platform supporting Network adequacy; scope=plan; generated to enrich graph coverage.,plan
system:meridian:episource-hcc,Risk adjustment System,Episource,2025,SaaS,Risk adjustment,person:meridian:vacant-vp-applications,2270000,2026-02-01,Medium,Low,Confidential,28,Episource platform supporting Risk adjustment; scope=plan; generated to enrich graph coverage.,plan
system:meridian:inovalon-stars,STAR quality System,Inovalon,2025,SaaS,STAR quality,person:meridian:linda-howard,2356000,2026-03-02,Medium,Low,Confidential,29,Inovalon platform supporting STAR quality; scope=plan; generated to enrich graph coverage.,plan
system:meridian:cotiviti-hedis,HEDIS System,Cotiviti,2025,Hybrid,HEDIS,person:meridian:jordan-mckenzie,2442000,2026-04-03,High,Low,Confidential,30,Cotiviti platform supporting HEDIS; scope=plan; generated to enrich graph coverage.,plan
system:meridian:symplr-provider,Provider data System,symplr,2025,SaaS,Provider data,person:meridian:kavita-patel,2528000,2026-05-04,Critical,Medium,Confidential,31,symplr platform supporting Provider data; scope=provider; generated to enrich graph coverage.,provider
system:meridian:sailpoint,IGA System,SailPoint,2025,SaaS,IGA,,2614000,2026-06-05,Medium,Low,Confidential,3,SailPoint platform supporting IGA; scope=provider; generated to enrich graph coverage.,provider
system:meridian:crowdstrike,EDR System,CrowdStrike,2025,Hybrid,EDR,person:meridian:vacant-vp-applications,2700000,2026-07-06,High,Low,Confidential,4,CrowdStrike platform supporting EDR; scope=provider; generated to enrich graph coverage.,provider
system:meridian:paloalto-ngfw,Firewall System,Palo Alto,2025,SaaS,Firewall,person:meridian:linda-howard,2786000,2026-08-07,Medium,Low,Confidential,5,Palo Alto platform supporting Firewall; scope=provider; generated to enrich graph coverage.,provider
system:meridian:proofpoint,Email security System,Proofpoint,2025,SaaS,Email security,person:meridian:jordan-mckenzie,2872000,2026-09-08,Medium,Medium,Confidential,6,Proofpoint platform supporting Email security; scope=provider; generated to enrich graph coverage.,provider
system:meridian:sentinel-siem,SIEM System,Microsoft Sentinel,2025,Hybrid,SIEM,person:meridian:kavita-patel,2958000,2026-10-09,High,Low,Confidential,7,Microsoft Sentinel platform supporting SIEM; scope=provider; generated to enrich graph coverage.,provider
system:meridian:mulesoft,Integration System,Salesforce MuleSoft,2025,SaaS,Integration,,3044000,,Medium,Low,Confidential,8,Salesforce MuleSoft platform supporting Integration; scope=shared; generated to enrich graph coverage.,shared
system:meridian:snaplogic,Integration System,SnapLogic,2025,SaaS,Integration,person:meridian:vacant-vp-applications,3130000,2026-12-11,Critical,Low,Confidential,9,SnapLogic platform supporting Integration; scope=shared; generated to enrich graph coverage.,shared
system:meridian:dbt,Data transformation System,dbt Labs,2025,Hybrid,Data transformation,person:meridian:linda-howard,3216000,2026-01-12,High,Medium,Confidential,10,dbt Labs platform supporting Data transformation; scope=shared; generated to enrich graph coverage.,shared
system:meridian:notable-rcm,RCM candidate System,Notable,2025,SaaS,RCM candidate,person:meridian:jordan-mckenzie,3302000,2026-02-13,Medium,Low,Restricted,11,Notable platform supporting RCM candidate; scope=shared; generated to enrich graph coverage.,shared
system:meridian:olive-rcm,RCM candidate System,Olive AI / successor assets,2025,SaaS,RCM candidate,person:meridian:kavita-patel,3388000,2026-03-14,Medium,Low,Restricted,12,Olive AI / successor assets platform supporting RCM candidate; scope=shared; generated to enrich graph coverage.,shared
system:meridian:abridge,Ambient documentation System,Abridge,2025,Hybrid,Ambient documentation,,3474000,2026-04-15,High,Low,Restricted,13,Abridge platform supporting Ambient documentation; scope=shared; generated to enrich graph coverage.,shared
system:meridian:suki,Ambient documentation System,Suki,2025,SaaS,Ambient documentation,person:meridian:vacant-vp-applications,3560000,2026-05-16,Medium,Medium,Restricted,14,Suki platform supporting Ambient documentation; scope=shared; generated to enrich graph coverage.,shared
system:meridian:dax-copilot,Ambient documentation System,Microsoft Nuance,2025,SaaS,Ambient documentation,person:meridian:linda-howard,3646000,2026-06-17,Medium,Low,Restricted,15,Microsoft Nuance platform supporting Ambient documentation; scope=shared; generated to enrich graph coverage.,shared
system:meridian:dept-app-01,Departmental Application 01,RLDatix,varies,Hosted,Claims ops,person:meridian:harold-kim,111000,2027-02-15,Medium,Low,Confidential,1,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-02,Departmental Application 02,Elsevier,varies,On-prem,Quality abstraction,person:meridian:anita-krishnamurthy,132000,2027-03-15,Medium,Low,Confidential,2,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-03,Departmental Application 03,3M,varies,SaaS,Coding,person:meridian:david-park,153000,2027-04-15,Medium,Low,Confidential,3,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-04,Departmental Application 04,Oracle,varies,Hosted,Facilities,person:meridian:marcus-reid,174000,2027-05-15,Medium,Low,Confidential,4,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-05,Departmental Application 05,UKG,varies,On-prem,Scheduling,person:meridian:jennifer-wexler,195000,2027-06-15,Medium,Medium,Confidential,5,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-06,Departmental Application 06,HealthStream,varies,SaaS,Nursing education,person:meridian:sarah-obrien,216000,2027-07-15,Medium,Low,Confidential,6,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-07,Departmental Application 07,RLDatix,varies,Hosted,Claims ops,person:meridian:rebecca-hollings,237000,2027-08-15,Medium,Low,Confidential,7,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-08,Departmental Application 08,Elsevier,varies,On-prem,Quality abstraction,person:meridian:james-okonjo,258000,2027-09-15,Medium,Low,Confidential,8,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-09,Departmental Application 09,3M,varies,SaaS,Coding,person:meridian:patricia-okafor,279000,2027-10-15,Medium,Low,Confidential,9,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-10,Departmental Application 10,Oracle,varies,Hosted,Facilities,person:meridian:margaret-liu,300000,2027-11-15,Medium,Medium,Confidential,10,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-11,Departmental Application 11,UKG,varies,On-prem,Scheduling,,321000,2027-12-15,Medium,Low,Confidential,11,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-12,Departmental Application 12,HealthStream,varies,SaaS,Nursing education,person:meridian:robert-chen,342000,2027-01-15,Medium,Low,Confidential,12,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-13,Departmental Application 13,RLDatix,varies,Hosted,Claims ops,person:meridian:thomas-hartwell,363000,2027-02-15,Medium,High,Confidential,13,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-14,Departmental Application 14,Elsevier,varies,On-prem,Quality abstraction,person:meridian:lakshmi-venkatesan,384000,2027-03-15,Medium,Low,Confidential,14,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-15,Departmental Application 15,3M,varies,SaaS,Coding,person:meridian:andrew-fitzgerald,405000,2027-04-15,Medium,Medium,Confidential,0,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-16,Departmental Application 16,Oracle,varies,Hosted,Facilities,person:meridian:priya-sharma,426000,2027-05-15,Medium,Low,Confidential,1,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-17,Departmental Application 17,UKG,varies,On-prem,Scheduling,person:meridian:christopher-vega,447000,2027-06-15,Medium,Low,Confidential,2,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-18,Departmental Application 18,HealthStream,varies,SaaS,Nursing education,person:meridian:kavita-patel,468000,2027-07-15,Medium,Low,Confidential,3,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-19,Departmental Application 19,RLDatix,varies,Hosted,Claims ops,person:meridian:marcus-chen,489000,TBD,Medium,Low,Confidential,4,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-20,Departmental Application 20,Elsevier,varies,On-prem,Quality abstraction,person:meridian:linda-howard,510000,2027-09-15,Medium,Medium,Confidential,5,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-21,Departmental Application 21,3M,varies,SaaS,Coding,person:meridian:wei-zhang,531000,2027-10-15,Medium,Low,Confidential,6,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-22,Departmental Application 22,Oracle,varies,Hosted,Facilities,,552000,2027-11-15,Medium,Low,Confidential,7,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-23,Departmental Application 23,UKG,varies,On-prem,Scheduling,person:meridian:jordan-mckenzie,573000,2027-12-15,Medium,Low,Confidential,8,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-24,Departmental Application 24,HealthStream,varies,SaaS,Nursing education,person:meridian:vacant-vp-applications,594000,2027-01-15,Medium,Low,Confidential,9,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-25,Departmental Application 25,RLDatix,varies,Hosted,Claims ops,person:meridian:jessica-toth,615000,2027-02-15,Medium,Medium,Confidential,10,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-26,Departmental Application 26,Elsevier,varies,On-prem,Quality abstraction,person:meridian:brian-sullivan,636000,2027-03-15,Medium,High,Confidential,11,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-27,Departmental Application 27,3M,varies,SaaS,Coding,person:meridian:david-henderson,657000,2027-04-15,Medium,Low,Confidential,12,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-28,Departmental Application 28,Oracle,varies,Hosted,Facilities,person:meridian:maya-ramos,678000,2027-05-15,Medium,Low,Confidential,13,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-29,Departmental Application 29,UKG,varies,On-prem,Scheduling,person:meridian:owen-li,699000,2027-06-15,Medium,Low,Confidential,14,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-30,Departmental Application 30,HealthStream,varies,SaaS,Nursing education,person:meridian:natalie-greer,720000,2027-07-15,Medium,Medium,Confidential,0,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-31,Departmental Application 31,RLDatix,varies,Hosted,Claims ops,person:meridian:samuel-ito,741000,2027-08-15,Medium,Low,Confidential,1,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-32,Departmental Application 32,Elsevier,varies,On-prem,Quality abstraction,person:meridian:leah-benitez,762000,2027-09-15,Medium,Low,Confidential,2,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-33,Departmental Application 33,3M,varies,SaaS,Coding,,783000,2027-10-15,Medium,Low,Confidential,3,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-34,Departmental Application 34,Oracle,varies,Hosted,Facilities,person:meridian:elaine-morales,804000,2027-11-15,Medium,Low,Confidential,4,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-35,Departmental Application 35,UKG,varies,On-prem,Scheduling,person:meridian:harold-kim,825000,2027-12-15,Medium,Medium,Confidential,5,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-36,Departmental Application 36,HealthStream,varies,SaaS,Nursing education,person:meridian:anita-krishnamurthy,846000,2027-01-15,Medium,Low,Confidential,6,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-37,Departmental Application 37,RLDatix,varies,Hosted,Claims ops,person:meridian:david-park,867000,2027-02-15,Medium,Low,Confidential,7,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-38,Departmental Application 38,Elsevier,varies,On-prem,Quality abstraction,person:meridian:marcus-reid,888000,TBD,Medium,Low,Confidential,8,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-39,Departmental Application 39,3M,varies,SaaS,Coding,person:meridian:jennifer-wexler,909000,2027-04-15,Medium,High,Confidential,9,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-40,Departmental Application 40,Oracle,varies,Hosted,Facilities,person:meridian:sarah-obrien,930000,2027-05-15,Medium,Medium,Confidential,10,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-41,Departmental Application 41,UKG,varies,On-prem,Scheduling,person:meridian:rebecca-hollings,951000,2027-06-15,Medium,Low,Confidential,11,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-42,Departmental Application 42,HealthStream,varies,SaaS,Nursing education,person:meridian:james-okonjo,972000,2027-07-15,Medium,Low,Confidential,12,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-43,Departmental Application 43,RLDatix,varies,Hosted,Claims ops,person:meridian:patricia-okafor,993000,2027-08-15,Medium,Low,Confidential,13,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-44,Departmental Application 44,Elsevier,varies,On-prem,Quality abstraction,,1014000,2027-09-15,Medium,Low,Confidential,14,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-45,Departmental Application 45,3M,varies,SaaS,Coding,person:meridian:karen-mercer,1035000,2027-10-15,Medium,Medium,Confidential,0,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
system:meridian:dept-app-46,Departmental Application 46,Oracle,varies,Hosted,Facilities,person:meridian:robert-chen,1056000,2027-11-15,Medium,Low,Confidential,1,Long-tail departmental system included to make application ownership and renewal graph realistic.,plan
system:meridian:dept-app-47,Departmental Application 47,UKG,varies,On-prem,Scheduling,person:meridian:thomas-hartwell,1077000,2027-12-15,Medium,Low,Confidential,2,Long-tail departmental system included to make application ownership and renewal graph realistic.,shared
system:meridian:dept-app-48,Departmental Application 48,HealthStream,varies,SaaS,Nursing education,person:meridian:lakshmi-venkatesan,1098000,2027-01-15,Medium,Low,Confidential,3,Long-tail departmental system included to make application ownership and renewal graph realistic.,provider
