audit_date,module,schema_table,object_kind,business_purpose,system_of_record,tenant_isolation,primary_business_keys,main_relationships,state_model,temporal_support,evidence_lineage,data_quality,current_consumers,metrics_produced,canonical_equivalent,future_classification,classification_rationale,migration_complexity,cutover_requirement,source_files,parsed_columns_sample,code_reference_count,confidence
2026-07-27,Moves,public.program_evidence_reviews,table,Persisted module object requiring owner review.,Domain workflow system of record,RLS/policy marker observed (tenant_key; submitted_by_user_id; reviewed_by_user_id),id,id; tenant_key; program_id; evidence_id; family_key; archetype_id; submitted_by_user_id; reviewed_by_user_id,phase,created_at; updated_at,evidence_id; source_ref,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",scripts/audit/moves-evidence-lifecycle.mjs,,knowledge.program,retain_operational,"Workflow, review, template, or draft state remains domain-owned unless it emits accepted/published facts.",Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260610120000_program_evidence_reviews.sql,id; tenant_key; program_id; evidence_id; family_key; archetype_id; phase; decision; auto_promoted; rationale; source_ref; submitted_by_user_id; reviewed_by_user_id; reviewed_at; created_at; updated_at,1,high: migration DDL parsed
2026-07-27,Source,public.ai_control_sources,table,Risk/control governance or monitoring substrate.,Domain workflow system of record,RLS/policy marker observed (client_id),id,id; client_id; refresh_run_id; source_key,refresh_status,period_end; created_at; updated_at,source_key; source_type; source_system; source_name; source_fingerprint,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,knowledge.risk_control,retain_operational,"Tower source-run metadata should remain a domain registry, not canonical business truth.",Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260616170000_ai_control_tower_substrate.sql; supabase/migrations/20260722220000_ai_control_substrate_drift_repair.sql,id; client_id; refresh_run_id; source_key; source_type; source_system; source_name; owner_role; cadence; data_class; period_end; refresh_status; source_fingerprint; payload; created_at; updated_at,0,high: migration DDL parsed
2026-07-27,Source,public.data_inventory_records,table,Persisted module object requiring owner review.,Domain workflow system of record,RLS/policy marker observed (client_id; tenant_key),"id,segment_id",id; client_id; tenant_key; segment_id; record_id,freshness_state; ingestion_status,created_at; updated_at,source_doc; source_path; source_basis; confidence,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",src/lib/source/adapters/apex-retail-adapter.ts,,to_be_mapped,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260430121500_apex_setup_data_layer.sql; supabase/migrations/20260609165000_data_inventory_records_compatibility.sql,id; client_id; tenant_key; segment_id; record_id; title; record_kind; source_doc; source_path; source_basis; uploaded_by; uploaded_at; data_classification; confidence; last_reviewed; freshness_state; ingestion_status; indexed_at; record_text; record_payload; created_at; updated_at,1,high: migration DDL parsed
2026-07-27,Source,public.data_sources,table,Persisted module object requiring owner review.,Domain workflow system of record,RLS/policy marker observed (client_id),id,id; client_id,Not explicit in parsed columns,created_at,source_type,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,to_be_mapped,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/029_cross_industry_core.sql,id; client_id; name; source_type; storage_platform; size_tb; record_count_millions; refresh_frequency; quality_score; governance_level; data_classes; ai_ready; is_demo_data; created_at,0,high: migration DDL parsed
2026-07-27,Source,public.enterprise_context_chunks,table,Persisted module object requiring owner review.,Domain workflow system of record,RLS/policy marker observed (client_id; tenant_key),id,id; client_id; tenant_key; chunk_id; source_segment_id; source_record_id,embedding_status,created_at; updated_at,source_segment_id; source_record_id; source_doc; source_path; provenance,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",scripts/audit/demo-question-readiness.mjs; src/lib/source/adapters/apex-retail-adapter.ts,,to_be_mapped,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260430121500_apex_setup_data_layer.sql,id; client_id; tenant_key; chunk_id; source_segment_id; source_record_id; source_doc; source_path; chunk_index; chunk_text; token_count; embedding_status; embedding_model; embedded_at; provenance; chunk_metadata; created_at; updated_at,2,high: migration DDL parsed
2026-07-27,Source,public.enterprise_context_source_files,table,Persisted module object requiring owner review.,Domain workflow system of record,tenant/user column observed (client_id; tenant_key),id,id; client_id; tenant_key; source_id; source_file_id,freshness_status,last_validated_at; created_at; updated_at,source_id; source_file_id; source_system; source_file; source_path; confidence; evidence_pointer,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,to_be_mapped,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260514100000_enterprise_context_layer.sql,id; client_id; tenant_key; source_id; source_file_id; source_system; source_file; source_path; workbook_name; sheet_names; file_hash; row_count; imported_by; last_synced_at; last_validated_at; confidence; freshness_status; evidence_pointer; metadata; created_at; updated_at,0,high: migration DDL parsed
2026-07-27,Source,public.enterprise_context_sources,table,Persisted module object requiring owner review.,Domain workflow system of record,tenant/user column observed (client_id; tenant_key; tenant_aliases),id,id; client_id; tenant_key; source_key,source_status; freshness_status,last_validated_at; created_at; updated_at,source_system; source_key; source_type; source_owner; source_status; confidence; evidence_pointer,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,to_be_mapped,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260514100000_enterprise_context_layer.sql,id; client_id; tenant_key; source_system; source_key; source_type; display_name; system_of_record; source_owner; steward_owner; sync_cadence; tenant_aliases; source_status; last_synced_at; last_validated_at; confidence; freshness_status; evidence_pointer; metadata; created_at; updated_at,0,high: migration DDL parsed
2026-07-27,Source,public.evidence,table,Persisted module object requiring owner review.,Candidate/domain-derived; not canonical until promoted,RLS/policy marker observed (client_id),id,id; client_id; source_id; related_entity_id; reasoning_scope_id; disclosure_scope_id,Not explicit in parsed columns,as_of_date; created_at; updated_at,source_id; evidence_type; confidence_level; evidence_payload,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",scripts/audit/build-data-intelligence-redesign-report.mjs; scripts/audit/meridian-data-state-reconciliation.mjs; scripts/tower/tower-data-trust-gate.mjs; src/lib/source/__tests__/gate-auto-assessment.test.ts; src/lib/source/agent-generation/prompt-registry.ts; src/lib/source/archetypes/registry.ts; src/lib/source/gate-auto-assessment-persist.ts; src/lib/source/gate-auto-assessment.ts,,knowledge.evidence,promote_link_canonical_knowledge,"Evidence-bearing object can link to canonical evidence after tenant, provenance, and review-state checks.",High,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,supabase/migrations/20260421152501_intelligence_layer_core.sql,id; client_id; source_id; title; summary; evidence_type; related_entity_type; related_entity_id; observed_at; methodology_notes; reasoning_scope_id; disclosure_scope_id; as_of_date; confidence_level; last_verified_at; evidence_payload; created_at; updated_at,13,high: migration DDL parsed
2026-07-27,Source,public.external_sources,table,Persisted module object requiring owner review.,Domain workflow system of record,RLS/policy marker observed (client_id),id,id; client_id; source_id,Not explicit in parsed columns,as_of_date; created_at; updated_at,source_tier; source_type; source_url; source_id; confidence_level,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,to_be_mapped,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260421152501_intelligence_layer_core.sql,id; client_id; name; description; source_tier; source_type; publisher; source_url; geography_scope; topic_scope; source_id; as_of_date; confidence_level; last_verified_at; metadata; created_at; updated_at,0,high: migration DDL parsed
2026-07-27,Source,public.home_knowledge_evidence_sources,table,Persisted module object requiring owner review.,Candidate/domain-derived; not canonical until promoted,tenant/user column observed (tenant_key),id,id; pack_id; tenant_key; source_id,source_status,source_date; created_at,source_id; source_name; source_date; source_owner; source_status; lineage; source_payload,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,knowledge.evidence,promote_link_canonical_knowledge,"Evidence-bearing object can link to canonical evidence after tenant, provenance, and review-state checks.",Medium,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,supabase/migrations/20260721183000_home_knowledge_pack_v2.sql,id; pack_id; tenant_key; source_id; source_name; file_name; file_type; storage_uri; byte_size; row_count; loaded_by; loaded_at; source_date; source_owner; source_status; parsed_into_dimensions; lineage; known_gaps; source_payload; created_at,0,high: migration DDL parsed
2026-07-27,Source,public.knowledge_sources,table,Persisted module object requiring owner review.,Domain workflow system of record,RLS/policy marker observed (policy only),id,id; source_key,published_at; status,created_at; updated_at,source_key; source_url,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,to_be_mapped,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/024_knowledge_sources.sql,id; source_key; title; publisher; publisher_url; source_url; content_type; license_class; license_notes; industry_tags; topic_tags; published_at; half_life_days; chunk_count; pinecone_namespace; last_ingested_at; last_refresh_check_at; content_hash; status; ingestion_notes; created_at; updated_at,0,high: migration DDL parsed
2026-07-27,Source,public.person_client_memberships,table,Persisted module object requiring owner review.,Domain workflow system of record,RLS/policy marker observed (client_id),id,id; person_id; client_id,Not explicit in parsed columns,created_at,No parsed lineage fields; inspect write path before promotion,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",scripts/source/load-skyharbor-contract-optimization.ts,,governance.tenant,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/035_user_roles.sql,id; person_id; client_id; role; created_at,1,high: migration DDL parsed
2026-07-27,Source,public.persons,table,Persisted module object requiring owner review.,Domain workflow system of record,RLS/policy marker observed (organization),id,id; graph_node_id,Not explicit in parsed columns,created_at; updated_at,No parsed lineage fields; inspect write path before promotion,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",scripts/source/load-skyharbor-contract-optimization.ts,,to_be_mapped,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/013_engagement_state.sql,id; graph_node_id; name; email; role; organization; familiarity; communication_style; working_rhythm; personal_threads; created_at; updated_at; last_seen_at,1,high: migration DDL parsed
2026-07-27,Source,public.source_artifact_acceptances,table,Generated or reviewed deliverable/artifact persistence.,Domain workflow system of record,RLS/policy marker observed (policy only),id,id; artifact_id; event_id; stage_key; authoritative_version_id,stage_key; artifact_state; content_drift_status; gate_precondition_status; approval_rationale,authoritative_version_id; created_at,artifact_id; artifact_state; artifact_role,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",src/lib/source/artifact-acceptances.ts,,knowledge.evidence_acceptance,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260722150000_source_artifact_acceptances.sql,id; artifact_id; event_id; stage_key; artifact_state; authoritative_version_id; artifact_role; content_drift_status; gate_precondition_status; downstream_context_policy; diff_summary; approval_rationale; accepted_by; accepted_at; created_at,1,high: migration DDL parsed
2026-07-27,Source,public.source_artifact_chunks,table,Generated or reviewed deliverable/artifact persistence.,Candidate/domain-derived; not canonical until promoted,RLS/policy marker observed (tenant_key),id,id; artifact_id; tenant_key; source_event_id; chunk_id,embedding_status,created_at,artifact_id; source_event_id; provenance; confidence,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",src/app/api/v1/source/[eventId]/nexus/ask/route.ts; src/lib/source/agent-generation/context-binder.ts; src/lib/source/artifact-registry/text-parser.ts,,knowledge.evidence_chunk,promote_link_canonical_knowledge,"Evidence chunks can link to canonical evidence/corpus records after provenance, citation, and retrieval checks.",High,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,supabase/migrations/20260430220000_source_artifact_registry.sql,id; artifact_id; tenant_key; source_event_id; chunk_id; chunk_text; chunk_kind; provenance; confidence; embedding_status; created_at,3,high: migration DDL parsed
2026-07-27,Source,public.source_artifact_facts,table,Generated or reviewed deliverable/artifact persistence.,Candidate/domain-derived; not canonical until promoted,RLS/policy marker observed (tenant_key),id,id; artifact_id; tenant_key; source_event_id; fact_key,validation_status,created_at,artifact_id; source_event_id; provenance; confidence,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",src/app/api/v1/source/[eventId]/nexus/ask/route.ts; src/lib/source/agent-generation/context-binder.ts; src/lib/source/artifact-registry/text-parser.ts,,knowledge.fact,promote_link_canonical_knowledge,"Contains enterprise-meaningful accepted, factual, commercial, metric, risk, or control data that should link through canonical IDs after review.",High,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,supabase/migrations/20260430220000_source_artifact_registry.sql,id; artifact_id; tenant_key; source_event_id; fact_type; fact_key; fact_value; provenance; confidence; validation_status; created_at,3,high: migration DDL parsed
2026-07-27,Source,public.source_artifact_generation_jobs,table,Generated or reviewed deliverable/artifact persistence.,Candidate/domain-derived; not canonical until promoted,RLS/policy marker observed (client_key; requested_by_user_id),id,id; client_key; source_event_id; artifact_row_id; stage_key; requested_by_user_id,stage_key; status,created_at; updated_at,source_event_id; artifact_row_id; artifact_code,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",scripts/qa/lakeshore-ams-artifact-audit.mjs; src/lib/source/artifact-generation-queue.ts,,knowledge.evidence,archive,Audit/history object should be retained but not promoted as enterprise truth.,Low,Archive-only; no runtime cutover.,supabase/migrations/20260616234000_source_artifact_generation_jobs.sql,id; client_key; source_event_id; artifact_row_id; artifact_code; stage_key; status; quality_tier; requested_via; requested_by_user_id; attempt_count; max_attempts; locked_by; locked_at; started_at; completed_at; last_error; result_metadata; created_at; updated_at,2,high: migration DDL parsed
2026-07-27,Source,public.source_artifacts,table,Generated or reviewed deliverable/artifact persistence.,Domain workflow system of record,RLS/policy marker observed (tenant_key; uploader_user_id; client_id; client_complete_items),id,id; tenant_key; source_event_id; source_event_row_id; stage_key; uploader_user_id; supersedes_artifact_version_id; client_id; source_register_id; context_bundle_trace_id; maestro_override_id; supersedes_artifact_id; superseded_by_artifact_id,stage_key; parse_status; embedding_status; graph_status; classification_status; evidence_state; approval_state; sourcing_stage; status; superseded_by_artifact_id; lifecycle_state,version; supersedes_artifact_version_id; validated_by; created_at; updated_at,source_event_id; source_event_row_id; artifact_family; artifact_kind; source_origin; source_format; evidence_state; supersedes_artifact_version_id; artifact_group; artifact_type; source_basis; confidence; citation_ready; evidence_families_used; source_register_id; supersedes_artifact_id; superseded_by_artifact_id,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",scripts/audit/knowledge-layer-inventory.sql; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/accept/route.ts; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/client-final/route.ts; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/render/route.ts; src/app/api/v1/source/[eventId]/nexus/ask/route.ts; src/lib/source/agent-generation/context-binder.ts; src/lib/source/artifact-registry/index.ts; src/lib/source/contracts/upstream-satisfaction.ts,,knowledge.evidence,retain_operational,Source owns uploaded/generated artifact lifecycle; extracted facts/evidence publish separately.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260430220000_source_artifact_registry.sql; supabase/migrations/20260610203000_source_artifacts.sql,id; tenant_key; source_event_id; source_event_row_id; stage_key; artifact_family; artifact_kind; source_origin; source_format; original_name; blob_uri; uploader_user_id; mime_type; size_bytes; sha256; parse_status; embedding_status; graph_status; classification_status; data_classification; evidence_state; approval_state; version; supersedes_artifact_version_id,10,high: migration DDL parsed
2026-07-27,Source,public.source_commercial_exceptions,table,Persisted module object requiring owner review.,Domain workflow system of record,RLS/policy marker observed (tenant_key),id,id; artifact_id; tenant_key; source_event_id; vendor_id,status,created_at,artifact_id; source_event_id; provenance; confidence,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,to_be_mapped,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260430220000_source_artifact_registry.sql,id; artifact_id; tenant_key; source_event_id; vendor_id; exception_type; severity; description; recommendation; provenance; status; confidence; created_at,0,high: migration DDL parsed
2026-07-27,Source,public.source_context_receipts,table,Persisted module object requiring owner review.,Domain workflow system of record,RLS/policy marker observed (tenant_key),id,id; tenant_key; source_event_id; turn_id,Not explicit in parsed columns,created_at,source_event_id; used_artifact_ids,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,to_be_mapped,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260430220000_source_artifact_registry.sql,id; tenant_key; source_event_id; turn_id; agent_name; question; used_artifact_ids; used_chunk_ids; used_fact_ids; used_graph_edge_ids; used_pattern_ids; created_at,0,high: migration DDL parsed
2026-07-27,Source,public.source_contract_evidence_manifests,table,"Vendor, contract, or commercial-evidence substrate.",Candidate/domain-derived; not canonical until promoted,RLS/policy marker observed (tenant_key),id,id; tenant_key; source_event_id; source_artifact_id; archetype_key; upload_batch_id,validation_status,created_at; updated_at,source_event_id; source_artifact_id; evidence_pack_name; source_type,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",src/lib/source/contract-evidence/persistence.ts; src/lib/source/contract-evidence/read-model.ts,,knowledge.contract,promote_link_canonical_knowledge,"Contains enterprise-meaningful accepted, factual, commercial, metric, risk, or control data that should link through canonical IDs after review.",High,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,supabase/migrations/20260704193000_source_contract_evidence_persistence.sql,id; tenant_key; source_event_id; source_artifact_id; archetype_key; evidence_pack_name; upload_batch_id; source_type; validation_status; row_count; required_family_count; covered_required_family_count; missing_required_families; warnings; metadata; created_at; updated_at,2,high: migration DDL parsed
2026-07-27,Source,public.source_contract_evidence_metrics,table,"Metric, KPI, value, or outcome measurement substrate.",Candidate/domain-derived; not canonical until promoted,RLS/policy marker observed (tenant_key),id,id; manifest_id; tenant_key; source_event_id; archetype_key; metric_key,validation_status,created_at,source_event_id; evidence_family; confidence,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",src/lib/source/contract-evidence/persistence.ts; src/lib/source/contract-evidence/read-model.ts,Metric/value/cost family candidate,knowledge.contract,promote_link_canonical_knowledge,"Contains enterprise-meaningful accepted, factual, commercial, metric, risk, or control data that should link through canonical IDs after review.",High,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,supabase/migrations/20260704193000_source_contract_evidence_persistence.sql,id; manifest_id; tenant_key; source_event_id; archetype_key; metric_key; metric_label; metric_value; unit; evidence_family; basis; confidence; validation_status; created_at,2,high: migration DDL parsed
2026-07-27,Source,public.source_contract_evidence_rows,table,"Vendor, contract, or commercial-evidence substrate.",Candidate/domain-derived; not canonical until promoted,RLS/policy marker observed (tenant_key),id,id; manifest_id; tenant_key; source_event_id; source_artifact_id; archetype_key,validation_status,period_start; period_end; created_at,source_event_id; source_artifact_id; evidence_family; source_sheet; source_row_number; confidence,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",src/lib/source/contract-evidence/persistence.ts; src/lib/source/contract-evidence/read-model.ts,,knowledge.contract,promote_link_canonical_knowledge,"Contains enterprise-meaningful accepted, factual, commercial, metric, risk, or control data that should link through canonical IDs after review.",High,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,supabase/migrations/20260704193000_source_contract_evidence_persistence.sql,id; manifest_id; tenant_key; source_event_id; source_artifact_id; archetype_key; evidence_family; source_sheet; source_row_number; row_hash; row_payload; normalized_subject; period_start; period_end; amount_usd; confidence; validation_status; created_at,2,high: migration DDL parsed
