erp_object_id,platform,process_area,owner_role,business_unit_id,customization_count,tsa_dependency,retirement_posture
NST-ERP-084,Infor LN,Finance close,Process Owner 0,BU-AWC,0,false,tolerate
NST-ERP-085,Dynamics AX,Manufacturing,,BU-DENTAL,4,false,migrate
NST-ERP-086,AS/400 RPG,Order management,Process Owner 2,BU-HIS,8,false,tolerate
NST-ERP-087,Mainframe batch,Rebates,Process Owner 3,BU-STERILE,12,false,tolerate
NST-ERP-088,SAP ECC 6.0,Quality release,Process Owner 4,BU-MONITOR,16,true,tolerate
NST-ERP-089,SAP S/4HANA pilot,Procurement,Process Owner 5,BU-FILTER,20,false,tolerate
NST-ERP-090,Oracle EBS,Distributor pricing,Process Owner 6,BU-AWC,84,false,migrate
NST-ERP-091,JD Edwards,Finance close,Process Owner 7,BU-DENTAL,28,false,retire
NST-ERP-092,Infor LN,Manufacturing,Process Owner 8,BU-HIS,32,false,tolerate
NST-ERP-093,Dynamics AX,Order management,Process Owner 9,BU-STERILE,36,false,tolerate
NST-ERP-094,AS/400 RPG,Rebates,Process Owner 10,BU-MONITOR,40,false,tolerate
NST-ERP-095,Mainframe batch,Quality release,Process Owner 11,BU-FILTER,44,false,migrate
NST-ERP-096,SAP ECC 6.0,Procurement,Process Owner 12,BU-AWC,0,false,tolerate
NST-ERP-097,SAP S/4HANA pilot,Distributor pricing,Process Owner 13,BU-DENTAL,4,false,tolerate
NST-ERP-098,Oracle EBS,Finance close,Process Owner 14,BU-HIS,8,false,tolerate
NST-ERP-099,JD Edwards,Manufacturing,Process Owner 15,BU-STERILE,84,true,tolerate
NST-ERP-100,Infor LN,Order management,Process Owner 16,BU-MONITOR,16,false,migrate
NST-ERP-101,Dynamics AX,Rebates,Process Owner 17,BU-FILTER,20,false,tolerate
NST-ERP-102,AS/400 RPG,Quality release,,BU-AWC,24,false,tolerate
NST-ERP-103,Mainframe batch,Procurement,Process Owner 19,BU-DENTAL,28,false,tolerate
NST-ERP-104,SAP ECC 6.0,Distributor pricing,Process Owner 20,BU-HIS,32,false,retire
NST-ERP-105,SAP S/4HANA pilot,Finance close,Process Owner 21,BU-STERILE,36,false,migrate
NST-ERP-106,Oracle EBS,Manufacturing,Process Owner 22,BU-MONITOR,40,false,tolerate
NST-ERP-107,JD Edwards,Order management,Process Owner 23,BU-FILTER,44,false,tolerate
NST-ERP-108,Infor LN,Rebates,Process Owner 24,BU-AWC,84,false,tolerate
NST-ERP-109,Dynamics AX,Quality release,Process Owner 25,BU-DENTAL,4,false,tolerate
NST-ERP-110,AS/400 RPG,Procurement,Process Owner 26,BU-HIS,8,true,migrate
NST-ERP-111,Mainframe batch,Distributor pricing,Process Owner 27,BU-STERILE,12,false,tolerate
NST-ERP-112,SAP ECC 6.0,Finance close,Process Owner 0,BU-MONITOR,16,false,tolerate
NST-ERP-113,SAP S/4HANA pilot,Manufacturing,Process Owner 1,BU-FILTER,20,false,tolerate
NST-ERP-114,Oracle EBS,Order management,Process Owner 2,BU-AWC,24,false,tolerate
NST-ERP-115,JD Edwards,Rebates,Process Owner 3,BU-DENTAL,28,false,migrate
NST-ERP-116,Infor LN,Quality release,Process Owner 4,BU-HIS,32,false,tolerate
NST-ERP-117,Dynamics AX,Procurement,Process Owner 5,BU-STERILE,84,false,retire
NST-ERP-118,AS/400 RPG,Distributor pricing,Process Owner 6,BU-MONITOR,40,false,tolerate
NST-ERP-119,Mainframe batch,Finance close,,BU-FILTER,44,false,tolerate
NST-ERP-120,SAP ECC 6.0,Manufacturing,Process Owner 8,BU-AWC,0,false,migrate
NST-ERP-121,SAP S/4HANA pilot,Order management,Process Owner 9,BU-DENTAL,4,true,tolerate
NST-ERP-122,Oracle EBS,Rebates,Process Owner 10,BU-HIS,8,false,tolerate
NST-ERP-123,JD Edwards,Quality release,Process Owner 11,BU-STERILE,12,false,tolerate
NST-ERP-124,Infor LN,Procurement,Process Owner 12,BU-MONITOR,16,false,tolerate
NST-ERP-125,Dynamics AX,Distributor pricing,Process Owner 13,BU-FILTER,20,false,migrate
NST-ERP-126,AS/400 RPG,Finance close,Process Owner 14,BU-AWC,84,false,tolerate
NST-ERP-127,Mainframe batch,Manufacturing,Process Owner 15,BU-DENTAL,28,false,tolerate
NST-ERP-128,SAP ECC 6.0,Order management,Process Owner 16,BU-HIS,32,false,tolerate
NST-ERP-129,SAP S/4HANA pilot,Rebates,Process Owner 17,BU-STERILE,36,false,tolerate
NST-ERP-130,Oracle EBS,Quality release,Process Owner 18,BU-MONITOR,40,false,retire
NST-ERP-131,JD Edwards,Procurement,Process Owner 19,BU-FILTER,44,false,tolerate
NST-ERP-132,Infor LN,Distributor pricing,Process Owner 20,BU-AWC,0,true,tolerate
NST-ERP-133,Dynamics AX,Finance close,Process Owner 21,BU-DENTAL,4,false,tolerate
NST-ERP-134,AS/400 RPG,Manufacturing,Process Owner 22,BU-HIS,8,false,tolerate
NST-ERP-135,Mainframe batch,Order management,Process Owner 23,BU-STERILE,84,false,migrate
NST-ERP-136,SAP ECC 6.0,Rebates,,BU-MONITOR,16,false,tolerate
NST-ERP-137,SAP S/4HANA pilot,Quality release,Process Owner 25,BU-FILTER,20,false,tolerate
NST-ERP-138,Oracle EBS,Procurement,Process Owner 26,BU-AWC,24,false,tolerate
NST-ERP-139,JD Edwards,Distributor pricing,Process Owner 27,BU-DENTAL,28,false,tolerate
NST-ERP-140,Infor LN,Finance close,Process Owner 0,BU-HIS,32,false,migrate
NST-ERP-141,Dynamics AX,Manufacturing,Process Owner 1,BU-STERILE,36,false,tolerate
NST-ERP-142,AS/400 RPG,Order management,Process Owner 2,BU-MONITOR,40,false,tolerate
NST-ERP-143,Mainframe batch,Rebates,Process Owner 3,BU-FILTER,44,true,retire
NST-ERP-144,SAP ECC 6.0,Quality release,Process Owner 4,BU-AWC,84,false,tolerate
NST-ERP-145,SAP S/4HANA pilot,Procurement,Process Owner 5,BU-DENTAL,4,false,migrate
NST-ERP-146,Oracle EBS,Distributor pricing,Process Owner 6,BU-HIS,8,false,tolerate
NST-ERP-147,JD Edwards,Finance close,Process Owner 7,BU-STERILE,12,false,tolerate
NST-ERP-148,Infor LN,Manufacturing,Process Owner 8,BU-MONITOR,16,false,tolerate
NST-ERP-149,Dynamics AX,Order management,Process Owner 9,BU-FILTER,20,false,tolerate
NST-ERP-150,AS/400 RPG,Rebates,Process Owner 10,BU-AWC,24,false,migrate
NST-ERP-151,Mainframe batch,Quality release,Process Owner 11,BU-DENTAL,28,false,tolerate
NST-ERP-152,SAP ECC 6.0,Procurement,Process Owner 12,BU-HIS,32,false,tolerate
