path,symbol_or_term,occurrence_type,module,current_usage,runtime_used_yes_no,user_facing_yes_no,generated_content_yes_no,replacement_path,recommended_action,risk_level,notes
datasets/context-artifacts/approved/apex-retail/home-knowledge/approved-home-knowledge-design-contract-pack.json,synthetic demo,data-or-generated-artifact,tenant-data,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-004-AMEND-001.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-004-BAA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-004-INVOICE-EVIDENCE.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-004-MSA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-004-ORDER.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-004-PRICING.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-004-SLA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-004-SOW.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-005-AMEND-001.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-005-BAA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-005-INVOICE-EVIDENCE.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-005-MSA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-005-ORDER.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-005-PRICING.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-005-SLA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-005-SOW.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-006-AMEND-001.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-006-BAA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-006-INVOICE-EVIDENCE.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-006-MSA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-006-ORDER.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-006-PRICING.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-006-SLA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-006-SOW.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-007-AMEND-001.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-007-BAA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-007-INVOICE-EVIDENCE.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-007-MSA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-007-ORDER.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-007-PRICING.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-007-SLA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-007-SOW.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-008-AMEND-001.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-008-BAA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-008-INVOICE-EVIDENCE.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-008-MSA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-008-ORDER.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-008-PRICING.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-008-SLA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-008-SOW.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/reference/graph-semantic-identity-aliases/approved-aliases.json,projection,data-or-generated-artifact,tenant-data,dataset-artifact,no,no,yes,module context pack or active context projection,archive,low,1 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/qa/package-quality-gate.json,synthetic demo,data-or-generated-artifact,source,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/README.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/source-files/cloud_contract_register.csv,synthetic demo,data-or-generated-artifact,source,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/source-files/contract_page_text.csv,synthetic demo,data-or-generated-artifact,source,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,20 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/source-files/reconciliation.csv,synthetic demo,data-or-generated-artifact,source,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/synthetic-evidence-documents/MER-CLOUD-AWS-001_AP_RECON_SYNTHETIC.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/synthetic-evidence-documents/MER-CLOUD-AWS-001_COMMITMENTS_SYNTHETIC.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/synthetic-evidence-documents/MER-CLOUD-AWS-001_CUR_SYNTHETIC.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/synthetic-evidence-documents/MER-CLOUD-AWS-001_EDP_SYNTHETIC.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/synthetic-evidence-documents/MER-CLOUD-AWS-001_UTILIZATION_SYNTHETIC.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/synthetic-evidence-documents/MER-CLOUD-AZURE-001_ADVISOR_SYNTHETIC.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/synthetic-evidence-documents/MER-CLOUD-AZURE-001_AP_RECON_SYNTHETIC.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/synthetic-evidence-documents/MER-CLOUD-AZURE-001_COST_MGMT_SYNTHETIC.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/synthetic-evidence-documents/MER-CLOUD-AZURE-001_EA_SYNTHETIC.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-cloud-consumption-depth-v1-20260907/synthetic-evidence-documents/MER-CLOUD-AZURE-001_RESERVATIONS_SYNTHETIC.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/source/cloud-consumption/meridian-databricks-consumption-commit-v1-20260908/README.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-depth/meridian-contract-depth-v1-20260828/source-files/contract_page_text.csv,projection,data-or-generated-artifact,source,dataset-artifact,no,no,yes,module context pack or active context projection,archive,low,5 occurrence(s); review before archive/delete
datasets/source/contract-depth/meridian-contract-depth-v1-20260828/source-files/contract_page_text.csv,synthetic demo,data-or-generated-artifact,source,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,30 occurrence(s); review before archive/delete
datasets/source/contract-depth/meridian-contract-depth-v1-20260828/source-files/layer_cube_map.csv,projection,data-or-generated-artifact,source,dataset-artifact,no,no,yes,module context pack or active context projection,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-depth/meridian-contract-depth-v1-20260828/source-files/layer_cube_map.csv,substrate,data-or-generated-artifact,source,dataset-artifact,no,no,yes,module context pack or active context projection,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-depth/meridian-databricks-enterprise-agreement-v1-20260908/README.md,projection,documentation,source,dataset-artifact,no,no,no,module context pack or active context projection,archive,low,3 occurrence(s); review before archive/delete
datasets/source/contract-depth/meridian-laams-new-event-rich-v2-20260908/qa/layer-2-adapter-preview/cmdb_application_adapter.json,source_record_id,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,48 occurrence(s); review before archive/delete
datasets/source/contract-depth/meridian-laams-new-event-rich-v2-20260908/qa/layer-2-adapter-preview/contract_page_text_adapter.json,synthetic demo,data-or-generated-artifact,source,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,45 occurrence(s); review before archive/delete
datasets/source/contract-depth/meridian-laams-new-event-rich-v2-20260908/qa/layer-projection-preview/source.contract_pdf_page_text.json,synthetic demo,data-or-generated-artifact,source,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,45 occurrence(s); review before archive/delete
datasets/source/contract-depth/meridian-laams-new-event-rich-v2-20260908/source-files/cmdb_applications.csv,source_record_id,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-depth/meridian-laams-new-event-rich-v2-20260908/source-files/contract_page_text.csv,synthetic demo,data-or-generated-artifact,source,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,45 occurrence(s); review before archive/delete
datasets/source/contract-depth/meridian-managed-services-depth-v1-20260907/source-files/contract_page_text.csv,synthetic demo,data-or-generated-artifact,source,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,12 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-golden-20260809/synthetic/contract_application_scope.csv,source_record_id,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-golden-20260809/synthetic/contract_overview.csv,source_record_id,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-golden-20260809/synthetic/contract_pdf_page_text.csv,synthetic demo,data-or-generated-artifact,source,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,12 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-golden-20260809/synthetic/contract_pricing_schedule.csv,source_record_id,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-golden-20260809/synthetic/finance_value_confirmation.csv,source_record_id,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-golden-20260809/synthetic/invoice_lines.csv,source_record_id,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-golden-20260809/synthetic/po_contract_match.csv,source_record_id,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-golden-20260809/synthetic/rate_card_variance.csv,source_record_id,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-golden-20260809/synthetic/renewal_negotiation_history.csv,source_record_id,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-golden-20260809/synthetic/sla_incident_service_credit_monthly.csv,source_record_id,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-golden-20260809/synthetic/usage_entitlement_monthly.csv,source_record_id,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-golden-20260809/templates/evidence_source_inventory.csv,record ID,data-or-generated-artifact,source,dataset-artifact,no,no,yes,source evidence citation or client-safe row label,archive,low,12 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-packets-20260817/documents/CTR-MH-001-AMEND-001.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-packets-20260817/documents/CTR-MH-001-BAA.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-packets-20260817/documents/CTR-MH-001-INVOICE-EVIDENCE.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-packets-20260817/documents/CTR-MH-001-MSA.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-packets-20260817/documents/CTR-MH-001-ORDER.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-packets-20260817/documents/CTR-MH-001-PRICING.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-packets-20260817/documents/CTR-MH-001-SLA.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/source/contract-intelligence/meridian-packets-20260817/documents/CTR-MH-001-SOW.md,synthetic demo,documentation,source,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
