product_family_id,business_unit_id,name,revenue_usd,margin_pct,lifecycle_state,regulatory_burden,plant_dependency
NST-PF-027,BU-STERILE,Infection Prevention + Sterilization Product Family 27,76050000,17.0,grow,medium,NST-PLANT-28
NST-PF-028,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 28,78200000,18.0,mature,medium,NST-PLANT-29
NST-PF-029,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 29,80350000,19.0,grow,medium,NST-PLANT-30
NST-PF-030,BU-AWC,Advanced Wound Care + Surgical Product Family 30,82500000,20.0,grow,high,NST-PLANT-31
NST-PF-031,BU-DENTAL,Dental + Orthodontic Solutions Product Family 31,84650000,21.0,grow,medium,NST-PLANT-32
NST-PF-032,BU-HIS,Health Information Systems / Coding / CDI Product Family 32,86800000,22.0,grow,medium,NST-PLANT-33
NST-PF-033,BU-STERILE,Infection Prevention + Sterilization Product Family 33,88950000,23.0,rationalize,medium,NST-PLANT-34
NST-PF-034,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 34,91100000,24.0,grow,medium,NST-PLANT-35
NST-PF-035,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 35,93250000,25.0,mature,high,NST-PLANT-36
NST-PF-036,BU-AWC,Advanced Wound Care + Surgical Product Family 36,95400000,26.0,grow,medium,NST-PLANT-37
NST-PF-037,BU-DENTAL,Dental + Orthodontic Solutions Product Family 37,97550000,27.0,grow,medium,NST-PLANT-38
NST-PF-038,BU-HIS,Health Information Systems / Coding / CDI Product Family 38,99700000,28.0,grow,medium,NST-PLANT-39
NST-PF-039,BU-STERILE,Infection Prevention + Sterilization Product Family 39,101850000,29.0,grow,medium,NST-PLANT-40
NST-PF-040,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 40,104000000,30.0,grow,high,NST-PLANT-41
NST-PF-041,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 41,106150000,31.0,grow,medium,NST-PLANT-42
NST-PF-042,BU-AWC,Advanced Wound Care + Surgical Product Family 42,108300000,32.0,mature,medium,NST-PLANT-01
NST-PF-043,BU-DENTAL,Dental + Orthodontic Solutions Product Family 43,110450000,33.0,grow,medium,NST-PLANT-02
NST-PF-044,BU-HIS,Health Information Systems / Coding / CDI Product Family 44,112600000,12.0,rationalize,medium,NST-PLANT-03
NST-PF-045,BU-STERILE,Infection Prevention + Sterilization Product Family 45,114750000,13.0,grow,high,NST-PLANT-04
NST-PF-046,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 46,116900000,14.0,grow,medium,NST-PLANT-05
NST-PF-047,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 47,119050000,15.0,grow,medium,NST-PLANT-06
NST-PF-048,BU-AWC,Advanced Wound Care + Surgical Product Family 48,121200000,16.0,grow,medium,NST-PLANT-07
NST-PF-049,BU-DENTAL,Dental + Orthodontic Solutions Product Family 49,123350000,17.0,mature,medium,NST-PLANT-08
NST-PF-050,BU-HIS,Health Information Systems / Coding / CDI Product Family 50,125500000,18.0,grow,high,NST-PLANT-09
NST-PF-051,BU-STERILE,Infection Prevention + Sterilization Product Family 51,127650000,19.0,grow,medium,NST-PLANT-10
NST-PF-052,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 52,129800000,20.0,grow,medium,NST-PLANT-11
NST-PF-053,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 53,131950000,21.0,grow,medium,NST-PLANT-12
NST-PF-054,BU-AWC,Advanced Wound Care + Surgical Product Family 54,134100000,22.0,grow,medium,NST-PLANT-13
NST-PF-055,BU-DENTAL,Dental + Orthodontic Solutions Product Family 55,136250000,23.0,rationalize,high,NST-PLANT-14
NST-PF-056,BU-HIS,Health Information Systems / Coding / CDI Product Family 56,138400000,24.0,mature,medium,NST-PLANT-15
NST-PF-057,BU-STERILE,Infection Prevention + Sterilization Product Family 57,140550000,25.0,grow,medium,NST-PLANT-16
NST-PF-058,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 58,142700000,26.0,grow,medium,NST-PLANT-17
NST-PF-059,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 59,144850000,27.0,grow,medium,NST-PLANT-18
NST-PF-060,BU-AWC,Advanced Wound Care + Surgical Product Family 60,147000000,28.0,grow,high,NST-PLANT-19
NST-PF-061,BU-DENTAL,Dental + Orthodontic Solutions Product Family 61,149150000,29.0,grow,medium,NST-PLANT-20
NST-PF-062,BU-HIS,Health Information Systems / Coding / CDI Product Family 62,151300000,30.0,grow,medium,NST-PLANT-21
NST-PF-063,BU-STERILE,Infection Prevention + Sterilization Product Family 63,153450000,31.0,mature,medium,NST-PLANT-22
NST-PF-064,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 64,155600000,32.0,grow,medium,NST-PLANT-23
NST-PF-065,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 65,157750000,33.0,grow,high,NST-PLANT-24
NST-PF-066,BU-AWC,Advanced Wound Care + Surgical Product Family 66,159900000,12.0,rationalize,medium,NST-PLANT-25
NST-PF-067,BU-DENTAL,Dental + Orthodontic Solutions Product Family 67,162050000,13.0,grow,medium,NST-PLANT-26
NST-PF-068,BU-HIS,Health Information Systems / Coding / CDI Product Family 68,164200000,14.0,grow,medium,NST-PLANT-27
NST-PF-069,BU-STERILE,Infection Prevention + Sterilization Product Family 69,166350000,15.0,grow,medium,NST-PLANT-28
NST-PF-070,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 70,168500000,16.0,mature,high,NST-PLANT-29
NST-PF-071,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 71,170650000,17.0,grow,medium,NST-PLANT-30
NST-PF-072,BU-AWC,Advanced Wound Care + Surgical Product Family 72,172800000,18.0,grow,medium,NST-PLANT-31
NST-PF-073,BU-DENTAL,Dental + Orthodontic Solutions Product Family 73,174950000,19.0,grow,medium,NST-PLANT-32
NST-PF-074,BU-HIS,Health Information Systems / Coding / CDI Product Family 74,177100000,20.0,grow,medium,NST-PLANT-33
NST-PF-075,BU-STERILE,Infection Prevention + Sterilization Product Family 75,179250000,21.0,grow,high,NST-PLANT-34
NST-PF-076,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 76,181400000,22.0,grow,medium,NST-PLANT-35
NST-PF-077,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 77,183550000,23.0,rationalize,medium,NST-PLANT-36
NST-PF-078,BU-AWC,Advanced Wound Care + Surgical Product Family 78,185700000,24.0,grow,medium,NST-PLANT-37
NST-PF-079,BU-DENTAL,Dental + Orthodontic Solutions Product Family 79,187850000,25.0,grow,medium,NST-PLANT-38
NST-PF-080,BU-HIS,Health Information Systems / Coding / CDI Product Family 80,190000000,26.0,grow,high,NST-PLANT-39
NST-PF-081,BU-STERILE,Infection Prevention + Sterilization Product Family 81,192150000,27.0,grow,medium,NST-PLANT-40
NST-PF-082,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 82,194300000,28.0,grow,medium,NST-PLANT-41
NST-PF-083,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 83,196450000,29.0,grow,medium,NST-PLANT-42
NST-PF-084,BU-AWC,Advanced Wound Care + Surgical Product Family 84,198600000,30.0,mature,medium,NST-PLANT-01
NST-PF-085,BU-DENTAL,Dental + Orthodontic Solutions Product Family 85,200750000,31.0,grow,high,NST-PLANT-02
NST-PF-086,BU-HIS,Health Information Systems / Coding / CDI Product Family 86,202900000,32.0,grow,medium,NST-PLANT-03
NST-PF-087,BU-STERILE,Infection Prevention + Sterilization Product Family 87,205050000,33.0,grow,medium,NST-PLANT-04
NST-PF-088,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 88,207200000,12.0,rationalize,medium,NST-PLANT-05
NST-PF-089,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 89,209350000,13.0,grow,medium,NST-PLANT-06
NST-PF-090,BU-AWC,Advanced Wound Care + Surgical Product Family 90,211500000,14.0,grow,high,NST-PLANT-07
NST-PF-091,BU-DENTAL,Dental + Orthodontic Solutions Product Family 91,213650000,15.0,mature,medium,NST-PLANT-08
NST-PF-092,BU-HIS,Health Information Systems / Coding / CDI Product Family 92,215800000,16.0,grow,medium,NST-PLANT-09
NST-PF-093,BU-STERILE,Infection Prevention + Sterilization Product Family 93,217950000,17.0,grow,medium,NST-PLANT-10
NST-PF-094,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 94,220100000,18.0,grow,medium,NST-PLANT-11
NST-PF-095,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 95,222250000,19.0,grow,high,NST-PLANT-12
NST-PF-096,BU-AWC,Advanced Wound Care + Surgical Product Family 96,224400000,20.0,grow,medium,NST-PLANT-13
NST-PF-097,BU-DENTAL,Dental + Orthodontic Solutions Product Family 97,226550000,21.0,grow,medium,NST-PLANT-14
NST-PF-098,BU-HIS,Health Information Systems / Coding / CDI Product Family 98,228700000,22.0,mature,medium,NST-PLANT-15
NST-PF-099,BU-STERILE,Infection Prevention + Sterilization Product Family 99,230850000,23.0,rationalize,medium,NST-PLANT-16
NST-PF-100,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 100,233000000,24.0,grow,high,NST-PLANT-17
NST-PF-101,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 101,235150000,25.0,grow,medium,NST-PLANT-18
NST-PF-102,BU-AWC,Advanced Wound Care + Surgical Product Family 102,237300000,26.0,grow,medium,NST-PLANT-19
NST-PF-103,BU-DENTAL,Dental + Orthodontic Solutions Product Family 103,239450000,27.0,grow,medium,NST-PLANT-20
NST-PF-104,BU-HIS,Health Information Systems / Coding / CDI Product Family 104,241600000,28.0,grow,medium,NST-PLANT-21
NST-PF-105,BU-STERILE,Infection Prevention + Sterilization Product Family 105,243750000,29.0,mature,high,NST-PLANT-22
NST-PF-106,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 106,245900000,30.0,grow,medium,NST-PLANT-23
NST-PF-107,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 107,248050000,31.0,grow,medium,NST-PLANT-24
NST-PF-108,BU-AWC,Advanced Wound Care + Surgical Product Family 108,250200000,32.0,grow,medium,NST-PLANT-25
NST-PF-109,BU-DENTAL,Dental + Orthodontic Solutions Product Family 109,252350000,33.0,grow,medium,NST-PLANT-26
NST-PF-110,BU-HIS,Health Information Systems / Coding / CDI Product Family 110,254500000,12.0,rationalize,high,NST-PLANT-27
NST-PF-111,BU-STERILE,Infection Prevention + Sterilization Product Family 111,256650000,13.0,grow,medium,NST-PLANT-28
NST-PF-112,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 112,258800000,14.0,mature,medium,NST-PLANT-29
NST-PF-113,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 113,260950000,15.0,grow,medium,NST-PLANT-30
NST-PF-114,BU-AWC,Advanced Wound Care + Surgical Product Family 114,263100000,16.0,grow,medium,NST-PLANT-31
NST-PF-115,BU-DENTAL,Dental + Orthodontic Solutions Product Family 115,265250000,17.0,grow,high,NST-PLANT-32
NST-PF-116,BU-HIS,Health Information Systems / Coding / CDI Product Family 116,267400000,18.0,grow,medium,NST-PLANT-33
NST-PF-117,BU-STERILE,Infection Prevention + Sterilization Product Family 117,269550000,19.0,grow,medium,NST-PLANT-34
NST-PF-118,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 118,271700000,20.0,grow,medium,NST-PLANT-35
NST-PF-119,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 119,273850000,21.0,mature,medium,NST-PLANT-36
NST-PF-120,BU-AWC,Advanced Wound Care + Surgical Product Family 120,276000000,22.0,grow,high,NST-PLANT-37
NST-PF-121,BU-DENTAL,Dental + Orthodontic Solutions Product Family 121,278150000,23.0,rationalize,medium,NST-PLANT-38
NST-PF-122,BU-HIS,Health Information Systems / Coding / CDI Product Family 122,280300000,24.0,grow,medium,NST-PLANT-39
NST-PF-123,BU-STERILE,Infection Prevention + Sterilization Product Family 123,282450000,25.0,grow,medium,NST-PLANT-40
NST-PF-124,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 124,284600000,26.0,grow,medium,NST-PLANT-41
NST-PF-125,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 125,286750000,27.0,grow,high,NST-PLANT-42
NST-PF-126,BU-AWC,Advanced Wound Care + Surgical Product Family 126,288900000,28.0,mature,medium,NST-PLANT-01
NST-PF-127,BU-DENTAL,Dental + Orthodontic Solutions Product Family 127,291050000,29.0,grow,medium,NST-PLANT-02
NST-PF-128,BU-HIS,Health Information Systems / Coding / CDI Product Family 128,293200000,30.0,grow,medium,NST-PLANT-03
NST-PF-129,BU-STERILE,Infection Prevention + Sterilization Product Family 129,295350000,31.0,grow,medium,NST-PLANT-04
NST-PF-130,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 130,297500000,32.0,grow,high,NST-PLANT-05
NST-PF-131,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 131,299650000,33.0,grow,medium,NST-PLANT-06
NST-PF-132,BU-AWC,Advanced Wound Care + Surgical Product Family 132,301800000,12.0,rationalize,medium,NST-PLANT-07
NST-PF-133,BU-DENTAL,Dental + Orthodontic Solutions Product Family 133,303950000,13.0,mature,medium,NST-PLANT-08
NST-PF-134,BU-HIS,Health Information Systems / Coding / CDI Product Family 134,306100000,14.0,grow,medium,NST-PLANT-09
NST-PF-135,BU-STERILE,Infection Prevention + Sterilization Product Family 135,308250000,15.0,grow,high,NST-PLANT-10
NST-PF-136,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 136,310400000,16.0,grow,medium,NST-PLANT-11
NST-PF-137,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 137,312550000,17.0,grow,medium,NST-PLANT-12
NST-PF-138,BU-AWC,Advanced Wound Care + Surgical Product Family 138,314700000,18.0,grow,medium,NST-PLANT-13
NST-PF-139,BU-DENTAL,Dental + Orthodontic Solutions Product Family 139,316850000,19.0,grow,medium,NST-PLANT-14
NST-PF-140,BU-HIS,Health Information Systems / Coding / CDI Product Family 140,319000000,20.0,mature,high,NST-PLANT-15
NST-PF-141,BU-STERILE,Infection Prevention + Sterilization Product Family 141,321150000,21.0,grow,medium,NST-PLANT-16
NST-PF-142,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 142,323300000,22.0,grow,medium,NST-PLANT-17
NST-PF-143,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 143,325450000,23.0,rationalize,medium,NST-PLANT-18
NST-PF-144,BU-AWC,Advanced Wound Care + Surgical Product Family 144,327600000,24.0,grow,medium,NST-PLANT-19
NST-PF-145,BU-DENTAL,Dental + Orthodontic Solutions Product Family 145,329750000,25.0,grow,high,NST-PLANT-20
NST-PF-146,BU-HIS,Health Information Systems / Coding / CDI Product Family 146,331900000,26.0,grow,medium,NST-PLANT-21
NST-PF-147,BU-STERILE,Infection Prevention + Sterilization Product Family 147,334050000,27.0,mature,medium,NST-PLANT-22
NST-PF-148,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 148,336200000,28.0,grow,medium,NST-PLANT-23
NST-PF-149,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 149,338350000,29.0,grow,medium,NST-PLANT-24
NST-PF-150,BU-AWC,Advanced Wound Care + Surgical Product Family 150,340500000,30.0,grow,high,NST-PLANT-25
NST-PF-151,BU-DENTAL,Dental + Orthodontic Solutions Product Family 151,342650000,31.0,grow,medium,NST-PLANT-26
NST-PF-152,BU-HIS,Health Information Systems / Coding / CDI Product Family 152,344800000,32.0,grow,medium,NST-PLANT-27
NST-PF-153,BU-STERILE,Infection Prevention + Sterilization Product Family 153,346950000,33.0,grow,medium,NST-PLANT-28
NST-PF-154,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 154,349100000,12.0,rationalize,medium,NST-PLANT-29
NST-PF-155,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 155,351250000,13.0,grow,high,NST-PLANT-30
NST-PF-156,BU-AWC,Advanced Wound Care + Surgical Product Family 156,353400000,14.0,grow,medium,NST-PLANT-31
NST-PF-157,BU-DENTAL,Dental + Orthodontic Solutions Product Family 157,355550000,15.0,grow,medium,NST-PLANT-32
NST-PF-158,BU-HIS,Health Information Systems / Coding / CDI Product Family 158,357700000,16.0,grow,medium,NST-PLANT-33
NST-PF-159,BU-STERILE,Infection Prevention + Sterilization Product Family 159,359850000,17.0,grow,medium,NST-PLANT-34
NST-PF-160,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 160,362000000,18.0,grow,high,NST-PLANT-35
NST-PF-161,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 161,364150000,19.0,mature,medium,NST-PLANT-36
NST-PF-162,BU-AWC,Advanced Wound Care + Surgical Product Family 162,366300000,20.0,grow,medium,NST-PLANT-37
NST-PF-163,BU-DENTAL,Dental + Orthodontic Solutions Product Family 163,368450000,21.0,grow,medium,NST-PLANT-38
NST-PF-164,BU-HIS,Health Information Systems / Coding / CDI Product Family 164,370600000,22.0,grow,medium,NST-PLANT-39
NST-PF-165,BU-STERILE,Infection Prevention + Sterilization Product Family 165,372750000,23.0,rationalize,high,NST-PLANT-40
NST-PF-166,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 166,374900000,24.0,grow,medium,NST-PLANT-41
NST-PF-167,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 167,377050000,25.0,grow,medium,NST-PLANT-42
NST-PF-168,BU-AWC,Advanced Wound Care + Surgical Product Family 168,379200000,26.0,mature,medium,NST-PLANT-01
NST-PF-169,BU-DENTAL,Dental + Orthodontic Solutions Product Family 169,381350000,27.0,grow,medium,NST-PLANT-02
NST-PF-170,BU-HIS,Health Information Systems / Coding / CDI Product Family 170,383500000,28.0,grow,high,NST-PLANT-03
NST-PF-171,BU-STERILE,Infection Prevention + Sterilization Product Family 171,385650000,29.0,grow,medium,NST-PLANT-04
NST-PF-172,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 172,387800000,30.0,grow,medium,NST-PLANT-05
NST-PF-173,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 173,389950000,31.0,grow,medium,NST-PLANT-06
NST-PF-174,BU-AWC,Advanced Wound Care + Surgical Product Family 174,392100000,32.0,grow,medium,NST-PLANT-07
NST-PF-175,BU-DENTAL,Dental + Orthodontic Solutions Product Family 175,394250000,33.0,mature,high,NST-PLANT-08
NST-PF-176,BU-HIS,Health Information Systems / Coding / CDI Product Family 176,396400000,12.0,rationalize,medium,NST-PLANT-09
NST-PF-177,BU-STERILE,Infection Prevention + Sterilization Product Family 177,398550000,13.0,grow,medium,NST-PLANT-10
NST-PF-178,BU-MONITOR,Clinical Monitoring + Connected Devices Product Family 178,400700000,14.0,grow,medium,NST-PLANT-11
NST-PF-179,BU-FILTER,Life Sciences Filtration / Bioprocessing Product Family 179,402850000,15.0,grow,medium,NST-PLANT-12
NST-PF-180,BU-AWC,Advanced Wound Care + Surgical Product Family 180,405000000,16.0,grow,high,NST-PLANT-13
