change_id,date,system_id,risk,outcome
CHG-0069,2026-03-17,APX-ML-RETURNS,standard,rollback
CHG-0070,2026-04-18,APX-MOBILE-MANAGER,standard,successful
CHG-0071,2026-05-19,APX-DATABRICKS,standard,successful
CHG-0072,2026-06-20,APX-VERIZON-WAN,standard,successful
CHG-0073,2026-01-21,APX-INV-MAINFRAME,high,successful
CHG-0074,2026-02-22,APX-SAP-FI,standard,successful
CHG-0075,2026-03-23,APX-WMS-MANHATTAN-EXT,standard,successful
CHG-0076,2026-04-24,APX-COMMERCE-EINSTEIN,standard,successful
CHG-0077,2026-05-25,APX-CDP-SEGMENT,standard,successful
CHG-0078,2026-06-26,APX-RETURNS-SVC,standard,successful
CHG-0079,2026-01-01,APX-MAINFRAME-MOD-ASSESS,standard,successful
CHG-0080,2026-02-02,APX-JAVA-RETURNS-LEG,standard,successful
CHG-0081,2026-03-03,APX-JAVA-FULFILL,high,successful
CHG-0082,2026-04-04,APX-DOTNET-LOSS,standard,successful
CHG-0083,2026-05-05,APX-ORACLE-GL-POCKET,standard,successful
CHG-0084,2026-06-06,APX-SFCC-SEARCH,standard,successful
CHG-0085,2026-01-07,APX-M365,standard,successful
CHG-0086,2026-02-08,APX-CROWDSTRIKE,standard,rollback
CHG-0087,2026-03-09,APX-DBT,standard,successful
CHG-0088,2026-04-10,APX-VERTEX-TAX,standard,successful
CHG-0089,2026-05-11,APX-JAVA-INVENTORY,high,successful
CHG-0090,2026-06-12,APX-NET-GIFTCARD,standard,successful
CHG-0091,2026-01-13,APX-NODE-SEARCH,standard,successful
CHG-0092,2026-02-14,APX-FE-SEARCH,standard,successful
CHG-0093,2026-03-15,APX-ML-RETURNS,standard,successful
CHG-0094,2026-04-16,APX-MOBILE-MANAGER,standard,successful
CHG-0095,2026-05-17,APX-DATABRICKS,standard,successful
CHG-0096,2026-06-18,APX-VERIZON-WAN,standard,successful
CHG-0097,2026-01-19,APX-INV-MAINFRAME,high,successful
CHG-0098,2026-02-20,APX-SAP-FI,standard,successful
CHG-0099,2026-03-21,APX-WMS-MANHATTAN-EXT,standard,successful
CHG-0100,2026-04-22,APX-COMMERCE-EINSTEIN,standard,successful
CHG-0101,2026-05-23,APX-CDP-SEGMENT,standard,successful
CHG-0102,2026-06-24,APX-RETURNS-SVC,standard,successful
CHG-0103,2026-01-25,APX-MAINFRAME-MOD-ASSESS,standard,rollback
CHG-0104,2026-02-26,APX-JAVA-RETURNS-LEG,standard,successful
CHG-0105,2026-03-01,APX-JAVA-FULFILL,high,successful
CHG-0106,2026-04-02,APX-DOTNET-LOSS,standard,successful
CHG-0107,2026-05-03,APX-ORACLE-GL-POCKET,standard,successful
CHG-0108,2026-06-04,APX-SFCC-SEARCH,standard,successful
CHG-0109,2026-01-05,APX-M365,standard,successful
CHG-0110,2026-02-06,APX-CROWDSTRIKE,standard,successful
CHG-0111,2026-03-07,APX-DBT,standard,successful
CHG-0112,2026-04-08,APX-VERTEX-TAX,standard,successful
CHG-0113,2026-05-09,APX-JAVA-INVENTORY,high,successful
CHG-0114,2026-06-10,APX-NET-GIFTCARD,standard,successful
CHG-0115,2026-01-11,APX-NODE-SEARCH,standard,successful
CHG-0116,2026-02-12,APX-FE-SEARCH,standard,successful
CHG-0117,2026-03-13,APX-ML-RETURNS,standard,successful
CHG-0118,2026-04-14,APX-MOBILE-MANAGER,standard,successful
CHG-0119,2026-05-15,APX-DATABRICKS,standard,successful
CHG-0120,2026-06-16,APX-VERIZON-WAN,standard,rollback
CHG-0121,2026-01-17,APX-INV-MAINFRAME,high,successful
CHG-0122,2026-02-18,APX-SAP-FI,standard,successful
CHG-0123,2026-03-19,APX-WMS-MANHATTAN-EXT,standard,successful
CHG-0124,2026-04-20,APX-COMMERCE-EINSTEIN,standard,successful
CHG-0125,2026-05-21,APX-CDP-SEGMENT,standard,successful
CHG-0126,2026-06-22,APX-RETURNS-SVC,standard,successful
CHG-0127,2026-01-23,APX-MAINFRAME-MOD-ASSESS,standard,successful
CHG-0128,2026-02-24,APX-JAVA-RETURNS-LEG,standard,successful
CHG-0129,2026-03-25,APX-JAVA-FULFILL,high,successful
CHG-0130,2026-04-26,APX-DOTNET-LOSS,standard,successful
CHG-0131,2026-05-01,APX-ORACLE-GL-POCKET,standard,successful
CHG-0132,2026-06-02,APX-SFCC-SEARCH,standard,successful
CHG-0133,2026-01-03,APX-M365,standard,successful
CHG-0134,2026-02-04,APX-CROWDSTRIKE,standard,successful
CHG-0135,2026-03-05,APX-DBT,standard,successful
CHG-0136,2026-04-06,APX-VERTEX-TAX,standard,successful
CHG-0137,2026-05-07,APX-JAVA-INVENTORY,high,rollback
CHG-0138,2026-06-08,APX-NET-GIFTCARD,standard,successful
CHG-0139,2026-01-09,APX-NODE-SEARCH,standard,successful
CHG-0140,2026-02-10,APX-FE-SEARCH,standard,successful
CHG-0141,2026-03-11,APX-ML-RETURNS,standard,successful
CHG-0142,2026-04-12,APX-MOBILE-MANAGER,standard,successful
CHG-0143,2026-05-13,APX-DATABRICKS,standard,successful
CHG-0144,2026-06-14,APX-VERIZON-WAN,standard,successful
CHG-0145,2026-01-15,APX-INV-MAINFRAME,high,successful
CHG-0146,2026-02-16,APX-SAP-FI,standard,successful
CHG-0147,2026-03-17,APX-WMS-MANHATTAN-EXT,standard,successful
CHG-0148,2026-04-18,APX-COMMERCE-EINSTEIN,standard,successful
CHG-0149,2026-05-19,APX-CDP-SEGMENT,standard,successful
CHG-0150,2026-06-20,APX-RETURNS-SVC,standard,successful
CHG-0151,2026-01-21,APX-MAINFRAME-MOD-ASSESS,standard,successful
CHG-0152,2026-02-22,APX-JAVA-RETURNS-LEG,standard,successful
CHG-0153,2026-03-23,APX-JAVA-FULFILL,high,successful
CHG-0154,2026-04-24,APX-DOTNET-LOSS,standard,rollback
CHG-0155,2026-05-25,APX-ORACLE-GL-POCKET,standard,successful
CHG-0156,2026-06-26,APX-SFCC-SEARCH,standard,successful
CHG-0157,2026-01-01,APX-M365,standard,successful
CHG-0158,2026-02-02,APX-CROWDSTRIKE,standard,successful
CHG-0159,2026-03-03,APX-DBT,standard,successful
CHG-0160,2026-04-04,APX-VERTEX-TAX,standard,successful
CHG-0161,2026-05-05,APX-JAVA-INVENTORY,high,successful
CHG-0162,2026-06-06,APX-NET-GIFTCARD,standard,successful
CHG-0163,2026-01-07,APX-NODE-SEARCH,standard,successful
CHG-0164,2026-02-08,APX-FE-SEARCH,standard,successful
CHG-0165,2026-03-09,APX-ML-RETURNS,standard,successful
CHG-0166,2026-04-10,APX-MOBILE-MANAGER,standard,successful
CHG-0167,2026-05-11,APX-DATABRICKS,standard,successful
CHG-0168,2026-06-12,APX-VERIZON-WAN,standard,successful
CHG-0169,2026-01-13,APX-INV-MAINFRAME,high,successful
CHG-0170,2026-02-14,APX-SAP-FI,standard,successful
CHG-0171,2026-03-15,APX-WMS-MANHATTAN-EXT,standard,rollback
CHG-0172,2026-04-16,APX-COMMERCE-EINSTEIN,standard,successful
CHG-0173,2026-05-17,APX-CDP-SEGMENT,standard,successful
CHG-0174,2026-06-18,APX-RETURNS-SVC,standard,successful
CHG-0175,2026-01-19,APX-MAINFRAME-MOD-ASSESS,standard,successful
CHG-0176,2026-02-20,APX-JAVA-RETURNS-LEG,standard,successful
CHG-0177,2026-03-21,APX-JAVA-FULFILL,high,successful
CHG-0178,2026-04-22,APX-DOTNET-LOSS,standard,successful
CHG-0179,2026-05-23,APX-ORACLE-GL-POCKET,standard,successful
CHG-0180,2026-06-24,APX-SFCC-SEARCH,standard,successful
