record_id,row_kind,supplier_legal_name,supplier_public_profile,category_id,business_function,eligible_archetype_id,eligibility_basis,source_system,source_file,source_row,source_record_id,lineage_state,authority_state,contact_policy,contact_authority_state,existing_contract_status,existing_contract_reference,expected_decision,expected_reason
SYN-SUP-CLOUD-001,candidate,Fictional Skybridge Cloud Economics LLC,Cloud economics advisor for commitments savings plans reserved capacity and unit cost guardrails,cloud_finops,cloud_finops,CLOUD_FINOPS,Eligible for cloud FinOps because capabilities align to commitment sizing consumption baseline and unit economics,Synthetic supplier research registry,candidate_supplier_registry.csv,12,SYN-REG-CLOUD-001,declared,candidate_authority_reviewed,public_research_only,no_contact_required,no_existing_contract,,eligible,
SYN-SUP-CLOUD-002,candidate,Fictional Copper Peak FinOps Advisors Inc.,FinOps services provider for cloud forecast reconciliation commitment risk and benefit tracking,cloud_finops,cloud_finops,CLOUD_FINOPS,Eligible for cloud FinOps because function and category match cloud commitment and consumption guardrails,Synthetic supplier research registry,candidate_supplier_registry.csv,13,SYN-REG-CLOUD-002,declared,candidate_authority_reviewed,buyer_introduction_required,buyer_intro_authorized,incumbent_reference_only,CTR-SYN-CAND-CLOUD-002,eligible,
SYN-SUP-CX-001,candidate,Fictional Echo Harbor CX Operations LLC,Customer operations BPO provider for voice chat quality workforce management and seasonal coverage,bpo_contact_centre,member_services,CONTACT_CENTER_CX,Eligible for contact center CX because scope maps to outcome based member service operations,Synthetic supplier research registry,candidate_supplier_registry.csv,14,SYN-REG-CX-001,declared,candidate_authority_reviewed,nda_required_before_contact,nda_required_before_contact,no_existing_contract,,eligible,
SYN-SUP-CX-002,candidate,Fictional Civicline Contact Solutions Inc.,Contact center service provider for secure messaging FCR commitments and deflection glide path,bpo_contact_centre,member_services,CONTACT_CENTER_CX,Eligible for contact center CX because category points to contact centre BPO and quality remedies,Synthetic supplier research registry,candidate_supplier_registry.csv,15,SYN-REG-CX-002,declared,candidate_authority_restricted,inbound_contact_allowed,inbound_contact_authorized,registered_contract_counterparty,CTR-SYN-CAND-CX-002,eligible,
SYN-SUP-BPO-001,candidate,Fictional Ledger Grove Shared Services LLC,Shared services BPO provider for procure to pay record to report exception handling and controls,bpo_shared_services,finance_shared_services,BPO_SHARED_SERVICES,Eligible for shared services BPO because scope fits finance operations volume bands and retained controls,Synthetic supplier research registry,candidate_supplier_registry.csv,16,SYN-REG-BPO-001,declared,candidate_authority_reviewed,public_research_only,no_contact_required,no_existing_contract,,eligible,
SYN-SUP-BPO-002,candidate,Fictional Bluecourt Process Operations Inc.,Process operations provider for payroll support master data exceptions and automation roadmap,bpo_shared_services,finance_shared_services,BPO_SHARED_SERVICES,Eligible for shared services BPO because category and function align to business process outsourcing,Synthetic supplier research registry,candidate_supplier_registry.csv,17,SYN-REG-BPO-002,declared,candidate_authority_reviewed,buyer_introduction_required,buyer_intro_authorized,incumbent_reference_only,CTR-SYN-CAND-BPO-002,eligible,
SYN-SUP-CYBER-001,candidate,Fictional Signal Yard Cyber Defense LLC,Security operations provider for SOC SIEM detection engineering and evidence retention,cyber_grc,cyber_security,MSSP_CYBER,Eligible for MSSP cyber because capabilities map to security operations coverage and response obligations,Synthetic supplier research registry,candidate_supplier_registry.csv,18,SYN-REG-CYBER-001,declared,candidate_authority_reviewed,nda_required_before_contact,nda_required_before_contact,no_existing_contract,,eligible,
SYN-SUP-CYBER-002,candidate,Fictional Redstone Trust Operations Inc.,Cyber operations provider for vulnerability coordination incident response and compliance reporting,cyber_grc,cyber_security,MSSP_CYBER,Eligible for MSSP cyber because category and function fit cyber GRC and managed security operations,Synthetic supplier research registry,candidate_supplier_registry.csv,19,SYN-REG-CYBER-002,declared,candidate_authority_restricted,do_not_contact,contact_prohibited,registered_contract_counterparty,CTR-SYN-CAND-CYBER-002,eligible,
SYN-SUP-STAFF-001,candidate,Fictional Talent Loom Technology Staffing LLC,Technology staffing provider for temporary engineering architecture QA and product analysis roles,staff_aug_vs_managed_service,delivery_capacity,STAFF_AUGMENTATION,Eligible for staff augmentation because scope separates temporary capacity from outcome based services,Synthetic supplier research registry,candidate_supplier_registry.csv,20,SYN-REG-STAFF-001,declared,candidate_authority_reviewed,inbound_contact_allowed,inbound_contact_authorized,no_existing_contract,,eligible,
SYN-SUP-STAFF-002,candidate,Fictional Bridgepoint Delivery Capacity Inc.,Delivery capacity provider for role based T and M support knowledge transfer and portfolio increments,staff_aug_vs_managed_service,delivery_capacity,STAFF_AUGMENTATION,Eligible for staff augmentation because category maps to capacity triage and contingent workforce controls,Synthetic supplier research registry,candidate_supplier_registry.csv,21,SYN-REG-STAFF-002,declared,candidate_authority_reviewed,public_research_only,no_contact_required,incumbent_reference_only,CTR-SYN-CAND-STAFF-002,eligible,
SYN-SUP-NEG-LINEAGE,negative_control,Fictional Null Lineage Managed Services LLC,Negative control missing declared upstream source lineage,ams,application_operations,AMS_MANAGED_SERVICES,Should fail because lineage fields are absent,,,,,missing,candidate_authority_reviewed,public_research_only,no_contact_required,not_applicable_negative_control,,fail_closed,missing_lineage
SYN-SUP-NEG-DRAFT,negative_control,Fictional Draftmark ERP Delivery LLC,Negative control with draft authority only,erp_si_implementation,finance_transformation,ERP_SI_IMPLEMENTATION,Should fail because candidate authority has not been reviewed,Synthetic supplier research registry,candidate_supplier_registry.csv,23,SYN-REG-NEG-DRAFT,declared,draft_review,buyer_introduction_required,buyer_intro_authorized,not_applicable_negative_control,,fail_closed,draft_authority
SYN-SUP-NEG-DUPLICATE,negative_control,Fictional Clearwell Data Platforms LLC,Negative control reusing a prior supplier legal identity,data_ai_platform,data_and_analytics,AI_DATA_PLATFORM,Should fail because identity duplicates an accepted candidate,Synthetic supplier research registry,candidate_supplier_registry.csv,24,SYN-REG-NEG-DUPLICATE,declared,candidate_authority_reviewed,public_research_only,no_contact_required,not_applicable_negative_control,,fail_closed,duplicate_identity
SYN-SUP-NEG-MISMATCH,negative_control,Fictional Crosswired Cloud Security LLC,Negative control whose category does not match declared archetype,cloud_finops,cloud_finops,MSSP_CYBER,Should fail because cloud FinOps category cannot claim MSSP cyber eligibility,Synthetic supplier research registry,candidate_supplier_registry.csv,25,SYN-REG-NEG-MISMATCH,declared,candidate_authority_reviewed,nda_required_before_contact,nda_required_before_contact,not_applicable_negative_control,,fail_closed,mismatched_eligibility
SYN-SUP-NEG-CONTACT,negative_control,Fictional Silent Channel Process Services LLC,Negative control missing explicit contact authority,bpo_shared_services,finance_shared_services,BPO_SHARED_SERVICES,Should fail because contact policy exists but contact authority is missing,Synthetic supplier research registry,candidate_supplier_registry.csv,26,SYN-REG-NEG-CONTACT,declared,candidate_authority_reviewed,inbound_contact_allowed,missing,not_applicable_negative_control,,fail_closed,missing_contact_authority
