tenant_key,contract_id,evidence_class,applicability_state,available_row_count,evidence_available_state,diagnosis_ready_state,action_ready_state,vendor_outreach_state,value_proven_state,review_state,caveat
skyharbor_global,CTR-061,pricing_schedule,required,8,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,ap_invoice_line,required,48,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,po_line,required,8,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,sla_event,required,36,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,usage_entitlement,required,144,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,cloud_billing,required,72,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,vms_rate_card,conditional,24,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,renewal_negotiation,required,16,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,finance_realization,required,4,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,evidence_linkage,required,14,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,fact_assertion,required,10,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,fact_conflict,required,5,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,review_decision,required,17,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,opportunity_case,required,4,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,opportunity_calculation,required,20,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,case_lifecycle,required,24,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,approval,required,6,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,commercial_learning,required,8,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,new_event_control,required,8,available,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,"Synthetic evidence is represented, but governance intentionally blocks action and value sizing."
skyharbor_global,CTR-061,_gate_summary,summary,555,all_required_evidence_represented,ready,blocked_by_governed_conflict,not_approved_conflict_control,not_value_proven_conflict_control,accepted,CTR-061 is intentionally preserved as the conflict-control fixture.
