event_id,wave_id,event_date,capability_name,action,outcome,value_promised_usd,value_realized_usd,value_disputed_usd,lesson_learned,owner_at_time,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated
SHA-MOD-011,WAVE-03,2021-11-15,Flight Disruption Notifications,analyze,delivered,25000000,19500000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 12,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-012,WAVE-04,2021-12-15,Ancillary Fee Posting,wrap,delivered,27100000,21138000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 13,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-013,WAVE-05,2022-01-15,Airport Load Control,analyze,delivered,4000000,3120000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 14,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-014,WAVE-06,2022-02-15,Schedule Publication Hub,leave,delivered,6100000,4758000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 15,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-015,WAVE-07,2022-03-15,Aircraft Rotation Optimizer,analyze,mixed,8200000,3444000,4756000,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 16,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-016,WAVE-08,2022-04-15,Maintenance Deferral Interface,analyze,delivered,10300000,8034000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 17,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-017,WAVE-01,2022-05-15,Contact Center Profile Lookup,analyze,delivered,12400000,9672000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 18,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-018,WAVE-02,2022-06-15,Fraud and Chargeback Batch,analyze,over-ran,14500000,6090000,8410000,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 19,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-019,WAVE-03,2022-07-15,Partner Airline Settlement,analyze,delayed,16600000,6972000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 20,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-020,WAVE-04,2022-08-15,Corporate Sales Contracting,analyze,delivered,18700000,14586000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 21,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-021,WAVE-05,2022-09-15,Gate Agent Transaction Host,analyze,delivered,20800000,16224000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 22,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-022,WAVE-06,2022-10-15,Seat Inventory Protection,analyze,mixed,22900000,9618000,13282000,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 23,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-023,WAVE-07,2022-11-15,Customer Service Voucher Engine,wrap,delivered,25000000,19500000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 24,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-024,WAVE-08,2022-12-15,International Tax Proration,analyze,delivered,27100000,21138000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 25,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-025,WAVE-01,2023-01-15,Crew Payroll Feeds,analyze,delivered,4000000,3120000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 26,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-026,WAVE-02,2023-02-15,Fuel Hedging Settlement,analyze,delivered,6100000,4758000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 27,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-027,WAVE-03,2023-03-15,Aircraft Lease Accounting,leave,delivered,8200000,6396000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 28,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-028,WAVE-04,2023-04-15,Regulatory Reporting Batch,analyze,delayed,10300000,4326000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 29,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-029,WAVE-05,2023-05-15,Loyalty Wallet Service,extract,mixed,12400000,5208000,7192000,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 30,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-030,WAVE-06,2023-06-15,Customer Profile Golden Record,extract,delivered,14500000,11310000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 31,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-031,WAVE-07,2023-07-15,Mobile Check-In Service,extract,delivered,16600000,12948000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 32,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-032,WAVE-08,2023-08-15,Bag Tag Digital Service,extract,delivered,18700000,14586000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 33,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-033,WAVE-01,2023-09-15,Customer Preference Service,extract,delivered,20800000,16224000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 34,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-034,WAVE-02,2023-10-15,Airport Kiosk API Wrapper,extract,reversed,22900000,2748000,0,Rollback showed that batch reconciliation and crew legality coupling must be unwound before extraction.,CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 35,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-035,WAVE-03,2023-11-15,Disruption Messaging Service,extract,over-ran,25000000,10500000,14500000,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 36,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-036,WAVE-04,2023-12-15,Loyalty Offers Engine,extract,mixed,27100000,11382000,15718000,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 37,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-037,WAVE-05,2024-01-15,Payment Token Vault,extract,delayed,4000000,1680000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 38,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-038,WAVE-06,2024-02-15,Digital Receipt Service,extract,delivered,6100000,4758000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 39,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-039,WAVE-07,2024-03-15,Partner Status API,extract,delivered,8200000,6396000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 40,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-040,WAVE-08,2024-04-15,Customer Consent Service,extract,delivered,10300000,8034000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 41,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-041,WAVE-01,2024-05-15,Cargo Quote API,extract,delivered,12400000,9672000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 42,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-042,WAVE-02,2024-06-15,Operations Event Stream,extract,delivered,14500000,11310000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 43,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-043,WAVE-03,2024-07-15,Aircraft Tail Assignment API,extract,mixed,16600000,6972000,9628000,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 44,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-044,WAVE-04,2024-08-15,Maintenance Alert Broker,extract,delivered,18700000,14586000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 45,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-045,WAVE-05,2024-09-15,Data Product Catalog,extract,delivered,20800000,16224000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 46,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-046,WAVE-06,2024-10-15,Revenue Management Sandbox,extract,reversed,22900000,2748000,0,Rollback showed that batch reconciliation and crew legality coupling must be unwound before extraction.,CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 47,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-047,WAVE-07,2024-11-15,Crew Pairing Read Replica,extract,reversed,25000000,3000000,0,Rollback showed that batch reconciliation and crew legality coupling must be unwound before extraction.,VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 48,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-048,WAVE-08,2024-12-15,Passenger Name Record Core,analyze,delivered,27100000,21138000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 49,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-049,WAVE-01,2025-01-15,Ticketing Exchange Engine,analyze,delivered,4000000,3120000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 50,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-050,WAVE-02,2025-02-15,Departure Control Closeout,analyze,mixed,6100000,2562000,3538000,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 51,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-051,WAVE-03,2025-03-15,Crew Legality Solver,analyze,delivered,8200000,6396000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 52,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-052,WAVE-04,2025-04-15,IROPs Reaccommodation Rules,analyze,over-ran,10300000,4326000,5974000,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 53,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-053,WAVE-05,2025-05-15,Loyalty Accrual Core,leave,delivered,12400000,9672000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 54,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-054,WAVE-06,2025-06-15,Revenue Accounting Batch,analyze,delivered,14500000,11310000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 55,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-055,WAVE-07,2025-07-15,Interline Settlement,analyze,delayed,16600000,6972000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 56,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-056,WAVE-08,2025-08-15,Baggage WorldTracer Bridge,wrap,delivered,18700000,14586000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 57,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-057,WAVE-01,2025-09-15,Cargo Capacity Rating,analyze,mixed,20800000,8736000,12064000,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",Director Cloud Migration Factory,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 58,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-058,WAVE-02,2025-10-15,Flight Disruption Notifications,analyze,delivered,22900000,17862000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",CTO Modernization Office,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 59,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-MOD-059,WAVE-03,2025-11-15,Ancillary Fee Posting,analyze,delivered,25000000,19500000,0,"Wave sequencing worked when API contracts, dual-run exit criteria, and value owner signoff were explicit.",VP Airline Platforms,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S02_MODERNIZATION_LEDGER,synthetic_comparable,source_uploads/modernization_ledger_5yr.xlsx,row 60,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
