app_id,workload_id,name,business_capability,MIPS_peak,MIPS_avg,transaction_volume_daily,criticality,batch_window_constraint,regulatory_flag,modernization_status,reason_still_on_Z,last_modified_date,owner_team,annual_run_cost_usd,stack_era,time_classification,ams_vendor,business_unit_id,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated
SHA-Z-011,SHA-Z-011,Flight Disruption Notifications,PSS,5300,2500,2400000,4,overnight settlement feed,safety-adjacent operational control,in-flight,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-11-20,Airline Core Platforms,13700000,mainframe,migrate,IBM,PSS,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 12,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-012,SHA-Z-012,Ancillary Fee Posting,DCS,5610,2655,2575000,4,overnight settlement feed,standard enterprise control,untouched,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-12-20,Operations Technology,14120000,mainframe,invest,IBM,DCS,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 13,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-013,SHA-Z-013,Airport Load Control,crew,5920,2810,2750000,4,00:30-03:45 CT hard window,DOT consumer rule / financial settlement impact,blocked,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-01-20,Airline Core Platforms,14540000,mainframe,tolerate,IBM,crew,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 14,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-014,SHA-Z-014,Schedule Publication Hub,IROPs,6230,2965,2925000,4,near-real-time transaction window,standard enterprise control,untouched,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-02-20,Operations Technology,14960000,mainframe,invest,IBM,IROPs,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 15,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-015,SHA-Z-015,Aircraft Rotation Optimizer,loyalty,6540,3120,3100000,4,overnight settlement feed,standard enterprise control,untouched,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-03-20,Airline Core Platforms,15380000,mainframe,invest,IBM,loyalty,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 16,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-016,SHA-Z-016,Maintenance Deferral Interface,revenue_accounting,6850,3275,3275000,4,overnight settlement feed,safety-adjacent operational control,in-flight,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-04-20,Operations Technology,15800000,mainframe,migrate,IBM,revenue_accounting,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 17,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-017,SHA-Z-017,Contact Center Profile Lookup,settlement,7160,3430,3450000,4,00:30-03:45 CT hard window,standard enterprise control,in-analysis,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-05-20,Airline Core Platforms,16220000,mainframe,invest,IBM,settlement,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 18,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-018,SHA-Z-018,Fraud and Chargeback Batch,cargo,7470,3585,3625000,4,near-real-time transaction window,standard enterprise control,untouched,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-06-20,Operations Technology,16640000,mainframe,invest,IBM,cargo,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 19,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-019,SHA-Z-019,Partner Airline Settlement,MRO,7780,3740,3800000,4,overnight settlement feed,DOT consumer rule / financial settlement impact,blocked,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-07-20,Airline Core Platforms,17060000,mainframe,tolerate,IBM,MRO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 20,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-020,SHA-Z-020,Corporate Sales Contracting,finance_batch,8090,3895,3975000,3,overnight settlement feed,standard enterprise control,untouched,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-08-20,Operations Technology,17480000,mainframe,invest,IBM,finance_batch,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 21,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-021,SHA-Z-021,Gate Agent Transaction Host,PSS,8400,4050,4150000,3,00:30-03:45 CT hard window,safety-adjacent operational control,in-flight,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-09-20,Airline Core Platforms,17900000,mainframe,migrate,IBM,PSS,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 22,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-022,SHA-Z-022,Seat Inventory Protection,DCS,8710,4205,4325000,3,near-real-time transaction window,standard enterprise control,untouched,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-10-20,Operations Technology,18320000,mainframe,invest,IBM,DCS,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 23,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-023,SHA-Z-023,Customer Service Voucher Engine,crew,9020,4360,4500000,3,overnight settlement feed,standard enterprise control,untouched,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-11-20,Airline Core Platforms,18740000,mainframe,invest,IBM,crew,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 24,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-024,SHA-Z-024,International Tax Proration,IROPs,9330,4515,4675000,3,overnight settlement feed,standard enterprise control,untouched,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-12-20,Operations Technology,19160000,mainframe,invest,IBM,IROPs,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 25,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-025,SHA-Z-025,Crew Payroll Feeds,loyalty,9640,4670,4850000,3,00:30-03:45 CT hard window,DOT consumer rule / financial settlement impact,blocked,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-01-20,Airline Core Platforms,19580000,mainframe,tolerate,IBM,loyalty,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 26,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-026,SHA-Z-026,Fuel Hedging Settlement,revenue_accounting,9950,4825,5025000,3,near-real-time transaction window,safety-adjacent operational control,in-flight,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-02-20,Operations Technology,20000000,mainframe,migrate,IBM,revenue_accounting,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 27,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-027,SHA-Z-027,Aircraft Lease Accounting,settlement,10260,4980,5200000,3,overnight settlement feed,standard enterprise control,untouched,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-03-20,Airline Core Platforms,20420000,mainframe,invest,IBM,settlement,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 28,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-Z-028,SHA-Z-028,Regulatory Reporting Batch,cargo,10570,5135,5375000,3,overnight settlement feed,standard enterprise control,untouched,"Modernization benefits exist, but extraction is sequenced behind higher-risk domains.",2025-04-20,Operations Technology,20840000,mainframe,invest,IBM,cargo,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S03_MAINFRAME_INVENTORY,synthetic_comparable,source_uploads/mainframe_inventory_current_state.xlsx,row 29,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
