engagement_id,vendor,start_date,original_scope,current_scope,original_value_usd,current_value_usd,annual_value_usd,productivity_guarantees,IP_ownership,exit_rights,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated,subrecord_id,record_type,description,target_value,actual_value,dispute_status
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 11,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-010,knowledge_transfer,Modernization factory evidence item.,,,contested
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 12,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-011,change_order,Scope expanded after downstream dependency discovery.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 13,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-012,milestone,Modernization factory evidence item.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 14,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-013,kpi_actual,Modernization factory evidence item.,24,14,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 15,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-014,exit_clause,Modernization factory evidence item.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 16,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-015,knowledge_transfer,Modernization factory evidence item.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 17,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-016,change_order,Scope expanded after downstream dependency discovery.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 18,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-017,milestone,Modernization factory evidence item.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 19,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-018,kpi_actual,Modernization factory evidence item.,29,16,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 20,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-019,exit_clause,Modernization factory evidence item.,,,contested
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 21,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-020,knowledge_transfer,Modernization factory evidence item.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 22,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-021,change_order,Scope expanded after downstream dependency discovery.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 23,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-022,milestone,Modernization factory evidence item.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 24,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-023,kpi_actual,Modernization factory evidence item.,34,19,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 25,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-024,exit_clause,Modernization factory evidence item.,,,accepted
,,,,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S06_IBM_ENGAGEMENT,synthetic_comparable,source_uploads/ibm_modernization_sow_summary.pdf,section 26,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-IBM-025,knowledge_transfer,Modernization factory evidence item.,,,accepted
