tenant_key,system_name,system_type,system_category,business_function,system_scope,deployment_model,hosting_location,lifecycle_state,criticality,business_owner,technology_owner,vendor,data_domains,interfaces_count,current_state_or_target_state,source_file,source_date,confidence,known_gaps,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,capability,owner,lifecycle_status,vendor_id,integrations,data_dependencies,use_case,data_domain,systems,value_hypothesis,evidence_needed,risk_or_gap,affected_systems,metric_boundary,forbidden_claims,legacy_row_flag,source_row_status,migration_action,additive_status,amount_basis,finance_attestation_status,funding_status,approved_funding_usd,realized_value_usd,tower_claim_allowed,evidence_type,evidence_location,evidence_owner,caveat,generated_fields,generation_basis
meridian-health,Contact center transcript and telephony platform,Service,contact_center,,,On-premise,,current_core,high,Member Services,,MER-VEN-CONTACT,call metadata; transcripts; QA tags,29,,,,high,,MER-V3-0011,MER-HS,Contact center transcript and telephony platform,Contact center transcript and telephony platform,04_applications_systems,MER-V3-EVID-0050,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,contact_center,Member Services,current_core,MER-VEN-CONTACT,voice; chat; CRM case links,call metadata; transcripts; QA tags,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,General ledger and close reporting,Platform,finance,,,On-premise,,current_core,critical,Finance,,MER-VEN-FINANCE,GL; cost centers; financial statements,10,,,,medium,,MER-V3-0012,MER-HS,General ledger and close reporting,General ledger and close reporting,04_applications_systems,MER-V3-EVID-0051,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,finance,Finance,current_core,MER-VEN-FINANCE,reporting marts; close trackers; BI,GL; cost centers; financial statements,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Provider contract repository,Module,provider_contracts,,,Vendor hosted,,current_manual,high,Network Contracting,,MER-VEN-CONTRACTS,provider terms; capitation; value-based contract logic,5,,,,high,,MER-V3-0013,MER-HS,Provider contract repository,Provider contract repository,04_applications_systems,MER-V3-EVID-0052,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,provider_contracts,Network Contracting,current_manual,MER-VEN-CONTRACTS,documents; contract terms; manual extracts,provider terms; capitation; value-based contract logic,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,AWS analytics foundation,Module,cloud_foundation,,,SaaS,,aspirational_not_ready,critical,Technology Platform,,MER-VEN-AWS,future platform evidence; not yet production analytics,12,,,,high,,MER-V3-0014,MER-HS,AWS analytics foundation,AWS analytics foundation,04_applications_systems,MER-V3-EVID-0053,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,cloud_foundation,Technology Platform,aspirational_not_ready,MER-VEN-AWS,planned network/security/IAM foundation,future platform evidence; not yet production analytics,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Databricks on AWS,Service,lakehouse_platform,,,Vendor hosted,,aspirational_not_ready,critical,Data Platform,,MER-VEN-DATABRICKS,planned bronze/silver/gold data products; no certified medallion evidence,14,,,,high,,MER-V3-0015,MER-HS,Databricks on AWS,Databricks on AWS,04_applications_systems,MER-V3-EVID-0054,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,lakehouse_platform,Data Platform,aspirational_not_ready,MER-VEN-DATABRICKS,planned S3/Unity Catalog/Delta integration,planned bronze/silver/gold data products; no certified medallion evidence,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,Platform,,,,Private cloud,,,,,,,,23,,,,medium,,MER-SA07-04_APPLICATIONS_SYSTEMS-0001,MER-HS,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0001,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,Application,,,,Private cloud,,,,,,,,8,,,,high,,MER-SA07-04_APPLICATIONS_SYSTEMS-0002,MER-HS,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but operating model is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0002,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Call center optimization,Application,,,,Vendor hosted,,,,,,,,18,,,,high,,MER-SA07-04_APPLICATIONS_SYSTEMS-0003,MER-HS,CEO / Enterprise Strategy: Call center optimization,"CEO / Enterprise Strategy says Call center optimization is promising, but vendor is not decision-grade until Claims administration platform evidence closes: Intent taxonomy not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0003,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Provider quality and performance,Service,,,,Private cloud,,,,,,,,15,,,,high,,MER-SA07-04_APPLICATIONS_SYSTEMS-0004,MER-HS,CEO / Enterprise Strategy: Provider quality and performance,"CEO / Enterprise Strategy says Provider quality and performance is promising, but platform is not decision-grade until Power BI reporting estate evidence closes: Near-real-time quality layer not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0004,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: End-to-end cost transparency,Platform,,,,Private cloud,,,,,,,,24,,,,medium,,MER-SA07-04_APPLICATIONS_SYSTEMS-0005,MER-HS,CEO / Enterprise Strategy: End-to-end cost transparency,"CEO / Enterprise Strategy says End-to-end cost transparency is promising, but data is not decision-grade until Claims administration platform evidence closes: Provider contract terms not digitized in governed form. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0005,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Payment integrity and leakage reduction,Service,,,,Vendor hosted,,,,,,,,19,,,,high,,MER-SA07-04_APPLICATIONS_SYSTEMS-0006,MER-HS,CEO / Enterprise Strategy: Payment integrity and leakage reduction,"CEO / Enterprise Strategy says Payment integrity and leakage reduction is promising, but modernization is not decision-grade until SAS analytics estate evidence closes: Provider entity resolution not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0006,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Automated close and reporting,Service,,,,On-premise,,,,,,,,38,,,,high,,MER-SA07-04_APPLICATIONS_SYSTEMS-0007,MER-HS,CEO / Enterprise Strategy: Automated close and reporting,"CEO / Enterprise Strategy says Automated close and reporting is promising, but AI readiness is not decision-grade until Tableau reporting estate evidence closes: Close workflow integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0007,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,Service,,,,Private cloud,,,,,,,,39,,,,high,,MER-SA07-04_APPLICATIONS_SYSTEMS-0008,MER-HS,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but risk is not decision-grade until Claims administration platform evidence closes: AWS/Databricks foundation not ready. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0008,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,Service,,,,Vendor hosted,,,,,,,,14,,,,medium,,MER-SA07-04_APPLICATIONS_SYSTEMS-0009,MER-HS,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but metrics is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0009,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Call center optimization,Service,,,,On-premise,,,,,,,,26,,,,high,,MER-SA07-04_APPLICATIONS_SYSTEMS-0010,MER-HS,CEO / Enterprise Strategy: Call center optimization,"CEO / Enterprise Strategy says Call center optimization is promising, but value is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0010,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: Provider quality and performance,Module,,,,On-premise,,,,,,,,11,,,,high,,MER-SA07-04_APPLICATIONS_SYSTEMS-0011,MER-HS,CEO / Enterprise Strategy: Provider quality and performance,"CEO / Enterprise Strategy says Provider quality and performance is promising, but sourcing is not decision-grade until Epic Caboodle evidence closes: Provider contract linkage not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0011,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CEO / Enterprise Strategy: End-to-end cost transparency,Application,,,,SaaS,,,,,,,,1,,,,high,,MER-SA07-04_APPLICATIONS_SYSTEMS-0012,MER-HS,CEO / Enterprise Strategy: End-to-end cost transparency,"CEO / Enterprise Strategy says End-to-end cost transparency is promising, but evidence is not decision-grade until SQL Server reporting marts evidence closes: Margin semantic model not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0012,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CFO / Finance & Value: Governed data foundation for AI / LLM automation,Service,,,,SaaS,,,,,,,,34,,,,medium,,MER-SA07-04_APPLICATIONS_SYSTEMS-0013,MER-HS,CFO / Finance & Value: Governed data foundation for AI / LLM automation,"CFO / Finance & Value says Governed data foundation for AI / LLM automation is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0013,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,CFO / Finance & Value: Call center optimization,Platform,,,,SaaS,,,,,,,,24,,,,high,,MER-SA07-04_APPLICATIONS_SYSTEMS-0014,MER-HS,CFO / Finance & Value: Call center optimization,"CFO / Finance & Value says Call center optimization is promising, but operating model is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",04_applications_systems,MER-SA07-INT-EVID-0014,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system_type;deployment_model;interfaces_count,synthetic_demo_attribute_generation_2026_08_not_client_evidence
