tenant_key,risk_or_control_name,risk_domain,business_function,systems_impacted,severity,likelihood,control_owner,control_status,evidence_required,mitigation_plan,source_file,source_date,confidence,known_gaps,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,use_case,risk_or_gap,affected_systems,metric_boundary,forbidden_claims,data_domain,systems,value_hypothesis,evidence_needed,legacy_row_flag,source_row_status,migration_action,additive_status,amount_basis,finance_attestation_status,funding_status,approved_funding_usd,realized_value_usd,tower_claim_allowed,evidence_type,evidence_location,evidence_owner,caveat,generated_fields,generation_basis
meridian-health,Call center optimization: Intent taxonomy not certified,,,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,Medium,Likely,,Operating,,,,,high,Intent taxonomy not certified,MER-V3-0011,MER-HS,Call center optimization: Intent taxonomy not certified,Call center optimization: Intent taxonomy not certified,11_risks_controls,MER-V3-EVID-0180,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Call center optimization,Intent taxonomy not certified,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,baseline_required_before_value_claim,Do not claim real-time agent assist is live.; Do not claim transcripts are approved for analytics.; Do not claim member-experience lift without measured baseline.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Call center optimization: Member identity linkage not proven,,,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,High,Likely,,Partially operating,,,,,medium,Member identity linkage not proven,MER-V3-0012,MER-HS,Call center optimization: Member identity linkage not proven,Call center optimization: Member identity linkage not proven,11_risks_controls,MER-V3-EVID-0181,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Call center optimization,Member identity linkage not proven,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,baseline_required_before_value_claim,Do not claim real-time agent assist is live.; Do not claim transcripts are approved for analytics.; Do not claim member-experience lift without measured baseline.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Provider quality and performance: Measure logic fragmented across BI tools,,,Epic Caboodle; Epic Clarity; Tableau reporting estate; Power BI reporting estate; Provider contract repository,Medium,Possible,,Partially operating,,,,,high,Measure logic fragmented across BI tools,MER-V3-0013,MER-HS,Provider quality and performance: Measure logic fragmented across BI tools,Provider quality and performance: Measure logic fragmented across BI tools,11_risks_controls,MER-V3-EVID-0182,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Provider quality and performance,Measure logic fragmented across BI tools,Epic Caboodle; Epic Clarity; Tableau reporting estate; Power BI reporting estate; Provider contract repository,baseline_required_before_value_claim,Do not claim HEDIS/STAR outputs are audited.; Do not claim provider attribution is accepted.; Do not claim provider benchmark actions are live.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Provider quality and performance: Attribution ownership not proven,,,Epic Caboodle; Epic Clarity; Tableau reporting estate; Power BI reporting estate; Provider contract repository,Medium,Unlikely,,Partially operating,,,,,high,Attribution ownership not proven,MER-V3-0014,MER-HS,Provider quality and performance: Attribution ownership not proven,Provider quality and performance: Attribution ownership not proven,11_risks_controls,MER-V3-EVID-0183,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Provider quality and performance,Attribution ownership not proven,Epic Caboodle; Epic Clarity; Tableau reporting estate; Power BI reporting estate; Provider contract repository,baseline_required_before_value_claim,Do not claim HEDIS/STAR outputs are audited.; Do not claim provider attribution is accepted.; Do not claim provider benchmark actions are live.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Provider quality and performance: Provider contract linkage not certified,,,Epic Caboodle; Epic Clarity; Tableau reporting estate; Power BI reporting estate; Provider contract repository,High,Possible,,Design only,,,,,high,Provider contract linkage not certified,MER-V3-0015,MER-HS,Provider quality and performance: Provider contract linkage not certified,Provider quality and performance: Provider contract linkage not certified,11_risks_controls,MER-V3-EVID-0184,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Provider quality and performance,Provider contract linkage not certified,Epic Caboodle; Epic Clarity; Tableau reporting estate; Power BI reporting estate; Provider contract repository,baseline_required_before_value_claim,Do not claim HEDIS/STAR outputs are audited.; Do not claim provider attribution is accepted.; Do not claim provider benchmark actions are live.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Provider quality and performance: Near-real-time quality layer not proven,,,Epic Caboodle; Epic Clarity; Tableau reporting estate; Power BI reporting estate; Provider contract repository,Low,Possible,,Operating,,,,,medium,Near-real-time quality layer not proven,MER-V3-0016,MER-HS,Provider quality and performance: Near-real-time quality layer not proven,Provider quality and performance: Near-real-time quality layer not proven,11_risks_controls,MER-V3-EVID-0185,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Provider quality and performance,Near-real-time quality layer not proven,Epic Caboodle; Epic Clarity; Tableau reporting estate; Power BI reporting estate; Provider contract repository,baseline_required_before_value_claim,Do not claim HEDIS/STAR outputs are audited.; Do not claim provider attribution is accepted.; Do not claim provider benchmark actions are live.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,End-to-end cost transparency: Provider contract terms not digitized in governed form,,,Claims administration platform; Provider contract repository; General ledger and close reporting; SQL Server reporting marts,High,Possible,,Gap,,,,,high,Provider contract terms not digitized in governed form,MER-V3-0017,MER-HS,End-to-end cost transparency: Provider contract terms not digitized in governed form,End-to-end cost transparency: Provider contract terms not digitized in governed form,11_risks_controls,MER-V3-EVID-0186,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,End-to-end cost transparency,Provider contract terms not digitized in governed form,Claims administration platform; Provider contract repository; General ledger and close reporting; SQL Server reporting marts,baseline_required_before_value_claim,Do not claim product/provider/population margin is audited.; Do not invent capitation or contract economics.; Do not claim cost savings without finance validation.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,End-to-end cost transparency: Claims and GL calendar alignment not proven,,,Claims administration platform; Provider contract repository; General ledger and close reporting; SQL Server reporting marts,Low,Possible,,Operating,,,,,high,Claims and GL calendar alignment not proven,MER-V3-0018,MER-HS,End-to-end cost transparency: Claims and GL calendar alignment not proven,End-to-end cost transparency: Claims and GL calendar alignment not proven,11_risks_controls,MER-V3-EVID-0187,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,End-to-end cost transparency,Claims and GL calendar alignment not proven,Claims administration platform; Provider contract repository; General ledger and close reporting; SQL Server reporting marts,baseline_required_before_value_claim,Do not claim product/provider/population margin is audited.; Do not invent capitation or contract economics.; Do not claim cost savings without finance validation.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,End-to-end cost transparency: Cost allocation rules not loaded,,,Claims administration platform; Provider contract repository; General ledger and close reporting; SQL Server reporting marts,High,Possible,,Design only,,,,,high,Cost allocation rules not loaded,MER-V3-0019,MER-HS,End-to-end cost transparency: Cost allocation rules not loaded,End-to-end cost transparency: Cost allocation rules not loaded,11_risks_controls,MER-V3-EVID-0188,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,End-to-end cost transparency,Cost allocation rules not loaded,Claims administration platform; Provider contract repository; General ledger and close reporting; SQL Server reporting marts,baseline_required_before_value_claim,Do not claim product/provider/population margin is audited.; Do not invent capitation or contract economics.; Do not claim cost savings without finance validation.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,End-to-end cost transparency: Margin semantic model not certified,,,Claims administration platform; Provider contract repository; General ledger and close reporting; SQL Server reporting marts,Medium,Possible,,Operating,,,,,medium,Margin semantic model not certified,MER-V3-0020,MER-HS,End-to-end cost transparency: Margin semantic model not certified,End-to-end cost transparency: Margin semantic model not certified,11_risks_controls,MER-V3-EVID-0189,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,End-to-end cost transparency,Margin semantic model not certified,Claims administration platform; Provider contract repository; General ledger and close reporting; SQL Server reporting marts,baseline_required_before_value_claim,Do not claim product/provider/population margin is audited.; Do not invent capitation or contract economics.; Do not claim cost savings without finance validation.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Payment integrity and leakage reduction: Rules and model lineage not governed,,,Claims administration platform; SAS analytics estate; SQL Server reporting marts; Provider contract repository,Medium,Likely,,Gap,,,,,high,Rules and model lineage not governed,MER-V3-0021,MER-HS,Payment integrity and leakage reduction: Rules and model lineage not governed,Payment integrity and leakage reduction: Rules and model lineage not governed,11_risks_controls,MER-V3-EVID-0190,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Payment integrity and leakage reduction,Rules and model lineage not governed,Claims administration platform; SAS analytics estate; SQL Server reporting marts; Provider contract repository,baseline_required_before_value_claim,Do not claim fraud findings.; Do not claim recovered dollars.; Do not claim payment integrity model accuracy without validation evidence.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Payment integrity and leakage reduction: Provider entity resolution not proven,,,Claims administration platform; SAS analytics estate; SQL Server reporting marts; Provider contract repository,High,Unlikely,,Partially operating,,,,,high,Provider entity resolution not proven,MER-V3-0022,MER-HS,Payment integrity and leakage reduction: Provider entity resolution not proven,Payment integrity and leakage reduction: Provider entity resolution not proven,11_risks_controls,MER-V3-EVID-0191,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Payment integrity and leakage reduction,Provider entity resolution not proven,Claims administration platform; SAS analytics estate; SQL Server reporting marts; Provider contract repository,baseline_required_before_value_claim,Do not claim fraud findings.; Do not claim recovered dollars.; Do not claim payment integrity model accuracy without validation evidence.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Payment integrity and leakage reduction: Investigation workflow evidence not loaded,,,Claims administration platform; SAS analytics estate; SQL Server reporting marts; Provider contract repository,High,Possible,,Operating,,,,,high,Investigation workflow evidence not loaded,MER-V3-0023,MER-HS,Payment integrity and leakage reduction: Investigation workflow evidence not loaded,Payment integrity and leakage reduction: Investigation workflow evidence not loaded,11_risks_controls,MER-V3-EVID-0192,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Payment integrity and leakage reduction,Investigation workflow evidence not loaded,Claims administration platform; SAS analytics estate; SQL Server reporting marts; Provider contract repository,baseline_required_before_value_claim,Do not claim fraud findings.; Do not claim recovered dollars.; Do not claim payment integrity model accuracy without validation evidence.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Payment integrity and leakage reduction: Recovery realization tracking not loaded,,,Claims administration platform; SAS analytics estate; SQL Server reporting marts; Provider contract repository,Low,Likely,,Gap,,,,,medium,Recovery realization tracking not loaded,MER-V3-0024,MER-HS,Payment integrity and leakage reduction: Recovery realization tracking not loaded,Payment integrity and leakage reduction: Recovery realization tracking not loaded,11_risks_controls,MER-V3-EVID-0193,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Payment integrity and leakage reduction,Recovery realization tracking not loaded,Claims administration platform; SAS analytics estate; SQL Server reporting marts; Provider contract repository,baseline_required_before_value_claim,Do not claim fraud findings.; Do not claim recovered dollars.; Do not claim payment integrity model accuracy without validation evidence.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Automated close and reporting: Manual reporting maintenance load,,,General ledger and close reporting; Power BI reporting estate; Tableau reporting estate; SQL Server reporting marts,High,Likely,,Design only,,,,,high,Manual reporting maintenance load,MER-V3-0025,MER-HS,Automated close and reporting: Manual reporting maintenance load,Automated close and reporting: Manual reporting maintenance load,11_risks_controls,MER-V3-EVID-0194,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Automated close and reporting,Manual reporting maintenance load,General ledger and close reporting; Power BI reporting estate; Tableau reporting estate; SQL Server reporting marts,baseline_required_before_value_claim,Do not claim close is automated.; Do not claim financial reports are audited from this pack.; Do not claim cycle-time reduction without measured baseline.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Automated close and reporting: Certified finance semantic layer not loaded,,,General ledger and close reporting; Power BI reporting estate; Tableau reporting estate; SQL Server reporting marts,Low,Likely,,Operating,,,,,high,Certified finance semantic layer not loaded,MER-V3-0026,MER-HS,Automated close and reporting: Certified finance semantic layer not loaded,Automated close and reporting: Certified finance semantic layer not loaded,11_risks_controls,MER-V3-EVID-0195,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Automated close and reporting,Certified finance semantic layer not loaded,General ledger and close reporting; Power BI reporting estate; Tableau reporting estate; SQL Server reporting marts,baseline_required_before_value_claim,Do not claim close is automated.; Do not claim financial reports are audited from this pack.; Do not claim cycle-time reduction without measured baseline.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Automated close and reporting: Close workflow integration not proven,,,General ledger and close reporting; Power BI reporting estate; Tableau reporting estate; SQL Server reporting marts,High,Unlikely,,Operating,,,,,high,Close workflow integration not proven,MER-V3-0027,MER-HS,Automated close and reporting: Close workflow integration not proven,Automated close and reporting: Close workflow integration not proven,11_risks_controls,MER-V3-EVID-0196,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Automated close and reporting,Close workflow integration not proven,General ledger and close reporting; Power BI reporting estate; Tableau reporting estate; SQL Server reporting marts,baseline_required_before_value_claim,Do not claim close is automated.; Do not claim financial reports are audited from this pack.; Do not claim cycle-time reduction without measured baseline.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Automated close and reporting: Metric governance not formalized,,,General ledger and close reporting; Power BI reporting estate; Tableau reporting estate; SQL Server reporting marts,Medium,Possible,,Partially operating,,,,,medium,Metric governance not formalized,MER-V3-0028,MER-HS,Automated close and reporting: Metric governance not formalized,Automated close and reporting: Metric governance not formalized,11_risks_controls,MER-V3-EVID-0197,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Automated close and reporting,Metric governance not formalized,General ledger and close reporting; Power BI reporting estate; Tableau reporting estate; SQL Server reporting marts,baseline_required_before_value_claim,Do not claim close is automated.; Do not claim financial reports are audited from this pack.; Do not claim cycle-time reduction without measured baseline.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
