tenant_key,service_tower,service_name,scope_description,in_scope_functions,in_scope_systems,current_provider,service_volume,sla_or_kpi,run_cost_usd,target_state_option,source_file,source_date,confidence,known_gaps,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,vendor_id,service,owning_function,linked_systems,contract_risk,pricing_basis,annual_contract_value_usd,run_spend_usd,change_order_spend_usd,invoice_amount_ytd_usd,service_credit_ytd_usd,vendor_name,contract_id,fiscal_year,linked_budget_record_ids,linked_sa02_records,ai_spend_flag,tower_usage,caveat,use_case,data_domain,systems,value_hypothesis,evidence_needed,risk_or_gap,affected_systems,metric_boundary,forbidden_claims,legacy_row_flag,source_row_status,migration_action,additive_status,amount_basis,finance_attestation_status,funding_status,approved_funding_usd,realized_value_usd,tower_claim_allowed,evidence_type,evidence_location,evidence_owner
meridian-health,,CEO / Enterprise Strategy: Provider quality and performance,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0004,MER-HS,CEO / Enterprise Strategy: Provider quality and performance,"CEO / Enterprise Strategy says Provider quality and performance is promising, but platform is not decision-grade until Power BI reporting estate evidence closes: Near-real-time quality layer not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0004,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CEO / Enterprise Strategy: End-to-end cost transparency,,,,,,,,,,,medium,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0005,MER-HS,CEO / Enterprise Strategy: End-to-end cost transparency,"CEO / Enterprise Strategy says End-to-end cost transparency is promising, but data is not decision-grade until Claims administration platform evidence closes: Provider contract terms not digitized in governed form. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0005,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CEO / Enterprise Strategy: Payment integrity and leakage reduction,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0006,MER-HS,CEO / Enterprise Strategy: Payment integrity and leakage reduction,"CEO / Enterprise Strategy says Payment integrity and leakage reduction is promising, but modernization is not decision-grade until SAS analytics estate evidence closes: Provider entity resolution not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0006,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CEO / Enterprise Strategy: Automated close and reporting,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0007,MER-HS,CEO / Enterprise Strategy: Automated close and reporting,"CEO / Enterprise Strategy says Automated close and reporting is promising, but AI readiness is not decision-grade until Tableau reporting estate evidence closes: Close workflow integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0007,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0008,MER-HS,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but risk is not decision-grade until Claims administration platform evidence closes: AWS/Databricks foundation not ready. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0008,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,,,,,,,,,,,medium,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0009,MER-HS,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but metrics is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0009,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CEO / Enterprise Strategy: Call center optimization,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0010,MER-HS,CEO / Enterprise Strategy: Call center optimization,"CEO / Enterprise Strategy says Call center optimization is promising, but value is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0010,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CEO / Enterprise Strategy: Provider quality and performance,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0011,MER-HS,CEO / Enterprise Strategy: Provider quality and performance,"CEO / Enterprise Strategy says Provider quality and performance is promising, but sourcing is not decision-grade until Epic Caboodle evidence closes: Provider contract linkage not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0011,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CEO / Enterprise Strategy: End-to-end cost transparency,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0012,MER-HS,CEO / Enterprise Strategy: End-to-end cost transparency,"CEO / Enterprise Strategy says End-to-end cost transparency is promising, but evidence is not decision-grade until SQL Server reporting marts evidence closes: Margin semantic model not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0012,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CFO / Finance & Value: Governed data foundation for AI / LLM automation,,,,,,,,,,,medium,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0013,MER-HS,CFO / Finance & Value: Governed data foundation for AI / LLM automation,"CFO / Finance & Value says Governed data foundation for AI / LLM automation is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0013,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CFO / Finance & Value: Call center optimization,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0014,MER-HS,CFO / Finance & Value: Call center optimization,"CFO / Finance & Value says Call center optimization is promising, but operating model is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0014,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CFO / Finance & Value: Provider quality and performance,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0015,MER-HS,CFO / Finance & Value: Provider quality and performance,"CFO / Finance & Value says Provider quality and performance is promising, but vendor is not decision-grade until Tableau reporting estate evidence closes: Provider contract linkage not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0015,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CFO / Finance & Value: End-to-end cost transparency,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0016,MER-HS,CFO / Finance & Value: End-to-end cost transparency,"CFO / Finance & Value says End-to-end cost transparency is promising, but platform is not decision-grade until SQL Server reporting marts evidence closes: Margin semantic model not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0016,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CFO / Finance & Value: Payment integrity and leakage reduction,,,,,,,,,,,medium,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0017,MER-HS,CFO / Finance & Value: Payment integrity and leakage reduction,"CFO / Finance & Value says Payment integrity and leakage reduction is promising, but data is not decision-grade until Claims administration platform evidence closes: Rules and model lineage not governed. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0017,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CFO / Finance & Value: Automated close and reporting,,,,,,,,,,,high,,MER-SA07-17_MANAGED_SERVICES_SCOPE-0018,MER-HS,CFO / Finance & Value: Automated close and reporting,"CFO / Finance & Value says Automated close and reporting is promising, but modernization is not decision-grade until Power BI reporting estate evidence closes: Certified finance semantic layer not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",17_managed_services_scope,MER-SA07-INT-EVID-0018,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Preserved managed-services scope. No savings or realized value unless backed by invoice/SLA evidence.,,,,,,,,,,,,,,,,,,,,,,
meridian-health,,CFO / Finance & Value: AI Benefits Realization Ledger,,,,,,,,,,,medium,AI spend can look adopted without released value,MER-SA07-17_MANAGED_SERVICES_SCOPE-0019,MER-HS,CFO / Finance & Value: AI Benefits Realization Ledger,"CFO / Finance & Value says AI Benefits Realization Ledger needs FP&A validation and usage extracts required: The CFO would not let Tower count AI spend as delivered value until the usage extract, operational KPI movement, and FP&A validation all reconcile to the same program code. Copilot, ServiceNow, Workday, and developer productivity pilots can be measured, but Member Service AI Assist remains a candidate with no approved funding.",17_managed_services_scope,MER-SA07-INT-EVID-9019,candidate,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,,,,,,,,,,,,,false,contract_context,Interview-derived context only; requires source-system and finance evidence before budget or value claims.,AI Benefits Realization Ledger,usage and finance actuals,M365 Copilot; ServiceNow; Workday; GitHub Copilot,,FP&A validation and usage extracts required,AI spend can look adopted without released value,M365 Copilot; ServiceNow; Workday; GitHub Copilot,interview_context_only,Interview context cannot create approved funding or value claims.,true,preserved_legacy_context,interview_gap_fill_mapped_not_financial_fact,excluded_from_budget_rollup,not_budget_fact,not_applicable_interview_context,not_approved,0,0,no,,,
