application_id,application_name,domain,primary_business_owner,technical_owner_team,platform_type,hosting_model,environment,criticality,annual_run_cost_usd,users_or_entities_supported,integration_count,data_classification,modernization_state,evidence_id,legacy_platform_category,legacy_vendor,source_file,source_row,value_source
APP-00013,Irregular-Teradata-Hub-0013,Mainframe,,Mainframe,,Azure,,Critical,10770000,,32,pci_pii_confidential,Current,,Custom,Teradata,family-2-technology-estate/F05_applications-systems.csv,14,tenant_file
APP-00014,Cloud-SITA-Engine-0014,Data & Analytics,,Data & Analytics,,Azure,,High,16309999,,168,internal,Unsupported,,Middleware,SITA,family-2-technology-estate/F05_applications-systems.csv,15,tenant_file
APP-00015,Reliability-AIMS-Suite-0015,Cloud,,Cloud,,Azure,,High,16610000,,105,internal,N-1,,COTS,AIMS,family-2-technology-estate/F05_applications-systems.csv,16,tenant_file
APP-00016,Ground-Adobe-Manager-0016,Cloud,,Cloud,,SaaS,,Critical,3850000,,102,pci_pii_confidential,Unsupported,,Microservice,Adobe,family-2-technology-estate/F05_applications-systems.csv,17,tenant_file
APP-00017,Lounge-Lufthansa Systems-Manager-0017,Cloud,,Cloud,,Data Center,,Low,6500000,,204,internal,Roadmap Pending,,Data Platform,Lufthansa Systems,family-2-technology-estate/F05_applications-systems.csv,18,tenant_file
APP-00018,Loyalty-Amadeus-Service-0018,Mainframe,,Mainframe,,Private Cloud,,Medium,6020000,,25,internal,Latest,,Microservice,Amadeus,family-2-technology-estate/F05_applications-systems.csv,19,tenant_file
APP-00019,MRO-Snowflake-Manager-0019,Integration,,Integration,,Private Cloud,,Medium,7030000,,2,internal,Current,,Legacy Mainframe,Snowflake,family-2-technology-estate/F05_applications-systems.csv,20,tenant_file
APP-00020,HR-Hexaware-Platform-0020,ERP,,ERP,,AWS,,Medium,940000,,158,internal,Current,,Analytics,Hexaware,family-2-technology-estate/F05_applications-systems.csv,21,tenant_file
APP-00021,Loyalty-Databricks-Platform-0021,ERP,,ERP,,AWS,,High,15370000,,64,internal,Roadmap Pending,,SaaS,Databricks,family-2-technology-estate/F05_applications-systems.csv,22,tenant_file
APP-00022,Treasury-Sabre AirVision-Manager-0022,Digital,,Digital,,AWS,,Medium,8550000,,85,internal,Unsupported,,Microservice,Sabre AirVision,family-2-technology-estate/F05_applications-systems.csv,23,tenant_file
APP-00023,Ancillary-Sabre-Hub-0023,Integration,,Integration,,Mainframe,,Low,3340000,,196,internal,N-1,,Legacy Mainframe,Sabre,family-2-technology-estate/F05_applications-systems.csv,24,tenant_file
APP-00024,Procurement-Databricks-Engine-0024,Integration,,Integration,,Azure,,Medium,610000,,127,internal,Latest,,SaaS,Databricks,family-2-technology-estate/F05_applications-systems.csv,25,tenant_file
APP-00025,Compute-Workday-Suite-0025,Security,,Security,,Private Cloud,,Low,9710000,,216,internal,EOL Approaching,,Microservice,Workday,family-2-technology-estate/F05_applications-systems.csv,26,tenant_file
APP-00026,Revenue-Databricks-Hub-0026,Security,,Security,,Private Cloud,,Medium,8930000,,161,internal,Unsupported,,SaaS,Databricks,family-2-technology-estate/F05_applications-systems.csv,27,tenant_file
APP-00027,Data-Jeppesen-Engine-0027,ERP,,ERP,,Private Cloud,,Low,4360000,,178,internal,Current,,Legacy Mainframe,Jeppesen,family-2-technology-estate/F05_applications-systems.csv,28,tenant_file
APP-00028,Maintenance-Teradata-Hub-0028,ERP,,ERP,,Azure,,Critical,5400000,,99,pci_pii_confidential,EOL Approaching,,Legacy Mainframe,Teradata,family-2-technology-estate/F05_applications-systems.csv,29,tenant_file
APP-00029,Procurement-Jeppesen-Platform-0029,EUC,,EUC,,Azure,,Critical,2780000,,206,pci_pii_confidential,Roadmap Pending,,COTS,Jeppesen,family-2-technology-estate/F05_applications-systems.csv,30,tenant_file
APP-00030,Disruption-Sabre-Platform-0030,Cloud,,Cloud,,SaaS,,Low,1200000,,179,internal,Current,,Custom,Sabre,family-2-technology-estate/F05_applications-systems.csv,31,tenant_file
APP-00031,Cargo-TCS-Platform-0031,Mainframe,,Mainframe,,AWS,,Critical,2690000,,152,pci_pii_confidential,Current,,Analytics,TCS,family-2-technology-estate/F05_applications-systems.csv,32,tenant_file
APP-00032,Data-Snowflake-Hub-0032,Network,,Network,,SaaS,,High,18430000,,203,internal,Current,,Microservice,Snowflake,family-2-technology-estate/F05_applications-systems.csv,33,tenant_file
APP-00033,Inventory-Sabre-Platform-0033,Network,,Network,,Mainframe,,Medium,3800000,,62,internal,Current,,Middleware,Sabre,family-2-technology-estate/F05_applications-systems.csv,34,tenant_file
APP-00034,Flight-Microsoft-Platform-0034,Security,,Security,,Azure,,High,15610000,,151,internal,Roadmap Pending,,Analytics,Microsoft,family-2-technology-estate/F05_applications-systems.csv,35,tenant_file
APP-00035,Parts-Salesforce-Manager-0035,Cloud,,Cloud,,Mainframe,,High,13510000,,9,internal,Latest,,Middleware,Salesforce,family-2-technology-estate/F05_applications-systems.csv,36,tenant_file
APP-00036,Investor-Teradata-Engine-0036,ERP,,ERP,,Azure,,High,2760000,,135,internal,EOL Approaching,,Microservice,Teradata,family-2-technology-estate/F05_applications-systems.csv,37,tenant_file
APP-00037,Network-ServiceNow-Hub-0037,EUC,,EUC,,Azure,,Critical,15140000,,121,pci_pii_confidential,N-1,,Legacy Mainframe,ServiceNow,family-2-technology-estate/F05_applications-systems.csv,38,tenant_file
APP-00038,Baggage-Teradata-Engine-0038,Mainframe,,Mainframe,,Mainframe,,Medium,17750000,,194,internal,Current,,Middleware,Teradata,family-2-technology-estate/F05_applications-systems.csv,39,tenant_file
APP-00039,Weight-Microsoft-Suite-0039,EUC,,EUC,,Private Cloud,,Critical,15930000,,151,pci_pii_confidential,Unsupported,,COTS,Microsoft,family-2-technology-estate/F05_applications-systems.csv,40,tenant_file
APP-00040,Treasury-ServiceNow-Platform-0040,Network,,Network,,Azure,,Low,8390000,,56,internal,Roadmap Pending,,Microservice,ServiceNow,family-2-technology-estate/F05_applications-systems.csv,41,tenant_file
APP-00041,Disruption-Sabre AirVision-Suite-0041,Mainframe,,Mainframe,,Mainframe,,Low,3170000,,184,internal,Latest,,Legacy Mainframe,Sabre AirVision,family-2-technology-estate/F05_applications-systems.csv,42,tenant_file
APP-00042,Storage-Accenture-Suite-0042,Cloud,,Cloud,,Azure,,High,18770000,,117,internal,N-1,,COTS,Accenture,family-2-technology-estate/F05_applications-systems.csv,43,tenant_file
APP-00043,Self-Service-SITA-Suite-0043,Digital,,Digital,,Private Cloud,,Critical,18880000,,125,pci_pii_confidential,EOL Approaching,,Custom,SITA,family-2-technology-estate/F05_applications-systems.csv,44,tenant_file
APP-00044,HR-SAP-Manager-0044,Digital,,Digital,,AWS,,Low,5050000,,151,internal,EOL Approaching,,Data Platform,SAP,family-2-technology-estate/F05_applications-systems.csv,45,tenant_file
APP-00045,Gate-Oracle-Hub-0045,Mainframe,,Mainframe,,Private Cloud,,Low,10060000,,61,internal,EOL Approaching,,COTS,Oracle,family-2-technology-estate/F05_applications-systems.csv,46,tenant_file
APP-00046,Customer-Salesforce-Engine-0046,Cloud,,Cloud,,SaaS,,Critical,14780000,,41,pci_pii_confidential,EOL Approaching,,Middleware,Salesforce,family-2-technology-estate/F05_applications-systems.csv,47,tenant_file
APP-00047,Slot-Jeppesen-Suite-0047,Integration,,Integration,,Data Center,,Critical,1740000,,176,pci_pii_confidential,EOL Approaching,,Data Platform,Jeppesen,family-2-technology-estate/F05_applications-systems.csv,48,tenant_file
APP-00048,Crew-Workday-Manager-0048,Security,,Security,,Azure,,Medium,11420000,,172,internal,Current,,Legacy Mainframe,Workday,family-2-technology-estate/F05_applications-systems.csv,49,tenant_file
APP-00049,Data-Jeppesen-Service-0049,Network,,Network,,Data Center,,Critical,15660000,,52,pci_pii_confidential,Unsupported,,COTS,Jeppesen,family-2-technology-estate/F05_applications-systems.csv,50,tenant_file
APP-00050,Network-Teradata-Hub-0050,ERP,,ERP,,Data Center,,Medium,15030000,,70,internal,Current,,Legacy Mainframe,Teradata,family-2-technology-estate/F05_applications-systems.csv,51,tenant_file
APP-00051,Corporate-AIMS-Service-0051,Integration,,Integration,,SaaS,,Medium,13740000,,204,internal,N-1,,SaaS,AIMS,family-2-technology-estate/F05_applications-systems.csv,52,tenant_file
APP-00052,Self-Service-Lufthansa Systems-Suite-0052,ERP,,ERP,,Azure,,Medium,15400000,,127,internal,N-1,,Middleware,Lufthansa Systems,family-2-technology-estate/F05_applications-systems.csv,53,tenant_file
APP-00053,Cloud-TCS-Hub-0053,Mainframe,,Mainframe,,Data Center,,Low,670000,,48,internal,Current,,Custom,TCS,family-2-technology-estate/F05_applications-systems.csv,54,tenant_file
APP-00054,Maintenance-Sabre AirVision-Service-0054,Network,,Network,,SaaS,,Low,14720000,,135,internal,Roadmap Pending,,Microservice,Sabre AirVision,family-2-technology-estate/F05_applications-systems.csv,55,tenant_file
APP-00055,Tax-TCS-Suite-0055,Data & Analytics,,Data & Analytics,,Mainframe,,Medium,3430000,,72,internal,N-1,,Middleware,TCS,family-2-technology-estate/F05_applications-systems.csv,56,tenant_file
APP-00056,Observability-TCS-Suite-0056,EUC,,EUC,,AWS,,High,1100000,,81,internal,N-1,,Custom,TCS,family-2-technology-estate/F05_applications-systems.csv,57,tenant_file
APP-00057,Irregular-Microsoft-Suite-0057,Network,,Network,,Data Center,,High,9980000,,41,internal,Unsupported,,COTS,Microsoft,family-2-technology-estate/F05_applications-systems.csv,58,tenant_file
APP-00058,Contact-AIMS-Suite-0058,Security,,Security,,AWS,,Medium,15580000,,121,internal,EOL Approaching,,Analytics,AIMS,family-2-technology-estate/F05_applications-systems.csv,59,tenant_file
APP-00059,Data-Accenture-Manager-0059,Integration,,Integration,,Azure,,Critical,740000,,158,pci_pii_confidential,Roadmap Pending,,SaaS,Accenture,family-2-technology-estate/F05_applications-systems.csv,60,tenant_file
APP-00060,Parts-Oracle-Service-0060,Network,,Network,,Private Cloud,,Medium,690000,,137,internal,Latest,,Legacy Mainframe,Oracle,family-2-technology-estate/F05_applications-systems.csv,61,tenant_file
APP-00061,Crew-IBM-Hub-0061,Security,,Security,,Private Cloud,,Critical,8070000,,37,pci_pii_confidential,Unsupported,,Microservice,IBM,family-2-technology-estate/F05_applications-systems.csv,62,tenant_file
APP-00062,Contact-TCS-Engine-0062,Mainframe,,Mainframe,,Mainframe,,Critical,16070000,,113,pci_pii_confidential,Roadmap Pending,,Microservice,TCS,family-2-technology-estate/F05_applications-systems.csv,63,tenant_file
APP-00063,Network-Sabre AirVision-Suite-0063,Security,,Security,,AWS,,Low,21710000,,16,internal,Current,,SaaS,Sabre AirVision,family-2-technology-estate/F05_applications-systems.csv,64,tenant_file
APP-00064,ML-Sabre AirVision-Suite-0064,Digital,,Digital,,AWS,,High,6510000,,125,internal,Unsupported,,Analytics,Sabre AirVision,family-2-technology-estate/F05_applications-systems.csv,65,tenant_file
APP-00065,Tax-Custom-Manager-0065,Integration,,Integration,,Azure,,High,6740000,,163,internal,Current,,Analytics,Custom,family-2-technology-estate/F05_applications-systems.csv,66,tenant_file
APP-00066,Gate-AIMS-Manager-0066,Data & Analytics,,Data & Analytics,,Azure,,Low,13260000,,92,internal,Roadmap Pending,,Legacy Mainframe,AIMS,family-2-technology-estate/F05_applications-systems.csv,67,tenant_file
APP-00067,Pricing-Teradata-Manager-0067,Digital,,Digital,,Data Center,,Critical,3750000,,14,pci_pii_confidential,Unsupported,,Analytics,Teradata,family-2-technology-estate/F05_applications-systems.csv,68,tenant_file
APP-00068,Investor-Microsoft-Platform-0068,Network,,Network,,Mainframe,,Critical,6560000,,163,pci_pii_confidential,EOL Approaching,,Middleware,Microsoft,family-2-technology-estate/F05_applications-systems.csv,69,tenant_file
APP-00069,Component-Amadeus-Service-0069,Data & Analytics,,Data & Analytics,,Data Center,,Medium,15140000,,176,internal,Current,,Custom,Amadeus,family-2-technology-estate/F05_applications-systems.csv,70,tenant_file
APP-00070,Disruption-Salesforce-Platform-0070,Network,,Network,,Data Center,,Low,7620000,,41,internal,N-1,,Custom,Salesforce,family-2-technology-estate/F05_applications-systems.csv,71,tenant_file
APP-00071,Maintenance-IBM-Service-0071,Cloud,,Cloud,,Mainframe,,Critical,20330000,,122,pci_pii_confidential,Unsupported,,SaaS,IBM,family-2-technology-estate/F05_applications-systems.csv,72,tenant_file
APP-00072,Line-SITA-Service-0072,Integration,,Integration,,SaaS,,Critical,5050000,,219,pci_pii_confidential,Latest,,Microservice,SITA,family-2-technology-estate/F05_applications-systems.csv,73,tenant_file
APP-00073,Real-IBM-Suite-0073,Data & Analytics,,Data & Analytics,,SaaS,,Critical,17090000,,193,pci_pii_confidential,Current,,SaaS,IBM,family-2-technology-estate/F05_applications-systems.csv,74,tenant_file
APP-00074,Slot-Snowflake-Service-0074,Mainframe,,Mainframe,,Azure,,Critical,6780000,,2,pci_pii_confidential,Current,,COTS,Snowflake,family-2-technology-estate/F05_applications-systems.csv,75,tenant_file
APP-00075,Disruption-Microsoft-Manager-0075,Cloud,,Cloud,,Azure,,Medium,7780000,,41,internal,Latest,,Microservice,Microsoft,family-2-technology-estate/F05_applications-systems.csv,76,tenant_file
APP-00076,Legal-Adobe-Platform-0076,EUC,,EUC,,Azure,,High,21220000,,43,internal,Current,,SaaS,Adobe,family-2-technology-estate/F05_applications-systems.csv,77,tenant_file
APP-00077,Engine-Databricks-Hub-0077,EUC,,EUC,,AWS,,Critical,18400000,,97,pci_pii_confidential,N-1,,Microservice,Databricks,family-2-technology-estate/F05_applications-systems.csv,78,tenant_file
APP-00078,Ancillary-Amadeus-Engine-0078,Security,,Security,,Azure,,High,16820000,,180,internal,EOL Approaching,,SaaS,Amadeus,family-2-technology-estate/F05_applications-systems.csv,79,tenant_file
APP-00079,Parts-AIMS-Platform-0079,Network,,Network,,Mainframe,,Medium,5120000,,104,internal,Roadmap Pending,,Data Platform,AIMS,family-2-technology-estate/F05_applications-systems.csv,80,tenant_file
APP-00080,Data-Snowflake-Engine-0080,Integration,,Integration,,SaaS,,Critical,9750000,,168,pci_pii_confidential,Current,,Custom,Snowflake,family-2-technology-estate/F05_applications-systems.csv,81,tenant_file
APP-00081,Network-Databricks-Service-0081,Security,,Security,,Azure,,High,4570000,,216,internal,Current,,SaaS,Databricks,family-2-technology-estate/F05_applications-systems.csv,82,tenant_file
APP-00082,Network-Workday-Manager-0082,Integration,,Integration,,Mainframe,,Low,13350000,,103,internal,EOL Approaching,,Middleware,Workday,family-2-technology-estate/F05_applications-systems.csv,83,tenant_file
APP-00083,Master-Amadeus-Platform-0083,Integration,,Integration,,Mainframe,,High,2370000,,13,internal,Roadmap Pending,,Middleware,Amadeus,family-2-technology-estate/F05_applications-systems.csv,84,tenant_file
APP-00084,Network-SITA-Manager-0084,Security,,Security,,Data Center,,Critical,14610000,,133,pci_pii_confidential,Roadmap Pending,,Microservice,SITA,family-2-technology-estate/F05_applications-systems.csv,85,tenant_file
APP-00085,Cargo-AIMS-Service-0085,Integration,,Integration,,Data Center,,Critical,21800000,,30,pci_pii_confidential,Roadmap Pending,,Middleware,AIMS,family-2-technology-estate/F05_applications-systems.csv,86,tenant_file
APP-00086,Component-Jeppesen-Platform-0086,Integration,,Integration,,Private Cloud,,High,9590000,,79,internal,Roadmap Pending,,COTS,Jeppesen,family-2-technology-estate/F05_applications-systems.csv,87,tenant_file
APP-00087,Container-Snowflake-Service-0087,Integration,,Integration,,Private Cloud,,Critical,5940000,,151,pci_pii_confidential,EOL Approaching,,Analytics,Snowflake,family-2-technology-estate/F05_applications-systems.csv,88,tenant_file
APP-00088,Ground-Oracle-Platform-0088,Network,,Network,,Data Center,,Critical,7640000,,24,pci_pii_confidential,Unsupported,,COTS,Oracle,family-2-technology-estate/F05_applications-systems.csv,89,tenant_file
APP-00089,HR-Oracle-Manager-0089,Network,,Network,,AWS,,Critical,19140000,,29,pci_pii_confidential,N-1,,Legacy Mainframe,Oracle,family-2-technology-estate/F05_applications-systems.csv,90,tenant_file
APP-00090,Corporate-Oracle-Hub-0090,Network,,Network,,Private Cloud,,Medium,15370000,,150,internal,Unsupported,,Data Platform,Oracle,family-2-technology-estate/F05_applications-systems.csv,91,tenant_file
APP-00091,Ancillary-Accenture-Service-0091,Security,,Security,,Azure,,Medium,11160000,,195,internal,N-1,,SaaS,Accenture,family-2-technology-estate/F05_applications-systems.csv,92,tenant_file
APP-00092,Baggage-Sabre AirVision-Suite-0092,Network,,Network,,Azure,,High,5980000,,76,internal,Roadmap Pending,,Analytics,Sabre AirVision,family-2-technology-estate/F05_applications-systems.csv,93,tenant_file
APP-00093,Identity-Databricks-Service-0093,ERP,,ERP,,Data Center,,Critical,17670000,,121,pci_pii_confidential,N-1,,SaaS,Databricks,family-2-technology-estate/F05_applications-systems.csv,94,tenant_file
APP-00094,Ground-Hexaware-Engine-0094,Digital,,Digital,,Private Cloud,,High,8970000,,159,internal,Roadmap Pending,,Data Platform,Hexaware,family-2-technology-estate/F05_applications-systems.csv,95,tenant_file
APP-00095,Mobile-Teradata-Manager-0095,Mainframe,,Mainframe,,Mainframe,,Low,20630000,,136,internal,EOL Approaching,,Custom,Teradata,family-2-technology-estate/F05_applications-systems.csv,96,tenant_file
APP-00096,Tax-Infosys-Hub-0096,Cloud,,Cloud,,AWS,,Low,7150000,,212,internal,Latest,,Custom,Infosys,family-2-technology-estate/F05_applications-systems.csv,97,tenant_file
APP-00097,Cargo-TCS-Manager-0097,Digital,,Digital,,SaaS,,High,5400000,,38,internal,Current,,Custom,TCS,family-2-technology-estate/F05_applications-systems.csv,98,tenant_file
APP-00098,Legal-AIMS-Service-0098,Integration,,Integration,,SaaS,,High,6150000,,7,internal,Unsupported,,Data Platform,AIMS,family-2-technology-estate/F05_applications-systems.csv,99,tenant_file
APP-00099,Distribution-AIMS-Platform-0099,Mainframe,,Mainframe,,Data Center,,Medium,19830000,,104,internal,Latest,,COTS,AIMS,family-2-technology-estate/F05_applications-systems.csv,100,tenant_file
APP-00100,Self-Service-ServiceNow-Platform-0100,Data & Analytics,,Data & Analytics,,SaaS,,Medium,19480000,,60,internal,Unsupported,,SaaS,ServiceNow,family-2-technology-estate/F05_applications-systems.csv,101,tenant_file
APP-00101,Reliability-ServiceNow-Hub-0101,Security,,Security,,Azure,,High,9780000,,65,internal,Roadmap Pending,,Legacy Mainframe,ServiceNow,family-2-technology-estate/F05_applications-systems.csv,102,tenant_file
APP-00102,Metadata-Accenture-Service-0102,ERP,,ERP,,SaaS,,Medium,8109999,,183,internal,Unsupported,,Data Platform,Accenture,family-2-technology-estate/F05_applications-systems.csv,103,tenant_file
APP-00103,Predictive-Snowflake-Platform-0103,Mainframe,,Mainframe,,Private Cloud,,Medium,21090000,,92,internal,EOL Approaching,,Legacy Mainframe,Snowflake,family-2-technology-estate/F05_applications-systems.csv,104,tenant_file
APP-00104,Identity-SAP-Hub-0104,Security,,Security,,Azure,,Medium,18940000,,41,internal,Latest,,Middleware,SAP,family-2-technology-estate/F05_applications-systems.csv,105,tenant_file
APP-00105,Customer-Workday-Platform-0105,Mainframe,,Mainframe,,SaaS,,Medium,19310000,,209,internal,N-1,,Analytics,Workday,family-2-technology-estate/F05_applications-systems.csv,106,tenant_file
APP-00106,Slot-Infosys-Hub-0106,ERP,,ERP,,SaaS,,Critical,14190000,,161,pci_pii_confidential,Latest,,Microservice,Infosys,family-2-technology-estate/F05_applications-systems.csv,107,tenant_file
APP-00107,Revenue-IBM-Manager-0107,Security,,Security,,Private Cloud,,Critical,5640000,,182,pci_pii_confidential,EOL Approaching,,Middleware,IBM,family-2-technology-estate/F05_applications-systems.csv,108,tenant_file
APP-00108,Compute-AIMS-Manager-0108,Integration,,Integration,,AWS,,Medium,4530000,,106,internal,N-1,,Custom,AIMS,family-2-technology-estate/F05_applications-systems.csv,109,tenant_file
APP-00109,Mainframe-SAP-Platform-0109,Cloud,,Cloud,,Mainframe,,Medium,1290000,,158,internal,EOL Approaching,,Legacy Mainframe,SAP,family-2-technology-estate/F05_applications-systems.csv,110,tenant_file
APP-00110,Disruption-Infosys-Suite-0110,ERP,,ERP,,SaaS,,Low,18230000,,126,internal,N-1,,SaaS,Infosys,family-2-technology-estate/F05_applications-systems.csv,111,tenant_file
APP-00111,Vulnerability-TCS-Manager-0111,Digital,,Digital,,AWS,,High,4900000,,210,internal,Latest,,Analytics,TCS,family-2-technology-estate/F05_applications-systems.csv,112,tenant_file
APP-00112,Legal-Sabre AirVision-Suite-0112,Data & Analytics,,Data & Analytics,,Data Center,,Low,8260000,,175,internal,Current,,COTS,Sabre AirVision,family-2-technology-estate/F05_applications-systems.csv,113,tenant_file
APP-00113,Digital-Accenture-Manager-0113,Data & Analytics,,Data & Analytics,,AWS,,Low,5790000,,24,internal,Current,,Data Platform,Accenture,family-2-technology-estate/F05_applications-systems.csv,114,tenant_file
APP-00114,Service-AIMS-Engine-0114,Cloud,,Cloud,,Data Center,,Low,21510000,,171,internal,N-1,,COTS,AIMS,family-2-technology-estate/F05_applications-systems.csv,115,tenant_file
APP-00115,Distribution-Workday-Suite-0115,Data & Analytics,,Data & Analytics,,Mainframe,,Critical,15680000,,110,pci_pii_confidential,Unsupported,,Analytics,Workday,family-2-technology-estate/F05_applications-systems.csv,116,tenant_file
APP-00116,Revenue-Salesforce-Hub-0116,Mainframe,,Mainframe,,Mainframe,,Medium,18290000,,67,internal,Unsupported,,Middleware,Salesforce,family-2-technology-estate/F05_applications-systems.csv,117,tenant_file
APP-00117,Network-AIMS-Suite-0117,Network,,Network,,AWS,,Critical,4190000,,120,pci_pii_confidential,N-1,,Analytics,AIMS,family-2-technology-estate/F05_applications-systems.csv,118,tenant_file
APP-00118,Pricing-AIMS-Platform-0118,ERP,,ERP,,SaaS,,Low,10950000,,216,internal,Current,,Analytics,AIMS,family-2-technology-estate/F05_applications-systems.csv,119,tenant_file
APP-00119,Corporate-TCS-Suite-0119,Cloud,,Cloud,,Data Center,,High,21960000,,1,internal,EOL Approaching,,Custom,TCS,family-2-technology-estate/F05_applications-systems.csv,120,tenant_file
APP-00120,Revenue-ServiceNow-Hub-0120,ERP,,ERP,,Azure,,Critical,8340000,,27,pci_pii_confidential,N-1,,SaaS,ServiceNow,family-2-technology-estate/F05_applications-systems.csv,121,tenant_file
APP-00121,Baggage-Databricks-Manager-0121,Integration,,Integration,,SaaS,,Critical,21340000,,167,pci_pii_confidential,Unsupported,,Analytics,Databricks,family-2-technology-estate/F05_applications-systems.csv,122,tenant_file
APP-00122,Payroll-Oracle-Manager-0122,Cloud,,Cloud,,Azure,,Low,8900000,,45,internal,Roadmap Pending,,Middleware,Oracle,family-2-technology-estate/F05_applications-systems.csv,123,tenant_file
APP-00123,Disruption-Microsoft-Hub-0123,Cloud,,Cloud,,SaaS,,Critical,10900000,,110,pci_pii_confidential,Latest,,Data Platform,Microsoft,family-2-technology-estate/F05_applications-systems.csv,124,tenant_file
APP-00124,Inventory-Snowflake-Platform-0124,Network,,Network,,AWS,,Low,10590000,,144,internal,Current,,Microservice,Snowflake,family-2-technology-estate/F05_applications-systems.csv,125,tenant_file
APP-00125,Baggage-Sabre AirVision-Manager-0125,Data & Analytics,,Data & Analytics,,Azure,,Medium,14950000,,165,internal,Roadmap Pending,,Data Platform,Sabre AirVision,family-2-technology-estate/F05_applications-systems.csv,126,tenant_file
APP-00126,Cloud-Sabre-Engine-0126,EUC,,EUC,,Azure,,Medium,21660000,,175,internal,N-1,,Analytics,Sabre,family-2-technology-estate/F05_applications-systems.csv,127,tenant_file
APP-00127,Reliability-Adobe-Platform-0127,Digital,,Digital,,Private Cloud,,Low,2260000,,169,internal,Unsupported,,SaaS,Adobe,family-2-technology-estate/F05_applications-systems.csv,128,tenant_file
APP-00128,Gate-Hexaware-Platform-0128,ERP,,ERP,,Mainframe,,High,1190000,,106,internal,Unsupported,,SaaS,Hexaware,family-2-technology-estate/F05_applications-systems.csv,129,tenant_file
APP-00129,Fuel-SITA-Engine-0129,Integration,,Integration,,AWS,,Critical,5850000,,172,pci_pii_confidential,Roadmap Pending,,Microservice,SITA,family-2-technology-estate/F05_applications-systems.csv,130,tenant_file
APP-00130,Pricing-Lufthansa Systems-Platform-0130,Mainframe,,Mainframe,,SaaS,,Low,19140000,,190,internal,Unsupported,,COTS,Lufthansa Systems,family-2-technology-estate/F05_applications-systems.csv,131,tenant_file
APP-00131,Tax-Databricks-Manager-0131,Network,,Network,,Azure,,High,4360000,,208,internal,Latest,,Data Platform,Databricks,family-2-technology-estate/F05_applications-systems.csv,132,tenant_file
APP-00132,Identity-AIMS-Manager-0132,Cloud,,Cloud,,AWS,,High,6760000,,118,internal,Roadmap Pending,,Custom,AIMS,family-2-technology-estate/F05_applications-systems.csv,133,tenant_file
APP-00133,Line-Microsoft-Suite-0133,ERP,,ERP,,Mainframe,,Low,5490000,,75,internal,Roadmap Pending,,Analytics,Microsoft,family-2-technology-estate/F05_applications-systems.csv,134,tenant_file
